* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -53,5 dBFS, measurement signal peak level -15,8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 06.09.2024 22:28:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,3554 ms (-122 mm, -4,8 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: hd800
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 92.251 -49.2239
20.333664 92.297 -49.3179
20.481010 92.365 -49.4569
20.629424 92.451 -49.6182
20.778913 92.549 -49.7861
20.929486 92.656 -49.9531
21.081150 92.769 -50.1192
21.233912 92.885 -50.2892
21.387782 93.002 -50.4696
21.542767 93.117 -50.6662
21.698874 93.228 -50.8830
21.856113 93.335 -51.1211
22.014492 93.436 -51.3783
22.174018 93.531 -51.6502
22.334700 93.621 -51.9304
22.496546 93.707 -52.2129
22.659566 93.792 -52.4927
22.823766 93.878 -52.7677
22.989157 93.966 -53.0393
23.155745 94.061 -53.3133
23.323542 94.162 -53.5986
23.492554 94.271 -53.9066
23.662790 94.388 -54.2489
23.834261 94.509 -54.6350
24.006973 94.632 -55.0701
24.180938 94.754 -55.5538
24.356163 94.871 -56.0786
24.532658 94.979 -56.6309
24.710431 95.076 -57.1918
24.889493 95.161 -57.7391
25.069853 95.234 -58.2500
25.251519 95.295 -58.7042
25.434502 95.348 -59.0865
25.618811 95.397 -59.3902
25.804456 95.446 -59.6177
25.991445 95.500 -59.7820
26.179790 95.562 -59.9046
26.369500 95.633 -60.0129
26.560584 95.716 -60.1357
26.753053 95.808 -60.2985
26.946917 95.907 -60.5200
27.142185 96.011 -60.8090
27.338869 96.115 -61.1646
27.536977 96.217 -61.5769
27.736522 96.316 -62.0297
27.937512 96.408 -62.5041
28.139959 96.496 -62.9808
28.343872 96.579 -63.4437
28.549264 96.658 -63.8808
28.756143 96.736 -64.2856
28.964522 96.812 -64.6561
29.174411 96.890 -64.9946
29.385821 96.968 -65.3060
29.598763 97.049 -65.5966
29.813248 97.132 -65.8732
30.029287 97.217 -66.1423
30.246891 97.304 -66.4103
30.466073 97.394 -66.6824
30.686842 97.486 -66.9631
30.909212 97.579 -67.2555
31.133193 97.674 -67.5610
31.358797 97.769 -67.8797
31.586035 97.864 -68.2103
31.814921 97.958 -68.5505
32.045465 98.049 -68.8983
32.277680 98.139 -69.2522
32.511577 98.225 -69.6109
32.747169 98.307 -69.9734
32.984469 98.385 -70.3383
33.223488 98.458 -70.7027
33.464239 98.527 -71.0630
33.706735 98.593 -71.4157
33.950987 98.658 -71.7591
34.197010 98.725 -72.0951
34.444816 98.796 -72.4301
34.694417 98.874 -72.7737
34.945827 98.957 -73.1356
35.199059 99.046 -73.5217
35.454126 99.137 -73.9298
35.711041 99.228 -74.3492
35.969818 99.317 -74.7629
36.230470 99.402 -75.1541
36.493011 99.485 -75.5137
36.757455 99.565 -75.8464
37.023814 99.643 -76.1712
37.292104 99.720 -76.5159
37.562338 99.791 -76.9059
37.834530 99.853 -77.3512
38.108695 99.903 -77.8372
38.384846 99.938 -78.3244
38.662999 99.963 -78.7573
38.943167 99.985 -79.0815
39.225365 100.015 -79.2647
39.509608 100.064 -79.3130
39.795911 100.139 -79.2740
40.084289 100.241 -79.2240
40.374756 100.361 -79.2435
40.667328 100.487 -79.3925
40.962020 100.604 -79.6963
41.258848 100.703 -80.1466
41.557827 100.781 -80.7143
41.858972 100.840 -81.3646
42.162299 100.886 -82.0682
42.467824 100.931 -82.8049
42.775564 100.982 -83.5599
43.085533 101.045 -84.3161
43.397749 101.122 -85.0485
43.712227 101.210 -85.7248
44.028983 101.306 -86.3127
44.348036 101.406 -86.7906
44.669400 101.506 -87.1561
44.993093 101.603 -87.4277
45.319131 101.694 -87.6399
45.647532 101.778 -87.8347
45.978313 101.853 -88.0515
46.311491 101.922 -88.3205
46.647083 101.987 -88.6586
46.985107 102.052 -89.0683
47.325581 102.117 -89.5386
47.668521 102.185 -90.0476
48.013947 102.255 -90.5668
48.361876 102.324 -91.0677
48.712326 102.393 -91.5286
49.065315 102.458 -91.9395
49.420863 102.521 -92.3039
49.778987 102.582 -92.6361
50.139706 102.640 -92.9554
50.503039 102.699 -93.2805
50.869005 102.759 -93.6240
51.237623 102.822 -93.9916
51.608912 102.889 -94.3813
51.982891 102.958 -94.7852
52.359580 103.030 -95.1922
52.739000 103.103 -95.5902
53.121168 103.175 -95.9712
53.506106 103.247 -96.3345
53.893833 103.317 -96.6893
54.284370 103.384 -97.0514
54.677737 103.448 -97.4373
55.073955 103.507 -97.8561
55.473043 103.560 -98.3056
55.875024 103.607 -98.7726
56.279917 103.649 -99.2399
56.687745 103.690 -99.6927
57.098527 103.732 -100.1235
57.512287 103.778 -100.5319
57.929045 103.827 -100.9218
58.348822 103.879 -101.2982
58.771642 103.933 -101.6663
59.197525 103.988 -102.0317
59.626495 104.043 -102.4020
60.058573 104.098 -102.7854
60.493782 104.152 -103.1895
60.932145 104.207 -103.6182
61.373685 104.261 -104.0704
61.818424 104.314 -104.5401
62.266386 104.368 -105.0172
62.717593 104.421 -105.4899
63.172071 104.475 -105.9471
63.629842 104.529 -106.3823
64.090930 104.585 -106.7961
64.555359 104.641 -107.1982
65.023154 104.696 -107.6042
65.494339 104.750 -108.0299
65.968938 104.801 -108.4840
66.446976 104.849 -108.9654
66.928478 104.894 -109.4648
67.413469 104.938 -109.9702
67.901975 104.982 -110.4720
68.394021 105.027 -110.9648
68.889632 105.073 -111.4469
69.388835 105.119 -111.9186
69.891655 105.163 -112.3811
70.398118 105.206 -112.8367
70.908252 105.248 -113.2883
71.422083 105.288 -113.7398
71.939636 105.329 -114.1948
72.460941 105.370 -114.6543
72.986023 105.411 -115.1169
73.514909 105.453 -115.5808
74.047629 105.495 -116.0462
74.584208 105.535 -116.5154
75.124676 105.574 -116.9905
75.669061 105.609 -117.4721
76.217390 105.643 -117.9605
76.769692 105.676 -118.4560
77.325997 105.709 -118.9573
77.886333 105.743 -119.4606
78.450730 105.777 -119.9626
79.019216 105.809 -120.4626
79.591822 105.838 -120.9600
80.168577 105.862 -121.4476
80.749512 105.881 -121.9112
81.334656 105.900 -122.3383
81.924040 105.922 -122.7286
82.517696 105.948 -123.0959
83.115653 105.978 -123.4607
83.717943 106.009 -123.8396
84.324598 106.040 -124.2407
84.935649 106.068 -124.6633
85.551128 106.093 -125.1015
86.171066 106.115 -125.5479
86.795497 106.137 -125.9971
87.424453 106.157 -126.4459
88.057967 106.178 -126.8933
88.696071 106.200 -127.3398
89.338800 106.223 -127.7866
89.986185 106.246 -128.2343
90.638262 106.268 -128.6817
91.295065 106.289 -129.1268
91.956626 106.307 -129.5689
92.622982 106.323 -130.0098
93.294166 106.335 -130.4500
93.970214 106.345 -130.8853
94.651161 106.354 -131.3107
95.337042 106.364 -131.7268
96.027894 106.377 -132.1407
96.723752 106.391 -132.5592
97.424652 106.406 -132.9838
98.130631 106.420 -133.4126
98.841726 106.433 -133.8441
99.557974 106.444 -134.2773
100.279412 106.453 -134.7097
101.006078 106.462 -135.1386
101.738010 106.470 -135.5626
102.475245 106.478 -135.9812
103.217823 106.485 -136.3952
103.965782 106.491 -136.8057
104.719161 106.498 -137.2135
105.477999 106.503 -137.6188
106.242336 106.507 -138.0229
107.012212 106.510 -138.4279
107.787666 106.510 -138.8343
108.568740 106.509 -139.2392
109.355474 106.507 -139.6378
110.147909 106.504 -140.0260
110.946086 106.501 -140.4015
111.750047 106.497 -140.7639
112.559834 106.494 -141.1146
113.375489 106.491 -141.4575
114.197055 106.488 -141.7977
115.024574 106.485 -142.1405
115.858089 106.479 -142.4891
116.697645 106.473 -142.8440
117.543284 106.466 -143.2029
118.395051 106.459 -143.5624
119.252990 106.453 -143.9190
120.117147 106.447 -144.2703
120.987565 106.441 -144.6157
121.864291 106.435 -144.9546
122.747370 106.429 -145.2873
123.636848 106.421 -145.6145
124.532771 106.413 -145.9369
125.435187 106.404 -146.2540
126.344142 106.394 -146.5656
127.259684 106.382 -146.8725
128.181860 106.369 -147.1775
129.110718 106.356 -147.4842
130.046308 106.342 -147.7964
130.988677 106.329 -148.1154
131.937875 106.316 -148.4386
132.893951 106.303 -148.7579
133.856956 106.289 -149.0640
134.826938 106.273 -149.3527
135.803950 106.256 -149.6290
136.788041 106.239 -149.9014
137.779264 106.220 -150.1744
138.777669 106.201 -150.4481
139.783309 106.182 -150.7199
140.796237 106.162 -150.9846
141.816504 106.142 -151.2368
142.844165 106.121 -151.4737
143.879273 106.100 -151.6964
144.921881 106.079 -151.9103
145.972045 106.058 -152.1209
147.029819 106.038 -152.3306
148.095257 106.018 -152.5395
149.168417 105.997 -152.7462
150.249353 105.976 -152.9498
151.338121 105.954 -153.1508
152.434780 105.931 -153.3507
153.539385 105.907 -153.5513
154.651995 105.883 -153.7531
155.772667 105.859 -153.9544
156.901460 105.836 -154.1524
158.038432 105.812 -154.3446
159.183644 105.788 -154.5306
160.337154 105.763 -154.7113
161.499023 105.738 -154.8877
162.669312 105.713 -155.0598
163.848081 105.688 -155.2270
165.035392 105.663 -155.3891
166.231306 105.637 -155.5457
167.435887 105.611 -155.6967
168.649196 105.585 -155.8422
169.871298 105.558 -155.9825
171.102255 105.530 -156.1180
172.342133 105.502 -156.2490
173.590995 105.473 -156.3759
174.848907 105.444 -156.4988
176.115934 105.415 -156.6171
177.392143 105.387 -156.7308
178.677599 105.358 -156.8402
179.972371 105.329 -156.9458
181.276525 105.301 -157.0479
182.590129 105.272 -157.1469
183.913252 105.243 -157.2426
185.245964 105.214 -157.3334
186.588332 105.185 -157.4175
187.940428 105.155 -157.4936
189.302322 105.125 -157.5615
190.674085 105.095 -157.6224
192.055788 105.065 -157.6788
193.447503 105.034 -157.7338
194.849303 105.002 -157.7885
196.261262 104.970 -157.8418
197.683452 104.937 -157.8913
199.115948 104.905 -157.9350
200.558824 104.873 -157.9726
202.012156 104.842 -158.0049
203.476019 104.811 -158.0334
204.950490 104.780 -158.0596
206.435646 104.749 -158.0844
207.931564 104.717 -158.1076
209.438322 104.685 -158.1273
210.955998 104.652 -158.1405
212.484672 104.620 -158.1457
214.024424 104.587 -158.1431
215.575333 104.554 -158.1337
217.137481 104.521 -158.1185
218.710948 104.488 -158.0986
220.295818 104.455 -158.0747
221.892172 104.422 -158.0478
223.500094 104.389 -158.0184
225.119668 104.356 -157.9866
226.750978 104.322 -157.9508
228.394109 104.288 -157.9091
230.049147 104.254 -157.8606
231.716178 104.219 -157.8059
233.395289 104.185 -157.7458
235.086567 104.150 -157.6807
236.790102 104.115 -157.6104
238.505980 104.080 -157.5351
240.234293 104.045 -157.4560
241.975130 104.010 -157.3739
243.728581 103.975 -157.2887
245.494739 103.939 -157.2001
247.273695 103.903 -157.1079
249.065542 103.868 -157.0116
250.870374 103.832 -156.9107
252.688284 103.798 -156.8042
254.519367 103.763 -156.6926
256.363720 103.729 -156.5763
258.221437 103.693 -156.4546
260.092616 103.657 -156.3257
261.977354 103.621 -156.1894
263.875750 103.584 -156.0485
265.787903 103.547 -155.9066
267.713911 103.511 -155.7646
269.653877 103.474 -155.6209
271.607900 103.437 -155.4720
273.576083 103.401 -155.3149
275.558528 103.364 -155.1483
277.555338 103.327 -154.9735
279.566619 103.289 -154.7928
281.592474 103.252 -154.6071
283.633009 103.215 -154.4152
285.688331 103.179 -154.2156
287.758546 103.143 -154.0085
289.843763 103.107 -153.7963
291.944090 103.070 -153.5820
294.059638 103.033 -153.3672
296.190515 102.995 -153.1520
298.336833 102.956 -152.9353
300.498705 102.916 -152.7159
302.676243 102.877 -152.4916
304.869559 102.837 -152.2597
307.078770 102.797 -152.0186
309.303989 102.758 -151.7685
311.545334 102.719 -151.5099
313.802919 102.680 -151.2425
316.076865 102.641 -150.9653
318.367288 102.600 -150.6788
320.674309 102.559 -150.3854
322.998047 102.517 -150.0879
325.338624 102.474 -149.7881
