* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 06.02.2025 19:31:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Model T push
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.987 -72.1813
20.507813 91.297 -73.3431
20.874023 91.553 -74.5728
21.240234 91.735 -75.4438
21.606445 91.878 -75.7520
21.972656 92.032 -75.7188
22.338867 92.204 -75.8126
22.705078 92.351 -76.3178
23.071289 92.430 -77.0858
23.437500 92.446 -77.6819
23.803711 92.463 -77.7777
24.169922 92.567 -77.4931
24.536133 92.785 -77.3499
24.902344 93.059 -77.7994
25.268555 93.295 -78.8189
25.634766 93.439 -79.9631
26.000977 93.504 -80.7134
26.367188 93.558 -80.8452
26.733399 93.666 -80.5841
27.099610 93.835 -80.3843
27.465821 94.015 -80.4994
27.832032 94.152 -80.7917
28.198243 94.244 -80.9351
28.564454 94.335 -80.7827
28.930665 94.476 -80.5769
29.296876 94.661 -80.7675
29.663087 94.827 -81.5690
30.029298 94.906 -82.7047
30.395509 94.887 -83.5436
30.761720 94.843 -83.5209
31.127931 94.901 -82.6509
31.494142 95.139 -81.7119
31.860353 95.497 -81.6722
32.226563 95.817 -82.8669
32.592774 95.958 -84.8046
32.958985 95.870 -86.5114
33.325196 95.628 -86.9964
33.691407 95.421 -85.8454
34.057618 95.452 -83.8096
34.423829 95.762 -82.4832
34.790040 96.186 -82.9315
35.156251 96.516 -84.9617
35.522462 96.633 -87.5495
35.888673 96.534 -89.4623
36.254884 96.332 -89.7471
36.621095 96.217 -88.2652
36.987306 96.340 -86.0063
37.353517 96.679 -84.4458
37.719728 97.070 -84.3820
38.085939 97.354 -85.6145
38.452150 97.462 -87.4065
38.818361 97.416 -88.9652
39.184572 97.308 -89.7509
39.550783 97.248 -89.6813
39.916994 97.309 -89.1453
40.283205 97.486 -88.7085
40.649416 97.707 -88.7116
41.015627 97.896 -89.1197
41.381838 98.012 -89.6616
41.748049 98.067 -90.0666
42.114260 98.108 -90.2526
42.480471 98.178 -90.3742
42.846682 98.286 -90.6798
43.212893 98.399 -91.2668
43.579103 98.473 -91.9483
43.945314 98.488 -92.3481
44.311525 98.469 -92.1646
44.677736 98.470 -91.4491
45.043947 98.529 -90.6700
45.410158 98.625 -90.4072
45.776369 98.699 -90.9023
46.142580 98.710 -91.8855
46.508791 98.683 -92.7784
46.875002 98.709 -93.1158
47.241213 98.891 -92.9489
47.607424 99.249 -92.8404
47.973635 99.686 -93.3274
48.339846 100.048 -94.4300
48.706057 100.223 -95.6686
49.072268 100.187 -96.3878
49.438479 100.012 -96.1266
49.804690 99.828 -94.9549
50.170901 99.745 -93.5544
50.537112 99.776 -92.7681
50.903323 99.855 -92.9573
51.269534 99.914 -93.8318
51.635745 99.935 -94.7806
52.001956 99.948 -95.3060
52.368167 99.997 -95.2920
52.734378 100.103 -94.9830
53.100589 100.240 -94.7169
53.466800 100.367 -94.6698
53.833011 100.457 -94.8177
54.199222 100.514 -95.0647
54.565432 100.561 -95.3664
54.931643 100.618 -95.7473
55.297854 100.686 -96.2262
55.664065 100.755 -96.7470
56.030276 100.817 -97.1924
56.396487 100.872 -97.4650
56.762698 100.929 -97.5603
57.128909 100.992 -97.5686
57.495120 101.060 -97.6052
57.861331 101.124 -97.7311
58.227542 101.177 -97.9256
58.593753 101.222 -98.1215
58.959964 101.267 -98.2624
59.326175 101.322 -98.3400
59.692386 101.391 -98.3899
60.058597 101.469 -98.4618
60.424808 101.549 -98.5903
60.791019 101.624 -98.7826
61.157230 101.689 -99.0216
61.523441 101.744 -99.2758
61.889652 101.793 -99.5103
62.255863 101.841 -99.6995
62.622074 101.893 -99.8377
62.988285 101.953 -99.9416
63.354496 102.019 -100.0419
63.720707 102.085 -100.1661
64.086918 102.148 -100.3251
64.453129 102.203 -100.5113
64.819340 102.252 -100.7098
65.185551 102.299 -100.9118
65.551762 102.348 -101.1218
65.917972 102.402 -101.3512
66.284183 102.460 -101.6043
66.650394 102.520 -101.8692
67.016605 102.581 -102.1211
67.382816 102.643 -102.3361
67.749027 102.705 -102.5061
68.115238 102.770 -102.6423
68.481449 102.833 -102.7637
68.847660 102.892 -102.8820
69.213871 102.944 -102.9948
69.580082 102.991 -103.0959
69.946293 103.036 -103.1925
70.312504 103.085 -103.3135
70.678715 103.139 -103.4973
71.044926 103.195 -103.7632
71.411137 103.248 -104.0906
71.777348 103.295 -104.4231
72.143559 103.337 -104.6979
72.509770 103.380 -104.8833
72.875981 103.430 -104.9969
73.242192 103.487 -105.0927
73.608403 103.548 -105.2250
73.974614 103.605 -105.4155
74.340825 103.654 -105.6457
74.707036 103.696 -105.8765
75.073247 103.738 -106.0785
75.439458 103.786 -106.2509
75.805669 103.845 -106.4180
76.171880 103.910 -106.6065
76.538091 103.973 -106.8206
76.904301 104.029 -107.0367
77.270512 104.073 -107.2191
77.636723 104.111 -107.3495
78.002934 104.150 -107.4458
78.369145 104.194 -107.5565
78.735356 104.243 -107.7304
79.101567 104.293 -107.9811
79.467778 104.339 -108.2756
79.833989 104.381 -108.5557
80.200200 104.424 -108.7786
80.566411 104.473 -108.9451
80.932622 104.530 -109.0949
81.298833 104.591 -109.2702
81.665044 104.646 -109.4803
82.031255 104.691 -109.6963
82.397466 104.731 -109.8811
82.763677 104.772 -110.0270
83.129888 104.824 -110.1696
83.496099 104.884 -110.3619
83.862310 104.947 -110.6304
84.228521 105.003 -110.9510
84.594732 105.046 -111.2634
84.960943 105.079 -111.5127
85.327154 105.110 -111.6829
85.693365 105.143 -111.8008
86.059576 105.181 -111.9084
86.425787 105.223 -112.0332
86.791998 105.267 -112.1793
87.158209 105.315 -112.3441
87.524420 105.368 -112.5365
87.890631 105.424 -112.7760
88.256841 105.477 -113.0720
88.623052 105.521 -113.4034
88.989263 105.552 -113.7232
89.355474 105.574 -113.9869
89.721685 105.598 -114.1857
90.087896 105.630 -114.3551
90.454107 105.673 -114.5490
90.820318 105.720 -114.7977
91.186529 105.765 -115.0836
91.552740 105.805 -115.3547
91.918951 105.840 -115.5646
92.285162 105.878 -115.7073
92.651373 105.922 -115.8217
93.017584 105.969 -115.9617
93.383795 106.014 -116.1592
93.750006 106.052 -116.4079
94.116217 106.083 -116.6781
94.482428 106.112 -116.9455
94.848639 106.143 -117.2076
95.214850 106.180 -117.4756
95.581061 106.221 -117.7533
95.947272 106.262 -118.0239
96.313483 106.302 -118.2603
96.679694 106.344 -118.4484
97.045905 106.388 -118.6023
97.412116 106.436 -118.7564
97.778327 106.485 -118.9412
98.144538 106.529 -119.1649
98.510749 106.568 -119.4155
98.876960 106.602 -119.6783
99.243170 106.635 -119.9497
99.609381 106.666 -120.2318
99.975592 106.694 -120.5165
100.341803 106.719 -120.7765
100.708014 106.743 -120.9798
101.074225 106.772 -121.1178
101.440436 106.810 -121.2214
101.806647 106.856 -121.3462
102.172858 106.903 -121.5353
102.539069 106.944 -121.7902
102.905280 106.975 -122.0772
103.271491 107.002 -122.3630
103.637702 107.031 -122.6484
104.003913 107.069 -122.9685
104.370124 107.112 -123.3561
104.736335 107.151 -123.7991
105.102546 107.178 -124.2299
105.468757 107.193 -124.5598
105.834968 107.205 -124.7356
106.201179 107.224 -124.7774
106.567390 107.256 -124.7696
106.933601 107.298 -124.8098
107.299812 107.341 -124.9542
107.666023 107.376 -125.1971
108.032234 107.402 -125.4921
108.398445 107.424 -125.7906
108.764656 107.447 -126.0696
109.130867 107.479 -126.3346
109.497078 107.517 -126.6029
109.863289 107.559 -126.8850
110.229500 107.598 -127.1762
110.595710 107.631 -127.4607
110.961921 107.657 -127.7213
111.328132 107.676 -127.9479
111.694343 107.694 -128.1439
112.060554 107.714 -128.3260
112.426765 107.737 -128.5201
112.792976 107.764 -128.7488
113.159187 107.791 -129.0193
113.525398 107.815 -129.3168
113.891609 107.836 -129.6133
114.257820 107.857 -129.8851
114.624031 107.882 -130.1301
114.990242 107.913 -130.3685
115.356453 107.950 -130.6274
115.722664 107.985 -130.9174
116.088875 108.015 -131.2223
116.455086 108.036 -131.5097
116.821297 108.050 -131.7546
117.187508 108.063 -131.9585
117.553719 108.078 -132.1484
117.919930 108.096 -132.3573
118.286141 108.116 -132.6000
118.652352 108.136 -132.8652
119.018563 108.158 -133.1286
119.384774 108.183 -133.3744
119.750985 108.213 -133.6080
120.117196 108.247 -133.8485
120.483407 108.278 -134.1097
120.849618 108.301 -134.3853
121.215829 108.315 -134.6540
121.582040 108.323 -134.8987
121.948250 108.332 -135.1255
122.314461 108.348 -135.3644
122.680672 108.370 -135.6485
123.046883 108.394 -135.9855
123.413094 108.414 -136.3442
123.779305 108.428 -136.6686
124.145516 108.439 -136.9120
124.511727 108.454 -137.0704
124.877938 108.478 -137.1916
125.244149 108.512 -137.3502
125.610360 108.549 -137.6034
125.976571 108.579 -137.9551
126.342782 108.596 -138.3542
126.708993 108.602 -138.7262
127.075204 108.603 -139.0186
127.441415 108.610 -139.2309
127.807626 108.627 -139.4102
128.173837 108.651 -139.6150
128.540048 108.672 -139.8739
128.906259 108.683 -140.1694
129.272470 108.683 -140.4568
129.638681 108.680 -140.6993
130.004892 108.681 -140.8946
130.371103 108.693 -141.0739
130.737314 108.716 -141.2777
131.103525 108.747 -141.5288
131.469736 108.776 -141.8236
131.835947 108.800 -142.1413
132.202158 108.816 -142.4584
132.568369 108.824 -142.7543
132.934579 108.825 -143.0111
133.300790 108.824 -143.2160
133.667001 108.826 -143.3724
134.033212 108.837 -143.5094
134.399423 108.857 -143.6757
134.765634 108.879 -143.9122
135.131845 108.896 -144.2226
135.498056 108.900 -144.5690
135.864267 108.895 -144.8980
136.230478 108.889 -145.1802
136.596689 108.891 -145.4296
136.962900 108.906 -145.6833
137.329111 108.927 -145.9574
137.695322 108.950 -146.2216
138.061533 108.970 -146.4184
138.427744 108.991 -146.5161
138.793955 109.020 -146.5504
139.160166 109.055 -146.6135
139.526377 109.087 -146.7953
139.892588 109.103 -147.1228
140.258799 109.096 -147.5457
140.625010 109.070 -147.9776
140.991221 109.038 -148.3544
141.357432 109.016 -148.6673
141.723643 109.010 -148.9472
142.089854 109.015 -149.2200
142.456065 109.026 -149.4767
142.822276 109.035 -149.6864
143.188487 109.044 -149.8353
143.554698 109.056 -149.9517
143.920909 109.071 -150.0923
144.287119 109.084 -150.2996
144.653330 109.091 -150.5701
145.019541 109.089 -150.8601
145.385752 109.084 -151.1228
145.751963 109.080 -151.3439
146.118174 109.083 -151.5461
146.484385 109.090 -151.7624
146.850596 109.093 -152.0039
147.216807 109.091 -152.2523
147.583018 109.083 -152.4806
147.949229 109.077 -152.6808
148.315440 109.079 -152.8741
148.681651 109.090 -153.0926
149.047862 109.105 -153.3509
149.414073 109.118 -153.6320
149.780284 109.126 -153.8991
150.146495 109.129 -154.1227
150.512706 109.130 -154.3005
150.878917 109.131 -154.4576
151.245128 109.132 -154.6269
151.611339 109.132 -154.8283
151.977550 109.130 -155.0609
152.343761 109.126 -155.3115
152.709972 109.124 -155.5694
153.076183 109.126 -155.8335
153.442394 109.131 -156.1073
153.808605 109.136 -156.3881
154.174816 109.139 -156.6610
154.541027 109.137 -156.9050
154.907238 109.134 -157.1080
155.273448 109.131 -157.2778
155.639659 109.131 -157.4390
156.005870 109.132 -157.6168
156.372081 109.131 -157.8194
156.738292 109.126 -158.0333
157.104503 109.118 -158.2381
157.470714 109.112 -158.4272
157.836925 109.112 -158.6190
158.203136 109.118 -158.8452
158.569347 109.124 -159.1229
158.935558 109.125 -159.4341
159.301769 109.118 -159.7303
159.667980 109.104 -159.9614
160.034191 109.092 -160.1098
160.400402 109.087 -160.2037
160.766613 109.090 -160.2987
161.132824 109.098 -160.4405
161.499035 109.102 -160.6369
161.865246 109.099 -160.8611
162.231457 109.090 -161.0776
162.597668 109.080 -161.2711
162.963879 109.075 -161.4535
163.330090 109.074 -161.6484
