* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 01.07.2025 20:46:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: newhd800
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 92.007 -82.5557
20.333664 92.037 -82.4774
20.481010 92.080 -82.3753
20.629424 92.132 -82.2776
20.778913 92.191 -82.2109
20.929486 92.251 -82.1961
21.081150 92.309 -82.2461
21.233912 92.364 -82.3654
21.387782 92.412 -82.5506
21.542767 92.453 -82.7917
21.698874 92.488 -83.0738
21.856113 92.518 -83.3796
22.014492 92.546 -83.6916
22.174018 92.574 -83.9944
22.334700 92.607 -84.2763
22.496546 92.647 -84.5312
22.659566 92.698 -84.7580
22.823766 92.763 -84.9609
22.989157 92.840 -85.1475
23.155745 92.931 -85.3273
23.323542 93.033 -85.5091
23.492554 93.143 -85.6999
23.662790 93.258 -85.9034
23.834261 93.374 -86.1199
24.006973 93.489 -86.3466
24.180938 93.598 -86.5788
24.356163 93.700 -86.8105
24.532658 93.794 -87.0355
24.710431 93.877 -87.2481
24.889493 93.951 -87.4433
25.069853 94.014 -87.6168
25.251519 94.067 -87.7644
25.434502 94.111 -87.8823
25.618811 94.148 -87.9671
25.804456 94.180 -88.0167
25.991445 94.210 -88.0313
26.179790 94.241 -88.0153
26.369500 94.276 -87.9779
26.560584 94.319 -87.9342
26.753053 94.371 -87.9036
26.946917 94.433 -87.9078
27.142185 94.505 -87.9669
27.338869 94.583 -88.0949
27.536977 94.666 -88.2968
27.736522 94.747 -88.5656
27.937512 94.825 -88.8835
28.139959 94.896 -89.2236
28.343872 94.960 -89.5544
28.549264 95.017 -89.8451
28.756143 95.070 -90.0713
28.964522 95.122 -90.2193
29.174411 95.177 -90.2884
29.385821 95.236 -90.2904
29.598763 95.302 -90.2461
29.813248 95.373 -90.1806
30.029287 95.447 -90.1174
30.246891 95.523 -90.0748
30.466073 95.598 -90.0645
30.686842 95.671 -90.0932
30.909212 95.741 -90.1654
31.133193 95.809 -90.2862
31.358797 95.876 -90.4623
31.586035 95.944 -90.7010
31.814921 96.010 -91.0064
32.045465 96.075 -91.3750
32.277680 96.137 -91.7918
32.511577 96.193 -92.2299
32.747169 96.242 -92.6534
32.984469 96.286 -93.0238
33.223488 96.328 -93.3078
33.464239 96.369 -93.4856
33.706735 96.415 -93.5548
33.950987 96.467 -93.5306
34.197010 96.526 -93.4411
34.444816 96.592 -93.3189
34.694417 96.663 -93.1942
34.945827 96.736 -93.0906
35.199059 96.810 -93.0257
35.454126 96.885 -93.0141
35.711041 96.963 -93.0698
35.969818 97.042 -93.2059
36.230470 97.121 -93.4309
36.493011 97.199 -93.7411
36.757455 97.270 -94.1161
37.023814 97.333 -94.5192
37.292104 97.387 -94.9046
37.562338 97.435 -95.2300
37.834530 97.481 -95.4716
38.108695 97.530 -95.6335
38.384846 97.587 -95.7466
38.662999 97.652 -95.8568
38.943167 97.720 -96.0052
39.225365 97.785 -96.2104
39.509608 97.844 -96.4622
39.795911 97.893 -96.7287
40.084289 97.938 -96.9730
40.374756 97.985 -97.1719
40.667328 98.041 -97.3272
40.962020 98.112 -97.4627
41.258848 98.195 -97.6081
41.557827 98.286 -97.7791
41.858972 98.377 -97.9673
42.162299 98.463 -98.1437
42.467824 98.542 -98.2754
42.775564 98.617 -98.3448
43.085533 98.691 -98.3607
43.397749 98.766 -98.3551
43.712227 98.843 -98.3660
44.028983 98.919 -98.4185
44.348036 98.992 -98.5157
44.669400 99.063 -98.6437
44.993093 99.135 -98.7871
45.319131 99.212 -98.9411
45.647532 99.297 -99.1132
45.978313 99.388 -99.3132
46.311491 99.481 -99.5401
46.647083 99.573 -99.7800
46.985107 99.662 -100.0166
47.325581 99.750 -100.2507
47.668521 99.840 -100.5110
48.013947 99.932 -100.8459
48.361876 100.020 -101.2956
48.712326 100.097 -101.8610
49.065315 100.157 -102.4893
49.420863 100.198 -103.0868
49.778987 100.228 -103.5541
50.139706 100.260 -103.8266
50.503039 100.307 -103.8987
50.869005 100.375 -103.8193
51.237623 100.461 -103.6596
51.608912 100.557 -103.4776
51.982891 100.653 -103.3010
52.359580 100.742 -103.1364
52.739000 100.823 -102.9910
53.121168 100.896 -102.8876
53.506106 100.961 -102.8609
53.893833 101.017 -102.9405
54.284370 101.059 -103.1318
54.677737 101.087 -103.4107
55.073955 101.105 -103.7328
55.473043 101.121 -104.0520
55.875024 101.145 -104.3380
56.279917 101.189 -104.5825
56.687745 101.256 -104.7931
57.098527 101.343 -104.9813
57.512287 101.442 -105.1511
57.929045 101.541 -105.2988
58.348822 101.628 -105.4212
58.771642 101.698 -105.5249
59.197525 101.750 -105.6320
59.626495 101.789 -105.7756
60.058573 101.824 -105.9906
60.493782 101.868 -106.3014
60.932145 101.931 -106.7127
61.373685 102.017 -107.2037
61.818424 102.121 -107.7309
62.266386 102.234 -108.2384
62.717593 102.342 -108.6762
63.172071 102.436 -109.0198
63.629842 102.513 -109.2816
64.090930 102.573 -109.5061
64.555359 102.623 -109.7469
65.023154 102.669 -110.0378
65.494339 102.717 -110.3748
65.968938 102.772 -110.7224
66.446976 102.836 -111.0386
66.928478 102.908 -111.2988
67.413469 102.985 -111.5057
67.901975 103.060 -111.6815
68.394021 103.132 -111.8542
68.889632 103.200 -112.0472
69.388835 103.267 -112.2725
69.891655 103.336 -112.5293
70.398118 103.407 -112.8061
70.908252 103.480 -113.0895
71.422083 103.555 -113.3741
71.939636 103.629 -113.6667
72.460941 103.702 -113.9808
72.986023 103.774 -114.3251
73.514909 103.845 -114.6964
74.047629 103.916 -115.0808
74.584208 103.985 -115.4601
75.124676 104.053 -115.8198
75.669061 104.116 -116.1540
76.217390 104.176 -116.4680
76.769692 104.231 -116.7757
77.325997 104.285 -117.0928
77.886333 104.340 -117.4274
78.450730 104.397 -117.7758
79.019216 104.458 -118.1259
79.591822 104.523 -118.4654
80.168577 104.591 -118.7903
80.749512 104.663 -119.1075
81.334656 104.738 -119.4309
81.924040 104.815 -119.7732
82.517696 104.893 -120.1384
83.115653 104.971 -120.5216
83.717943 105.049 -120.9154
84.324598 105.126 -121.3170
84.935649 105.202 -121.7294
85.551128 105.275 -122.1559
86.171066 105.343 -122.5945
86.795497 105.402 -123.0381
87.424453 105.451 -123.4779
88.057967 105.489 -123.9055
88.696071 105.518 -124.3130
89.338800 105.543 -124.6994
89.986185 105.574 -125.0765
90.638262 105.614 -125.4647
91.295065 105.666 -125.8783
91.956626 105.726 -126.3175
92.622982 105.791 -126.7754
93.294166 105.857 -127.2467
93.970214 105.923 -127.7278
94.651161 105.986 -128.2124
95.337042 106.048 -128.6904
96.027894 106.108 -129.1520
96.723752 106.169 -129.5912
97.424652 106.228 -130.0072
98.130631 106.286 -130.4063
98.841726 106.342 -130.8030
99.557974 106.396 -131.2165
100.279412 106.447 -131.6613
101.006078 106.498 -132.1388
101.738010 106.548 -132.6399
102.475245 106.599 -133.1551
103.217823 106.650 -133.6807
103.965782 106.703 -134.2157
104.719161 106.756 -134.7556
105.477999 106.809 -135.2894
106.242336 106.860 -135.8034
107.012212 106.907 -136.2896
107.787666 106.951 -136.7534
108.568740 106.989 -137.2129
109.355474 107.025 -137.6889
110.147909 107.059 -138.1946
110.946086 107.092 -138.7323
111.750047 107.127 -139.2945
112.559834 107.164 -139.8695
113.375489 107.203 -140.4462
114.197055 107.243 -141.0186
115.024574 107.284 -141.5852
115.858089 107.325 -142.1441
116.697645 107.364 -142.6910
117.543284 107.401 -143.2221
118.395051 107.435 -143.7404
119.252990 107.467 -144.2568
120.117147 107.496 -144.7829
120.987565 107.524 -145.3224
121.864291 107.552 -145.8712
122.747370 107.580 -146.4242
123.636848 107.611 -146.9794
124.532771 107.641 -147.5336
125.435187 107.670 -148.0793
126.344142 107.696 -148.6126
127.259684 107.718 -149.1436
128.181860 107.736 -149.6915
129.110718 107.752 -150.2692
130.046308 107.764 -150.8742
130.988677 107.774 -151.4921
131.937875 107.782 -152.1051
132.893951 107.791 -152.6992
133.856956 107.800 -153.2678
134.826938 107.812 -153.8144
135.803950 107.825 -154.3538
136.788041 107.839 -154.9036
137.779264 107.852 -155.4710
138.777669 107.864 -156.0510
139.783309 107.875 -156.6345
140.796237 107.883 -157.2158
141.816504 107.890 -157.7908
142.844165 107.895 -158.3552
143.879273 107.898 -158.9073
144.921881 107.900 -159.4496
145.972045 107.899 -159.9850
147.029819 107.897 -160.5142
148.095257 107.895 -161.0396
149.168417 107.892 -161.5682
150.249353 107.890 -162.1068
151.338121 107.886 -162.6567
152.434780 107.880 -163.2132
153.539385 107.872 -163.7710
154.651995 107.862 -164.3263
155.772667 107.851 -164.8763
156.901460 107.839 -165.4184
158.038432 107.826 -165.9516
159.183644 107.813 -166.4764
160.337154 107.799 -166.9928
161.499023 107.784 -167.5011
162.669312 107.770 -168.0021
163.848081 107.755 -168.4986
165.035392 107.739 -168.9930
166.231306 107.724 -169.4864
167.435887 107.707 -169.9784
168.649196 107.689 -170.4692
169.871298 107.669 -170.9603
171.102255 107.647 -171.4527
172.342133 107.623 -171.9452
173.590995 107.597 -172.4341
174.848907 107.570 -172.9142
176.115934 107.543 -173.3825
177.392143 107.515 -173.8399
178.677599 107.488 -174.2899
179.972371 107.461 -174.7341
181.276525 107.434 -175.1724
182.590129 107.407 -175.6050
183.913252 107.379 -176.0336
185.245964 107.350 -176.4609
186.588332 107.320 -176.8880
187.940428 107.288 -177.3136
189.302322 107.255 -177.7354
190.674085 107.221 -178.1515
192.055788 107.185 -178.5615
193.447503 107.149 -178.9653
194.849303 107.112 -179.3617
196.261262 107.076 -179.7487
197.683452 107.039 179.8762
199.115948 107.002 179.5137
200.558824 106.965 179.1605
202.012156 106.928 178.8113
203.476019 106.891 178.4644
204.950490 106.854 178.1215
206.435646 106.818 177.7853
207.931564 106.781 177.4560
209.438322 106.743 177.1311
210.955998 106.705 176.8085
212.484672 106.665 176.4883
214.024424 106.626 176.1710
215.575333 106.586 175.8558
217.137481 106.547 175.5410
218.710948 106.508 175.2264
220.295818 106.468 174.9128
221.892172 106.429 174.6015
223.500094 106.388 174.2952
225.119668 106.347 173.9968
226.750978 106.305 173.7073
228.394109 106.261 173.4246
230.049147 106.216 173.1437
231.716178 106.169 172.8612
233.395289 106.121 172.5786
235.086567 106.071 172.3011
236.790102 106.019 172.0333
238.505980 105.967 171.7773
240.234293 105.914 171.5327
241.975130 105.863 171.2987
243.728581 105.813 171.0774
245.494739 105.763 170.8709
247.273695 105.714 170.6775
249.065542 105.665 170.4888
250.870374 105.617 170.2945
252.688284 105.568 170.0916
254.519367 105.518 169.8853
256.363720 105.467 169.6820
258.221437 105.415 169.4858
260.092616 105.361 169.2993
261.977354 105.307 169.1266
263.875750 105.252 168.9735
265.787903 105.197 168.8448
267.713911 105.141 168.7412
269.653877 105.085 168.6589
271.607900 105.031 168.5916
273.576083 104.978 168.5344
275.558528 104.928 168.4843
277.555338 104.880 168.4386
279.566619 104.835 168.3949
281.592474 104.791 168.3527
283.633009 104.750 168.3117
285.688331 104.709 168.2706
287.758546 104.670 168.2268
289.843763 104.631 168.1782
291.944090 104.592 168.1261
294.059638 104.553 168.0731
296.190515 104.514 168.0205
298.336833 104.475 167.9677
300.498705 104.437 167.9139
302.676243 104.398 167.8584
304.869559 104.359 167.8000
307.078770 104.319 167.7388
309.303989 104.278 167.6777
311.545334 104.237 167.6201
313.802919 104.196 167.5674
316.076865 104.155 167.5189
318.367288 104.112 167.4745
320.674309 104.069 167.4379
322.998047 104.026 167.4149
325.338624 103.983 167.4098
327.696162 103.940 167.4238
330.070783 103.897 167.4546
332.462612 103.855 167.4963
334.871773 103.814 167.5432
337.298392 103.774 167.5935
339.742595 103.734 167.6478
342.204510 103.697 167.7062
344.684265 103.661 167.7675
347.181989 103.627 167.8311
349.697813 103.594 167.8972
352.231868 103.562 167.9662
354.784285 103.532 168.0355
