* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -15,3 dBFS, measurement signal peak level -14,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.02.2024 22:41:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0621 ms (-21 mm, -0,84 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: PU
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 94.318 -49.1846
20.333664 94.349 -49.3319
20.481010 94.396 -49.5428
20.629424 94.455 -49.7893
20.778913 94.525 -50.0490
20.929486 94.603 -50.3090
21.081150 94.689 -50.5643
21.233912 94.782 -50.8168
21.387782 94.882 -51.0722
21.542767 94.988 -51.3383
21.698874 95.099 -51.6224
21.856113 95.212 -51.9306
22.014492 95.327 -52.2659
22.174018 95.441 -52.6282
22.334700 95.553 -53.0142
22.496546 95.660 -53.4176
22.659566 95.763 -53.8304
22.823766 95.860 -54.2437
22.989157 95.952 -54.6487
23.155745 96.040 -55.0382
23.323542 96.126 -55.4075
23.492554 96.211 -55.7547
23.662790 96.295 -56.0811
23.834261 96.382 -56.3909
24.006973 96.471 -56.6903
24.180938 96.564 -56.9866
24.356163 96.659 -57.2870
24.532658 96.756 -57.5970
24.710431 96.855 -57.9201
24.889493 96.955 -58.2569
25.069853 97.053 -58.6055
25.251519 97.150 -58.9618
25.434502 97.244 -59.3205
25.618811 97.335 -59.6760
25.804456 97.425 -60.0239
25.991445 97.512 -60.3612
26.179790 97.599 -60.6874
26.369500 97.686 -61.0046
26.560584 97.774 -61.3164
26.753053 97.862 -61.6283
26.946917 97.953 -61.9456
27.142185 98.044 -62.2733
27.338869 98.137 -62.6149
27.536977 98.231 -62.9721
27.736522 98.324 -63.3442
27.937512 98.418 -63.7294
28.139959 98.510 -64.1240
28.343872 98.601 -64.5245
28.549264 98.690 -64.9273
28.756143 98.778 -65.3298
28.964522 98.865 -65.7305
29.174411 98.951 -66.1294
29.385821 99.035 -66.5275
29.598763 99.118 -66.9267
29.813248 99.201 -67.3291
30.029287 99.283 -67.7370
30.246891 99.365 -68.1516
30.466073 99.447 -68.5737
30.686842 99.529 -69.0027
30.909212 99.611 -69.4371
31.133193 99.693 -69.8742
31.358797 99.776 -70.3108
31.586035 99.860 -70.7432
31.814921 99.944 -71.1678
32.045465 100.028 -71.5817
32.277680 100.113 -71.9828
32.511577 100.198 -72.3700
32.747169 100.282 -72.7440
32.984469 100.366 -73.1067
33.223488 100.450 -73.4611
33.464239 100.534 -73.8111
33.706735 100.618 -74.1612
33.950987 100.702 -74.5156
34.197010 100.785 -74.8782
34.444816 100.869 -75.2516
34.694417 100.953 -75.6372
34.945827 101.037 -76.0350
35.199059 101.120 -76.4432
35.454126 101.203 -76.8592
35.711041 101.285 -77.2794
35.969818 101.367 -77.7009
36.230470 101.447 -78.1211
36.493011 101.527 -78.5391
36.757455 101.606 -78.9553
37.023814 101.685 -79.3712
37.292104 101.763 -79.7882
37.562338 101.841 -80.2070
37.834530 101.918 -80.6270
38.108695 101.994 -81.0458
38.384846 102.069 -81.4604
38.662999 102.144 -81.8683
38.943167 102.219 -82.2692
39.225365 102.296 -82.6654
39.509608 102.373 -83.0622
39.795911 102.451 -83.4662
40.084289 102.529 -83.8833
40.374756 102.606 -84.3171
40.667328 102.682 -84.7673
40.962020 102.756 -85.2300
41.258848 102.828 -85.6997
41.557827 102.899 -86.1709
41.858972 102.970 -86.6397
42.162299 103.041 -87.1049
42.467824 103.113 -87.5667
42.775564 103.185 -88.0258
43.085533 103.258 -88.4820
43.397749 103.331 -88.9335
43.712227 103.403 -89.3777
44.028983 103.475 -89.8127
44.348036 103.546 -90.2382
44.669400 103.618 -90.6567
44.993093 103.688 -91.0726
45.319131 103.757 -91.4921
45.647532 103.825 -91.9214
45.978313 103.889 -92.3665
46.311491 103.950 -92.8322
46.647083 104.009 -93.3215
46.985107 104.064 -93.8350
47.325581 104.119 -94.3695
47.668521 104.174 -94.9183
48.013947 104.231 -95.4712
48.361876 104.292 -96.0168
48.712326 104.358 -96.5447
49.065315 104.428 -97.0470
49.420863 104.502 -97.5202
49.778987 104.577 -97.9648
50.139706 104.652 -98.3849
50.503039 104.724 -98.7880
50.869005 104.792 -99.1838
51.237623 104.857 -99.5833
51.608912 104.920 -99.9972
51.982891 104.981 -100.4335
52.359580 105.043 -100.8954
52.739000 105.106 -101.3805
53.121168 105.169 -101.8811
53.506106 105.232 -102.3866
53.893833 105.294 -102.8865
54.284370 105.353 -103.3731
54.677737 105.410 -103.8433
55.073955 105.465 -104.2989
55.473043 105.518 -104.7463
55.875024 105.570 -105.1945
56.279917 105.623 -105.6529
56.687745 105.677 -106.1285
57.098527 105.731 -106.6232
57.512287 105.786 -107.1341
57.929045 105.839 -107.6553
58.348822 105.891 -108.1810
58.771642 105.942 -108.7079
59.197525 105.992 -109.2361
59.626495 106.042 -109.7665
60.058573 106.092 -110.2985
60.493782 106.143 -110.8295
60.932145 106.195 -111.3560
61.373685 106.249 -111.8759
61.818424 106.304 -112.3892
62.266386 106.357 -112.8971
62.717593 106.408 -113.4012
63.172071 106.456 -113.9036
63.629842 106.501 -114.4080
64.090930 106.544 -114.9198
64.555359 106.586 -115.4436
65.023154 106.628 -115.9793
65.494339 106.669 -116.5209
65.968938 106.711 -117.0584
66.446976 106.752 -117.5841
66.928478 106.794 -118.0972
67.413469 106.836 -118.6040
67.901975 106.878 -119.1140
68.394021 106.918 -119.6344
68.889632 106.957 -120.1665
69.388835 106.994 -120.7071
69.891655 107.029 -121.2501
70.398118 107.062 -121.7901
70.908252 107.095 -122.3236
71.422083 107.126 -122.8501
71.939636 107.157 -123.3712
72.460941 107.188 -123.8895
72.986023 107.218 -124.4073
73.514909 107.249 -124.9249
74.047629 107.280 -125.4418
74.584208 107.312 -125.9584
75.124676 107.343 -126.4766
75.669061 107.373 -126.9990
76.217390 107.401 -127.5269
76.769692 107.427 -128.0590
77.325997 107.452 -128.5917
77.886333 107.475 -129.1212
78.450730 107.497 -129.6446
79.019216 107.520 -130.1610
79.591822 107.543 -130.6715
80.168577 107.566 -131.1782
80.749512 107.588 -131.6846
81.334656 107.610 -132.1948
81.924040 107.630 -132.7112
82.517696 107.649 -133.2334
83.115653 107.668 -133.7575
83.717943 107.686 -134.2783
84.324598 107.704 -134.7915
84.935649 107.722 -135.2950
85.551128 107.738 -135.7892
86.171066 107.753 -136.2766
86.795497 107.767 -136.7608
87.424453 107.779 -137.2449
88.057967 107.791 -137.7305
88.696071 107.803 -138.2169
89.338800 107.814 -138.7024
89.986185 107.825 -139.1839
90.638262 107.835 -139.6585
91.295065 107.843 -140.1245
91.956626 107.850 -140.5828
92.622982 107.856 -141.0363
93.294166 107.862 -141.4884
93.970214 107.867 -141.9416
94.651161 107.873 -142.3973
95.337042 107.879 -142.8564
96.027894 107.884 -143.3194
96.723752 107.888 -143.7857
97.424652 107.892 -144.2529
98.130631 107.895 -144.7166
98.841726 107.897 -145.1734
99.557974 107.899 -145.6228
100.279412 107.901 -146.0675
101.006078 107.901 -146.5102
101.738010 107.901 -146.9511
102.475245 107.901 -147.3873
103.217823 107.900 -147.8157
103.965782 107.900 -148.2356
104.719161 107.898 -148.6488
105.477999 107.895 -149.0577
106.242336 107.891 -149.4631
107.012212 107.886 -149.8641
107.787666 107.882 -150.2605
108.568740 107.877 -150.6538
109.355474 107.872 -151.0467
110.147909 107.867 -151.4396
110.946086 107.862 -151.8304
111.750047 107.856 -152.2174
112.559834 107.851 -152.6015
113.375489 107.846 -152.9858
114.197055 107.839 -153.3719
115.024574 107.832 -153.7579
115.858089 107.824 -154.1413
116.697645 107.815 -154.5206
117.543284 107.806 -154.8956
118.395051 107.796 -155.2663
119.252990 107.786 -155.6307
120.117147 107.774 -155.9866
120.987565 107.761 -156.3335
121.864291 107.747 -156.6729
122.747370 107.734 -157.0068
123.636848 107.721 -157.3378
124.532771 107.709 -157.6688
125.435187 107.699 -157.9996
126.344142 107.690 -158.3266
127.259684 107.681 -158.6467
128.181860 107.672 -158.9597
129.110718 107.662 -159.2685
130.046308 107.650 -159.5762
130.988677 107.636 -159.8844
131.937875 107.619 -160.1931
132.893951 107.601 -160.5028
133.856956 107.581 -160.8147
134.826938 107.561 -161.1286
135.803950 107.543 -161.4416
136.788041 107.527 -161.7495
137.779264 107.514 -162.0496
138.777669 107.503 -162.3420
139.783309 107.493 -162.6285
140.796237 107.483 -162.9119
141.816504 107.471 -163.1944
142.844165 107.457 -163.4758
143.879273 107.443 -163.7548
144.921881 107.427 -164.0294
145.972045 107.411 -164.2982
147.029819 107.395 -164.5613
148.095257 107.379 -164.8196
149.168417 107.362 -165.0734
150.249353 107.343 -165.3223
151.338121 107.324 -165.5657
152.434780 107.305 -165.8042
153.539385 107.286 -166.0388
154.651995 107.266 -166.2707
155.772667 107.246 -166.5003
156.901460 107.227 -166.7273
158.038432 107.208 -166.9515
159.183644 107.189 -167.1728
160.337154 107.171 -167.3921
161.499023 107.153 -167.6099
162.669312 107.135 -167.8264
163.848081 107.116 -168.0414
165.035392 107.097 -168.2546
166.231306 107.078 -168.4652
167.435887 107.059 -168.6725
168.649196 107.040 -168.8751
169.871298 107.020 -169.0724
171.102255 106.999 -169.2642
172.342133 106.978 -169.4509
173.590995 106.958 -169.6336
174.848907 106.937 -169.8134
176.115934 106.917 -169.9921
177.392143 106.897 -170.1700
178.677599 106.877 -170.3463
179.972371 106.856 -170.5199
181.276525 106.836 -170.6896
182.590129 106.816 -170.8546
183.913252 106.796 -171.0142
185.245964 106.775 -171.1689
186.588332 106.755 -171.3198
187.940428 106.734 -171.4684
189.302322 106.713 -171.6152
190.674085 106.693 -171.7594
192.055788 106.673 -171.9004
193.447503 106.653 -172.0390
194.849303 106.632 -172.1755
196.261262 106.611 -172.3106
197.683452 106.590 -172.4445
199.115948 106.568 -172.5767
200.558824 106.547 -172.7077
202.012156 106.526 -172.8381
203.476019 106.506 -172.9677
204.950490 106.487 -173.0942
206.435646 106.468 -173.2145
207.931564 106.450 -173.3265
209.438322 106.432 -173.4313
210.955998 106.414 -173.5306
212.484672 106.395 -173.6260
214.024424 106.377 -173.7178
215.575333 106.358 -173.8066
217.137481 106.340 -173.8933
218.710948 106.321 -173.9793
220.295818 106.302 -174.0660
221.892172 106.284 -174.1531
223.500094 106.267 -174.2389
225.119668 106.250 -174.3216
226.750978 106.234 -174.4001
228.394109 106.218 -174.4738
230.049147 106.203 -174.5427
231.716178 106.188 -174.6074
233.395289 106.174 -174.6696
235.086567 106.161 -174.7323
236.790102 106.151 -174.7992
238.505980 106.143 -174.8717
240.234293 106.137 -174.9489
241.975130 106.135 -175.0305
243.728581 106.134 -175.1185
245.494739 106.136 -175.2163
247.273695 106.140 -175.3273
249.065542 106.147 -175.4567
250.870374 106.155 -175.6122
252.688284 106.165 -175.8047
254.519367 106.175 -176.0466
256.363720 106.185 -176.3492
258.221437 106.192 -176.7227
260.092616 106.192 -177.1732
261.977354 106.182 -177.6986
263.875750 106.156 -178.2821
265.787903 106.110 -178.8892
267.713911 106.041 -179.4698
269.653877 105.950 -179.9672
271.607900 105.843 179.6689
273.576083 105.725 179.4706
275.558528 105.606 179.4435
277.555338 105.493 179.5675
279.566619 105.392 179.8055
281.592474 105.305 -179.8850
283.633009 105.234 -179.5423
285.688331 105.177 -179.1955
287.758546 105.133 -178.8648
289.843763 105.097 -178.5622
291.944090 105.069 -178.2942
294.059638 105.046 -178.0628
296.190515 105.027 -177.8661
298.336833 105.010 -177.6998
300.498705 104.994 -177.5574
302.676243 104.979 -177.4316
304.869559 104.965 -177.3155
307.078770 104.952 -177.2063
309.303989 104.939 -177.1061
311.545334 104.925 -177.0194
313.802919 104.909 -176.9465
316.076865 104.892 -176.8829
318.367288 104.873 -176.8227
320.674309 104.854 -176.7599
322.998047 104.834 -176.6908
325.338624 104.815 -176.6143
327.696162 104.796 -176.5333
