* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 09.02.2025 20:28:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Panda
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 82.386 -72.2326
20.287556 82.397 -72.2690
20.434568 82.417 -72.3137
20.582645 82.449 -72.3605
20.731796 82.496 -72.4200
20.882027 82.562 -72.5211
21.033346 82.647 -72.7038
21.185763 82.751 -73.0095
21.339284 82.869 -73.4705
21.493917 82.994 -74.1003
21.649671 83.118 -74.8897
21.806553 83.234 -75.8062
21.964572 83.335 -76.7951
22.123737 83.416 -77.7865
22.284054 83.476 -78.7008
22.445534 83.516 -79.4571
22.608183 83.542 -79.9827
22.772012 83.561 -80.2218
22.937027 83.584 -80.1452
23.103238 83.620 -79.7581
23.270654 83.678 -79.1028
23.439282 83.764 -78.2557
23.609133 83.878 -77.3152
23.780215 84.015 -76.3844
23.952536 84.164 -75.5545
24.126106 84.315 -74.8908
24.300934 84.455 -74.4293
24.477028 84.575 -74.1783
24.654399 84.668 -74.1260
24.833055 84.731 -74.2499
25.013005 84.766 -74.5250
25.194260 84.778 -74.9305
25.376828 84.772 -75.4536
25.560719 84.756 -76.0897
25.745942 84.737 -76.8394
25.932508 84.721 -77.7019
26.120426 84.710 -78.6684
26.309705 84.704 -79.7152
26.500356 84.702 -80.7998
26.692388 84.701 -81.8616
26.885812 84.701 -82.8268
27.080638 84.701 -83.6179
27.276876 84.704 -84.1652
27.474535 84.715 -84.4208
27.673627 84.741 -84.3697
27.874161 84.790 -84.0372
28.076149 84.863 -83.4881
28.279600 84.961 -82.8158
28.484526 85.079 -82.1234
28.690937 85.205 -81.5036
28.898843 85.330 -81.0218
29.108256 85.442 -80.7094
29.319186 85.532 -80.5653
29.531645 85.598 -80.5645
29.745644 85.639 -80.6691
29.961193 85.661 -80.8393
30.178304 85.672 -81.0425
30.396989 85.683 -81.2582
30.617258 85.701 -81.4797
30.839123 85.734 -81.7104
31.062596 85.785 -81.9578
31.287688 85.852 -82.2278
31.514412 85.933 -82.5193
31.742778 86.021 -82.8245
31.972800 86.113 -83.1304
32.204488 86.203 -83.4236
32.437855 86.289 -83.6946
32.672913 86.368 -83.9403
32.909674 86.440 -84.1639
33.148151 86.505 -84.3731
33.388356 86.564 -84.5765
33.630302 86.617 -84.7805
33.874001 86.667 -84.9877
34.119466 86.715 -85.1968
34.366710 86.764 -85.4040
34.615745 86.817 -85.6054
34.866585 86.876 -85.7982
35.119243 86.940 -85.9805
35.373731 87.009 -86.1507
35.630064 87.080 -86.3055
35.888254 87.152 -86.4397
36.148315 87.223 -86.5469
36.410261 87.291 -86.6220
36.674104 87.356 -86.6641
36.939860 87.421 -86.6793
37.207542 87.487 -86.6803
37.477163 87.555 -86.6845
37.748738 87.626 -86.7094
38.022281 87.698 -86.7687
38.297806 87.770 -86.8684
38.575327 87.840 -87.0067
38.854860 87.907 -87.1749
39.136419 87.968 -87.3601
39.420017 88.024 -87.5468
39.705671 88.074 -87.7184
39.993395 88.118 -87.8579
40.283203 88.157 -87.9500
40.575112 88.196 -87.9852
40.869136 88.239 -87.9658
41.165290 88.289 -87.9110
41.463591 88.349 -87.8567
41.764053 88.420 -87.8480
42.066693 88.498 -87.9260
42.371525 88.575 -88.1121
42.678567 88.647 -88.3994
42.987834 88.710 -88.7545
43.299341 88.765 -89.1287
43.613106 88.815 -89.4738
43.929145 88.867 -89.7552
44.247473 88.924 -89.9570
44.568109 88.988 -90.0783
44.891068 89.055 -90.1272
45.216367 89.121 -90.1198
45.544023 89.180 -90.0885
45.874054 89.230 -90.0909
46.206476 89.264 -90.2078
46.541307 89.276 -90.5215
46.878565 89.255 -91.0759
47.218266 89.193 -91.8369
47.560429 89.088 -92.6750
47.905072 88.956 -93.3866
48.252212 88.829 -93.7572
48.601867 88.753 -93.6564
48.954056 88.770 -93.1167
49.308798 88.896 -92.3361
49.666109 89.111 -91.5775
50.026010 89.370 -91.0343
50.388520 89.625 -90.7632
50.753656 89.845 -90.7098
51.121437 90.017 -90.7793
51.491884 90.148 -90.8969
51.865016 90.250 -91.0326
52.240851 90.337 -91.1913
52.619410 90.417 -91.3878
53.000712 90.494 -91.6263
53.384777 90.570 -91.8983
53.771625 90.645 -92.1916
54.161276 90.716 -92.4971
54.553751 90.780 -92.8070
54.949070 90.837 -93.1078
55.347254 90.886 -93.3779
55.748323 90.931 -93.5928
56.152298 90.978 -93.7363
56.559201 91.029 -93.8072
56.969052 91.088 -93.8191
57.381873 91.152 -93.7959
57.797686 91.221 -93.7671
58.216512 91.289 -93.7637
58.638373 91.357 -93.8105
59.063291 91.420 -93.9162
59.491288 91.480 -94.0682
59.922386 91.539 -94.2403
60.356608 91.601 -94.4122
60.793977 91.668 -94.5823
61.234515 91.739 -94.7626
61.678246 91.806 -94.9559
62.125192 91.864 -95.1392
62.575377 91.911 -95.2733
63.028824 91.957 -95.3358
63.485557 92.012 -95.3481
63.945599 92.084 -95.3681
64.408975 92.172 -95.4492
64.875709 92.267 -95.5996
65.345825 92.360 -95.7770
65.819348 92.444 -95.9200
66.296302 92.515 -95.9887
66.776713 92.573 -95.9842
67.260604 92.618 -95.9430
67.748002 92.654 -95.9165
68.238932 92.685 -95.9492
68.733420 92.719 -96.0619
69.231490 92.762 -96.2428
69.733170 92.818 -96.4531
70.238485 92.885 -96.6474
70.747463 92.962 -96.7963
71.260128 93.039 -96.8972
71.776508 93.111 -96.9674
72.296630 93.173 -97.0288
72.820521 93.227 -97.0973
73.348209 93.277 -97.1812
73.879720 93.331 -97.2820
74.415083 93.391 -97.3947
74.954326 93.456 -97.5096
75.497475 93.522 -97.6180
76.044561 93.586 -97.7183
76.595612 93.646 -97.8182
77.150655 93.703 -97.9302
77.709720 93.759 -98.0666
78.272837 93.818 -98.2357
78.840034 93.879 -98.4382
79.411342 93.942 -98.6650
79.986789 94.005 -98.8973
80.566406 94.066 -99.1144
81.150224 94.129 -99.3040
81.738272 94.194 -99.4668
82.330581 94.262 -99.6129
82.927182 94.333 -99.7549
83.528107 94.403 -99.8997
84.133386 94.472 -100.0445
84.743051 94.538 -100.1786
85.357134 94.602 -100.2910
85.975667 94.665 -100.3797
86.598682 94.728 -100.4551
87.226212 94.787 -100.5359
87.858289 94.842 -100.6391
88.494946 94.892 -100.7752
89.136217 94.939 -100.9459
89.782135 94.986 -101.1470
90.432733 95.038 -101.3722
91.088046 95.098 -101.6157
91.748108 95.165 -101.8710
92.412952 95.238 -102.1280
93.082615 95.314 -102.3727
93.757130 95.389 -102.5941
94.436533 95.460 -102.7896
95.120859 95.528 -102.9640
95.810144 95.593 -103.1238
96.504423 95.661 -103.2724
97.203734 95.735 -103.4075
97.908112 95.813 -103.5221
98.617595 95.892 -103.6099
99.332219 95.966 -103.6754
100.052021 96.035 -103.7381
100.777039 96.100 -103.8240
101.507311 96.165 -103.9454
102.242875 96.230 -104.0918
102.983769 96.298 -104.2418
103.730032 96.370 -104.3826
104.481702 96.444 -104.5150
105.238820 96.519 -104.6432
106.001424 96.591 -104.7708
106.769554 96.658 -104.9072
107.543250 96.719 -105.0678
108.322553 96.773 -105.2619
109.107503 96.824 -105.4840
109.898141 96.874 -105.7171
110.694508 96.927 -105.9442
111.496646 96.983 -106.1585
112.304596 97.043 -106.3653
113.118402 97.106 -106.5751
113.938104 97.172 -106.7959
114.763747 97.241 -107.0309
115.595372 97.309 -107.2778
116.433024 97.376 -107.5300
117.276746 97.440 -107.7800
118.126581 97.502 -108.0231
118.982575 97.564 -108.2579
119.844772 97.626 -108.4848
120.713217 97.689 -108.7045
121.587954 97.751 -108.9130
122.469031 97.815 -109.1009
123.356492 97.881 -109.2616
124.250384 97.950 -109.4024
125.150753 98.020 -109.5453
126.057647 98.091 -109.7135
126.971113 98.160 -109.9171
127.891198 98.228 -110.1498
128.817950 98.293 -110.3931
129.751418 98.356 -110.6188
130.691651 98.417 -110.7968
131.638696 98.479 -110.9090
132.592604 98.542 -110.9618
133.553425 98.607 -110.9842
134.521208 98.673 -111.0186
135.496004 98.740 -111.1125
136.477864 98.810 -111.3057
137.466839 98.881 -111.6063
138.462981 98.953 -111.9830
139.466340 99.024 -112.3896
140.476971 99.092 -112.7891
141.494925 99.158 -113.1576
142.520256 99.223 -113.4807
143.553016 99.286 -113.7552
144.593260 99.349 -113.9884
145.641043 99.412 -114.1944
146.696418 99.475 -114.3890
147.759441 99.541 -114.5879
148.830166 99.607 -114.8033
149.908651 99.674 -115.0402
150.994951 99.741 -115.2968
152.089123 99.808 -115.5678
153.191223 99.874 -115.8483
154.301310 99.941 -116.1372
155.419441 100.006 -116.4369
156.545674 100.070 -116.7490
157.680069 100.132 -117.0682
158.822683 100.194 -117.3864
159.973578 100.256 -117.6987
161.132813 100.317 -118.0045
162.300447 100.379 -118.3053
163.476543 100.441 -118.6040
164.661162 100.503 -118.9047
165.854364 100.566 -119.2116
167.056213 100.629 -119.5270
168.266772 100.693 -119.8501
169.486102 100.758 -120.1787
170.714268 100.824 -120.5118
171.951334 100.889 -120.8506
173.197364 100.954 -121.1968
174.452424 101.017 -121.5515
175.716578 101.080 -121.9140
176.989893 101.143 -122.2816
178.272434 101.205 -122.6506
179.564270 101.267 -123.0174
180.865467 101.328 -123.3804
182.176092 101.388 -123.7410
183.496216 101.448 -124.1028
184.825905 101.507 -124.4698
186.165229 101.566 -124.8443
187.514259 101.625 -125.2268
188.873065 101.683 -125.6170
190.241717 101.740 -126.0144
191.620287 101.797 -126.4189
193.008847 101.852 -126.8297
194.407468 101.906 -127.2455
195.816225 101.959 -127.6647
197.235190 102.011 -128.0847
198.664438 102.063 -128.5039
200.104042 102.115 -128.9219
201.554078 102.169 -129.3400
203.014622 102.224 -129.7607
204.485750 102.279 -130.1863
205.967538 102.333 -130.6178
207.460064 102.386 -131.0548
208.963405 102.439 -131.4976
210.477640 102.490 -131.9469
212.002848 102.541 -132.4023
213.539108 102.591 -132.8625
215.086500 102.640 -133.3267
216.645105 102.688 -133.7951
218.215005 102.735 -134.2672
219.796281 102.780 -134.7425
221.389015 102.825 -135.2213
222.993292 102.869 -135.7057
224.609193 102.913 -136.1963
226.236804 102.956 -136.6917
227.876209 102.998 -137.1890
229.527494 103.038 -137.6868
231.190745 103.077 -138.1847
232.866048 103.114 -138.6833
234.553491 103.150 -139.1823
236.253163 103.185 -139.6811
237.965150 103.220 -140.1804
239.689544 103.255 -140.6826
241.426433 103.291 -141.1905
243.175909 103.326 -141.7050
244.938062 103.361 -142.2251
246.712984 103.395 -142.7490
248.500768 103.429 -143.2747
250.301507 103.463 -143.8008
252.115295 103.495 -144.3280
253.942226 103.525 -144.8590
255.782396 103.553 -145.3943
257.635901 103.579 -145.9324
259.502837 103.604 -146.4731
261.383301 103.627 -147.0180
263.277392 103.649 -147.5674
265.185209 103.670 -148.1205
267.106850 103.689 -148.6772
269.042417 103.707 -149.2389
270.992009 103.722 -149.8076
272.955729 103.736 -150.3840
274.933678 103.749 -150.9657
276.925961 103.760 -151.5497
278.932681 103.769 -152.1346
280.953942 103.776 -152.7210
282.989850 103.782 -153.3103
285.040511 103.785 -153.9034
287.106032 103.787 -154.5013
289.186521 103.786 -155.1039
291.282086 103.783 -155.7088
293.392836 103.776 -156.3091
295.518881 103.767 -156.8946
297.660333 103.754 -157.4552
299.817302 103.739 -157.9856
301.989902 103.720 -158.4865
304.178245 103.700 -158.9652
306.382446 103.680 -159.4305
308.602620 103.662 -159.8870
310.838882 103.647 -160.3344
313.091348 103.635 -160.7697
315.360137 103.625 -161.1931
317.645367 103.616 -161.6092
319.947156 103.607 -162.0269
322.265625 103.596 -162.4551
324.600895 103.584 -162.8983
326.953086 103.570 -163.3541
329.322323 103.554 -163.8158
331.708729 103.536 -164.2784
334.112427 103.517 -164.7402
336.533543 103.496 -165.2022
338.972204 103.477 -165.6668
