* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17.11.2024 19:53:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tesla New
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.841 -46.8613
20.287556 95.880 -46.9785
20.434568 95.937 -47.1496
20.582645 96.009 -47.3572
20.731796 96.092 -47.5866
20.882027 96.180 -47.8270
21.033346 96.273 -48.0711
21.185763 96.366 -48.3133
21.339284 96.459 -48.5494
21.493917 96.551 -48.7763
21.649671 96.642 -48.9920
21.806553 96.730 -49.1965
21.964572 96.818 -49.3914
22.123737 96.906 -49.5812
22.284054 96.993 -49.7721
22.445534 97.081 -49.9723
22.608183 97.169 -50.1906
22.772012 97.258 -50.4357
22.937027 97.348 -50.7145
23.103238 97.436 -51.0311
23.270654 97.524 -51.3865
23.439282 97.610 -51.7773
23.609133 97.694 -52.1966
23.780215 97.775 -52.6343
23.952536 97.854 -53.0784
24.126106 97.931 -53.5163
24.300934 98.008 -53.9363
24.477028 98.086 -54.3292
24.654399 98.167 -54.6888
24.833055 98.250 -55.0133
25.013005 98.338 -55.3044
25.194260 98.431 -55.5673
25.376828 98.528 -55.8096
25.560719 98.628 -56.0398
25.745942 98.730 -56.2663
25.932508 98.832 -56.4963
26.120426 98.934 -56.7351
26.309705 99.033 -56.9859
26.500356 99.128 -57.2501
26.692388 99.219 -57.5278
26.885812 99.306 -57.8177
27.080638 99.389 -58.1184
27.276876 99.468 -58.4280
27.474535 99.546 -58.7445
27.673627 99.621 -59.0660
27.874161 99.696 -59.3901
28.076149 99.772 -59.7147
28.279600 99.849 -60.0374
28.484526 99.927 -60.3559
28.690937 100.008 -60.6682
28.898843 100.092 -60.9725
29.108256 100.178 -61.2678
29.319186 100.265 -61.5534
29.531645 100.354 -61.8289
29.745644 100.443 -62.0941
29.961193 100.532 -62.3487
30.178304 100.620 -62.5928
30.396989 100.706 -62.8269
30.617258 100.790 -63.0523
30.839123 100.873 -63.2718
31.062596 100.955 -63.4892
31.287688 101.036 -63.7096
31.514412 101.116 -63.9385
31.742778 101.194 -64.1802
31.972800 101.271 -64.4375
32.204488 101.346 -64.7100
32.437855 101.418 -64.9943
32.672913 101.487 -65.2842
32.909674 101.554 -65.5723
33.148151 101.618 -65.8511
33.388356 101.681 -66.1156
33.630302 101.745 -66.3644
33.874001 101.810 -66.6003
34.119466 101.879 -66.8298
34.366710 101.951 -67.0623
34.615745 102.028 -67.3072
34.866585 102.108 -67.5723
35.119243 102.191 -67.8617
35.373731 102.276 -68.1754
35.630064 102.362 -68.5086
35.888254 102.448 -68.8538
36.148315 102.535 -69.2019
36.410261 102.622 -69.5446
36.674104 102.708 -69.8758
36.939860 102.795 -70.1930
37.207542 102.882 -70.4966
37.477163 102.967 -70.7892
37.748738 103.050 -71.0737
38.022281 103.130 -71.3514
38.297806 103.205 -71.6207
38.575327 103.274 -71.8779
38.854860 103.340 -72.1183
39.136419 103.403 -72.3392
39.420017 103.467 -72.5424
39.705671 103.534 -72.7360
39.993395 103.605 -72.9335
40.283203 103.682 -73.1510
40.575112 103.764 -73.4034
40.869136 103.848 -73.6996
41.165290 103.931 -74.0407
41.463591 104.012 -74.4190
41.764053 104.087 -74.8206
42.066693 104.156 -75.2280
42.371525 104.219 -75.6234
42.678567 104.277 -75.9919
42.987834 104.332 -76.3229
43.299341 104.388 -76.6121
43.613106 104.446 -76.8616
43.929145 104.509 -77.0799
44.247473 104.578 -77.2791
44.568109 104.653 -77.4720
44.891068 104.732 -77.6677
45.216367 104.815 -77.8705
45.544023 104.898 -78.0797
45.874054 104.982 -78.2939
46.206476 105.065 -78.5144
46.541307 105.147 -78.7471
46.878565 105.226 -79.0005
47.218266 105.300 -79.2798
47.560429 105.367 -79.5816
47.905072 105.426 -79.8917
48.252212 105.477 -80.1899
48.601867 105.524 -80.4573
48.954056 105.571 -80.6855
49.308798 105.625 -80.8800
49.666109 105.687 -81.0582
50.026010 105.758 -81.2411
50.388520 105.837 -81.4451
50.753656 105.919 -81.6773
51.121437 106.002 -81.9359
51.491884 106.082 -82.2139
51.865016 106.159 -82.5039
52.240851 106.233 -82.8002
52.619410 106.304 -83.0988
53.000712 106.372 -83.3947
53.384777 106.440 -83.6793
53.771625 106.507 -83.9402
54.161276 106.575 -84.1648
54.553751 106.645 -84.3465
54.949070 106.719 -84.4921
55.347254 106.796 -84.6232
55.748323 106.876 -84.7710
56.152298 106.954 -84.9641
56.559201 107.026 -85.2167
56.969052 107.091 -85.5240
57.381873 107.150 -85.8667
57.797686 107.204 -86.2220
58.216512 107.258 -86.5730
58.638373 107.316 -86.9130
59.063291 107.378 -87.2415
59.491288 107.444 -87.5589
59.922386 107.511 -87.8630
60.356608 107.577 -88.1496
60.793977 107.642 -88.4174
61.234515 107.707 -88.6700
61.678246 107.772 -88.9151
62.125192 107.836 -89.1607
62.575377 107.900 -89.4108
63.028824 107.964 -89.6649
63.485557 108.027 -89.9205
63.945599 108.091 -90.1773
64.408975 108.155 -90.4387
64.875709 108.220 -90.7096
65.345825 108.285 -90.9926
65.819348 108.350 -91.2856
66.296302 108.415 -91.5832
66.776713 108.480 -91.8793
67.260604 108.545 -92.1692
67.748002 108.609 -92.4504
68.238932 108.672 -92.7223
68.733420 108.735 -92.9858
69.231490 108.797 -93.2441
69.733170 108.859 -93.5019
70.238485 108.922 -93.7632
70.747463 108.985 -94.0306
71.260128 109.049 -94.3035
71.776508 109.113 -94.5800
72.296630 109.177 -94.8574
72.820521 109.240 -95.1331
73.348209 109.303 -95.4053
73.879720 109.366 -95.6732
74.415083 109.428 -95.9377
74.954326 109.490 -96.2008
75.497475 109.552 -96.4640
76.044561 109.613 -96.7278
76.595612 109.674 -96.9913
77.150655 109.733 -97.2535
77.709720 109.793 -97.5138
78.272837 109.854 -97.7725
78.840034 109.915 -98.0306
79.411342 109.976 -98.2898
79.986789 110.038 -98.5518
80.566406 110.100 -98.8183
81.150224 110.162 -99.0902
81.738272 110.223 -99.3677
82.330581 110.285 -99.6500
82.927182 110.345 -99.9353
83.528107 110.405 -100.2214
84.133386 110.465 -100.5062
84.743051 110.525 -100.7883
85.357134 110.585 -101.0656
85.975667 110.644 -101.3360
86.598682 110.704 -101.5974
87.226212 110.763 -101.8497
87.858289 110.823 -102.0957
88.494946 110.883 -102.3411
89.136217 110.943 -102.5920
89.782135 111.004 -102.8533
90.432733 111.066 -103.1271
91.088046 111.129 -103.4134
91.748108 111.193 -103.7100
92.412952 111.255 -104.0128
93.082615 111.317 -104.3165
93.757130 111.377 -104.6170
94.436533 111.436 -104.9141
95.120859 111.493 -105.2104
95.810144 111.551 -105.5096
96.504423 111.608 -105.8133
97.203734 111.665 -106.1200
97.908112 111.723 -106.4263
98.617595 111.781 -106.7287
99.332219 111.838 -107.0250
100.052021 111.895 -107.3146
100.777039 111.951 -107.5977
101.507311 112.007 -107.8767
102.242875 112.061 -108.1555
102.983769 112.115 -108.4386
103.730032 112.169 -108.7292
104.481702 112.223 -109.0290
105.238820 112.277 -109.3374
106.001424 112.332 -109.6524
106.769554 112.386 -109.9708
107.543250 112.441 -110.2885
108.322553 112.495 -110.6025
109.107503 112.549 -110.9114
109.898141 112.603 -111.2165
110.694508 112.657 -111.5208
111.496646 112.711 -111.8278
112.304596 112.765 -112.1395
113.118402 112.820 -112.4555
113.938104 112.875 -112.7746
114.763747 112.930 -113.0954
115.595372 112.985 -113.4173
116.433024 113.041 -113.7403
117.276746 113.097 -114.0653
118.126581 113.152 -114.3937
118.982575 113.207 -114.7258
119.844772 113.261 -115.0611
120.713217 113.315 -115.3983
121.587954 113.368 -115.7360
122.469031 113.421 -116.0735
123.356492 113.473 -116.4112
124.250384 113.525 -116.7502
125.150753 113.577 -117.0903
126.057647 113.628 -117.4302
126.971113 113.679 -117.7696
127.891198 113.730 -118.1102
128.817950 113.781 -118.4527
129.751418 113.830 -118.7959
130.691651 113.880 -119.1389
131.638696 113.929 -119.4815
132.592604 113.978 -119.8238
133.553425 114.027 -120.1656
134.521208 114.076 -120.5061
135.496004 114.124 -120.8442
136.477864 114.171 -121.1808
137.466839 114.219 -121.5181
138.462981 114.265 -121.8590
139.466340 114.311 -122.2060
140.476971 114.357 -122.5604
141.494925 114.402 -122.9221
142.520256 114.447 -123.2897
143.553016 114.490 -123.6612
144.593260 114.533 -124.0337
145.641043 114.577 -124.4047
146.696418 114.622 -124.7734
147.759441 114.668 -125.1416
148.830166 114.714 -125.5117
149.908651 114.759 -125.8850
150.994951 114.804 -126.2616
152.089123 114.849 -126.6404
153.191223 114.893 -127.0203
154.301310 114.937 -127.4006
155.419441 114.979 -127.7812
156.545674 115.021 -128.1630
157.680069 115.063 -128.5469
158.822683 115.104 -128.9338
159.973578 115.145 -129.3233
161.132813 115.185 -129.7143
162.300447 115.225 -130.1054
163.476543 115.265 -130.4961
164.661162 115.303 -130.8863
165.854364 115.341 -131.2764
167.056213 115.379 -131.6666
168.266772 115.416 -132.0574
169.486102 115.453 -132.4491
170.714268 115.489 -132.8422
171.951334 115.525 -133.2372
173.197364 115.560 -133.6345
174.452424 115.595 -134.0343
175.716578 115.629 -134.4368
176.989893 115.663 -134.8417
178.272434 115.696 -135.2485
179.564270 115.729 -135.6565
180.865467 115.761 -136.0656
182.176092 115.793 -136.4762
183.496216 115.824 -136.8884
184.825905 115.855 -137.3026
186.165229 115.886 -137.7186
187.514259 115.915 -138.1358
188.873065 115.944 -138.5538
190.241717 115.972 -138.9726
191.620287 116.000 -139.3924
193.008847 116.027 -139.8134
194.407468 116.053 -140.2361
195.816225 116.078 -140.6604
197.235190 116.103 -141.0855
198.664438 116.127 -141.5100
200.104042 116.150 -141.9328
201.554078 116.173 -142.3537
203.014622 116.195 -142.7733
204.485750 116.216 -143.1924
205.967538 116.237 -143.6117
207.460064 116.257 -144.0317
208.963405 116.277 -144.4527
210.477640 116.296 -144.8748
212.002848 116.315 -145.2976
213.539108 116.332 -145.7204
215.086500 116.349 -146.1424
216.645105 116.364 -146.5625
218.215005 116.379 -146.9797
219.796281 116.394 -147.3934
221.389015 116.408 -147.8040
222.993292 116.422 -148.2126
224.609193 116.436 -148.6204
226.236804 116.450 -149.0284
227.876209 116.463 -149.4370
229.527494 116.476 -149.8464
231.190745 116.488 -150.2563
232.866048 116.500 -150.6665
234.553491 116.510 -151.0768
236.253163 116.520 -151.4870
237.965150 116.530 -151.8972
239.689544 116.539 -152.3071
241.426433 116.548 -152.7169
243.175909 116.556 -153.1266
244.938062 116.563 -153.5368
246.712984 116.570 -153.9478
248.500768 116.576 -154.3596
250.301507 116.581 -154.7719
252.115295 116.585 -155.1840
253.942226 116.589 -155.5953
255.782396 116.592 -156.0058
257.635901 116.594 -156.4156
259.502837 116.596 -156.8252
261.383301 116.596 -157.2354
263.277392 116.596 -157.6466
265.185209 116.594 -158.0592
267.106850 116.592 -158.4723
269.042417 116.589 -158.8846
270.992009 116.584 -159.2946
272.955729 116.579 -159.7013
274.933678 116.572 -160.1041
276.925961 116.564 -160.5026
278.932681 116.555 -160.8958
280.953942 116.545 -161.2829
282.989850 116.533 -161.6629
285.040511 116.522 -162.0357
287.106032 116.510 -162.4020
289.186521 116.497 -162.7626
291.282086 116.484 -163.1186
293.392836 116.471 -163.4708
295.518881 116.458 -163.8192
297.660333 116.443 -164.1631
299.817302 116.429 -164.5018
301.989902 116.414 -164.8346
304.178245 116.398 -165.1615
306.382446 116.382 -165.4834
308.602620 116.366 -165.8016
310.838882 116.350 -166.1167
313.091348 116.334 -166.4290
315.360137 116.318 -166.7383
317.645367 116.302 -167.0443
319.947156 116.287 -167.3467
322.265625 116.271 -167.6456
324.600895 116.256 -167.9413
326.953086 116.240 -168.2348
329.322323 116.223 -168.5275
331.708729 116.206 -168.8205
334.112427 116.189 -169.1135
336.533543 116.171 -169.4055
338.972204 116.152 -169.6954
