* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17.11.2024 19:54:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RIO X
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.691 -48.1670
20.287556 95.730 -48.2690
20.434568 95.788 -48.4181
20.582645 95.859 -48.5999
20.731796 95.939 -48.8046
20.882027 96.025 -49.0275
21.033346 96.114 -49.2683
21.185763 96.204 -49.5284
21.339284 96.294 -49.8099
21.493917 96.382 -50.1132
21.649671 96.468 -50.4367
21.806553 96.551 -50.7764
21.964572 96.631 -51.1256
22.123737 96.708 -51.4761
22.284054 96.783 -51.8191
22.445534 96.857 -52.1459
22.608183 96.931 -52.4501
22.772012 97.009 -52.7280
22.937027 97.090 -52.9797
23.103238 97.177 -53.2097
23.270654 97.272 -53.4262
23.439282 97.373 -53.6403
23.609133 97.481 -53.8647
23.780215 97.594 -54.1116
23.952536 97.710 -54.3914
24.126106 97.828 -54.7106
24.300934 97.943 -55.0713
24.477028 98.053 -55.4707
24.654399 98.158 -55.9017
24.833055 98.254 -56.3539
25.013005 98.343 -56.8146
25.194260 98.424 -57.2709
25.376828 98.499 -57.7113
25.560719 98.569 -58.1266
25.745942 98.638 -58.5119
25.932508 98.708 -58.8662
26.120426 98.781 -59.1931
26.309705 98.859 -59.4994
26.500356 98.943 -59.7942
26.692388 99.033 -60.0869
26.885812 99.128 -60.3857
27.080638 99.227 -60.6964
27.276876 99.329 -61.0211
27.474535 99.431 -61.3587
27.673627 99.532 -61.7052
27.874161 99.630 -62.0544
28.076149 99.724 -62.3998
28.279600 99.815 -62.7352
28.484526 99.903 -63.0567
28.690937 99.988 -63.3622
28.898843 100.070 -63.6527
29.108256 100.151 -63.9312
29.319186 100.230 -64.2024
29.531645 100.309 -64.4715
29.745644 100.387 -64.7430
29.961193 100.465 -65.0205
30.178304 100.542 -65.3060
30.396989 100.619 -65.6000
30.617258 100.695 -65.9022
30.839123 100.772 -66.2120
31.062596 100.849 -66.5296
31.287688 100.928 -66.8559
31.514412 101.008 -67.1924
31.742778 101.089 -67.5409
31.972800 101.172 -67.9021
32.204488 101.255 -68.2750
32.437855 101.337 -68.6561
32.672913 101.419 -69.0395
32.909674 101.500 -69.4177
33.148151 101.580 -69.7833
33.388356 101.659 -70.1307
33.630302 101.739 -70.4576
33.874001 101.821 -70.7662
34.119466 101.904 -71.0622
34.366710 101.989 -71.3538
34.615745 102.075 -71.6492
34.866585 102.161 -71.9546
35.119243 102.245 -72.2722
35.373731 102.326 -72.6002
35.630064 102.404 -72.9336
35.888254 102.479 -73.2661
36.148315 102.551 -73.5925
36.410261 102.622 -73.9097
36.674104 102.692 -74.2181
36.939860 102.762 -74.5204
37.207542 102.833 -74.8208
37.477163 102.904 -75.1232
37.748738 102.977 -75.4306
38.022281 103.051 -75.7444
38.297806 103.127 -76.0655
38.575327 103.204 -76.3937
38.854860 103.284 -76.7292
39.136419 103.365 -77.0713
39.420017 103.447 -77.4189
39.705671 103.530 -77.7701
39.993395 103.612 -78.1224
40.283203 103.692 -78.4737
40.575112 103.769 -78.8226
40.869136 103.844 -79.1690
41.165290 103.915 -79.5135
41.463591 103.983 -79.8566
41.764053 104.049 -80.1983
42.066693 104.115 -80.5383
42.371525 104.182 -80.8764
42.678567 104.251 -81.2132
42.987834 104.323 -81.5504
43.299341 104.398 -81.8886
43.613106 104.473 -82.2272
43.929145 104.547 -82.5636
44.247473 104.619 -82.8953
44.568109 104.689 -83.2231
44.891068 104.759 -83.5533
45.216367 104.830 -83.8958
45.544023 104.903 -84.2582
45.874054 104.981 -84.6384
46.206476 105.065 -85.0197
46.541307 105.156 -85.3744
46.878565 105.258 -85.6747
47.218266 105.371 -85.9085
47.560429 105.496 -86.0890
47.905072 105.627 -86.2524
48.252212 105.754 -86.4428
48.601867 105.867 -86.6926
48.954056 105.953 -87.0106
49.308798 106.010 -87.3836
49.666109 106.038 -87.7874
50.026010 106.046 -88.2022
50.388520 106.046 -88.6209
50.753656 106.048 -89.0473
51.121437 106.059 -89.4859
51.491884 106.083 -89.9321
51.865016 106.119 -90.3703
52.240851 106.166 -90.7816
52.619410 106.222 -91.1557
53.000712 106.287 -91.4966
53.384777 106.358 -91.8201
53.771625 106.432 -92.1437
54.161276 106.509 -92.4764
54.553751 106.585 -92.8150
54.949070 106.662 -93.1483
55.347254 106.738 -93.4644
55.748323 106.815 -93.7584
56.152298 106.891 -94.0352
56.559201 106.965 -94.3079
56.969052 107.034 -94.5931
57.381873 107.098 -94.9047
57.797686 107.155 -95.2499
58.216512 107.208 -95.6273
58.638373 107.258 -96.0289
59.063291 107.308 -96.4434
59.491288 107.361 -96.8606
59.922386 107.418 -97.2735
60.356608 107.480 -97.6781
60.793977 107.544 -98.0722
61.234515 107.610 -98.4541
61.678246 107.675 -98.8228
62.125192 107.739 -99.1789
62.575377 107.802 -99.5252
63.028824 107.863 -99.8666
63.485557 107.923 -100.2089
63.945599 107.982 -100.5583
64.408975 108.040 -100.9198
64.875709 108.099 -101.2947
65.345825 108.157 -101.6800
65.819348 108.214 -102.0682
66.296302 108.272 -102.4505
66.776713 108.329 -102.8213
67.260604 108.386 -103.1801
67.748002 108.442 -103.5315
68.238932 108.498 -103.8822
68.733420 108.554 -104.2382
69.231490 108.609 -104.6030
69.733170 108.665 -104.9770
70.238485 108.722 -105.3585
70.747463 108.779 -105.7447
71.260128 108.835 -106.1342
71.776508 108.891 -106.5266
72.296630 108.946 -106.9213
72.820521 109.000 -107.3159
73.348209 109.052 -107.7063
73.879720 109.103 -108.0898
74.415083 109.155 -108.4667
74.954326 109.206 -108.8402
75.497475 109.258 -109.2145
76.044561 109.309 -109.5918
76.595612 109.361 -109.9729
77.150655 109.413 -110.3570
77.709720 109.467 -110.7427
78.272837 109.522 -111.1286
78.840034 109.576 -111.5139
79.411342 109.631 -111.8994
79.986789 109.684 -112.2861
80.566406 109.736 -112.6734
81.150224 109.787 -113.0595
81.738272 109.836 -113.4426
82.330581 109.886 -113.8241
82.927182 109.935 -114.2078
83.528107 109.985 -114.5968
84.133386 110.033 -114.9914
84.743051 110.081 -115.3893
85.357134 110.129 -115.7879
85.975667 110.176 -116.1859
86.598682 110.222 -116.5839
87.226212 110.268 -116.9826
87.858289 110.313 -117.3804
88.494946 110.357 -117.7746
89.136217 110.399 -118.1640
89.782135 110.441 -118.5513
90.432733 110.482 -118.9423
91.088046 110.524 -119.3417
91.748108 110.567 -119.7509
92.412952 110.609 -120.1673
93.082615 110.653 -120.5871
93.757130 110.697 -121.0072
94.436533 110.741 -121.4264
95.120859 110.786 -121.8443
95.810144 110.831 -122.2597
96.504423 110.876 -122.6704
97.203734 110.921 -123.0746
97.908112 110.965 -123.4728
98.617595 111.008 -123.8682
99.332219 111.050 -124.2660
100.052021 111.091 -124.6703
100.777039 111.130 -125.0826
101.507311 111.168 -125.5015
102.242875 111.205 -125.9245
102.983769 111.240 -126.3491
103.730032 111.275 -126.7737
104.481702 111.310 -127.1974
105.238820 111.345 -127.6208
106.001424 111.380 -128.0444
106.769554 111.416 -128.4675
107.543250 111.452 -128.8870
108.322553 111.487 -129.3006
109.107503 111.521 -129.7085
109.898141 111.554 -130.1141
110.694508 111.587 -130.5219
111.496646 111.618 -130.9351
112.304596 111.649 -131.3539
113.118402 111.680 -131.7758
113.938104 111.711 -132.1980
114.763747 111.741 -132.6186
115.595372 111.770 -133.0368
116.433024 111.799 -133.4529
117.276746 111.828 -133.8677
118.126581 111.855 -134.2825
118.982575 111.882 -134.6980
119.844772 111.909 -135.1148
120.713217 111.936 -135.5338
121.587954 111.963 -135.9564
122.469031 111.990 -136.3835
123.356492 112.017 -136.8144
124.250384 112.044 -137.2462
125.150753 112.070 -137.6749
126.057647 112.096 -138.0973
126.971113 112.121 -138.5124
127.891198 112.145 -138.9216
128.817950 112.169 -139.3280
129.751418 112.191 -139.7348
130.691651 112.213 -140.1423
131.638696 112.235 -140.5497
132.592604 112.256 -140.9572
133.553425 112.277 -141.3668
134.521208 112.297 -141.7802
135.496004 112.317 -142.1970
136.477864 112.336 -142.6150
137.466839 112.354 -143.0324
138.462981 112.371 -143.4486
139.466340 112.387 -143.8630
140.476971 112.404 -144.2747
141.494925 112.422 -144.6810
142.520256 112.440 -145.0802
143.553016 112.458 -145.4741
144.593260 112.475 -145.8689
145.641043 112.489 -146.2692
146.696418 112.501 -146.6748
147.759441 112.513 -147.0828
148.830166 112.524 -147.4919
149.908651 112.536 -147.9032
150.994951 112.548 -148.3183
152.089123 112.560 -148.7367
153.191223 112.571 -149.1549
154.301310 112.582 -149.5689
155.419441 112.592 -149.9766
156.545674 112.602 -150.3787
157.680069 112.611 -150.7771
158.822683 112.620 -151.1740
159.973578 112.628 -151.5697
161.132813 112.635 -151.9640
162.300447 112.642 -152.3563
163.476543 112.649 -152.7472
164.661162 112.655 -153.1380
165.854364 112.661 -153.5294
167.056213 112.666 -153.9210
168.266772 112.671 -154.3120
169.486102 112.676 -154.7022
170.714268 112.680 -155.0913
171.951334 112.684 -155.4791
173.197364 112.687 -155.8653
174.452424 112.690 -156.2496
175.716578 112.692 -156.6319
176.989893 112.693 -157.0123
178.272434 112.695 -157.3910
179.564270 112.695 -157.7683
180.865467 112.696 -158.1443
182.176092 112.696 -158.5187
183.496216 112.695 -158.8914
184.825905 112.694 -159.2634
186.165229 112.693 -159.6353
187.514259 112.691 -160.0070
188.873065 112.688 -160.3785
190.241717 112.685 -160.7495
191.620287 112.681 -161.1192
193.008847 112.677 -161.4858
194.407468 112.673 -161.8476
195.816225 112.669 -162.2042
197.235190 112.664 -162.5574
198.664438 112.659 -162.9101
200.104042 112.653 -163.2645
201.554078 112.645 -163.6208
203.014622 112.638 -163.9771
204.485750 112.629 -164.3314
205.967538 112.621 -164.6821
207.460064 112.612 -165.0288
208.963405 112.603 -165.3712
210.477640 112.593 -165.7097
212.002848 112.583 -166.0443
213.539108 112.572 -166.3752
215.086500 112.560 -166.7028
216.645105 112.549 -167.0274
218.215005 112.536 -167.3485
219.796281 112.524 -167.6650
221.389015 112.511 -167.9764
222.993292 112.499 -168.2834
224.609193 112.486 -168.5873
226.236804 112.472 -168.8894
227.876209 112.459 -169.1902
229.527494 112.445 -169.4899
231.190745 112.432 -169.7887
232.866048 112.418 -170.0869
234.553491 112.405 -170.3843
236.253163 112.391 -170.6803
237.965150 112.378 -170.9743
239.689544 112.363 -171.2657
241.426433 112.349 -171.5544
243.175909 112.334 -171.8409
244.938062 112.318 -172.1265
246.712984 112.302 -172.4130
248.500768 112.285 -172.7015
250.301507 112.268 -172.9920
252.115295 112.251 -173.2836
253.942226 112.234 -173.5745
255.782396 112.215 -173.8629
257.635901 112.196 -174.1477
259.502837 112.176 -174.4284
261.383301 112.156 -174.7056
263.277392 112.135 -174.9802
265.185209 112.113 -175.2523
267.106850 112.090 -175.5217
269.042417 112.067 -175.7869
270.992009 112.042 -176.0462
272.955729 112.017 -176.2975
274.933678 111.991 -176.5397
276.925961 111.965 -176.7725
278.932681 111.938 -176.9965
280.953942 111.911 -177.2123
282.989850 111.885 -177.4209
285.040511 111.859 -177.6229
287.106032 111.833 -177.8195
289.186521 111.808 -178.0118
291.282086 111.784 -178.2008
293.392836 111.760 -178.3871
295.518881 111.736 -178.5708
297.660333 111.712 -178.7512
299.817302 111.687 -178.9267
301.989902 111.663 -179.0950
304.178245 111.639 -179.2550
306.382446 111.615 -179.4066
308.602620 111.591 -179.5506
310.838882 111.568 -179.6879
313.091348 111.546 -179.8190
315.360137 111.525 -179.9432
317.645367 111.505 179.9406
319.947156 111.489 179.8322
322.265625 111.476 179.7289
324.600895 111.467 179.6248
326.953086 111.463 179.5118
329.322323 111.464 179.3801
331.708729 111.468 179.2189
334.112427 111.476 179.0168
336.533543 111.485 178.7648
338.972204 111.492 178.4576
341.428536 111.495 178.0953
