* Measurement data measured by REW V5.31.3
* Source: EXCL: Микрофон (2- CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), 0, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.01.2025 14:30:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPEN
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 67.530 -73.4979
20.287556 67.486 -73.5054
20.434568 67.416 -73.5279
20.582645 67.318 -73.5785
20.731796 67.193 -73.6692
20.882027 67.042 -73.8088
21.033346 66.869 -74.0022
21.185763 66.682 -74.2490
21.339284 66.491 -74.5445
21.493917 66.309 -74.8795
21.649671 66.153 -75.2424
21.806553 66.041 -75.6215
21.964572 65.991 -76.0086
22.123737 66.018 -76.4017
22.284054 66.134 -76.8076
22.445534 66.339 -77.2411
22.608183 66.624 -77.7222
22.772012 66.973 -78.2710
22.937027 67.364 -78.9024
23.103238 67.773 -79.6231
23.270654 68.175 -80.4290
23.439282 68.549 -81.3059
23.609133 68.879 -82.2309
23.780215 69.149 -83.1740
23.952536 69.349 -84.0998
24.126106 69.474 -84.9695
24.300934 69.520 -85.7422
24.477028 69.488 -86.3769
24.654399 69.384 -86.8359
24.833055 69.217 -87.0890
25.013005 69.001 -87.1195
25.194260 68.753 -86.9323
25.376828 68.497 -86.5599
25.560719 68.257 -86.0663
25.745942 68.057 -85.5421
25.932508 67.916 -85.0901
26.120426 67.847 -84.8044
26.309705 67.854 -84.7474
26.500356 67.931 -84.9364
26.692388 68.067 -85.3423
26.885812 68.247 -85.9009
27.080638 68.456 -86.5307
27.276876 68.680 -87.1515
27.474535 68.907 -87.6984
27.673627 69.127 -88.1295
27.874161 69.331 -88.4274
28.076149 69.513 -88.5954
28.279600 69.667 -88.6522
28.484526 69.790 -88.6247
28.690937 69.879 -88.5422
28.898843 69.935 -88.4331
29.108256 69.961 -88.3235
29.319186 69.962 -88.2369
29.531645 69.944 -88.1952
29.745644 69.919 -88.2189
29.961193 69.895 -88.3256
30.178304 69.881 -88.5267
30.396989 69.883 -88.8236
30.617258 69.907 -89.2046
30.839123 69.953 -89.6449
31.062596 70.021 -90.1105
31.287688 70.108 -90.5649
31.514412 70.210 -90.9780
31.742778 70.326 -91.3338
31.972800 70.449 -91.6343
32.204488 70.575 -91.8981
32.437855 70.700 -92.1549
32.672913 70.816 -92.4366
32.909674 70.918 -92.7679
33.148151 71.002 -93.1599
33.388356 71.066 -93.6078
33.630302 71.111 -94.0927
33.874001 71.141 -94.5873
34.119466 71.163 -95.0637
34.366710 71.186 -95.4997
34.615745 71.218 -95.8837
34.866585 71.265 -96.2147
35.119243 71.329 -96.4996
35.373731 71.409 -96.7475
35.630064 71.500 -96.9654
35.888254 71.596 -97.1562
36.148315 71.692 -97.3203
36.410261 71.782 -97.4590
36.674104 71.864 -97.5775
36.939860 71.935 -97.6860
37.207542 71.993 -97.7978
37.477163 72.039 -97.9264
37.748738 72.073 -98.0817
38.022281 72.098 -98.2686
38.297806 72.119 -98.4885
38.575327 72.141 -98.7422
38.854860 72.171 -99.0327
39.136419 72.216 -99.3652
39.420017 72.277 -99.7438
39.705671 72.355 -100.1658
39.993395 72.445 -100.6171
40.283203 72.543 -101.0717
40.575112 72.643 -101.4984
40.869136 72.740 -101.8701
41.165290 72.831 -102.1738
41.463591 72.915 -102.4158
41.764053 72.990 -102.6192
42.066693 73.055 -102.8152
42.371525 73.110 -103.0323
42.678567 73.157 -103.2880
42.987834 73.202 -103.5879
43.299341 73.251 -103.9295
43.613106 73.312 -104.3079
43.929145 73.389 -104.7164
44.247473 73.479 -105.1435
44.568109 73.577 -105.5680
44.891068 73.671 -105.9609
45.216367 73.754 -106.2975
45.544023 73.818 -106.5774
45.874054 73.862 -106.8392
46.206476 73.884 -107.1603
46.541307 73.884 -107.6330
46.878565 73.857 -108.3227
47.218266 73.804 -109.2282
47.560429 73.730 -110.2633
47.905072 73.651 -111.2754
48.252212 73.598 -112.0988
48.601867 73.600 -112.6225
48.954056 73.678 -112.8395
49.308798 73.831 -112.8406
49.666109 74.035 -112.7553
50.026010 74.254 -112.6839
50.388520 74.456 -112.6664
50.753656 74.625 -112.6982
51.121437 74.758 -112.7667
51.491884 74.862 -112.8780
51.865016 74.950 -113.0574
52.240851 75.030 -113.3281
52.619410 75.106 -113.6857
53.000712 75.179 -114.0887
53.384777 75.248 -114.4736
53.771625 75.315 -114.7823
54.161276 75.380 -114.9883
54.553751 75.446 -115.1053
54.949070 75.514 -115.1776
55.347254 75.584 -115.2591
55.748323 75.656 -115.3937
56.152298 75.730 -115.6056
56.559201 75.805 -115.8997
56.969052 75.880 -116.2672
57.381873 75.952 -116.6894
57.797686 76.017 -117.1405
58.216512 76.074 -117.5912
58.638373 76.122 -118.0193
59.063291 76.166 -118.4228
59.491288 76.211 -118.8265
59.922386 76.262 -119.2724
60.356608 76.317 -119.7950
60.793977 76.372 -120.3978
61.234515 76.424 -121.0501
61.678246 76.474 -121.7058
62.125192 76.526 -122.3306
62.575377 76.583 -122.9167
63.028824 76.646 -123.4767
63.485557 76.713 -124.0250
63.945599 76.780 -124.5641
64.408975 76.844 -125.0874
64.875709 76.905 -125.5897
65.345825 76.963 -126.0760
65.819348 77.018 -126.5590
66.296302 77.068 -127.0516
66.776713 77.115 -127.5589
67.260604 77.158 -128.0761
67.748002 77.200 -128.5905
68.238932 77.244 -129.0886
68.733420 77.293 -129.5638
69.231490 77.348 -130.0228
69.733170 77.407 -130.4828
70.238485 77.464 -130.9609
70.747463 77.514 -131.4614
71.260128 77.555 -131.9744
71.776508 77.590 -132.4844
72.296630 77.624 -132.9841
72.820521 77.666 -133.4789
73.348209 77.716 -133.9818
73.879720 77.776 -134.5049
74.415083 77.839 -135.0562
74.954326 77.902 -135.6405
75.497475 77.961 -136.2595
76.044561 78.013 -136.9090
76.595612 78.059 -137.5751
77.150655 78.100 -138.2369
77.709720 78.140 -138.8762
78.272837 78.182 -139.4871
78.840034 78.225 -140.0762
79.411342 78.267 -140.6534
79.986789 78.306 -141.2218
80.566406 78.341 -141.7772
81.150224 78.372 -142.3150
81.738272 78.400 -142.8345
82.330581 78.423 -143.3387
82.927182 78.442 -143.8330
83.528107 78.457 -144.3285
84.133386 78.469 -144.8412
84.743051 78.482 -145.3841
85.357134 78.497 -145.9578
85.975667 78.515 -146.5533
86.598682 78.539 -147.1635
87.226212 78.568 -147.7892
87.858289 78.600 -148.4326
88.494946 78.632 -149.0869
89.136217 78.662 -149.7358
89.782135 78.688 -150.3617
90.432733 78.713 -150.9555
91.088046 78.734 -151.5220
91.748108 78.754 -152.0788
92.412952 78.771 -152.6464
93.082615 78.786 -153.2367
93.757130 78.798 -153.8482
94.436533 78.807 -154.4698
95.120859 78.814 -155.0891
95.810144 78.817 -155.6980
96.504423 78.817 -156.2968
97.203734 78.816 -156.8932
97.908112 78.814 -157.4943
98.617595 78.812 -158.0992
99.332219 78.811 -158.7000
100.052021 78.813 -159.2896
100.777039 78.818 -159.8665
101.507311 78.826 -160.4340
102.242875 78.836 -160.9964
102.983769 78.844 -161.5593
103.730032 78.849 -162.1301
104.481702 78.850 -162.7137
105.238820 78.845 -163.3075
106.001424 78.837 -163.9038
106.769554 78.826 -164.4946
107.543250 78.813 -165.0787
108.322553 78.801 -165.6642
109.107503 78.789 -166.2607
109.898141 78.777 -166.8664
110.694508 78.764 -167.4651
111.496646 78.751 -168.0368
112.304596 78.738 -168.5729
113.118402 78.727 -169.0842
113.938104 78.714 -169.5929
114.763747 78.698 -170.1153
115.595372 78.679 -170.6568
116.433024 78.657 -171.2176
117.276746 78.634 -171.7974
118.126581 78.613 -172.3893
118.982575 78.592 -172.9768
119.844772 78.573 -173.5393
120.713217 78.555 -174.0679
121.587954 78.536 -174.5741
122.469031 78.516 -175.0855
123.356492 78.492 -175.6341
124.250384 78.465 -176.2435
125.150753 78.434 -176.9144
126.057647 78.403 -177.6156
126.971113 78.374 -178.2891
127.891198 78.344 -178.8769
128.817950 78.311 -179.3601
129.751418 78.274 -179.7694
130.691651 78.234 179.8498
131.638696 78.192 179.4732
132.592604 78.152 179.0982
133.553425 78.114 178.7291
134.521208 78.078 178.3642
135.496004 78.044 177.9904
136.477864 78.011 177.5947
137.466839 77.978 177.1785
138.462981 77.943 176.7526
139.466340 77.906 176.3215
140.476971 77.869 175.8868
141.494925 77.832 175.4609
142.520256 77.793 175.0641
143.553016 77.751 174.7081
144.593260 77.705 174.3825
145.641043 77.656 174.0635
146.696418 77.606 173.7328
147.759441 77.556 173.3799
148.830166 77.506 172.9974
149.908651 77.458 172.5856
150.994951 77.411 172.1564
152.089123 77.366 171.7292
153.191223 77.322 171.3244
154.301310 77.280 170.9572
155.419441 77.237 170.6316
156.545674 77.194 170.3382
157.680069 77.149 170.0585
158.822683 77.103 169.7760
159.973578 77.057 169.4833
161.132813 77.012 169.1816
162.300447 76.967 168.8767
163.476543 76.922 168.5782
164.661162 76.876 168.2951
165.854364 76.828 168.0301
167.056213 76.779 167.7777
168.266772 76.727 167.5282
169.486102 76.674 167.2746
170.714268 76.620 167.0168
171.951334 76.566 166.7598
173.197364 76.515 166.5099
174.452424 76.468 166.2714
175.716578 76.423 166.0448
176.989893 76.379 165.8276
178.272434 76.335 165.6157
179.564270 76.289 165.4053
180.865467 76.241 165.1938
182.176092 76.192 164.9775
183.496216 76.141 164.7535
184.825905 76.092 164.5233
186.165229 76.044 164.2909
187.514259 75.998 164.0594
188.873065 75.953 163.8300
190.241717 75.909 163.6044
191.620287 75.864 163.3874
193.008847 75.818 163.1833
194.407468 75.771 162.9929
195.816225 75.724 162.8131
197.235190 75.677 162.6386
198.664438 75.630 162.4626
200.104042 75.583 162.2828
201.554078 75.535 162.1050
203.014622 75.488 161.9352
204.485750 75.440 161.7725
205.967538 75.390 161.6127
207.460064 75.340 161.4556
208.963405 75.289 161.3055
210.477640 75.237 161.1664
212.002848 75.186 161.0391
213.539108 75.137 160.9210
215.086500 75.089 160.8080
216.645105 75.042 160.6947
218.215005 74.995 160.5762
219.796281 74.947 160.4493
221.389015 74.896 160.3158
222.993292 74.844 160.1838
224.609193 74.791 160.0626
226.236804 74.738 159.9567
227.876209 74.687 159.8647
229.527494 74.635 159.7816
231.190745 74.584 159.7000
232.866048 74.531 159.6121
234.553491 74.478 159.5135
236.253163 74.424 159.4043
237.965150 74.370 159.2902
239.689544 74.316 159.1808
241.426433 74.261 159.0844
243.175909 74.205 159.0064
244.938062 74.148 158.9488
246.712984 74.091 158.9088
248.500768 74.035 158.8781
250.301507 73.982 158.8440
252.115295 73.930 158.7971
253.942226 73.881 158.7363
255.782396 73.832 158.6627
257.635901 73.782 158.5775
259.502837 73.730 158.4875
261.383301 73.676 158.4029
263.277392 73.618 158.3312
265.185209 73.557 158.2745
267.106850 73.496 158.2313
269.042417 73.434 158.1991
270.992009 73.372 158.1763
272.955729 73.312 158.1645
274.933678 73.252 158.1671
276.925961 73.193 158.1866
278.932681 73.131 158.2220
280.953942 73.067 158.2676
282.989850 73.000 158.3120
285.040511 72.932 158.3440
287.106032 72.865 158.3616
289.186521 72.800 158.3751
291.282086 72.737 158.4036
293.392836 72.672 158.4633
295.518881 72.605 158.5609
297.660333 72.532 158.6982
299.817302 72.449 158.8777
301.989902 72.357 159.1049
304.178245 72.257 159.3897
306.382446 72.155 159.7461
308.602620 72.057 160.1866
310.838882 71.969 160.7193
313.091348 71.894 161.3479
315.360137 71.836 162.0730
317.645367 71.800 162.8902
319.947156 71.790 163.7848
322.265625 71.812 164.7188
324.600895 71.867 165.6257
326.953086 71.953 166.4213
329.322323 72.063 167.0280
331.708729 72.185 167.3957
334.112427 72.305 167.5124
336.533543 72.412 167.4026
338.972204 72.498 167.1164
341.428536 72.559 166.7135
343.902668 72.593 166.2468
346.394729 72.603 165.7569
348.904848 72.594 165.2746
351.433156 72.572 164.8243
353.979786 72.543 164.4254
356.544869 72.511 164.0907
