* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.01.2025 14:16:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CLOSE
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 78.976 -75.9812
20.287556 79.036 -76.0823
20.434568 79.115 -76.2050
20.582645 79.197 -76.3062
20.731796 79.266 -76.3521
20.882027 79.315 -76.3241
21.033346 79.341 -76.2212
21.185763 79.349 -76.0636
21.339284 79.343 -75.8915
21.493917 79.331 -75.7617
21.649671 79.321 -75.7406
21.806553 79.317 -75.8933
21.964572 79.324 -76.2716
22.123737 79.343 -76.9024
22.284054 79.374 -77.7782
22.445534 79.417 -78.8538
22.608183 79.474 -80.0485
22.772012 79.545 -81.2538
22.937027 79.635 -82.3488
23.103238 79.752 -83.2170
23.270654 79.903 -83.7679
23.439282 80.098 -83.9565
23.609133 80.340 -83.7953
23.780215 80.631 -83.3573
23.952536 80.963 -82.7613
24.126106 81.322 -82.1469
24.300934 81.686 -81.6452
24.477028 82.032 -81.3539
24.654399 82.339 -81.3273
24.833055 82.586 -81.5746
25.013005 82.758 -82.0679
25.194260 82.847 -82.7519
25.376828 82.847 -83.5527
25.560719 82.761 -84.3874
25.745942 82.600 -85.1717
25.932508 82.380 -85.8311
26.120426 82.126 -86.3130
26.309705 81.870 -86.6022
26.500356 81.644 -86.7318
26.692388 81.480 -86.7829
26.885812 81.398 -86.8677
27.080638 81.400 -87.0951
27.276876 81.475 -87.5364
27.474535 81.598 -88.2021
27.673627 81.741 -89.0423
27.874161 81.878 -89.9619
28.076149 81.994 -90.8455
28.279600 82.078 -91.5800
28.484526 82.131 -92.0756
28.690937 82.160 -92.2815
28.898843 82.178 -92.1972
29.108256 82.196 -91.8744
29.319186 82.226 -91.4084
29.531645 82.273 -90.9170
29.745644 82.338 -90.5128
29.961193 82.415 -90.2764
30.178304 82.499 -90.2429
30.396989 82.584 -90.4011
30.617258 82.667 -90.7059
30.839123 82.749 -91.0966
31.062596 82.834 -91.5164
31.287688 82.926 -91.9266
31.514412 83.029 -92.3137
31.742778 83.141 -92.6862
31.972800 83.256 -93.0650
32.204488 83.367 -93.4692
32.437855 83.464 -93.9054
32.672913 83.538 -94.3626
32.909674 83.587 -94.8149
33.148151 83.610 -95.2297
33.388356 83.615 -95.5791
33.630302 83.612 -95.8508
33.874001 83.614 -96.0536
34.119466 83.631 -96.2160
34.366710 83.670 -96.3770
34.615745 83.733 -96.5717
34.866585 83.816 -96.8190
35.119243 83.914 -97.1160
35.373731 84.020 -97.4424
35.630064 84.129 -97.7715
35.888254 84.237 -98.0823
36.148315 84.340 -98.3677
36.410261 84.437 -98.6350
36.674104 84.524 -98.8991
36.939860 84.595 -99.1713
37.207542 84.649 -99.4509
37.477163 84.685 -99.7213
37.748738 84.705 -99.9552
38.022281 84.718 -100.1250
38.297806 84.734 -100.2161
38.575327 84.762 -100.2352
38.854860 84.811 -100.2101
39.136419 84.880 -100.1801
39.420017 84.966 -100.1825
39.705671 85.060 -100.2406
39.993395 85.154 -100.3617
40.283203 85.241 -100.5421
40.575112 85.316 -100.7755
40.869136 85.381 -101.0600
41.165290 85.439 -101.3989
41.463591 85.494 -101.7963
41.764053 85.553 -102.2511
42.066693 85.622 -102.7522
42.371525 85.706 -103.2774
42.678567 85.805 -103.7961
42.987834 85.916 -104.2740
43.299341 86.033 -104.6787
43.613106 86.146 -104.9873
43.929145 86.249 -105.1959
44.247473 86.338 -105.3290
44.568109 86.411 -105.4429
44.891068 86.473 -105.6147
45.216367 86.526 -105.9152
45.544023 86.580 -106.3732
45.874054 86.646 -106.9529
46.206476 86.743 -107.5594
46.541307 86.894 -108.0840
46.878565 87.120 -108.4696
47.218266 87.420 -108.7571
47.560429 87.771 -109.0697
47.905072 88.124 -109.5381
48.252212 88.425 -110.2217
48.601867 88.627 -111.0772
48.954056 88.705 -111.9807
49.308798 88.658 -112.7798
49.666109 88.511 -113.3526
50.026010 88.306 -113.6578
50.388520 88.095 -113.7540
50.753656 87.921 -113.7692
51.121437 87.809 -113.8289
51.491884 87.761 -113.9900
51.865016 87.765 -114.2309
52.240851 87.803 -114.4949
52.619410 87.858 -114.7446
53.000712 87.916 -114.9864
53.384777 87.965 -115.2575
53.771625 87.999 -115.5947
54.161276 88.017 -116.0106
54.553751 88.029 -116.4921
54.949070 88.047 -117.0139
55.347254 88.086 -117.5556
55.748323 88.150 -118.1100
56.152298 88.237 -118.6776
56.559201 88.334 -119.2533
56.969052 88.424 -119.8165
57.381873 88.496 -120.3312
57.797686 88.544 -120.7600
58.216512 88.573 -121.0814
58.638373 88.593 -121.3029
59.063291 88.616 -121.4588
59.491288 88.652 -121.5957
59.922386 88.707 -121.7553
60.356608 88.782 -121.9649
60.793977 88.872 -122.2387
61.234515 88.970 -122.5828
61.678246 89.068 -122.9963
62.125192 89.158 -123.4707
62.575377 89.235 -123.9921
63.028824 89.300 -124.5451
63.485557 89.357 -125.1179
63.945599 89.412 -125.7044
64.408975 89.467 -126.3026
64.875709 89.524 -126.9130
65.345825 89.581 -127.5355
65.819348 89.634 -128.1652
66.296302 89.677 -128.7892
66.776713 89.713 -129.3904
67.260604 89.745 -129.9553
67.748002 89.779 -130.4803
68.238932 89.822 -130.9712
68.733420 89.875 -131.4362
69.231490 89.934 -131.8835
69.733170 89.996 -132.3233
70.238485 90.056 -132.7696
70.747463 90.107 -133.2344
71.260128 90.148 -133.7207
71.776508 90.180 -134.2203
72.296630 90.206 -134.7208
72.820521 90.230 -135.2104
73.348209 90.252 -135.6774
73.879720 90.271 -136.1096
74.415083 90.289 -136.4996
74.954326 90.307 -136.8544
75.497475 90.328 -137.1968
76.044561 90.355 -137.5589
76.595612 90.390 -137.9745
77.150655 90.432 -138.4735
77.709720 90.476 -139.0743
78.272837 90.515 -139.7729
78.840034 90.541 -140.5384
79.411342 90.556 -141.3227
79.986789 90.565 -142.0786
80.566406 90.580 -142.7764
81.150224 90.609 -143.4115
81.738272 90.654 -143.9989
82.330581 90.710 -144.5573
82.927182 90.766 -145.0942
83.528107 90.815 -145.6059
84.133386 90.853 -146.0901
84.743051 90.880 -146.5564
85.357134 90.897 -147.0259
85.975667 90.904 -147.5232
86.598682 90.900 -148.0671
87.226212 90.889 -148.6645
87.858289 90.876 -149.3060
88.494946 90.870 -149.9659
89.136217 90.877 -150.6066
89.782135 90.900 -151.1897
90.432733 90.938 -151.6962
91.088046 90.982 -152.1441
91.748108 91.023 -152.5827
92.412952 91.052 -153.0613
93.082615 91.068 -153.6030
93.757130 91.074 -154.2008
94.436533 91.076 -154.8295
95.120859 91.078 -155.4566
95.810144 91.082 -156.0538
96.504423 91.085 -156.6099
97.203734 91.086 -157.1350
97.908112 91.085 -157.6509
98.617595 91.079 -158.1761
99.332219 91.070 -158.7129
100.052021 91.058 -159.2458
100.777039 91.044 -159.7565
101.507311 91.032 -160.2443
102.242875 91.024 -160.7276
102.983769 91.020 -161.2266
103.730032 91.020 -161.7478
104.481702 91.024 -162.2861
105.238820 91.028 -162.8367
106.001424 91.032 -163.4015
106.769554 91.034 -163.9799
107.543250 91.033 -164.5587
108.322553 91.030 -165.1176
109.107503 91.028 -165.6486
109.898141 91.025 -166.1605
110.694508 91.021 -166.6606
111.496646 91.015 -167.1415
112.304596 91.007 -167.5906
113.118402 90.997 -168.0055
113.938104 90.984 -168.3972
114.763747 90.968 -168.7876
115.595372 90.947 -169.2021
116.433024 90.922 -169.6566
117.276746 90.891 -170.1397
118.126581 90.856 -170.6147
118.982575 90.821 -171.0469
119.844772 90.788 -171.4218
120.713217 90.757 -171.7359
121.587954 90.725 -171.9928
122.469031 90.688 -172.2163
123.356492 90.643 -172.4523
124.250384 90.590 -172.7539
125.150753 90.538 -173.1676
126.057647 90.495 -173.7099
126.971113 90.465 -174.3426
127.891198 90.447 -174.9931
128.817950 90.435 -175.6088
129.751418 90.426 -176.1772
130.691651 90.419 -176.6999
131.638696 90.412 -177.1680
132.592604 90.403 -177.5635
133.553425 90.389 -177.8792
134.521208 90.368 -178.1336
135.496004 90.337 -178.3651
136.477864 90.296 -178.6096
137.466839 90.245 -178.8833
138.462981 90.187 -179.1842
139.466340 90.127 -179.5046
140.476971 90.069 -179.8429
141.494925 90.016 179.7914
142.520256 89.969 179.3767
143.553016 89.929 178.8947
144.593260 89.891 178.3612
145.641043 89.851 177.8256
146.696418 89.808 177.3289
147.759441 89.768 176.8832
148.830166 89.735 176.4846
149.908651 89.711 176.1218
150.994951 89.694 175.7775
152.089123 89.678 175.4388
153.191223 89.658 175.1095
154.301310 89.631 174.8059
155.419441 89.597 174.5375
156.545674 89.556 174.3006
157.680069 89.512 174.0901
158.822683 89.466 173.9039
159.973578 89.418 173.7346
161.132813 89.368 173.5645
162.300447 89.317 173.3721
163.476543 89.267 173.1448
164.661162 89.220 172.8865
165.854364 89.177 172.6134
167.056213 89.134 172.3408
168.266772 89.089 172.0777
169.486102 89.041 171.8270
170.714268 88.992 171.5845
171.951334 88.943 171.3431
173.197364 88.896 171.0958
174.452424 88.852 170.8359
175.716578 88.811 170.5601
176.989893 88.769 170.2693
178.272434 88.726 169.9689
179.564270 88.680 169.6714
180.865467 88.631 169.3961
182.176092 88.580 169.1581
183.496216 88.528 168.9612
184.825905 88.477 168.8005
186.165229 88.426 168.6688
187.514259 88.376 168.5547
188.873065 88.327 168.4461
190.241717 88.281 168.3359
191.620287 88.237 168.2224
193.008847 88.198 168.0997
194.407468 88.160 167.9590
195.816225 88.123 167.8044
197.235190 88.083 167.6555
198.664438 88.039 167.5332
200.104042 87.989 167.4527
201.554078 87.935 167.4205
203.014622 87.876 167.4259
204.485750 87.818 167.4429
205.967538 87.761 167.4476
207.460064 87.706 167.4338
208.963405 87.650 167.4114
210.477640 87.595 167.3910
212.002848 87.540 167.3742
213.539108 87.488 167.3513
215.086500 87.442 167.3045
216.645105 87.404 167.2217
218.215005 87.372 167.1070
219.796281 87.343 166.9757
221.389015 87.315 166.8442
222.993292 87.285 166.7247
224.609193 87.252 166.6243
226.236804 87.218 166.5459
227.876209 87.182 166.4876
229.527494 87.144 166.4451
231.190745 87.105 166.4135
232.866048 87.064 166.3881
234.553491 87.023 166.3665
236.253163 86.983 166.3510
237.965150 86.945 166.3476
239.689544 86.907 166.3582
241.426433 86.869 166.3801
243.175909 86.829 166.4120
244.938062 86.787 166.4539
246.712984 86.745 166.5011
248.500768 86.703 166.5349
250.301507 86.662 166.5255
252.115295 86.623 166.4562
253.942226 86.585 166.3438
255.782396 86.548 166.2252
257.635901 86.512 166.1289
259.502837 86.475 166.0638
261.383301 86.434 166.0275
263.277392 86.391 166.0156
265.185209 86.346 166.0251
267.106850 86.299 166.0518
269.042417 86.253 166.0891
270.992009 86.207 166.1283
272.955729 86.160 166.1656
274.933678 86.112 166.2070
276.925961 86.062 166.2566
278.932681 86.009 166.3056
280.953942 85.954 166.3348
282.989850 85.897 166.3289
285.040511 85.844 166.2912
287.106032 85.798 166.2496
289.186521 85.763 166.2416
291.282086 85.742 166.2928
293.392836 85.730 166.4077
295.518881 85.722 166.5738
297.660333 85.710 166.7688
299.817302 85.688 166.9702
301.989902 85.659 167.1649
304.178245 85.626 167.3499
306.382446 85.592 167.5220
308.602620 85.558 167.6753
310.838882 85.524 167.8170
313.091348 85.491 167.9599
315.360137 85.460 168.1053
317.645367 85.432 168.2462
319.947156 85.408 168.3711
322.265625 85.387 168.4670
324.600895 85.367 168.5239
326.953086 85.346 168.5394
329.322323 85.322 168.5162
331.708729 85.293 168.4615
334.112427 85.260 168.3878
336.533543 85.220 168.3087
338.972204 85.176 168.2385
341.428536 85.129 168.1926
343.902668 85.084 168.1766
346.394729 85.044 168.1854
348.904848 85.008 168.2142
351.433156 84.973 168.2688
353.979786 84.934 168.3609
356.544869 84.888 168.4998
359.128540 84.834 168.6936
361.730934 84.774 168.9523
