* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.05.2025 16:26:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme Air6 Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 107.400 54.0443
20.333664 107.410 54.0762
20.481010 107.423 54.1232
20.629424 107.439 54.1807
20.778913 107.455 54.2441
20.929486 107.471 54.3093
21.081150 107.485 54.3725
21.233912 107.498 54.4305
21.387782 107.509 54.4804
21.542767 107.518 54.5198
21.698874 107.526 54.5464
21.856113 107.533 54.5587
22.014492 107.541 54.5555
22.174018 107.549 54.5362
22.334700 107.558 54.5008
22.496546 107.570 54.4494
22.659566 107.585 54.3827
22.823766 107.605 54.3014
22.989157 107.628 54.2063
23.155745 107.657 54.0984
23.323542 107.689 53.9791
23.492554 107.725 53.8504
23.662790 107.764 53.7152
23.834261 107.804 53.5777
24.006973 107.844 53.4434
24.180938 107.881 53.3193
24.356163 107.914 53.2136
24.532658 107.942 53.1348
24.710431 107.964 53.0910
24.889493 107.980 53.0888
25.069853 107.991 53.1316
25.251519 107.998 53.2189
25.434502 108.002 53.3453
25.618811 108.006 53.5005
25.804456 108.011 53.6696
25.991445 108.019 53.8348
26.179790 108.030 53.9775
26.369500 108.045 54.0808
26.560584 108.063 54.1324
26.753053 108.082 54.1257
26.946917 108.102 54.0617
27.142185 108.122 53.9479
27.338869 108.139 53.7981
27.536977 108.154 53.6294
27.736522 108.166 53.4602
27.937512 108.176 53.3075
28.139959 108.184 53.1844
28.343872 108.193 53.0991
28.549264 108.202 53.0539
28.756143 108.211 53.0459
28.964522 108.222 53.0683
29.174411 108.234 53.1121
29.385821 108.245 53.1679
29.598763 108.256 53.2277
29.813248 108.266 53.2856
30.029287 108.274 53.3381
30.246891 108.280 53.3839
30.466073 108.286 53.4229
30.686842 108.291 53.4560
30.909212 108.296 53.4839
31.133193 108.301 53.5075
31.358797 108.308 53.5271
31.586035 108.315 53.5435
31.814921 108.323 53.5576
32.045465 108.331 53.5710
32.277680 108.338 53.5854
32.511577 108.343 53.6024
32.747169 108.346 53.6230
32.984469 108.348 53.6470
33.223488 108.348 53.6728
33.464239 108.347 53.6975
33.706735 108.346 53.7174
33.950987 108.344 53.7290
34.197010 108.343 53.7297
34.444816 108.341 53.7194
34.694417 108.339 53.7003
34.945827 108.336 53.6773
35.199059 108.332 53.6571
35.454126 108.326 53.6471
35.711041 108.319 53.6537
35.969818 108.311 53.6809
36.230470 108.301 53.7298
36.493011 108.291 53.7977
36.757455 108.280 53.8792
37.023814 108.269 53.9674
37.292104 108.258 54.0552
37.562338 108.247 54.1374
37.834530 108.236 54.2112
38.108695 108.224 54.2766
38.384846 108.212 54.3363
38.662999 108.201 54.3945
38.943167 108.190 54.4558
39.225365 108.179 54.5246
39.509608 108.169 54.6038
39.795911 108.161 54.6949
40.084289 108.152 54.7978
40.374756 108.144 54.9105
40.667328 108.136 55.0300
40.962020 108.127 55.1520
41.258848 108.118 55.2723
41.557827 108.107 55.3867
41.858972 108.095 55.4925
42.162299 108.081 55.5889
42.467824 108.066 55.6778
42.775564 108.049 55.7642
43.085533 108.029 55.8558
43.397749 108.009 55.9615
43.712227 107.987 56.0891
44.028983 107.966 56.2422
44.348036 107.947 56.4178
44.669400 107.930 56.6062
44.993093 107.915 56.7936
45.319131 107.903 56.9662
45.647532 107.892 57.1144
45.978313 107.883 57.2352
46.311491 107.877 57.3290
46.647083 107.875 57.3960
46.985107 107.880 57.4329
47.325581 107.890 57.4340
47.668521 107.903 57.3985
48.013947 107.913 57.3395
48.361876 107.914 57.2886
48.712326 107.902 57.2917
49.065315 107.876 57.3959
49.420863 107.841 57.6310
49.778987 107.801 57.9965
50.139706 107.765 58.4596
50.503039 107.733 58.9684
50.869005 107.707 59.4724
51.237623 107.683 59.9402
51.608912 107.659 60.3640
51.982891 107.632 60.7518
52.359580 107.605 61.1147
52.739000 107.578 61.4580
53.121168 107.553 61.7806
53.506106 107.529 62.0810
53.893833 107.507 62.3632
54.284370 107.486 62.6377
54.677737 107.466 62.9179
55.073955 107.446 63.2136
55.473043 107.427 63.5279
55.875024 107.407 63.8571
56.279917 107.388 64.1934
56.687745 107.368 64.5297
57.098527 107.349 64.8618
57.512287 107.332 65.1906
57.929045 107.316 65.5223
58.348822 107.302 65.8662
58.771642 107.290 66.2316
59.197525 107.276 66.6238
59.626495 107.260 67.0403
60.058573 107.241 67.4711
60.493782 107.219 67.9015
60.932145 107.196 68.3176
61.373685 107.175 68.7128
61.818424 107.158 69.0907
62.266386 107.146 69.4642
62.717593 107.138 69.8505
63.172071 107.131 70.2634
63.629842 107.122 70.7064
64.090930 107.108 71.1708
64.555359 107.088 71.6385
65.023154 107.065 72.0904
65.494339 107.040 72.5147
65.968938 107.016 72.9123
66.446976 106.996 73.2955
66.928478 106.979 73.6814
67.413469 106.966 74.0840
67.901975 106.954 74.5090
68.394021 106.942 74.9529
68.889632 106.929 75.4072
69.388835 106.916 75.8635
69.891655 106.903 76.3183
70.398118 106.890 76.7742
70.908252 106.879 77.2376
71.422083 106.869 77.7141
71.939636 106.860 78.2056
72.460941 106.850 78.7089
72.986023 106.841 79.2170
73.514909 106.832 79.7225
74.047629 106.823 80.2204
74.584208 106.814 80.7104
75.124676 106.805 81.1971
75.669061 106.794 81.6877
76.217390 106.783 82.1889
76.769692 106.773 82.7036
77.325997 106.764 83.2298
77.886333 106.756 83.7618
78.450730 106.748 84.2942
79.019216 106.742 84.8239
79.591822 106.735 85.3508
80.168577 106.729 85.8755
80.749512 106.724 86.3989
81.334656 106.720 86.9229
81.924040 106.718 87.4504
82.517696 106.717 87.9828
83.115653 106.716 88.5199
83.717943 106.715 89.0615
84.324598 106.712 89.6069
84.935649 106.707 90.1511
85.551128 106.699 90.6852
86.171066 106.689 91.2029
86.795497 106.677 91.7052
87.424453 106.663 92.1991
88.057967 106.650 92.6939
88.696071 106.638 93.2013
89.338800 106.628 93.7330
89.986185 106.619 94.2938
90.638262 106.612 94.8763
91.295065 106.606 95.4670
91.956626 106.599 96.0573
92.622982 106.593 96.6468
93.294166 106.586 97.2374
93.970214 106.581 97.8279
94.651161 106.577 98.4163
95.337042 106.574 99.0038
96.027894 106.571 99.5917
96.723752 106.569 100.1781
97.424652 106.567 100.7602
98.130631 106.565 101.3404
98.841726 106.562 101.9265
99.557974 106.557 102.5260
100.279412 106.552 103.1412
101.006078 106.545 103.7696
101.738010 106.538 104.4066
102.475245 106.531 105.0475
103.217823 106.524 105.6870
103.965782 106.518 106.3201
104.719161 106.512 106.9446
105.477999 106.505 107.5619
106.242336 106.497 108.1753
107.012212 106.488 108.7875
107.787666 106.478 109.4008
108.568740 106.467 110.0177
109.355474 106.456 110.6405
110.147909 106.444 111.2698
110.946086 106.433 111.9045
111.750047 106.421 112.5444
112.559834 106.410 113.1908
113.375489 106.399 113.8467
114.197055 106.388 114.5133
115.024574 106.377 115.1885
115.858089 106.367 115.8688
116.697645 106.356 116.5517
117.543284 106.344 117.2376
118.395051 106.332 117.9283
119.252990 106.319 118.6260
120.117147 106.305 119.3320
120.987565 106.288 120.0473
121.864291 106.270 120.7722
122.747370 106.252 121.5077
123.636848 106.237 122.2556
124.532771 106.224 123.0168
125.435187 106.213 123.7885
126.344142 106.204 124.5658
127.259684 106.195 125.3451
128.181860 106.185 126.1250
129.110718 106.174 126.9058
130.046308 106.163 127.6873
130.988677 106.150 128.4700
131.937875 106.135 129.2568
132.893951 106.120 130.0513
133.856956 106.104 130.8551
134.826938 106.089 131.6699
135.803950 106.074 132.4975
136.788041 106.059 133.3376
137.779264 106.046 134.1881
138.777669 106.033 135.0464
139.783309 106.020 135.9105
140.796237 106.008 136.7787
141.816504 105.997 137.6497
142.844165 105.985 138.5230
143.879273 105.974 139.3987
144.921881 105.961 140.2768
145.972045 105.947 141.1584
147.029819 105.931 142.0455
148.095257 105.914 142.9381
149.168417 105.898 143.8323
150.249353 105.884 144.7231
151.338121 105.871 145.6101
152.434780 105.858 146.4995
153.539385 105.846 147.4007
154.651995 105.833 148.3192
155.772667 105.820 149.2545
156.901460 105.807 150.2022
158.038432 105.794 151.1586
159.183644 105.781 152.1236
160.337154 105.769 153.0995
161.499023 105.757 154.0877
162.669312 105.746 155.0866
163.848081 105.735 156.0926
165.035392 105.725 157.1026
166.231306 105.716 158.1152
167.435887 105.706 159.1314
168.649196 105.697 160.1535
169.871298 105.687 161.1829
171.102255 105.676 162.2186
172.342133 105.666 163.2581
173.590995 105.656 164.2992
174.848907 105.647 165.3415
176.115934 105.638 166.3859
177.392143 105.629 167.4339
178.677599 105.620 168.4882
179.972371 105.612 169.5511
181.276525 105.604 170.6239
182.590129 105.596 171.7056
183.913252 105.590 172.7937
185.245964 105.583 173.8873
186.588332 105.576 174.9881
187.940428 105.569 176.0978
189.302322 105.563 177.2165
190.674085 105.557 178.3439
192.055788 105.550 179.4802
193.447503 105.544 -179.3754
194.849303 105.538 -178.2261
196.261262 105.532 -177.0767
197.683452 105.526 -175.9305
199.115948 105.520 -174.7891
200.558824 105.514 -173.6518
202.012156 105.509 -172.5154
203.476019 105.505 -171.3755
204.950490 105.500 -170.2282
206.435646 105.495 -169.0708
207.931564 105.489 -167.9024
209.438322 105.484 -166.7234
210.955998 105.478 -165.5358
212.484672 105.472 -164.3445
214.024424 105.465 -163.1548
215.575333 105.457 -161.9681
217.137481 105.447 -160.7818
218.710948 105.436 -159.5912
220.295818 105.422 -158.3909
221.892172 105.407 -157.1761
223.500094 105.390 -155.9420
225.119668 105.371 -154.6835
226.750978 105.350 -153.3951
228.394109 105.330 -152.0717
230.049147 105.310 -150.7103
231.716178 105.293 -149.3119
233.395289 105.280 -147.8814
235.086567 105.272 -146.4262
236.790102 105.269 -144.9555
238.505980 105.271 -143.4805
240.234293 105.277 -142.0135
241.975130 105.288 -140.5643
243.728581 105.303 -139.1366
245.494739 105.319 -137.7296
247.273695 105.336 -136.3395
249.065542 105.352 -134.9617
250.870374 105.365 -133.5919
252.688284 105.375 -132.2272
254.519367 105.383 -130.8650
256.363720 105.390 -129.5033
258.221437 105.395 -128.1401
260.092616 105.401 -126.7736
261.977354 105.405 -125.4020
263.875750 105.409 -124.0244
265.787903 105.413 -122.6410
267.713911 105.416 -121.2531
269.653877 105.418 -119.8621
271.607900 105.419 -118.4687
273.576083 105.419 -117.0723
275.558528 105.419 -115.6704
277.555338 105.419 -114.2592
279.566619 105.419 -112.8351
281.592474 105.419 -111.3958
283.633009 105.420 -109.9418
285.688331 105.420 -108.4764
287.758546 105.419 -107.0036
289.843763 105.417 -105.5249
291.944090 105.414 -104.0399
294.059638 105.409 -102.5490
296.190515 105.403 -101.0531
298.336833 105.396 -99.5518
300.498705 105.389 -98.0434
302.676243 105.382 -96.5261
304.869559 105.375 -94.9980
307.078770 105.368 -93.4578
309.303989 105.363 -91.9058
311.545334 105.359 -90.3437
313.802919 105.356 -88.7729
316.076865 105.353 -87.1937
318.367288 105.349 -85.6053
320.674309 105.344 -84.0064
322.998047 105.338 -82.3959
325.338624 105.332 -80.7739
327.696162 105.325 -79.1423
330.070783 105.317 -77.5031
332.462612 105.310 -75.8565
334.871773 105.303 -74.2008
337.298392 105.296 -72.5336
339.742595 105.290 -70.8537
342.204510 105.284 -69.1623
344.684265 105.277 -67.4618
347.181989 105.269 -65.7532
349.697813 105.260 -64.0347
352.231868 105.251 -62.3031
354.784285 105.240 -60.5565
357.355198 105.230 -58.7957
359.944741 105.219 -57.0232
362.553049 105.208 -55.2403
365.180258 105.197 -53.4465
367.826505 105.186 -51.6402
370.491927 105.174 -49.8193
373.176665 105.162 -47.9814
375.880856 105.151 -46.1243
378.604644 105.140 -44.2482
381.348169 105.130 -42.3555
384.111575 105.121 -40.4489
386.895006 105.112 -38.5293
389.698607 105.103 -36.5968
392.522524 105.095 -34.6527
395.366904 105.090 -32.6988
