* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23.10.2024 17:15:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Revonext RH-213
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.920 -160.7579
20.507813 92.936 -161.3307
20.874023 92.947 -161.8381
21.240234 92.968 -162.3291
21.606445 92.998 -162.8481
21.972656 93.029 -163.3976
22.338867 93.058 -163.9446
22.705078 93.081 -164.4491
23.071289 93.101 -164.9181
23.437500 93.118 -165.4111
23.803711 93.124 -165.9553
24.169922 93.116 -166.5741
24.536133 93.088 -167.2193
24.902344 93.046 -167.7942
25.268555 93.011 -168.2824
25.634766 92.997 -168.6828
26.000977 93.009 -169.0565
26.367188 93.047 -169.5016
26.733399 93.089 -170.0113
27.099610 93.120 -170.5532
27.465821 93.139 -171.0765
27.832032 93.143 -171.5305
28.198243 93.139 -171.9177
28.564454 93.132 -172.2674
28.930665 93.119 -172.6062
29.296876 93.105 -172.9466
29.663087 93.089 -173.2769
30.029298 93.074 -173.5943
30.395509 93.063 -173.9155
30.761720 93.054 -174.2511
31.127931 93.045 -174.6062
31.494142 93.034 -174.9706
31.860353 93.021 -175.3308
32.226563 93.009 -175.6924
32.592774 93.001 -176.0428
32.958985 92.997 -176.3700
33.325196 92.998 -176.6833
33.691407 93.005 -176.9810
34.057618 93.010 -177.2797
34.423829 93.011 -177.6132
34.790040 93.003 -177.9736
35.156251 92.982 -178.3523
35.522462 92.951 -178.7130
35.888673 92.915 -179.0074
36.254884 92.888 -179.2355
36.621095 92.878 -179.4292
36.987306 92.885 -179.6439
37.353517 92.902 -179.9294
37.719728 92.914 179.7357
38.085939 92.911 179.4041
38.452150 92.895 179.1305
38.818361 92.871 178.9329
39.184572 92.847 178.7773
39.550783 92.827 178.6080
39.916994 92.810 178.3901
40.283205 92.796 178.1306
40.649416 92.783 177.8693
41.015627 92.775 177.6433
41.381838 92.774 177.4412
41.748049 92.782 177.2534
42.114260 92.794 177.0446
42.480471 92.804 176.8036
42.846682 92.801 176.5551
43.212893 92.787 176.3268
43.579103 92.767 176.1354
43.945314 92.750 175.9656
44.311525 92.742 175.7691
44.677736 92.736 175.5249
45.043947 92.726 175.2448
45.410158 92.708 174.9667
45.776369 92.686 174.7402
46.142580 92.666 174.5673
46.508791 92.657 174.4037
46.875002 92.656 174.1923
47.241213 92.658 173.8987
47.607424 92.655 173.5556
47.973635 92.645 173.2362
48.339846 92.634 173.0059
48.706057 92.630 172.8664
49.072268 92.636 172.7630
49.438479 92.647 172.6187
49.804690 92.651 172.4162
50.170901 92.638 172.1839
50.537112 92.607 171.9827
50.903323 92.568 171.8555
51.269534 92.536 171.7910
51.635745 92.520 171.7281
52.001956 92.518 171.6035
52.368167 92.520 171.3822
52.734378 92.518 171.1143
53.100589 92.507 170.8601
53.466800 92.492 170.6638
53.833011 92.474 170.5264
54.199222 92.458 170.4175
54.565432 92.444 170.3027
54.931643 92.432 170.1650
55.297854 92.420 169.9940
55.664065 92.407 169.8105
56.030276 92.396 169.6259
56.396487 92.384 169.4457
56.762698 92.373 169.2667
57.128909 92.361 169.0886
57.495120 92.350 168.9127
57.861331 92.336 168.7464
58.227542 92.321 168.5891
58.593753 92.305 168.4392
58.959964 92.290 168.2960
59.326175 92.276 168.1514
59.692386 92.266 168.0078
60.058597 92.253 167.8586
60.424808 92.245 167.6973
60.791019 92.235 167.5284
61.157230 92.221 167.3660
61.523441 92.203 167.2236
61.889652 92.184 167.1021
62.255863 92.166 166.9796
62.622074 92.150 166.8466
62.988285 92.135 166.6979
63.354496 92.120 166.5440
63.720707 92.105 166.3932
64.086918 92.090 166.2574
64.453129 92.078 166.1355
64.819340 92.070 166.0210
65.185551 92.064 165.8998
65.551762 92.058 165.7635
65.917972 92.049 165.6156
66.284183 92.035 165.4575
66.650394 92.017 165.3125
67.016605 91.998 165.1905
67.382816 91.980 165.0955
67.749027 91.963 165.0081
68.115238 91.949 164.9164
68.481449 91.937 164.8129
68.847660 91.924 164.6962
69.213871 91.910 164.5655
69.580082 91.894 164.4291
69.946293 91.876 164.2979
70.312504 91.859 164.1824
70.678715 91.843 164.0805
71.044926 91.829 163.9877
71.411137 91.816 163.8890
71.777348 91.805 163.7887
72.143559 91.795 163.6829
72.509770 91.785 163.5692
72.875981 91.773 163.4431
73.242192 91.760 163.3082
73.608403 91.744 163.1722
73.974614 91.727 163.0436
74.340825 91.709 162.9110
74.707036 91.692 162.7906
75.073247 91.677 162.6836
75.439458 91.665 162.5945
75.805669 91.654 162.5056
76.171880 91.642 162.4080
76.538091 91.629 162.3011
76.904301 91.614 162.1951
77.270512 91.598 162.0881
77.636723 91.582 161.9879
78.002934 91.566 161.8960
78.369145 91.551 161.8222
78.735356 91.538 161.7414
79.101567 91.526 161.6461
79.467778 91.514 161.5353
79.833989 91.499 161.4214
80.200200 91.481 161.3112
80.566411 91.463 161.2097
80.932622 91.444 161.1165
81.298833 91.426 161.0229
81.665044 91.409 160.9279
82.031255 91.392 160.8362
82.397466 91.378 160.7604
82.763677 91.367 160.6904
83.129888 91.360 160.6102
83.496099 91.357 160.5023
83.862310 91.352 160.3721
84.228521 91.340 160.2299
84.594732 91.322 160.0994
84.960943 91.299 160.0024
85.327154 91.277 159.9558
85.693365 91.258 159.9375
86.059576 91.243 159.9216
86.425787 91.231 159.8794
86.791998 91.219 159.8141
87.158209 91.209 159.7281
87.524420 91.197 159.6288
87.890631 91.184 159.5233
88.256841 91.169 159.4278
88.623052 91.153 159.3475
88.989263 91.137 159.2849
89.355474 91.124 159.2118
89.721685 91.114 159.1376
90.087896 91.105 159.0514
90.454107 91.095 158.9562
90.820318 91.080 158.8535
91.186529 91.061 158.7634
91.552740 91.041 158.7033
91.918951 91.025 158.6736
92.285162 91.012 158.6548
92.651373 91.004 158.6152
93.017584 90.997 158.5372
93.383795 90.988 158.4190
93.750006 90.974 158.2953
94.116217 90.956 158.1953
94.482428 90.936 158.1351
94.848639 90.917 158.1022
95.214850 90.903 158.0754
95.581061 90.892 158.0337
95.947272 90.881 157.9656
96.313483 90.867 157.8714
96.679694 90.848 157.7655
97.045905 90.827 157.6668
97.412116 90.807 157.5883
97.778327 90.789 157.5397
98.144538 90.774 157.5111
98.510749 90.764 157.4809
98.876960 90.757 157.4280
99.243170 90.750 157.3461
99.609381 90.739 157.2452
99.975592 90.722 157.1477
100.341803 90.704 157.0757
100.708014 90.685 157.0320
101.074225 90.670 156.9988
101.440436 90.659 156.9465
101.806647 90.648 156.8705
102.172858 90.635 156.7769
102.539069 90.619 156.6848
102.905280 90.601 156.6111
103.271491 90.587 156.5651
103.637702 90.576 156.5283
104.003913 90.568 156.4801
104.370124 90.558 156.4066
104.736335 90.545 156.3254
105.102546 90.528 156.2535
105.468757 90.508 156.2001
105.834968 90.488 156.1683
106.201179 90.473 156.1487
106.567390 90.460 156.1219
106.933601 90.448 156.0756
107.299812 90.436 156.0178
107.666023 90.423 155.9631
108.032234 90.410 155.9194
108.398445 90.398 155.8799
108.764656 90.388 155.8424
109.130867 90.376 155.8015
109.497078 90.364 155.7577
109.863289 90.350 155.7147
110.229500 90.335 155.6633
110.595710 90.322 155.6013
110.961921 90.308 155.5307
111.328132 90.293 155.4779
111.694343 90.278 155.4357
112.060554 90.264 155.4070
112.426765 90.253 155.3737
112.792976 90.245 155.3379
113.159187 90.237 155.2903
113.525398 90.226 155.2293
113.891609 90.210 155.1577
114.257820 90.189 155.0842
114.624031 90.168 155.0270
114.990242 90.148 154.9852
115.356453 90.134 154.9472
115.722664 90.122 154.8964
116.088875 90.111 154.8369
116.455086 90.100 154.7860
116.821297 90.088 154.7559
117.187508 90.078 154.7397
117.553719 90.072 154.7175
117.919930 90.066 154.6716
118.286141 90.055 154.6001
118.652352 90.038 154.5173
119.018563 90.017 154.4499
119.384774 89.997 154.4220
119.750985 89.979 154.4246
120.117196 89.968 154.4356
120.483407 89.960 154.4312
120.849618 89.954 154.4056
121.215829 89.944 154.3612
121.582040 89.930 154.3132
121.948250 89.916 154.2728
122.314461 89.901 154.2351
122.680672 89.887 154.1939
123.046883 89.873 154.1492
123.413094 89.859 154.1238
123.779305 89.844 154.1071
124.145516 89.828 154.0981
124.511727 89.814 154.0888
124.877938 89.801 154.0771
125.244149 89.790 154.0418
125.610360 89.779 153.9857
125.976571 89.767 153.9178
126.342782 89.756 153.8582
126.708993 89.745 153.7950
127.075204 89.735 153.7302
127.441415 89.724 153.6716
127.807626 89.711 153.6261
128.173837 89.697 153.5978
128.540048 89.681 153.5878
128.906259 89.665 153.5933
129.272470 89.650 153.5996
129.638681 89.636 153.5911
130.004892 89.623 153.5607
130.371103 89.610 153.5216
130.737314 89.596 153.4763
131.103525 89.583 153.4350
131.469736 89.569 153.4017
131.835947 89.557 153.3909
132.202158 89.547 153.4002
132.568369 89.538 153.4090
132.934579 89.528 153.3929
133.300790 89.515 153.3433
133.667001 89.497 153.2783
134.033212 89.477 153.2233
134.399423 89.460 153.1939
134.765634 89.451 153.1823
135.131845 89.453 153.1564
135.498056 89.461 153.0865
135.864267 89.466 152.9785
136.230478 89.461 152.8734
136.596689 89.443 152.8094
136.962900 89.419 152.8055
137.329111 89.393 152.8499
137.695322 89.372 152.9068
138.061533 89.356 152.9359
138.427744 89.344 152.9135
138.793955 89.332 152.8671
139.160166 89.319 152.8240
139.526377 89.307 152.7952
139.892588 89.297 152.7680
140.258799 89.288 152.7236
140.625010 89.277 152.6732
140.991221 89.261 152.6390
141.357432 89.245 152.6557
141.723643 89.230 152.6974
142.089854 89.219 152.7335
142.456065 89.213 152.7291
142.822276 89.206 152.6898
143.188487 89.192 152.6411
143.554698 89.175 152.6110
143.920909 89.157 152.6064
144.287119 89.144 152.6108
144.653330 89.136 152.5991
145.019541 89.128 152.5562
145.385752 89.119 152.4886
145.751963 89.105 152.4313
146.118174 89.089 152.4100
146.484385 89.075 152.4254
146.850596 89.066 152.4564
147.216807 89.061 152.4728
147.583018 89.055 152.4552
147.949229 89.045 152.4097
148.315440 89.028 152.3658
148.681651 89.006 152.3456
149.047862 88.985 152.3542
149.414073 88.971 152.3706
149.780284 88.961 152.3757
150.146495 88.952 152.3535
150.512706 88.939 152.3078
150.878917 88.925 152.2579
151.245128 88.909 152.2323
151.611339 88.895 152.2347
151.977550 88.885 152.2511
152.343761 88.880 152.2496
152.709972 88.876 152.2306
153.076183 88.869 152.1984
153.442394 88.857 152.1667
153.808605 88.842 152.1459
154.174816 88.829 152.1310
154.541027 88.818 152.1082
154.907238 88.808 152.0683
155.273448 88.795 152.0190
155.639659 88.780 151.9730
156.005870 88.763 151.9484
156.372081 88.746 151.9686
156.738292 88.732 152.0120
157.104503 88.723 152.0566
157.470714 88.716 152.0807
157.836925 88.709 152.0906
158.203136 88.700 152.0832
158.569347 88.688 152.0630
158.935558 88.675 152.0341
159.301769 88.665 152.0101
159.667980 88.654 151.9830
160.034191 88.640 151.9591
160.400402 88.624 151.9379
160.766613 88.609 151.9378
161.132824 88.597 151.9549
161.499035 88.588 151.9764
161.865246 88.581 151.9838
162.231457 88.573 151.9713
162.597668 88.562 151.9476
162.963879 88.550 151.9253
163.330090 88.536 151.9090
163.696301 88.522 151.8997
164.062512 88.509 151.8928
164.428723 88.499 151.8853
164.794934 88.489 151.8729
165.161145 88.477 151.8600
165.527356 88.465 151.8509
165.893567 88.453 151.8447
166.259778 88.439 151.8459
166.625988 88.426 151.8506
166.992199 88.413 151.8545
167.358410 88.405 151.8372
167.724621 88.397 151.8174
168.090832 88.388 151.7992
168.457043 88.375 151.7872
168.823254 88.362 151.7814
169.189465 88.350 151.7787
169.555676 88.338 151.7742
169.921887 88.326 151.7637
170.288098 88.317 151.7526
170.654309 88.307 151.7385
171.020520 88.297 151.7259
171.386731 88.283 151.7250
171.752942 88.270 151.7308
