* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 20.05.2023 13:29:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B+CLASSIC
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 113.594 -91.9681
20.333664 113.619 -92.1685
20.481010 113.657 -92.4639
20.629424 113.702 -92.8259
20.778913 113.752 -93.2291
20.929486 113.803 -93.6534
21.081150 113.854 -94.0837
21.233912 113.903 -94.5093
21.387782 113.952 -94.9223
21.542767 114.000 -95.3180
21.698874 114.048 -95.6944
21.856113 114.098 -96.0524
22.014492 114.150 -96.3960
22.174018 114.205 -96.7317
22.334700 114.264 -97.0685
22.496546 114.327 -97.4160
22.659566 114.393 -97.7843
22.823766 114.461 -98.1818
22.989157 114.530 -98.6143
23.155745 114.599 -99.0844
23.323542 114.665 -99.5902
23.492554 114.726 -100.1263
23.662790 114.783 -100.6839
23.834261 114.834 -101.2518
24.006973 114.879 -101.8182
24.180938 114.919 -102.3718
24.356163 114.956 -102.9037
24.532658 114.990 -103.4084
24.710431 115.025 -103.8845
24.889493 115.061 -104.3348
25.069853 115.099 -104.7658
25.251519 115.141 -105.1862
25.434502 115.187 -105.6055
25.618811 115.234 -106.0321
25.804456 115.284 -106.4718
25.991445 115.333 -106.9272
26.179790 115.381 -107.3972
26.369500 115.428 -107.8775
26.560584 115.472 -108.3620
26.753053 115.513 -108.8442
26.946917 115.552 -109.3182
27.142185 115.590 -109.7805
27.338869 115.628 -110.2297
27.536977 115.666 -110.6674
27.736522 115.705 -111.0969
27.937512 115.745 -111.5220
28.139959 115.785 -111.9465
28.343872 115.825 -112.3725
28.549264 115.864 -112.8002
28.756143 115.901 -113.2279
28.964522 115.937 -113.6524
29.174411 115.971 -114.0703
29.385821 116.004 -114.4789
29.598763 116.037 -114.8772
29.813248 116.069 -115.2663
30.029287 116.102 -115.6493
30.246891 116.136 -116.0308
30.466073 116.171 -116.4157
30.686842 116.207 -116.8082
30.909212 116.242 -117.2107
31.133193 116.278 -117.6236
31.358797 116.312 -118.0452
31.586035 116.345 -118.4724
31.814921 116.377 -118.9014
32.045465 116.408 -119.3290
32.277680 116.439 -119.7531
32.511577 116.470 -120.1729
32.747169 116.501 -120.5885
32.984469 116.533 -121.0007
33.223488 116.566 -121.4093
33.464239 116.598 -121.8131
33.706735 116.629 -122.2089
33.950987 116.659 -122.5925
34.197010 116.689 -122.9592
34.444816 116.718 -123.3058
34.694417 116.748 -123.6320
34.945827 116.779 -123.9413
35.199059 116.812 -124.2411
35.454126 116.847 -124.5419
35.711041 116.884 -124.8550
35.969818 116.920 -125.1899
36.230470 116.956 -125.5527
36.493011 116.988 -125.9445
36.757455 117.017 -126.3620
37.023814 117.041 -126.7990
37.292104 117.062 -127.2483
37.562338 117.079 -127.7043
37.834530 117.095 -128.1635
38.108695 117.111 -128.6247
38.384846 117.126 -129.0874
38.662999 117.143 -129.5508
38.943167 117.161 -130.0116
39.225365 117.180 -130.4644
39.509608 117.200 -130.9030
39.795911 117.221 -131.3219
40.084289 117.244 -131.7187
40.374756 117.270 -132.0951
40.667328 117.296 -132.4561
40.962020 117.324 -132.8091
41.258848 117.351 -133.1609
41.557827 117.376 -133.5163
41.858972 117.399 -133.8773
42.162299 117.420 -134.2433
42.467824 117.437 -134.6123
42.775564 117.454 -134.9823
43.085533 117.469 -135.3518
43.397749 117.485 -135.7200
43.712227 117.501 -136.0863
44.028983 117.518 -136.4507
44.348036 117.536 -136.8128
44.669400 117.554 -137.1725
44.993093 117.571 -137.5299
45.319131 117.588 -137.8850
45.647532 117.604 -138.2376
45.978313 117.620 -138.5865
46.311491 117.635 -138.9302
46.647083 117.650 -139.2666
46.985107 117.666 -139.5944
47.325581 117.684 -139.9142
47.668521 117.702 -140.2283
48.013947 117.723 -140.5414
48.361876 117.744 -140.8590
48.712326 117.764 -141.1862
49.065315 117.783 -141.5258
49.420863 117.801 -141.8771
49.778987 117.816 -142.2358
50.139706 117.829 -142.5952
50.503039 117.841 -142.9484
50.869005 117.852 -143.2905
51.237623 117.864 -143.6202
51.608912 117.875 -143.9395
51.982891 117.886 -144.2521
52.359580 117.897 -144.5619
52.739000 117.906 -144.8713
53.121168 117.915 -145.1816
53.506106 117.924 -145.4934
53.893833 117.934 -145.8065
54.284370 117.944 -146.1202
54.677737 117.956 -146.4325
55.073955 117.968 -146.7410
55.473043 117.980 -147.0440
55.875024 117.990 -147.3427
56.279917 117.998 -147.6412
56.687745 118.004 -147.9456
57.098527 118.009 -148.2601
57.512287 118.013 -148.5854
57.929045 118.018 -148.9183
58.348822 118.023 -149.2533
58.771642 118.030 -149.5858
59.197525 118.038 -149.9131
59.626495 118.046 -150.2344
60.058573 118.054 -150.5494
60.493782 118.062 -150.8582
60.932145 118.070 -151.1613
61.373685 118.078 -151.4611
61.818424 118.087 -151.7607
62.266386 118.097 -152.0627
62.717593 118.107 -152.3677
63.172071 118.117 -152.6738
63.629842 118.125 -152.9790
64.090930 118.132 -153.2826
64.555359 118.137 -153.5857
65.023154 118.141 -153.8894
65.494339 118.145 -154.1922
65.968938 118.148 -154.4908
66.446976 118.151 -154.7817
66.928478 118.154 -155.0642
67.413469 118.157 -155.3405
67.901975 118.160 -155.6143
68.394021 118.163 -155.8885
68.889632 118.165 -156.1648
69.388835 118.168 -156.4435
69.891655 118.171 -156.7243
70.398118 118.173 -157.0066
70.908252 118.174 -157.2898
71.422083 118.173 -157.5726
71.939636 118.169 -157.8535
72.460941 118.164 -158.1308
72.986023 118.159 -158.4040
73.514909 118.155 -158.6741
74.047629 118.154 -158.9425
74.584208 118.155 -159.2072
75.124676 118.157 -159.4639
75.669061 118.160 -159.7096
76.217390 118.164 -159.9467
76.769692 118.169 -160.1830
77.325997 118.174 -160.4260
77.886333 118.180 -160.6783
78.450730 118.185 -160.9378
79.019216 118.188 -161.2014
79.591822 118.190 -161.4671
80.168577 118.190 -161.7343
80.749512 118.189 -162.0023
81.334656 118.188 -162.2699
81.924040 118.187 -162.5357
82.517696 118.185 -162.7983
83.115653 118.184 -163.0573
83.717943 118.182 -163.3136
84.324598 118.180 -163.5683
84.935649 118.177 -163.8221
85.551128 118.174 -164.0737
86.171066 118.171 -164.3217
86.795497 118.167 -164.5654
87.424453 118.164 -164.8064
88.057967 118.160 -165.0463
88.696071 118.155 -165.2862
89.338800 118.149 -165.5255
89.986185 118.144 -165.7639
90.638262 118.138 -166.0019
91.295065 118.133 -166.2406
91.956626 118.127 -166.4798
92.622982 118.122 -166.7181
93.294166 118.117 -166.9538
93.970214 118.111 -167.1863
94.651161 118.105 -167.4164
95.337042 118.099 -167.6454
96.027894 118.094 -167.8739
96.723752 118.088 -168.1016
97.424652 118.082 -168.3280
98.130631 118.076 -168.5540
98.841726 118.070 -168.7811
99.557974 118.065 -169.0099
100.279412 118.058 -169.2374
101.006078 118.050 -169.4590
101.738010 118.042 -169.6712
102.475245 118.032 -169.8740
103.217823 118.022 -170.0715
103.965782 118.012 -170.2681
104.719161 118.002 -170.4666
105.477999 117.992 -170.6678
106.242336 117.983 -170.8716
107.012212 117.973 -171.0776
107.787666 117.963 -171.2847
108.568740 117.953 -171.4916
109.355474 117.942 -171.6980
110.147909 117.932 -171.9042
110.946086 117.922 -172.1109
111.750047 117.911 -172.3184
112.559834 117.900 -172.5259
113.375489 117.890 -172.7321
114.197055 117.879 -172.9350
115.024574 117.869 -173.1333
115.858089 117.859 -173.3263
116.697645 117.848 -173.5137
117.543284 117.838 -173.6953
118.395051 117.826 -173.8720
119.252990 117.814 -174.0455
120.117147 117.801 -174.2179
120.987565 117.787 -174.3909
121.864291 117.773 -174.5651
122.747370 117.759 -174.7408
123.636848 117.745 -174.9179
124.532771 117.730 -175.0964
125.435187 117.715 -175.2763
126.344142 117.700 -175.4580
127.259684 117.685 -175.6413
128.181860 117.669 -175.8230
129.110718 117.654 -175.9993
130.046308 117.639 -176.1687
130.988677 117.624 -176.3338
131.937875 117.610 -176.4993
132.893951 117.596 -176.6679
133.856956 117.582 -176.8391
134.826938 117.568 -177.0102
135.803950 117.552 -177.1788
136.788041 117.537 -177.3437
137.779264 117.520 -177.5049
138.777669 117.504 -177.6631
139.783309 117.487 -177.8190
140.796237 117.470 -177.9719
141.816504 117.451 -178.1205
142.844165 117.430 -178.2629
143.879273 117.408 -178.3968
144.921881 117.384 -178.5210
145.972045 117.359 -178.6389
147.029819 117.335 -178.7598
148.095257 117.315 -178.8929
149.168417 117.297 -179.0389
150.249353 117.279 -179.1897
151.338121 117.262 -179.3367
152.434780 117.243 -179.4747
153.539385 117.224 -179.6020
154.651995 117.204 -179.7192
155.772667 117.183 -179.8277
156.901460 117.160 -179.9283
158.038432 117.138 179.9779
159.183644 117.114 179.8887
160.337154 117.091 179.8011
161.499023 117.068 179.7135
162.669312 117.044 179.6266
163.848081 117.021 179.5428
165.035392 116.998 179.4637
166.231306 116.974 179.3891
167.435887 116.951 179.3198
168.649196 116.928 179.2576
169.871298 116.905 179.2056
171.102255 116.883 179.1670
172.342133 116.863 179.1434
173.590995 116.844 179.1342
174.848907 116.826 179.1372
176.115934 116.811 179.1485
177.392143 116.798 179.1641
178.677599 116.788 179.1808
179.972371 116.781 179.1937
181.276525 116.777 179.1958
182.590129 116.775 179.1792
183.913252 116.776 179.1384
185.245964 116.778 179.0728
186.588332 116.780 178.9864
187.940428 116.780 178.8851
189.302322 116.777 178.7736
190.674085 116.771 178.6543
192.055788 116.763 178.5281
193.447503 116.753 178.3965
194.849303 116.740 178.2622
196.261262 116.726 178.1279
197.683452 116.710 177.9955
199.115948 116.693 177.8665
200.558824 116.675 177.7433
202.012156 116.656 177.6277
203.476019 116.637 177.5197
204.950490 116.616 177.4173
206.435646 116.594 177.3186
207.931564 116.571 177.2227
209.438322 116.548 177.1303
210.955998 116.524 177.0424
212.484672 116.499 176.9590
214.024424 116.474 176.8793
215.575333 116.448 176.8032
217.137481 116.423 176.7309
218.710948 116.398 176.6628
220.295818 116.374 176.5993
221.892172 116.351 176.5408
223.500094 116.330 176.4878
225.119668 116.310 176.4401
226.750978 116.290 176.3968
228.394109 116.269 176.3561
230.049147 116.247 176.3160
231.716178 116.225 176.2758
233.395289 116.201 176.2360
235.086567 116.178 176.1976
236.790102 116.154 176.1620
238.505980 116.130 176.1298
240.234293 116.106 176.1012
241.975130 116.083 176.0755
243.728581 116.059 176.0523
245.494739 116.036 176.0312
247.273695 116.013 176.0127
249.065542 115.990 175.9980
250.870374 115.967 175.9883
252.688284 115.943 175.9843
254.519367 115.919 175.9853
256.363720 115.895 175.9903
258.221437 115.871 175.9975
260.092616 115.848 176.0050
261.977354 115.824 176.0106
263.875750 115.801 176.0137
265.787903 115.778 176.0155
267.713911 115.755 176.0177
269.653877 115.732 176.0221
271.607900 115.709 176.0298
273.576083 115.686 176.0411
275.558528 115.663 176.0554
277.555338 115.640 176.0719
279.566619 115.617 176.0898
281.592474 115.594 176.1090
283.633009 115.571 176.1302
285.688331 115.547 176.1541
287.758546 115.523 176.1811
289.843763 115.499 176.2109
291.944090 115.476 176.2432
294.059638 115.452 176.2772
296.190515 115.429 176.3126
298.336833 115.406 176.3491
300.498705 115.383 176.3867
302.676243 115.360 176.4268
304.869559 115.337 176.4708
307.078770 115.314 176.5201
309.303989 115.290 176.5748
311.545334 115.266 176.6341
313.802919 115.243 176.6981
316.076865 115.219 176.7667
318.367288 115.196 176.8401
320.674309 115.173 176.9179
322.998047 115.151 176.9997
325.338624 115.130 177.0848
327.696162 115.109 177.1721
330.070783 115.089 177.2601
332.462612 115.069 177.3478
334.871773 115.049 177.4339
337.298392 115.030 177.5179
339.742595 115.011 177.5999
342.204510 114.993 177.6796
344.684265 114.974 177.7575
347.181989 114.955 177.8340
349.697813 114.936 177.9105
352.231868 114.917 177.9881
