* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 20.05.2023 13:28:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R+CLASSIC
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 113.476 -92.4595
20.333664 113.500 -92.6490
20.481010 113.535 -92.9265
20.629424 113.579 -93.2640
20.778913 113.629 -93.6384
20.929486 113.682 -94.0341
21.081150 113.738 -94.4420
21.233912 113.796 -94.8580
21.387782 113.855 -95.2806
21.542767 113.913 -95.7097
21.698874 113.972 -96.1455
21.856113 114.030 -96.5880
22.014492 114.087 -97.0366
22.174018 114.142 -97.4899
22.334700 114.196 -97.9462
22.496546 114.248 -98.4035
22.659566 114.298 -98.8598
22.823766 114.348 -99.3139
22.989157 114.396 -99.7650
23.155745 114.445 -100.2134
23.323542 114.494 -100.6604
23.492554 114.543 -101.1077
23.662790 114.594 -101.5579
23.834261 114.645 -102.0132
24.006973 114.697 -102.4757
24.180938 114.750 -102.9462
24.356163 114.802 -103.4246
24.532658 114.854 -103.9092
24.710431 114.904 -104.3974
24.889493 114.954 -104.8852
25.069853 115.001 -105.3684
25.251519 115.047 -105.8428
25.434502 115.091 -106.3049
25.618811 115.134 -106.7525
25.804456 115.176 -107.1847
25.991445 115.218 -107.6026
26.179790 115.260 -108.0085
26.369500 115.302 -108.4062
26.560584 115.345 -108.7998
26.753053 115.388 -109.1936
26.946917 115.431 -109.5913
27.142185 115.474 -109.9955
27.338869 115.517 -110.4079
27.536977 115.559 -110.8289
27.736522 115.600 -111.2580
27.937512 115.641 -111.6938
28.139959 115.681 -112.1347
28.343872 115.721 -112.5790
28.549264 115.760 -113.0248
28.756143 115.798 -113.4706
28.964522 115.836 -113.9149
29.174411 115.874 -114.3564
29.385821 115.911 -114.7941
29.598763 115.948 -115.2271
29.813248 115.984 -115.6552
30.029287 116.020 -116.0784
30.246891 116.056 -116.4977
30.466073 116.091 -116.9146
30.686842 116.127 -117.3309
30.909212 116.162 -117.7485
31.133193 116.197 -118.1688
31.358797 116.232 -118.5925
31.586035 116.266 -119.0194
31.814921 116.300 -119.4482
32.045465 116.332 -119.8772
32.277680 116.365 -120.3043
32.511577 116.397 -120.7279
32.747169 116.428 -121.1474
32.984469 116.460 -121.5629
33.223488 116.492 -121.9752
33.464239 116.524 -122.3856
33.706735 116.555 -122.7954
33.950987 116.586 -123.2050
34.197010 116.615 -123.6143
34.444816 116.644 -124.0222
34.694417 116.671 -124.4278
34.945827 116.697 -124.8304
35.199059 116.723 -125.2298
35.454126 116.749 -125.6269
35.711041 116.774 -126.0231
35.969818 116.800 -126.4200
36.230470 116.826 -126.8187
36.493011 116.852 -127.2194
36.757455 116.879 -127.6214
37.023814 116.904 -128.0234
37.292104 116.930 -128.4239
37.562338 116.956 -128.8221
37.834530 116.981 -129.2178
38.108695 117.006 -129.6120
38.384846 117.031 -130.0058
38.662999 117.056 -130.4001
38.943167 117.080 -130.7951
39.225365 117.103 -131.1901
39.509608 117.124 -131.5835
39.795911 117.145 -131.9738
40.084289 117.166 -132.3601
40.374756 117.187 -132.7423
40.667328 117.209 -133.1216
40.962020 117.230 -133.4994
41.258848 117.253 -133.8769
41.557827 117.275 -134.2545
41.858972 117.296 -134.6310
42.162299 117.316 -135.0044
42.467824 117.335 -135.3726
42.775564 117.353 -135.7344
43.085533 117.370 -136.0904
43.397749 117.386 -136.4428
43.712227 117.403 -136.7950
44.028983 117.420 -137.1496
44.348036 117.437 -137.5078
44.669400 117.455 -137.8686
44.993093 117.474 -138.2293
45.319131 117.493 -138.5867
45.647532 117.512 -138.9386
45.978313 117.532 -139.2847
46.311491 117.551 -139.6259
46.647083 117.569 -139.9633
46.985107 117.584 -140.2972
47.325581 117.596 -140.6272
47.668521 117.606 -140.9533
48.013947 117.614 -141.2773
48.361876 117.623 -141.6043
48.712326 117.634 -141.9410
49.065315 117.647 -142.2934
49.420863 117.662 -142.6631
49.778987 117.680 -143.0465
50.139706 117.698 -143.4353
50.503039 117.716 -143.8202
50.869005 117.733 -144.1940
51.237623 117.750 -144.5543
51.608912 117.766 -144.9029
51.982891 117.780 -145.2436
52.359580 117.793 -145.5804
52.739000 117.804 -145.9162
53.121168 117.815 -146.2526
53.506106 117.826 -146.5910
53.893833 117.837 -146.9315
54.284370 117.848 -147.2731
54.677737 117.859 -147.6132
55.073955 117.870 -147.9488
55.473043 117.880 -148.2776
55.875024 117.891 -148.5994
56.279917 117.901 -148.9168
56.687745 117.911 -149.2336
57.098527 117.920 -149.5535
57.512287 117.929 -149.8789
57.929045 117.937 -150.2095
58.348822 117.943 -150.5432
58.771642 117.949 -150.8763
59.197525 117.954 -151.2059
59.626495 117.960 -151.5299
60.058573 117.966 -151.8476
60.493782 117.973 -152.1594
60.932145 117.981 -152.4658
61.373685 117.988 -152.7678
61.818424 117.996 -153.0669
62.266386 118.002 -153.3653
62.717593 118.007 -153.6646
63.172071 118.010 -153.9652
63.629842 118.012 -154.2661
64.090930 118.014 -154.5664
64.555359 118.015 -154.8665
65.023154 118.016 -155.1676
65.494339 118.018 -155.4713
65.968938 118.020 -155.7772
66.446976 118.022 -156.0834
66.928478 118.023 -156.3877
67.413469 118.025 -156.6887
67.901975 118.028 -156.9872
68.394021 118.031 -157.2843
68.889632 118.034 -157.5804
69.388835 118.037 -157.8737
69.891655 118.038 -158.1610
70.398118 118.038 -158.4397
70.908252 118.037 -158.7099
71.422083 118.034 -158.9744
71.939636 118.030 -159.2374
72.460941 118.025 -159.5034
72.986023 118.021 -159.7765
73.514909 118.017 -160.0596
74.047629 118.016 -160.3530
74.584208 118.015 -160.6532
75.124676 118.016 -160.9527
75.669061 118.017 -161.2435
76.217390 118.018 -161.5209
76.769692 118.020 -161.7856
77.325997 118.022 -162.0433
77.886333 118.025 -162.3009
78.450730 118.027 -162.5632
79.019216 118.030 -162.8301
79.591822 118.030 -163.0974
80.168577 118.029 -163.3597
80.749512 118.026 -163.6143
81.334656 118.023 -163.8630
81.924040 118.019 -164.1111
82.517696 118.016 -164.3636
83.115653 118.012 -164.6222
83.717943 118.008 -164.8846
84.324598 118.004 -165.1467
84.935649 117.999 -165.4059
85.551128 117.994 -165.6619
86.171066 117.989 -165.9159
86.795497 117.984 -166.1685
87.424453 117.979 -166.4194
88.057967 117.974 -166.6687
88.696071 117.969 -166.9185
89.338800 117.964 -167.1717
89.986185 117.958 -167.4293
90.638262 117.953 -167.6883
91.295065 117.946 -167.9441
91.956626 117.939 -168.1937
92.622982 117.933 -168.4381
93.294166 117.926 -168.6801
93.970214 117.918 -168.9219
94.651161 117.910 -169.1638
95.337042 117.900 -169.4044
96.027894 117.890 -169.6415
96.723752 117.878 -169.8729
97.424652 117.865 -170.0980
98.130631 117.851 -170.3190
98.841726 117.836 -170.5400
99.557974 117.823 -170.7659
100.279412 117.811 -171.0016
101.006078 117.801 -171.2465
101.738010 117.794 -171.4926
102.475245 117.787 -171.7282
103.217823 117.781 -171.9471
103.965782 117.774 -172.1520
104.719161 117.766 -172.3502
105.477999 117.758 -172.5498
106.242336 117.748 -172.7556
107.012212 117.739 -172.9685
107.787666 117.729 -173.1855
108.568740 117.718 -173.4019
109.355474 117.707 -173.6144
110.147909 117.696 -173.8229
110.946086 117.685 -174.0289
111.750047 117.673 -174.2337
112.559834 117.660 -174.4382
113.375489 117.648 -174.6435
114.197055 117.635 -174.8516
115.024574 117.623 -175.0647
115.858089 117.610 -175.2834
116.697645 117.595 -175.5048
117.543284 117.580 -175.7213
118.395051 117.563 -175.9258
119.252990 117.546 -176.1165
120.117147 117.529 -176.2981
120.987565 117.512 -176.4769
121.864291 117.496 -176.6580
122.747370 117.479 -176.8440
123.636848 117.463 -177.0347
124.532771 117.447 -177.2274
125.435187 117.432 -177.4185
126.344142 117.417 -177.6051
127.259684 117.403 -177.7867
128.181860 117.389 -177.9652
129.110718 117.373 -178.1422
130.046308 117.354 -178.3182
130.988677 117.333 -178.4940
131.937875 117.310 -178.6699
132.893951 117.286 -178.8457
133.856956 117.262 -179.0195
134.826938 117.237 -179.1894
135.803950 117.214 -179.3546
136.788041 117.190 -179.5164
137.779264 117.168 -179.6756
138.777669 117.145 -179.8316
139.783309 117.123 -179.9832
140.796237 117.101 179.8694
141.816504 117.081 179.7244
142.844165 117.064 179.5770
143.879273 117.048 179.4224
144.921881 117.034 179.2623
145.972045 117.018 179.1113
147.029819 116.997 178.9922
148.095257 116.969 178.9210
149.168417 116.935 178.8937
150.249353 116.900 178.8923
151.338121 116.868 178.9022
152.434780 116.840 178.9175
153.539385 116.817 178.9355
154.651995 116.798 178.9527
155.772667 116.784 178.9640
156.901460 116.773 178.9644
158.038432 116.763 178.9497
159.183644 116.755 178.9167
160.337154 116.747 178.8643
161.499023 116.740 178.7929
162.669312 116.733 178.7035
163.848081 116.725 178.5991
165.035392 116.719 178.4857
166.231306 116.712 178.3694
167.435887 116.705 178.2537
168.649196 116.698 178.1399
169.871298 116.689 178.0285
171.102255 116.678 177.9177
172.342133 116.666 177.8036
173.590995 116.653 177.6815
174.848907 116.638 177.5485
176.115934 116.623 177.4068
177.392143 116.608 177.2632
178.677599 116.594 177.1243
179.972371 116.579 176.9921
181.276525 116.565 176.8647
182.590129 116.550 176.7391
183.913252 116.535 176.6137
185.245964 116.518 176.4891
186.588332 116.501 176.3659
187.940428 116.483 176.2449
189.302322 116.463 176.1266
190.674085 116.443 176.0104
192.055788 116.422 175.8946
193.447503 116.401 175.7776
194.849303 116.379 175.6588
196.261262 116.356 175.5384
197.683452 116.334 175.4179
199.115948 116.310 175.2998
200.558824 116.287 175.1863
202.012156 116.263 175.0795
203.476019 116.239 174.9818
204.950490 116.214 174.8948
206.435646 116.189 174.8173
207.931564 116.164 174.7458
209.438322 116.138 174.6770
210.955998 116.113 174.6089
212.484672 116.088 174.5399
214.024424 116.063 174.4685
215.575333 116.040 174.3939
217.137481 116.016 174.3170
218.710948 115.992 174.2418
220.295818 115.967 174.1753
221.892172 115.941 174.1231
223.500094 115.913 174.0843
225.119668 115.884 174.0523
226.750978 115.855 174.0224
228.394109 115.826 173.9935
230.049147 115.798 173.9670
231.716178 115.770 173.9438
233.395289 115.743 173.9234
235.086567 115.717 173.9053
236.790102 115.690 173.8899
238.505980 115.664 173.8773
240.234293 115.637 173.8676
241.975130 115.611 173.8612
243.728581 115.585 173.8587
245.494739 115.559 173.8609
247.273695 115.533 173.8685
249.065542 115.508 173.8817
250.870374 115.483 173.8998
252.688284 115.458 173.9207
254.519367 115.434 173.9424
256.363720 115.410 173.9630
258.221437 115.387 173.9811
260.092616 115.364 173.9972
261.977354 115.342 174.0115
263.875750 115.319 174.0244
265.787903 115.297 174.0359
267.713911 115.275 174.0460
269.653877 115.253 174.0550
271.607900 115.231 174.0634
273.576083 115.209 174.0721
275.558528 115.187 174.0826
277.555338 115.165 174.0959
279.566619 115.141 174.1128
281.592474 115.118 174.1332
283.633009 115.094 174.1566
285.688331 115.070 174.1826
287.758546 115.046 174.2101
289.843763 115.022 174.2385
291.944090 114.998 174.2675
294.059638 114.974 174.2972
296.190515 114.950 174.3284
298.336833 114.927 174.3620
300.498705 114.903 174.3986
302.676243 114.879 174.4376
304.869559 114.855 174.4782
307.078770 114.831 174.5190
309.303989 114.808 174.5597
311.545334 114.785 174.6015
313.802919 114.762 174.6457
316.076865 114.738 174.6931
318.367288 114.715 174.7443
320.674309 114.690 174.7989
322.998047 114.666 174.8566
325.338624 114.642 174.9171
327.696162 114.618 174.9803
330.070783 114.594 175.0457
332.462612 114.570 175.1133
334.871773 114.546 175.1832
337.298392 114.522 175.2556
339.742595 114.498 175.3303
342.204510 114.475 175.4071
344.684265 114.451 175.4863
347.181989 114.428 175.5679
349.697813 114.404 175.6525
352.231868 114.381 175.7404
354.784285 114.357 175.8318
357.355198 114.334 175.9266
