* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -7,1 dBFS, measurement signal peak level -7,1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 01.01.2024 21:10:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0196 ms (-6,7 mm, -0,26 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Salnotes Dioko
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 113.619 -143.4496
20.333664 113.623 -143.5757
20.481010 113.629 -143.7269
20.629424 113.635 -143.9021
20.778913 113.642 -144.0995
20.929486 113.650 -144.3176
21.081150 113.659 -144.5546
21.233912 113.668 -144.8086
21.387782 113.677 -145.0777
21.542767 113.686 -145.3599
21.698874 113.696 -145.6534
21.856113 113.706 -145.9562
22.014492 113.716 -146.2667
22.174018 113.726 -146.5830
22.334700 113.736 -146.9038
22.496546 113.746 -147.2276
22.659566 113.756 -147.5534
22.823766 113.766 -147.8801
22.989157 113.775 -148.2072
23.155745 113.785 -148.5342
23.323542 113.794 -148.8610
23.492554 113.804 -149.1878
23.662790 113.813 -149.5150
23.834261 113.823 -149.8433
24.006973 113.832 -150.1737
24.180938 113.842 -150.5072
24.356163 113.851 -150.8452
24.532658 113.861 -151.1890
24.710431 113.870 -151.5399
24.889493 113.879 -151.8992
25.069853 113.887 -152.2679
25.251519 113.895 -152.6467
25.434502 113.902 -153.0360
25.618811 113.908 -153.4356
25.804456 113.913 -153.8449
25.991445 113.916 -154.2628
26.179790 113.919 -154.6877
26.369500 113.920 -155.1179
26.560584 113.920 -155.5511
26.753053 113.919 -155.9853
26.946917 113.917 -156.4185
27.142185 113.915 -156.8487
27.338869 113.912 -157.2745
27.536977 113.910 -157.6949
27.736522 113.908 -158.1095
27.937512 113.906 -158.5181
28.139959 113.905 -158.9211
28.343872 113.905 -159.3193
28.549264 113.906 -159.7136
28.756143 113.907 -160.1049
28.964522 113.909 -160.4941
29.174411 113.912 -160.8820
29.385821 113.914 -161.2692
29.598763 113.916 -161.6560
29.813248 113.918 -162.0425
30.029287 113.919 -162.4287
30.246891 113.920 -162.8143
30.466073 113.919 -163.1989
30.686842 113.918 -163.5823
30.909212 113.915 -163.9640
31.133193 113.912 -164.3437
31.358797 113.908 -164.7210
31.586035 113.902 -165.0957
31.814921 113.896 -165.4676
32.045465 113.889 -165.8365
32.277680 113.881 -166.2023
32.511577 113.872 -166.5651
32.747169 113.863 -166.9247
32.984469 113.853 -167.2811
33.223488 113.842 -167.6344
33.464239 113.831 -167.9846
33.706735 113.820 -168.3316
33.950987 113.808 -168.6755
34.197010 113.796 -169.0162
34.444816 113.784 -169.3535
34.694417 113.771 -169.6875
34.945827 113.759 -170.0182
35.199059 113.746 -170.3454
35.454126 113.734 -170.6691
35.711041 113.721 -170.9893
35.969818 113.709 -171.3061
36.230470 113.697 -171.6195
36.493011 113.684 -171.9296
36.757455 113.672 -172.2366
37.023814 113.659 -172.5405
37.292104 113.647 -172.8416
37.562338 113.634 -173.1398
37.834530 113.622 -173.4355
38.108695 113.609 -173.7287
38.384846 113.596 -174.0195
38.662999 113.583 -174.3080
38.943167 113.569 -174.5944
39.225365 113.556 -174.8787
39.509608 113.542 -175.1609
39.795911 113.528 -175.4411
40.084289 113.513 -175.7193
40.374756 113.498 -175.9956
40.667328 113.483 -176.2700
40.962020 113.468 -176.5426
41.258848 113.451 -176.8135
41.557827 113.435 -177.0828
41.858972 113.418 -177.3505
42.162299 113.401 -177.6167
42.467824 113.383 -177.8814
42.775564 113.365 -178.1447
43.085533 113.346 -178.4065
43.397749 113.327 -178.6667
43.712227 113.308 -178.9254
44.028983 113.288 -179.1823
44.348036 113.267 -179.4373
44.669400 113.247 -179.6903
44.993093 113.225 -179.9412
45.319131 113.204 179.8101
45.647532 113.182 179.5637
45.978313 113.159 179.3196
46.311491 113.137 179.0781
46.647083 113.114 178.8390
46.985107 113.090 178.6024
47.325581 113.067 178.3683
47.668521 113.043 178.1367
48.013947 113.019 177.9077
48.361876 112.995 177.6812
48.712326 112.972 177.4571
49.065315 112.948 177.2354
49.420863 112.924 177.0161
49.778987 112.900 176.7990
50.139706 112.876 176.5840
50.503039 112.853 176.3712
50.869005 112.830 176.1605
51.237623 112.806 175.9518
51.608912 112.783 175.7453
51.982891 112.760 175.5408
52.359580 112.736 175.3385
52.739000 112.713 175.1383
53.121168 112.690 174.9404
53.506106 112.667 174.7448
53.893833 112.644 174.5516
54.284370 112.620 174.3607
54.677737 112.597 174.1723
55.073955 112.573 173.9863
55.473043 112.550 173.8026
55.875024 112.526 173.6214
56.279917 112.502 173.4424
56.687745 112.478 173.2658
57.098527 112.454 173.0915
57.512287 112.429 172.9193
57.929045 112.405 172.7494
58.348822 112.381 172.5816
58.771642 112.356 172.4159
59.197525 112.332 172.2522
59.626495 112.307 172.0905
60.058573 112.282 171.9305
60.493782 112.258 171.7721
60.932145 112.233 171.6152
61.373685 112.209 171.4594
61.818424 112.184 171.3045
62.266386 112.159 171.1505
62.717593 112.134 170.9969
63.172071 112.109 170.8439
63.629842 112.084 170.6913
64.090930 112.059 170.5391
64.555359 112.034 170.3873
65.023154 112.008 170.2360
65.494339 111.983 170.0853
65.968938 111.957 169.9353
66.446976 111.931 169.7861
66.928478 111.905 169.6379
67.413469 111.878 169.4906
67.901975 111.852 169.3445
68.394021 111.825 169.1996
68.889632 111.798 169.0560
69.388835 111.771 168.9138
69.891655 111.744 168.7731
70.398118 111.716 168.6340
70.908252 111.688 168.4966
71.422083 111.660 168.3610
71.939636 111.632 168.2273
72.460941 111.603 168.0956
72.986023 111.574 167.9662
73.514909 111.545 167.8390
74.047629 111.516 167.7143
74.584208 111.487 167.5921
75.124676 111.457 167.4727
75.669061 111.427 167.3560
76.217390 111.397 167.2422
76.769692 111.367 167.1313
77.325997 111.337 167.0234
77.886333 111.307 166.9185
78.450730 111.276 166.8166
79.019216 111.246 166.7177
79.591822 111.215 166.6217
80.168577 111.185 166.5287
80.749512 111.154 166.4385
81.334656 111.123 166.3512
81.924040 111.092 166.2666
82.517696 111.061 166.1848
83.115653 111.030 166.1055
83.717943 110.999 166.0290
84.324598 110.967 165.9550
84.935649 110.936 165.8835
85.551128 110.905 165.8145
86.171066 110.873 165.7481
86.795497 110.842 165.6841
87.424453 110.810 165.6225
88.057967 110.778 165.5634
88.696071 110.747 165.5067
89.338800 110.715 165.4523
89.986185 110.684 165.4004
90.638262 110.652 165.3509
91.295065 110.620 165.3037
91.956626 110.589 165.2588
92.622982 110.557 165.2162
93.294166 110.526 165.1760
93.970214 110.494 165.1380
94.651161 110.463 165.1023
95.337042 110.432 165.0688
96.027894 110.400 165.0375
96.723752 110.369 165.0084
97.424652 110.338 164.9815
98.130631 110.307 164.9568
98.841726 110.275 164.9342
99.557974 110.244 164.9138
100.279412 110.213 164.8954
101.006078 110.182 164.8793
101.738010 110.151 164.8653
102.475245 110.120 164.8534
103.217823 110.089 164.8437
103.965782 110.058 164.8361
104.719161 110.027 164.8307
105.477999 109.996 164.8275
106.242336 109.965 164.8265
107.012212 109.935 164.8278
107.787666 109.904 164.8314
108.568740 109.873 164.8373
109.355474 109.843 164.8456
110.147909 109.813 164.8562
110.946086 109.782 164.8694
111.750047 109.752 164.8849
112.559834 109.722 164.9030
113.375489 109.692 164.9236
114.197055 109.663 164.9467
115.024574 109.633 164.9723
115.858089 109.604 165.0003
116.697645 109.575 165.0308
117.543284 109.546 165.0637
118.395051 109.517 165.0990
119.252990 109.489 165.1366
120.117147 109.461 165.1766
120.987565 109.433 165.2189
121.864291 109.405 165.2634
122.747370 109.378 165.3102
123.636848 109.350 165.3592
124.532771 109.323 165.4102
125.435187 109.297 165.4632
126.344142 109.270 165.5181
127.259684 109.244 165.5748
128.181860 109.219 165.6329
129.110718 109.193 165.6925
130.046308 109.168 165.7533
130.988677 109.144 165.8151
131.937875 109.119 165.8777
132.893951 109.095 165.9409
133.856956 109.071 166.0045
134.826938 109.047 166.0685
135.803950 109.024 166.1325
136.788041 109.001 166.1964
137.779264 108.978 166.2602
138.777669 108.956 166.3236
139.783309 108.933 166.3866
140.796237 108.911 166.4490
141.816504 108.889 166.5110
142.844165 108.867 166.5724
143.879273 108.846 166.6332
144.921881 108.824 166.6935
145.972045 108.802 166.7533
147.029819 108.781 166.8127
148.095257 108.759 166.8720
149.168417 108.737 166.9311
150.249353 108.716 166.9903
151.338121 108.694 167.0496
152.434780 108.672 167.1094
153.539385 108.651 167.1697
154.651995 108.629 167.2307
155.772667 108.607 167.2926
156.901460 108.585 167.3555
158.038432 108.563 167.4196
159.183644 108.540 167.4850
160.337154 108.518 167.5517
161.499023 108.496 167.6200
162.669312 108.474 167.6898
163.848081 108.451 167.7612
165.035392 108.429 167.8344
166.231306 108.406 167.9093
167.435887 108.384 167.9860
168.649196 108.362 168.0645
169.871298 108.339 168.1449
171.102255 108.317 168.2271
172.342133 108.294 168.3113
173.590995 108.272 168.3973
174.848907 108.250 168.4853
176.115934 108.228 168.5751
177.392143 108.205 168.6669
178.677599 108.183 168.7606
179.972371 108.161 168.8562
181.276525 108.140 168.9537
182.590129 108.118 169.0532
183.913252 108.096 169.1545
185.245964 108.075 169.2576
186.588332 108.054 169.3627
187.940428 108.033 169.4695
189.302322 108.012 169.5782
190.674085 107.991 169.6887
192.055788 107.971 169.8009
193.447503 107.950 169.9148
194.849303 107.930 170.0303
196.261262 107.910 170.1475
197.683452 107.891 170.2661
199.115948 107.871 170.3862
200.558824 107.852 170.5077
202.012156 107.833 170.6305
203.476019 107.815 170.7544
204.950490 107.796 170.8795
206.435646 107.778 171.0055
207.931564 107.760 171.1324
209.438322 107.743 171.2602
210.955998 107.725 171.3886
212.484672 107.708 171.5177
214.024424 107.691 171.6472
215.575333 107.675 171.7773
217.137481 107.658 171.9077
218.710948 107.642 172.0384
220.295818 107.626 172.1694
221.892172 107.610 172.3008
223.500094 107.595 172.4324
225.119668 107.579 172.5643
226.750978 107.564 172.6966
228.394109 107.549 172.8292
230.049147 107.533 172.9623
231.716178 107.518 173.0957
233.395289 107.504 173.2297
235.086567 107.489 173.3642
236.790102 107.474 173.4993
238.505980 107.460 173.6350
240.234293 107.445 173.7714
241.975130 107.431 173.9086
243.728581 107.417 174.0466
245.494739 107.402 174.1854
247.273695 107.388 174.3250
249.065542 107.374 174.4656
250.870374 107.360 174.6072
252.688284 107.347 174.7497
254.519367 107.333 174.8931
256.363720 107.320 175.0376
258.221437 107.306 175.1831
260.092616 107.293 175.3297
261.977354 107.280 175.4772
263.875750 107.267 175.6257
265.787903 107.254 175.7753
267.713911 107.241 175.9260
269.653877 107.228 176.0777
271.607900 107.216 176.2304
273.576083 107.204 176.3841
275.558528 107.191 176.5388
277.555338 107.179 176.6945
279.566619 107.168 176.8512
281.592474 107.156 177.0089
283.633009 107.144 177.1674
285.688331 107.133 177.3268
287.758546 107.122 177.4871
289.843763 107.111 177.6481
291.944090 107.100 177.8099
294.059638 107.090 177.9725
296.190515 107.080 178.1357
298.336833 107.070 178.2995
300.498705 107.060 178.4639
302.676243 107.050 178.6287
304.869559 107.040 178.7940
307.078770 107.031 178.9597
309.303989 107.022 179.1258
311.545334 107.013 179.2921
313.802919 107.005 179.4586
316.076865 106.996 179.6254
318.367288 106.988 179.7922
320.674309 106.980 179.9591
322.998047 106.972 -179.8739
325.338624 106.964 -179.7070
327.696162 106.956 -179.5399
330.070783 106.948 -179.3729
332.462612 106.941 -179.2059
334.871773 106.934 -179.0387
337.298392 106.926 -178.8715
339.742595 106.919 -178.7041
342.204510 106.912 -178.5365
344.684265 106.904 -178.3685
347.181989 106.897 -178.2001
349.697813 106.890 -178.0312
352.231868 106.883 -177.8616
354.784285 106.876 -177.6914
357.355198 106.869 -177.5203
359.944741 106.862 -177.3483
362.553049 106.855 -177.1753
365.180258 106.848 -177.0012
367.826505 106.841 -176.8259
370.491927 106.834 -176.6495
