* Measurement data measured by REW V5.20.9
* Source: Микрофон (HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,900. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.01.2023 20:40:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Shozy B2
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.005 -124.5601
20.287556 89.023 -124.5504
20.434568 89.049 -124.6314
20.582645 89.081 -124.7762
20.731796 89.117 -124.9618
20.882027 89.155 -125.1711
21.033346 89.194 -125.3932
21.185763 89.234 -125.6220
21.339284 89.273 -125.8511
21.493917 89.313 -126.0780
21.649671 89.353 -126.3018
21.806553 89.394 -126.5227
21.964572 89.435 -126.7418
22.123737 89.476 -126.9715
22.284054 89.517 -127.2068
22.445534 89.558 -127.4470
22.608183 89.598 -127.6941
22.772012 89.636 -127.9493
22.937027 89.673 -128.2129
23.103238 89.708 -128.4928
23.270654 89.740 -128.7836
23.439282 89.770 -129.0768
23.609133 89.797 -129.3687
23.780215 89.823 -129.6557
23.952536 89.848 -129.9346
24.126106 89.873 -130.2144
24.300934 89.899 -130.4869
24.477028 89.927 -130.7480
24.654399 89.958 -130.9989
24.833055 89.991 -131.2414
25.013005 90.028 -131.4783
25.194260 90.066 -131.7231
25.376828 90.107 -131.9629
25.560719 90.148 -132.1969
25.745942 90.188 -132.4231
25.932508 90.228 -132.6391
26.120426 90.266 -132.8488
26.309705 90.303 -133.0482
26.500356 90.338 -133.2345
26.692388 90.372 -133.4104
26.885812 90.405 -133.5810
27.080638 90.439 -133.7568
27.276876 90.472 -133.9476
27.474535 90.506 -134.1558
27.673627 90.540 -134.3878
27.874161 90.574 -134.6471
28.076149 90.606 -134.9339
28.279600 90.637 -135.2447
28.484526 90.666 -135.5736
28.690937 90.693 -135.9122
28.898843 90.720 -136.2514
29.108256 90.747 -136.5869
29.319186 90.774 -136.9118
29.531645 90.803 -137.2178
29.745644 90.834 -137.5035
29.961193 90.867 -137.7698
30.178304 90.902 -138.0108
30.396989 90.938 -138.2371
30.617258 90.975 -138.4542
30.839123 91.012 -138.6654
31.062596 91.047 -138.8795
31.287688 91.081 -139.1082
31.514412 91.113 -139.3360
31.742778 91.142 -139.5634
31.972800 91.171 -139.7909
32.204488 91.197 -140.0420
32.437855 91.224 -140.2979
32.672913 91.250 -140.5561
32.909674 91.276 -140.8169
33.148151 91.303 -141.0684
33.388356 91.329 -141.3136
33.630302 91.356 -141.5578
33.874001 91.382 -141.7990
34.119466 91.408 -142.0465
34.366710 91.433 -142.2997
34.615745 91.457 -142.5461
34.866585 91.481 -142.7865
35.119243 91.504 -143.0257
35.373731 91.527 -143.2664
35.630064 91.550 -143.5079
35.888254 91.573 -143.7521
36.148315 91.596 -144.0035
36.410261 91.620 -144.2611
36.674104 91.643 -144.5212
36.939860 91.667 -144.7821
37.207542 91.692 -145.0507
37.477163 91.717 -145.3198
37.748738 91.743 -145.5862
38.022281 91.769 -145.8501
38.297806 91.795 -146.1134
38.575327 91.820 -146.3741
38.854860 91.844 -146.6320
39.136419 91.868 -146.8871
39.420017 91.890 -147.1391
39.705671 91.912 -147.3877
39.993395 91.933 -147.6338
40.283203 91.954 -147.8917
40.575112 91.975 -148.1497
40.869136 91.995 -148.4081
41.165290 92.017 -148.6634
41.463591 92.038 -148.9155
41.764053 92.059 -149.1657
42.066693 92.079 -149.4171
42.371525 92.098 -149.6793
42.678567 92.117 -149.9389
42.987834 92.135 -150.1969
43.299341 92.152 -150.4597
43.613106 92.168 -150.7228
43.929145 92.183 -150.9860
44.247473 92.198 -151.2467
44.568109 92.213 -151.5056
44.891068 92.227 -151.7622
45.216367 92.242 -152.0294
45.544023 92.257 -152.2992
45.874054 92.271 -152.5638
46.206476 92.285 -152.8181
46.541307 92.297 -153.0627
46.878565 92.309 -153.2999
47.218266 92.319 -153.5240
47.560429 92.329 -153.7392
47.905072 92.338 -153.9509
48.252212 92.347 -154.1825
48.601867 92.357 -154.4235
48.954056 92.367 -154.6668
49.308798 92.377 -154.9139
49.666109 92.387 -155.1615
50.026010 92.396 -155.4074
50.388520 92.404 -155.6592
50.753656 92.412 -155.9044
51.121437 92.418 -156.1339
51.491884 92.424 -156.3393
51.865016 92.430 -156.5401
52.240851 92.435 -156.7595
52.619410 92.440 -156.9900
53.000712 92.444 -157.2207
53.384777 92.449 -157.4592
53.771625 92.453 -157.6983
54.161276 92.457 -157.9392
54.553751 92.461 -158.1822
54.949070 92.465 -158.4245
55.347254 92.468 -158.6319
55.748323 92.471 -158.8331
56.152298 92.473 -159.0625
56.559201 92.476 -159.3398
56.969052 92.478 -159.6161
57.381873 92.479 -159.8567
57.797686 92.481 -160.0931
58.216512 92.482 -160.3236
58.638373 92.483 -160.5486
59.063291 92.483 -160.7764
59.491288 92.483 -161.0263
59.922386 92.483 -161.2747
60.356608 92.483 -161.5065
60.793977 92.483 -161.7331
61.234515 92.483 -161.9667
61.678246 92.483 -162.2064
62.125192 92.483 -162.4433
62.575377 92.484 -162.6757
63.028824 92.485 -162.9075
63.485557 92.486 -163.1502
63.945599 92.487 -163.3912
64.408975 92.487 -163.6366
64.875709 92.488 -163.8804
65.345825 92.489 -164.1297
65.819348 92.489 -164.3795
66.296302 92.490 -164.6156
66.776713 92.490 -164.8428
67.260604 92.490 -165.0748
67.748002 92.490 -165.3111
68.238932 92.489 -165.5398
68.733420 92.488 -165.7602
69.231490 92.487 -165.9972
69.733170 92.485 -166.2535
70.238485 92.484 -166.4987
70.747463 92.482 -166.7318
71.260128 92.481 -166.9617
71.776508 92.479 -167.1893
72.296630 92.478 -167.4203
72.820521 92.478 -167.6542
73.348209 92.477 -167.8756
73.879720 92.477 -168.0890
74.415083 92.477 -168.3424
74.954326 92.476 -168.6046
75.497475 92.474 -168.8247
76.044561 92.471 -169.0453
76.595612 92.468 -169.3414
77.150655 92.464 -169.6042
77.709720 92.461 -169.7771
78.272837 92.458 -169.9614
78.840034 92.456 -170.1572
79.411342 92.455 -170.3662
79.986789 92.454 -170.5792
80.566406 92.453 -170.7627
81.150224 92.451 -170.9444
81.738272 92.450 -171.1230
82.330581 92.449 -171.3563
82.927182 92.448 -171.6318
83.528107 92.446 -171.9014
84.133386 92.445 -172.1604
84.743051 92.443 -172.3910
85.357134 92.441 -172.5676
85.975667 92.439 -172.7043
86.598682 92.438 -172.9744
87.226212 92.437 -173.2298
87.858289 92.435 -173.4507
88.494946 92.432 -173.6204
89.136217 92.430 -173.8055
89.782135 92.427 -174.1051
90.432733 92.425 -174.3300
91.088046 92.424 -174.5169
91.748108 92.423 -174.7127
92.412952 92.421 -174.9235
93.082615 92.419 -175.1426
93.757130 92.417 -175.3524
94.436533 92.414 -175.5704
95.120859 92.411 -175.7881
95.810144 92.408 -175.9871
96.504423 92.405 -176.1754
97.203734 92.402 -176.3755
97.908112 92.400 -176.6152
98.617595 92.397 -176.8305
99.332219 92.395 -177.0540
100.052021 92.393 -177.2818
100.777039 92.391 -177.3813
101.507311 92.388 -177.5579
102.242875 92.386 -177.7936
102.983769 92.382 -178.0810
103.730032 92.379 -178.2824
104.481702 92.374 -178.5149
105.238820 92.370 -178.7247
106.001424 92.365 -178.8435
106.769554 92.361 -178.9897
107.543250 92.357 -179.2673
108.322553 92.355 -179.5252
109.107503 92.353 -179.6790
109.898141 92.351 -179.8645
110.694508 92.349 179.8456
111.496646 92.345 179.7210
112.304596 92.341 179.6046
113.118402 92.336 179.3228
113.938104 92.332 179.0880
114.763747 92.328 178.8913
115.595372 92.324 178.7400
116.433024 92.321 178.5493
117.276746 92.318 178.2982
118.126581 92.314 178.0576
118.982575 92.311 177.9658
119.844772 92.307 177.7690
120.713217 92.304 177.5410
121.587954 92.302 177.3431
122.469031 92.299 177.1983
123.356492 92.296 177.0699
124.250384 92.293 176.8672
125.150753 92.289 176.5360
126.057647 92.286 176.2562
126.971113 92.282 176.1712
127.891198 92.278 175.9795
128.817950 92.273 175.9825
129.751418 92.268 175.8335
130.691651 92.261 175.5542
131.638696 92.255 175.3638
132.592604 92.248 175.1233
133.553425 92.242 174.8850
134.521208 92.236 174.6332
135.496004 92.230 174.4631
136.477864 92.224 174.2504
137.466839 92.218 174.0472
138.462981 92.212 174.0018
139.466340 92.204 173.8306
140.476971 92.197 173.6356
141.494925 92.189 173.4839
142.520256 92.181 173.2860
143.553016 92.174 172.9856
144.593260 92.167 172.7222
145.641043 92.160 172.6848
146.696418 92.153 172.4727
147.759441 92.146 172.3503
148.830166 92.139 172.1669
149.908651 92.132 172.0498
150.994951 92.125 171.8806
152.089123 92.118 171.7881
153.191223 92.112 171.4536
154.301310 92.105 171.4193
155.419441 92.099 171.2321
156.545674 92.092 170.9749
157.680069 92.085 170.8170
158.822683 92.077 170.7214
159.973578 92.069 170.5927
161.132813 92.061 170.3355
162.300447 92.051 170.2967
163.476543 92.041 170.1176
164.661162 92.031 170.0258
165.854364 92.021 169.8635
167.056213 92.012 169.5626
168.266772 92.003 169.5270
169.486102 91.994 169.4366
170.714268 91.986 169.2089
171.951334 91.978 169.4322
173.197364 91.969 168.9753
174.452424 91.961 169.1059
175.716578 91.954 168.9926
176.989893 91.947 168.6411
178.272434 91.940 168.6764
179.564270 91.933 168.4467
180.865467 91.926 168.5260
182.176092 91.919 168.2265
183.496216 91.913 168.0836
184.825905 91.907 168.0025
186.165229 91.901 167.6714
187.514259 91.896 167.7517
188.873065 91.890 167.5961
190.241717 91.883 167.4526
191.620287 91.876 167.2323
193.008847 91.869 167.2026
194.407468 91.861 166.9404
195.816225 91.852 166.6434
197.235190 91.843 166.6295
198.664438 91.833 166.2747
200.104042 91.821 166.4633
201.554078 91.809 166.1833
203.014622 91.797 165.7680
204.485750 91.784 165.8599
205.967538 91.771 165.5090
207.460064 91.757 165.4626
208.963405 91.743 165.1557
210.477640 91.729 165.1658
212.002848 91.715 164.6982
213.539108 91.700 164.7146
215.086500 91.685 164.6572
216.645105 91.670 164.4369
218.215005 91.653 164.3097
219.796281 91.635 164.0097
221.389015 91.617 164.0347
222.993292 91.597 163.7302
224.609193 91.578 163.5954
226.236804 91.557 163.6046
227.876209 91.537 163.2872
229.527494 91.515 163.1727
231.190745 91.492 163.1847
232.866048 91.469 162.9411
234.553491 91.444 162.9176
236.253163 91.419 162.6647
237.965150 91.394 162.5155
239.689544 91.368 162.4270
241.426433 91.342 162.2997
243.175909 91.316 162.1898
244.938062 91.290 161.9991
246.712984 91.264 161.9349
248.500768 91.238 161.8528
250.301507 91.211 161.6917
252.115295 91.184 161.5569
253.942226 91.156 161.5225
255.782396 91.129 161.3721
257.635901 91.101 161.1918
259.502837 91.073 161.1595
261.383301 91.044 160.9496
263.277392 91.016 160.8768
265.185209 90.988 160.8470
267.106850 90.959 160.5292
269.042417 90.931 160.5349
270.992009 90.902 160.6184
272.955729 90.874 160.4582
274.933678 90.845 160.3325
276.925961 90.816 160.2960
278.932681 90.787 159.9041
280.953942 90.758 160.0119
282.989850 90.728 160.1015
285.040511 90.699 159.7751
287.106032 90.669 159.4807
289.186521 90.639 159.6684
291.282086 90.609 159.4902
293.392836 90.579 159.4408
295.518881 90.550 159.3829
297.660333 90.520 159.3676
299.817302 90.491 159.1438
301.989902 90.461 159.1227
304.178245 90.431 159.0215
306.382446 90.401 159.0595
308.602620 90.371 159.1263
310.838882 90.342 158.8882
313.091348 90.312 158.8041
315.360137 90.283 158.6941
317.645367 90.254 158.6306
319.947156 90.225 158.3911
322.265625 90.196 158.5486
324.600895 90.167 158.5321
326.953086 90.137 158.5697
329.322323 90.107 158.3537
331.708729 90.076 158.1702
334.112427 90.046 158.2163
336.533543 90.016 158.3042
338.972204 89.986 158.3473
341.428536 89.957 158.3555
343.902668 89.928 158.2423
346.394729 89.898 158.2594
348.904848 89.867 158.1697
351.433156 89.836 157.9763
353.979786 89.805 158.1326
356.544869 89.774 157.9486
359.128540 89.742 158.1057
