* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -7,2 dBFS, measurement signal peak level -7,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 03.01.2024 21:14:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0235 ms (-8,0 mm, -0,32 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: SHozy Blac Hole Mini
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 105.670 -61.7873
20.333664 105.714 -61.8909
20.481010 105.779 -62.0724
20.629424 105.860 -62.3509
20.778913 105.952 -62.7422
20.929486 106.051 -63.2534
21.081150 106.151 -63.8797
21.233912 106.249 -64.6038
21.387782 106.343 -65.3959
21.542767 106.432 -66.2162
21.698874 106.518 -67.0192
21.856113 106.604 -67.7584
22.014492 106.694 -68.3926
22.174018 106.795 -68.8931
22.334700 106.913 -69.2488
22.496546 107.053 -69.4710
22.659566 107.218 -69.5934
22.823766 107.409 -69.6679
22.989157 107.621 -69.7571
23.155745 107.845 -69.9230
23.323542 108.071 -70.2167
23.492554 108.285 -70.6701
23.662790 108.475 -71.2926
23.834261 108.629 -72.0698
24.006973 108.737 -72.9663
24.180938 108.794 -73.9288
24.356163 108.796 -74.8913
24.532658 108.747 -75.7797
24.710431 108.652 -76.5186
24.889493 108.524 -77.0402
25.069853 108.380 -77.2959
25.251519 108.243 -77.2694
25.434502 108.134 -76.9892
25.618811 108.075 -76.5333
25.804456 108.080 -76.0204
25.991445 108.150 -75.5871
26.179790 108.279 -75.3562
26.369500 108.448 -75.4102
26.560584 108.634 -75.7767
26.753053 108.817 -76.4305
26.946917 108.978 -77.3049
27.142185 109.103 -78.3077
27.338869 109.188 -79.3355
27.536977 109.231 -80.2879
27.736522 109.238 -81.0786
27.937512 109.222 -81.6473
28.139959 109.196 -81.9694
28.343872 109.178 -82.0627
28.549264 109.182 -81.9880
28.756143 109.217 -81.8387
28.964522 109.288 -81.7211
29.174411 109.388 -81.7298
29.385821 109.508 -81.9270
29.598763 109.635 -82.3308
29.813248 109.756 -82.9159
30.029287 109.862 -83.6237
30.246891 109.947 -84.3773
30.466073 110.012 -85.0977
30.686842 110.062 -85.7199
30.909212 110.106 -86.2059
31.133193 110.151 -86.5521
31.358797 110.207 -86.7896
31.586035 110.278 -86.9752
31.814921 110.363 -87.1759
32.045465 110.457 -87.4490
32.277680 110.553 -87.8276
32.511577 110.643 -88.3137
32.747169 110.721 -88.8805
32.984469 110.784 -89.4830
33.223488 110.836 -90.0713
33.464239 110.880 -90.6042
33.706735 110.924 -91.0605
33.950987 110.973 -91.4412
34.197010 111.030 -91.7661
34.444816 111.094 -92.0625
34.694417 111.161 -92.3529
34.945827 111.228 -92.6463
35.199059 111.289 -92.9365
35.454126 111.344 -93.2087
35.711041 111.396 -93.4506
35.969818 111.449 -93.6635
36.230470 111.510 -93.8691
36.493011 111.581 -94.1064
36.757455 111.664 -94.4196
37.023814 111.753 -94.8424
37.292104 111.841 -95.3830
37.562338 111.921 -96.0190
37.834530 111.986 -96.7015
38.108695 112.035 -97.3691
38.384846 112.071 -97.9639
38.662999 112.100 -98.4481
38.943167 112.131 -98.8137
39.225365 112.169 -99.0830
39.509608 112.219 -99.2997
39.795911 112.280 -99.5132
40.084289 112.348 -99.7637
40.374756 112.420 -100.0733
40.667328 112.490 -100.4445
40.962020 112.556 -100.8661
41.258848 112.617 -101.3204
41.557827 112.673 -101.7900
41.858972 112.725 -102.2614
42.162299 112.774 -102.7242
42.467824 112.820 -103.1709
42.775564 112.865 -103.5959
43.085533 112.909 -103.9962
43.397749 112.954 -104.3729
43.712227 113.001 -104.7321
44.028983 113.051 -105.0849
44.348036 113.105 -105.4441
44.669400 113.162 -105.8214
44.993093 113.221 -106.2243
45.319131 113.279 -106.6550
45.647532 113.334 -107.1103
45.978313 113.385 -107.5819
46.311491 113.429 -108.0566
46.647083 113.464 -108.5171
46.985107 113.490 -108.9434
47.325581 113.511 -109.3178
47.668521 113.530 -109.6314
48.013947 113.554 -109.8902
48.361876 113.588 -110.1169
48.712326 113.635 -110.3463
49.065315 113.696 -110.6129
49.420863 113.765 -110.9396
49.778987 113.839 -111.3292
50.139706 113.910 -111.7669
50.503039 113.975 -112.2289
50.869005 114.034 -112.6932
51.237623 114.086 -113.1477
51.608912 114.135 -113.5908
51.982891 114.183 -114.0271
52.359580 114.230 -114.4610
52.739000 114.277 -114.8916
53.121168 114.326 -115.3126
53.506106 114.375 -115.7136
53.893833 114.422 -116.0843
54.284370 114.467 -116.4186
54.677737 114.508 -116.7187
55.073955 114.546 -116.9970
55.473043 114.582 -117.2768
55.875024 114.616 -117.5871
56.279917 114.650 -117.9540
56.687745 114.685 -118.3907
57.098527 114.719 -118.8922
57.512287 114.753 -119.4356
57.929045 114.784 -119.9885
58.348822 114.813 -120.5193
58.771642 114.840 -121.0067
59.197525 114.866 -121.4438
59.626495 114.890 -121.8372
60.058573 114.914 -122.2028
60.493782 114.938 -122.5584
60.932145 114.964 -122.9185
61.373685 114.991 -123.2895
61.818424 115.019 -123.6704
62.266386 115.048 -124.0547
62.717593 115.077 -124.4354
63.172071 115.106 -124.8081
63.629842 115.134 -125.1722
64.090930 115.162 -125.5299
64.555359 115.191 -125.8850
65.023154 115.220 -126.2402
65.494339 115.250 -126.5967
65.968938 115.282 -126.9539
66.446976 115.315 -127.3102
66.928478 115.350 -127.6651
67.413469 115.385 -128.0198
67.901975 115.422 -128.3772
68.394021 115.458 -128.7409
68.889632 115.495 -129.1133
69.388835 115.531 -129.4947
69.891655 115.567 -129.8828
70.398118 115.601 -130.2743
70.908252 115.635 -130.6652
71.422083 115.669 -131.0529
71.939636 115.701 -131.4369
72.460941 115.734 -131.8182
72.986023 115.766 -132.1995
73.514909 115.797 -132.5842
74.047629 115.829 -132.9751
74.584208 115.859 -133.3736
75.124676 115.888 -133.7785
75.669061 115.916 -134.1872
76.217390 115.942 -134.5968
76.769692 115.968 -135.0062
77.325997 115.993 -135.4150
77.886333 116.017 -135.8223
78.450730 116.040 -136.2262
79.019216 116.062 -136.6250
79.591822 116.083 -137.0183
80.168577 116.103 -137.4074
80.749512 116.124 -137.7939
81.334656 116.144 -138.1790
81.924040 116.164 -138.5623
82.517696 116.185 -138.9435
83.115653 116.205 -139.3227
83.717943 116.224 -139.7006
84.324598 116.242 -140.0780
84.935649 116.259 -140.4555
85.551128 116.276 -140.8332
86.171066 116.291 -141.2110
86.795497 116.305 -141.5872
87.424453 116.319 -141.9589
88.057967 116.332 -142.3224
88.696071 116.344 -142.6746
89.338800 116.355 -143.0135
89.986185 116.365 -143.3390
90.638262 116.376 -143.6519
91.295065 116.386 -143.9536
91.956626 116.398 -144.2451
92.622982 116.412 -144.5271
93.294166 116.429 -144.8011
93.970214 116.448 -145.0710
94.651161 116.469 -145.3426
95.337042 116.492 -145.6223
96.027894 116.515 -145.9142
96.723752 116.539 -146.2197
97.424652 116.563 -146.5384
98.130631 116.587 -146.8696
98.841726 116.610 -147.2128
99.557974 116.633 -147.5669
100.279412 116.654 -147.9299
101.006078 116.674 -148.2983
101.738010 116.693 -148.6680
102.475245 116.710 -149.0360
103.217823 116.726 -149.4019
103.965782 116.740 -149.7672
104.719161 116.753 -150.1321
105.477999 116.765 -150.4954
106.242336 116.776 -150.8548
107.012212 116.787 -151.2084
107.787666 116.796 -151.5553
108.568740 116.806 -151.8960
109.355474 116.816 -152.2316
110.147909 116.826 -152.5634
110.946086 116.837 -152.8929
111.750047 116.848 -153.2214
112.559834 116.860 -153.5499
113.375489 116.872 -153.8785
114.197055 116.884 -154.2068
115.024574 116.896 -154.5335
115.858089 116.908 -154.8569
116.697645 116.919 -155.1761
117.543284 116.929 -155.4914
118.395051 116.939 -155.8050
119.252990 116.947 -156.1194
120.117147 116.955 -156.4362
120.987565 116.964 -156.7558
121.864291 116.974 -157.0767
122.747370 116.985 -157.3987
123.636848 116.995 -157.7234
124.532771 117.005 -158.0529
125.435187 117.014 -158.3874
126.344142 117.023 -158.7245
127.259684 117.031 -159.0608
128.181860 117.040 -159.3945
129.110718 117.048 -159.7253
130.046308 117.054 -160.0528
130.988677 117.060 -160.3758
131.937875 117.066 -160.6943
132.893951 117.071 -161.0099
133.856956 117.076 -161.3257
134.826938 117.082 -161.6459
135.803950 117.088 -161.9727
136.788041 117.094 -162.3054
137.779264 117.100 -162.6408
138.777669 117.105 -162.9755
139.783309 117.109 -163.3073
140.796237 117.112 -163.6361
141.816504 117.115 -163.9625
142.844165 117.117 -164.2864
143.879273 117.118 -164.6071
144.921881 117.119 -164.9247
145.972045 117.120 -165.2402
147.029819 117.121 -165.5551
148.095257 117.122 -165.8693
149.168417 117.124 -166.1820
150.249353 117.125 -166.4934
151.338121 117.126 -166.8046
152.434780 117.128 -167.1161
153.539385 117.129 -167.4285
154.651995 117.130 -167.7422
155.772667 117.132 -168.0575
156.901460 117.132 -168.3744
158.038432 117.133 -168.6921
159.183644 117.133 -169.0102
160.337154 117.133 -169.3287
161.499023 117.132 -169.6476
162.669312 117.131 -169.9666
163.848081 117.130 -170.2847
165.035392 117.128 -170.6019
166.231306 117.125 -170.9189
167.435887 117.122 -171.2369
168.649196 117.118 -171.5567
169.871298 117.114 -171.8784
171.102255 117.109 -172.2013
172.342133 117.104 -172.5243
173.590995 117.099 -172.8459
174.848907 117.093 -173.1649
176.115934 117.087 -173.4811
177.392143 117.080 -173.7951
178.677599 117.074 -174.1079
179.972371 117.067 -174.4201
181.276525 117.059 -174.7316
182.590129 117.051 -175.0421
183.913252 117.043 -175.3515
185.245964 117.034 -175.6598
186.588332 117.024 -175.9670
187.940428 117.015 -176.2731
189.302322 117.005 -176.5782
190.674085 116.995 -176.8820
192.055788 116.984 -177.1846
193.447503 116.973 -177.4866
194.849303 116.961 -177.7886
196.261262 116.948 -178.0906
197.683452 116.935 -178.3922
199.115948 116.921 -178.6926
200.558824 116.908 -178.9913
202.012156 116.894 -179.2881
203.476019 116.880 -179.5828
204.950490 116.866 -179.8752
206.435646 116.852 179.8347
207.931564 116.838 179.5471
209.438322 116.823 179.2617
210.955998 116.808 178.9784
212.484672 116.792 178.6968
214.024424 116.776 178.4165
215.575333 116.759 178.1370
217.137481 116.742 177.8586
218.710948 116.725 177.5814
220.295818 116.707 177.3057
221.892172 116.689 177.0312
223.500094 116.671 176.7579
225.119668 116.652 176.4859
226.750978 116.633 176.2156
228.394109 116.614 175.9473
230.049147 116.595 175.6814
231.716178 116.576 175.4179
233.395289 116.556 175.1566
235.086567 116.536 174.8970
236.790102 116.516 174.6385
238.505980 116.496 174.3809
240.234293 116.475 174.1240
241.975130 116.455 173.8682
243.728581 116.434 173.6132
245.494739 116.412 173.3588
247.273695 116.391 173.1047
249.065542 116.368 172.8513
250.870374 116.345 172.5989
252.688284 116.321 172.3480
254.519367 116.297 172.0990
256.363720 116.273 171.8522
258.221437 116.249 171.6078
260.092616 116.225 171.3655
261.977354 116.200 171.1255
263.875750 116.175 170.8873
265.787903 116.150 170.6512
267.713911 116.125 170.4171
269.653877 116.099 170.1848
271.607900 116.073 169.9545
273.576083 116.047 169.7262
275.558528 116.020 169.4998
277.555338 115.993 169.2752
279.566619 115.966 169.0522
281.592474 115.938 168.8304
283.633009 115.910 168.6091
285.688331 115.882 168.3881
287.758546 115.854 168.1672
289.843763 115.825 167.9469
291.944090 115.797 167.7285
294.059638 115.768 167.5132
296.190515 115.739 167.3019
298.336833 115.710 167.0947
300.498705 115.680 166.8911
302.676243 115.651 166.6901
304.869559 115.621 166.4907
307.078770 115.590 166.2916
309.303989 115.559 166.0923
311.545334 115.527 165.8933
313.802919 115.495 165.6955
316.076865 115.463 165.4995
318.367288 115.431 165.3055
320.674309 115.398 165.1135
322.998047 115.365 164.9237
325.338624 115.331 164.7363
327.696162 115.298 164.5517
330.070783 115.264 164.3698
332.462612 115.229 164.1909
334.871773 115.195 164.0148
