* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -17,7 dBFS, measurement signal peak level -11,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 03.02.2023 20:55:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0219 ms (7,5 mm, 0,3 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Shozy Pola
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 115.833 -107.8453
20.287556 115.849 -108.0113
20.434568 115.869 -108.2331
20.582645 115.895 -108.5040
20.731796 115.924 -108.8170
20.882027 115.956 -109.1653
21.033346 115.991 -109.5423
21.185763 116.028 -109.9424
21.339284 116.066 -110.3607
21.493917 116.105 -110.7931
21.649671 116.145 -111.2362
21.806553 116.185 -111.6871
21.964572 116.225 -112.1438
22.123737 116.265 -112.6042
22.284054 116.306 -113.0671
22.445534 116.346 -113.5314
22.608183 116.386 -113.9961
22.772012 116.425 -114.4607
22.937027 116.465 -114.9249
23.103238 116.504 -115.3885
23.270654 116.543 -115.8516
23.439282 116.581 -116.3140
23.609133 116.619 -116.7761
23.780215 116.657 -117.2379
23.952536 116.694 -117.6996
24.126106 116.731 -118.1613
24.300934 116.767 -118.6229
24.477028 116.803 -119.0844
24.654399 116.839 -119.5457
24.833055 116.874 -120.0065
25.013005 116.909 -120.4668
25.194260 116.943 -120.9264
25.376828 116.977 -121.3850
25.560719 117.010 -121.8427
25.745942 117.044 -122.2994
25.932508 117.077 -122.7552
26.120426 117.109 -123.2101
26.309705 117.142 -123.6643
26.500356 117.174 -124.1180
26.692388 117.206 -124.5710
26.885812 117.237 -125.0236
27.080638 117.268 -125.4756
27.276876 117.299 -125.9271
27.474535 117.329 -126.3778
27.673627 117.359 -126.8277
27.874161 117.388 -127.2766
28.076149 117.416 -127.7243
28.279600 117.444 -128.1708
28.484526 117.472 -128.6160
28.690937 117.499 -129.0597
28.898843 117.526 -129.5021
29.108256 117.552 -129.9431
29.319186 117.578 -130.3828
29.531645 117.604 -130.8212
29.745644 117.629 -131.2583
29.961193 117.654 -131.6944
30.178304 117.678 -132.1292
30.396989 117.703 -132.5631
30.617258 117.726 -132.9960
30.839123 117.750 -133.4280
31.062596 117.773 -133.8592
31.287688 117.796 -134.2897
31.514412 117.818 -134.7196
31.742778 117.840 -135.1489
31.972800 117.861 -135.5778
32.204488 117.882 -136.0063
32.437855 117.903 -136.4342
32.672913 117.923 -136.8616
32.909674 117.943 -137.2884
33.148151 117.962 -137.7144
33.388356 117.982 -138.1395
33.630302 118.000 -138.5635
33.874001 118.019 -138.9864
34.119466 118.037 -139.4079
34.366710 118.055 -139.8281
34.615745 118.073 -140.2469
34.866585 118.090 -140.6642
35.119243 118.107 -141.0801
35.373731 118.124 -141.4947
35.630064 118.140 -141.9080
35.888254 118.156 -142.3201
36.148315 118.171 -142.7313
36.410261 118.186 -143.1416
36.674104 118.201 -143.5510
36.939860 118.215 -143.9598
37.207542 118.229 -144.3678
37.477163 118.242 -144.7751
37.748738 118.255 -145.1816
38.022281 118.268 -145.5871
38.297806 118.280 -145.9916
38.575327 118.292 -146.3950
38.854860 118.304 -146.7972
39.136419 118.315 -147.1981
39.420017 118.327 -147.5979
39.705671 118.337 -147.9964
39.993395 118.348 -148.3937
40.283203 118.358 -148.7899
40.575112 118.368 -149.1849
40.869136 118.378 -149.5789
41.165290 118.387 -149.9718
41.463591 118.396 -150.3636
41.764053 118.405 -150.7543
42.066693 118.413 -151.1437
42.371525 118.421 -151.5319
42.678567 118.429 -151.9188
42.987834 118.436 -152.3043
43.299341 118.443 -152.6887
43.613106 118.450 -153.0718
43.929145 118.456 -153.4539
44.247473 118.462 -153.8348
44.568109 118.467 -154.2146
44.891068 118.472 -154.5932
45.216367 118.477 -154.9703
45.544023 118.481 -155.3457
45.874054 118.485 -155.7193
46.206476 118.489 -156.0909
46.541307 118.492 -156.4604
46.878565 118.495 -156.8281
47.218266 118.498 -157.1940
47.560429 118.500 -157.5587
47.905072 118.502 -157.9227
48.252212 118.504 -158.2865
48.601867 118.505 -158.6507
48.954056 118.507 -159.0157
49.308798 118.508 -159.3815
49.666109 118.509 -159.7478
50.026010 118.511 -160.1143
50.388520 118.511 -160.4802
50.753656 118.512 -160.8450
51.121437 118.512 -161.2081
51.491884 118.512 -161.5693
51.865016 118.512 -161.9284
52.240851 118.511 -162.2856
52.619410 118.509 -162.6409
53.000712 118.508 -162.9945
53.384777 118.506 -163.3467
53.771625 118.503 -163.6976
54.161276 118.500 -164.0472
54.553751 118.497 -164.3957
54.949070 118.494 -164.7429
55.347254 118.491 -165.0888
55.748323 118.487 -165.4332
56.152298 118.483 -165.7760
56.559201 118.478 -166.1171
56.969052 118.473 -166.4565
57.381873 118.468 -166.7940
57.797686 118.463 -167.1295
58.216512 118.457 -167.4631
58.638373 118.451 -167.7948
59.063291 118.444 -168.1246
59.491288 118.437 -168.4525
59.922386 118.430 -168.7787
60.356608 118.423 -169.1033
60.793977 118.415 -169.4263
61.234515 118.408 -169.7478
61.678246 118.400 -170.0680
62.125192 118.391 -170.3868
62.575377 118.383 -170.7043
63.028824 118.375 -171.0206
63.485557 118.366 -171.3358
63.945599 118.358 -171.6497
64.408975 118.349 -171.9626
64.875709 118.340 -172.2744
65.345825 118.331 -172.5852
65.819348 118.322 -172.8952
66.296302 118.312 -173.2044
66.776713 118.302 -173.5130
67.260604 118.292 -173.8210
67.748002 118.282 -174.1285
68.238932 118.272 -174.4353
68.733420 118.261 -174.7416
69.231490 118.250 -175.0471
69.733170 118.238 -175.3517
70.238485 118.226 -175.6553
70.747463 118.214 -175.9579
71.260128 118.202 -176.2592
71.776508 118.189 -176.5594
72.296630 118.176 -176.8584
72.820521 118.162 -177.1561
73.348209 118.148 -177.4527
73.879720 118.134 -177.7482
74.415083 118.120 -178.0425
74.954326 118.105 -178.3356
75.497475 118.090 -178.6275
76.044561 118.075 -178.9181
76.595612 118.059 -179.2074
77.150655 118.043 -179.4952
77.709720 118.027 -179.7816
78.272837 118.011 179.9335
78.840034 117.994 179.6502
79.411342 117.977 179.3684
79.986789 117.960 179.0882
80.566406 117.942 178.8095
81.150224 117.924 178.5323
81.738272 117.906 178.2564
82.330581 117.888 177.9820
82.927182 117.870 177.7088
83.528107 117.851 177.4371
84.133386 117.832 177.1666
84.743051 117.813 176.8976
85.357134 117.793 176.6301
85.975667 117.774 176.3640
86.598682 117.754 176.0994
87.226212 117.733 175.8364
87.858289 117.713 175.5748
88.494946 117.692 175.3147
89.136217 117.670 175.0562
89.782135 117.648 174.7990
90.432733 117.626 174.5433
91.088046 117.604 174.2891
91.748108 117.582 174.0364
92.412952 117.559 173.7852
93.082615 117.536 173.5355
93.757130 117.512 173.2874
94.436533 117.489 173.0409
95.120859 117.465 172.7959
95.810144 117.440 172.5526
96.504423 117.416 172.3108
97.203734 117.391 172.0707
97.908112 117.366 171.8324
98.617595 117.340 171.5959
99.332219 117.315 171.3612
100.052021 117.289 171.1285
100.777039 117.262 170.8979
101.507311 117.236 170.6693
102.242875 117.209 170.4427
102.983769 117.181 170.2184
103.730032 117.154 169.9960
104.481702 117.126 169.7758
105.238820 117.098 169.5576
106.001424 117.070 169.3415
106.769554 117.041 169.1273
107.543250 117.012 168.9150
108.322553 116.984 168.7047
109.107503 116.954 168.4963
109.898141 116.925 168.2897
110.694508 116.896 168.0851
111.496646 116.866 167.8825
112.304596 116.836 167.6818
113.118402 116.806 167.4831
113.938104 116.775 167.2863
114.763747 116.745 167.0914
115.595372 116.714 166.8984
116.433024 116.683 166.7074
117.276746 116.651 166.5185
118.126581 116.620 166.3317
118.982575 116.588 166.1470
119.844772 116.556 165.9644
120.713217 116.524 165.7841
121.587954 116.491 165.6059
122.469031 116.458 165.4300
123.356492 116.426 165.2563
124.250384 116.392 165.0850
125.150753 116.359 164.9161
126.057647 116.325 164.7497
126.971113 116.292 164.5859
127.891198 116.257 164.4247
128.817950 116.223 164.2659
129.751418 116.189 164.1096
130.691651 116.154 163.9557
131.638696 116.119 163.8043
132.592604 116.083 163.6552
133.553425 116.048 163.5087
134.521208 116.012 163.3647
135.496004 115.976 163.2234
136.477864 115.939 163.0847
137.466839 115.903 162.9485
138.462981 115.866 162.8150
139.466340 115.829 162.6841
140.476971 115.791 162.5557
141.494925 115.754 162.4298
142.520256 115.716 162.3066
143.553016 115.678 162.1861
144.593260 115.640 162.0684
145.641043 115.602 161.9537
146.696418 115.563 161.8419
147.759441 115.524 161.7332
148.830166 115.485 161.6278
149.908651 115.446 161.5256
150.994951 115.407 161.4268
152.089123 115.367 161.3314
153.191223 115.327 161.2394
154.301310 115.287 161.1508
155.419441 115.247 161.0654
156.545674 115.207 160.9833
157.680069 115.166 160.9044
158.822683 115.125 160.8289
159.973578 115.085 160.7567
161.132813 115.043 160.6881
162.300447 115.002 160.6234
163.476543 114.961 160.5629
164.661162 114.919 160.5068
165.854364 114.877 160.4550
167.056213 114.835 160.4077
168.266772 114.793 160.3647
169.486102 114.751 160.3260
170.714268 114.709 160.2916
171.951334 114.667 160.2614
173.197364 114.626 160.2356
174.452424 114.584 160.2144
175.716578 114.543 160.1978
176.989893 114.502 160.1862
178.272434 114.461 160.1797
179.564270 114.420 160.1783
180.865467 114.380 160.1821
182.176092 114.339 160.1909
183.496216 114.300 160.2047
184.825905 114.260 160.2228
186.165229 114.221 160.2451
187.514259 114.182 160.2708
188.873065 114.144 160.2996
190.241717 114.106 160.3311
191.620287 114.068 160.3651
193.008847 114.031 160.4012
194.407468 113.995 160.4396
195.816225 113.959 160.4798
197.235190 113.923 160.5217
198.664438 113.887 160.5652
200.104042 113.851 160.6098
201.554078 113.816 160.6556
203.014622 113.781 160.7024
204.485750 113.746 160.7503
205.967538 113.711 160.7993
207.460064 113.676 160.8498
208.963405 113.641 160.9019
210.477640 113.606 160.9558
212.002848 113.571 161.0118
213.539108 113.536 161.0703
215.086500 113.501 161.1315
216.645105 113.466 161.1956
218.215005 113.432 161.2630
219.796281 113.397 161.3339
221.389015 113.363 161.4084
222.993292 113.328 161.4870
224.609193 113.294 161.5697
226.236804 113.260 161.6566
227.876209 113.227 161.7479
229.527494 113.193 161.8434
231.190745 113.160 161.9432
232.866048 113.128 162.0471
234.553491 113.096 162.1549
236.253163 113.064 162.2664
237.965150 113.033 162.3812
239.689544 113.003 162.4993
241.426433 112.973 162.6203
243.175909 112.943 162.7440
244.938062 112.914 162.8703
246.712984 112.886 162.9990
248.500768 112.858 163.1299
250.301507 112.831 163.2629
252.115295 112.804 163.3980
253.942226 112.778 163.5350
255.782396 112.752 163.6739
257.635901 112.727 163.8146
259.502837 112.702 163.9570
261.383301 112.677 164.1010
263.277392 112.654 164.2467
265.185209 112.630 164.3941
267.106850 112.608 164.5431
269.042417 112.586 164.6938
270.992009 112.564 164.8460
272.955729 112.543 164.9998
274.933678 112.523 165.1549
276.925961 112.503 165.3113
278.932681 112.484 165.4688
280.953942 112.465 165.6271
282.989850 112.447 165.7863
285.040511 112.430 165.9460
287.106032 112.413 166.1062
289.186521 112.397 166.2666
291.282086 112.382 166.4271
293.392836 112.367 166.5874
295.518881 112.353 166.7474
297.660333 112.340 166.9070
299.817302 112.327 167.0659
301.989902 112.315 167.2240
304.178245 112.303 167.3812
306.382446 112.292 167.5372
308.602620 112.282 167.6921
310.838882 112.272 167.8457
313.091348 112.262 167.9980
315.360137 112.253 168.1489
317.645367 112.245 168.2983
319.947156 112.237 168.4463
322.265625 112.230 168.5927
324.600895 112.223 168.7375
326.953086 112.216 168.8807
329.322323 112.210 169.0222
331.708729 112.204 169.1618
334.112427 112.199 169.2997
336.533543 112.194 169.4356
338.972204 112.189 169.5697
341.428536 112.184 169.7018
343.902668 112.180 169.8320
346.394729 112.176 169.9603
348.904848 112.173 170.0868
351.433156 112.170 170.2114
353.979786 112.166 170.3344
356.544869 112.164 170.4558
359.128540 112.161 170.5758
