* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -6,3 dBFS, measurement signal peak level -6,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 03.01.2024 21:13:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0203 ms (-7,0 mm, -0,27 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Shozy T1
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 108.134 -70.6115
20.523834 108.313 -71.5038
20.860291 108.480 -72.3446
21.196747 108.646 -73.1763
21.533203 108.816 -74.0378
21.869659 108.986 -74.9418
22.206116 109.153 -75.8735
22.542572 109.316 -76.8056
22.879028 109.471 -77.7165
23.215485 109.619 -78.5962
23.551941 109.760 -79.4419
23.888397 109.893 -80.2501
24.224854 110.023 -81.0177
24.561310 110.153 -81.7511
24.897766 110.289 -82.4743
25.234222 110.431 -83.2247
25.570679 110.574 -84.0327
25.907135 110.712 -84.9002
26.243591 110.837 -85.7924
26.580048 110.946 -86.6536
26.916504 111.043 -87.4371
27.252960 111.138 -88.1321
27.589417 111.238 -88.7714
27.925873 111.347 -89.4106
28.262329 111.464 -90.0953
28.598785 111.581 -90.8355
28.935242 111.693 -91.6045
29.271698 111.799 -92.3575
29.608154 111.898 -93.0577
29.944611 111.994 -93.6917
30.281067 112.088 -94.2697
30.617523 112.181 -94.8154
30.953979 112.273 -95.3547
31.290436 112.361 -95.9106
31.626892 112.448 -96.5006
31.963348 112.530 -97.1339
32.299805 112.608 -97.8040
32.636261 112.680 -98.4856
32.972717 112.746 -99.1401
33.309174 112.811 -99.7329
33.645630 112.879 -100.2558
33.982086 112.956 -100.7368
34.318542 113.041 -101.2299
34.654999 113.130 -101.7863
34.991455 113.214 -102.4247
35.327911 113.285 -103.1202
35.664368 113.343 -103.8178
36.000824 113.392 -104.4631
36.337280 113.441 -105.0300
36.673737 113.497 -105.5320
37.010193 113.561 -106.0087
37.346649 113.631 -106.4970
37.683105 113.699 -107.0092
38.019562 113.760 -107.5296
38.356018 113.813 -108.0315
38.692474 113.862 -108.5011
39.028931 113.915 -108.9515
39.365387 113.973 -109.4169
39.701843 114.038 -109.9299
40.038300 114.104 -110.4978
40.374756 114.165 -111.0926
40.711212 114.219 -111.6646
41.047668 114.268 -112.1695
41.384125 114.316 -112.5950
41.720581 114.368 -112.9686
42.057037 114.421 -113.3420
42.393494 114.473 -113.7596
42.729950 114.516 -114.2328
43.066406 114.548 -114.7368
43.402863 114.573 -115.2309
43.739319 114.598 -115.6885
44.075775 114.633 -116.1154
44.412231 114.680 -116.5418
44.748688 114.737 -116.9927
45.085144 114.795 -117.4604
45.421600 114.846 -117.9008
45.758057 114.888 -118.2628
46.094513 114.926 -118.5289
46.430969 114.965 -118.7417
46.767426 115.007 -118.9898
47.103882 115.045 -119.3582
47.440338 115.068 -119.8751
47.776794 115.069 -120.4911
48.113251 115.049 -121.1044
48.449707 115.025 -121.6199
48.786163 115.017 -122.0048
49.122620 115.044 -122.3086
49.459076 115.107 -122.6273
49.795532 115.193 -123.0352
50.131989 115.280 -123.5343
50.468445 115.352 -124.0553
50.804901 115.401 -124.5038
51.141357 115.432 -124.8193
51.477814 115.456 -125.0115
51.814270 115.484 -125.1549
52.150726 115.516 -125.3441
52.487183 115.549 -125.6412
52.823639 115.576 -126.0476
53.160095 115.595 -126.5145
53.496552 115.609 -126.9782
53.833008 115.625 -127.3947
54.169464 115.649 -127.7563
54.505920 115.682 -128.0822
54.842377 115.721 -128.3972
55.178833 115.758 -128.7133
55.515289 115.789 -129.0266
55.851746 115.811 -129.3271
56.188202 115.826 -129.6113
56.524658 115.839 -129.8885
56.861115 115.852 -130.1758
57.197571 115.867 -130.4888
57.534027 115.885 -130.8318
57.870483 115.906 -131.1953
58.206940 115.927 -131.5613
58.543396 115.950 -131.9101
58.879852 115.973 -132.2286
59.216309 115.996 -132.5131
59.552765 116.018 -132.7697
59.889221 116.041 -133.0113
60.225677 116.062 -133.2532
60.562134 116.082 -133.5091
60.898590 116.102 -133.7880
61.235046 116.121 -134.0919
61.571503 116.139 -134.4167
61.907959 116.158 -134.7543
62.244415 116.178 -135.0949
62.580872 116.198 -135.4300
62.917328 116.218 -135.7531
63.253784 116.237 -136.0606
63.590240 116.254 -136.3517
63.926697 116.271 -136.6284
64.263153 116.286 -136.8949
64.599609 116.301 -137.1562
64.936066 116.316 -137.4166
65.272522 116.331 -137.6775
65.608978 116.348 -137.9382
65.945435 116.366 -138.1969
66.281891 116.384 -138.4535
66.618347 116.402 -138.7104
66.954803 116.419 -138.9707
67.291260 116.434 -139.2357
67.627716 116.446 -139.5025
67.964172 116.455 -139.7658
68.300629 116.462 -140.0206
68.637085 116.470 -140.2669
68.973541 116.481 -140.5104
69.309998 116.495 -140.7583
69.646454 116.510 -141.0144
69.982910 116.525 -141.2747
70.319366 116.538 -141.5301
70.655823 116.550 -141.7726
70.992279 116.561 -142.0021
71.328735 116.572 -142.2282
71.665192 116.584 -142.4643
72.001648 116.595 -142.7184
72.338104 116.604 -142.9866
72.674561 116.612 -143.2547
73.011017 116.619 -143.5070
73.347473 116.628 -143.7375
73.683929 116.640 -143.9536
74.020386 116.655 -144.1714
74.356842 116.671 -144.4038
74.693298 116.683 -144.6511
75.029755 116.690 -144.8999
75.366211 116.694 -145.1322
75.702667 116.696 -145.3385
76.039124 116.701 -145.5252
76.375580 116.711 -145.7121
76.712036 116.725 -145.9201
77.048492 116.740 -146.1579
77.384949 116.752 -146.4160
77.721405 116.760 -146.6724
78.057861 116.763 -146.9055
78.394318 116.766 -147.1069
78.730774 116.770 -147.2857
79.067230 116.779 -147.4619
79.403687 116.789 -147.6544
79.740143 116.800 -147.8702
80.076599 116.808 -148.1014
80.413055 116.814 -148.3315
80.749512 116.817 -148.5456
81.085968 116.820 -148.7385
81.422424 116.825 -148.9166
81.758881 116.832 -149.0934
82.095337 116.841 -149.2812
82.431793 116.850 -149.4862
82.768250 116.857 -149.7060
83.104706 116.864 -149.9329
83.441162 116.868 -150.1573
83.777618 116.872 -150.3720
84.114075 116.876 -150.5736
84.450531 116.880 -150.7627
84.786987 116.885 -150.9435
85.123444 116.892 -151.1221
85.459900 116.899 -151.3049
85.796356 116.906 -151.4952
86.132812 116.912 -151.6921
86.469269 116.917 -151.8902
86.805725 116.921 -152.0817
87.142181 116.924 -152.2608
87.478638 116.927 -152.4262
87.815094 116.931 -152.5819
88.151550 116.935 -152.7349
88.488007 116.939 -152.8920
88.824463 116.943 -153.0571
89.160919 116.946 -153.2315
89.497375 116.947 -153.4152
89.833832 116.949 -153.6074
90.170288 116.951 -153.8068
90.506744 116.952 -154.0095
90.843201 116.953 -154.2083
91.179657 116.953 -154.3940
91.516113 116.953 -154.5590
91.852570 116.953 -154.7014
92.189026 116.954 -154.8268
92.525482 116.956 -154.9471
92.861938 116.959 -155.0762
93.198395 116.961 -155.2245
93.534851 116.963 -155.3946
93.871307 116.962 -155.5809
94.207764 116.960 -155.7715
94.544220 116.958 -155.9537
94.880676 116.957 -156.1186
95.217133 116.959 -156.2655
95.553589 116.964 -156.4012
95.890045 116.971 -156.5357
96.226501 116.976 -156.6764
96.562958 116.978 -156.8227
96.899414 116.975 -156.9669
97.235870 116.968 -157.0995
97.572327 116.960 -157.2175
97.908783 116.954 -157.3286
98.245239 116.953 -157.4490
98.581696 116.958 -157.5941
98.918152 116.965 -157.7679
99.254608 116.973 -157.9588
99.591064 116.980 -158.1438
99.927521 116.987 -158.3000
100.263977 116.994 -158.4164
100.600433 117.004 -158.4981
100.936890 117.017 -158.5625
101.273346 117.031 -158.6290
101.609802 117.045 -158.7098
101.946259 117.057 -158.8074
102.282715 117.066 -158.9171
102.619171 117.072 -159.0329
102.955627 117.077 -159.1520
103.292084 117.083 -159.2756
103.628540 117.089 -159.4070
103.964996 117.097 -159.5502
104.301453 117.105 -159.7080
104.637909 117.112 -159.8816
104.974365 117.116 -160.0685
105.310822 117.116 -160.2612
105.647278 117.112 -160.4475
105.983734 117.103 -160.6135
106.320190 117.093 -160.7502
106.656647 117.085 -160.8589
106.993103 117.082 -160.9532
107.329559 117.085 -161.0541
107.666016 117.093 -161.1807
108.002472 117.104 -161.3423
108.338928 117.114 -161.5342
108.675385 117.122 -161.7412
109.011841 117.127 -161.9449
109.348297 117.128 -162.1314
109.684753 117.129 -162.2951
110.021210 117.129 -162.4384
110.357666 117.130 -162.5684
110.694122 117.131 -162.6926
111.030579 117.133 -162.8158
111.367035 117.135 -162.9400
111.703491 117.137 -163.0653
112.039948 117.140 -163.1913
112.376404 117.142 -163.3187
112.712860 117.145 -163.4492
113.049316 117.147 -163.5839
113.385773 117.149 -163.7228
113.722229 117.149 -163.8637
114.058685 117.148 -164.0041
114.395142 117.146 -164.1428
114.731598 117.145 -164.2815
115.068054 117.145 -164.4239
115.404510 117.145 -164.5726
115.740967 117.144 -164.7261
116.077423 117.143 -164.8784
116.413879 117.141 -165.0226
116.750336 117.139 -165.1553
117.086792 117.139 -165.2805
117.423248 117.140 -165.4075
117.759705 117.143 -165.5441
118.096161 117.144 -165.6899
118.432617 117.144 -165.8352
118.769073 117.141 -165.9664
119.105530 117.138 -166.0765
119.441986 117.136 -166.1719
119.778442 117.136 -166.2706
120.114899 117.136 -166.3902
120.451355 117.135 -166.5362
120.787811 117.129 -166.6961
121.124268 117.120 -166.8478
121.460724 117.112 -166.9750
121.797180 117.109 -167.0802
122.133636 117.113 -167.1841
122.470093 117.122 -167.3105
122.806549 117.131 -167.4671
123.143005 117.134 -167.6365
123.479462 117.129 -167.7844
123.815918 117.119 -167.8828
124.152374 117.109 -167.9306
124.488831 117.105 -167.9579
124.825287 117.106 -168.0095
125.161743 117.111 -168.1176
125.498199 117.114 -168.2830
125.834656 117.112 -168.4783
126.171112 117.106 -168.6680
126.507568 117.100 -168.8322
126.844025 117.097 -168.9748
127.180481 117.097 -169.1124
127.516937 117.097 -169.2537
127.853394 117.094 -169.3883
128.189850 117.088 -169.4938
128.526306 117.083 -169.5575
128.862762 117.084 -169.5939
129.199219 117.090 -169.6411
129.535675 117.101 -169.7372
129.872131 117.107 -169.8922
130.208588 117.104 -170.0790
130.545044 117.090 -170.2507
130.881500 117.071 -170.3726
131.217957 117.054 -170.4468
131.554413 117.043 -170.5091
131.890869 117.038 -170.6008
132.227325 117.034 -170.7351
132.563782 117.024 -170.8856
132.900238 117.009 -171.0056
133.236694 116.994 -171.0637
133.573151 116.986 -171.0701
133.909607 116.988 -171.0725
134.246063 116.997 -171.1243
134.582520 117.006 -171.2483
134.918976 117.007 -171.4229
135.255432 117.000 -171.6008
135.591888 116.988 -171.7421
135.928345 116.979 -171.8401
136.264801 116.976 -171.9204
136.601257 116.978 -172.0161
136.937714 116.980 -172.1403
137.274170 116.976 -172.2769
137.610626 116.964 -172.3956
137.947083 116.949 -172.4783
138.283539 116.936 -172.5341
138.619995 116.928 -172.5940
138.956451 116.924 -172.6873
139.292908 116.921 -172.8205
139.629364 116.918 -172.9736
139.965820 116.913 -173.1163
140.302277 116.910 -173.2286
140.638733 116.909 -173.3124
140.975189 116.910 -173.3840
141.311646 116.910 -173.4567
141.648102 116.904 -173.5287
141.984558 116.894 -173.5860
142.321014 116.881 -173.6190
142.657471 116.871 -173.6372
142.993927 116.869 -173.6707
143.330383 116.874 -173.7536
143.666840 116.881 -173.9004
144.003296 116.883 -174.0925
144.339752 116.877 -174.2845
144.676208 116.864 -174.4267
145.012665 116.848 -174.4919
145.349121 116.836 -174.4899
145.685577 116.832 -174.4622
146.022034 116.835 -174.4590
146.358490 116.841 -174.5135
146.694946 116.844 -174.6274
147.031403 116.840 -174.7747
147.367859 116.830 -174.9196
147.704315 116.818 -175.0359
148.040771 116.807 -175.1186
148.377228 116.800 -175.1823
148.713684 116.797 -175.2484
149.050140 116.795 -175.3297
149.386597 116.790 -175.4235
149.723053 116.781 -175.5148
