* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), R, volume: 0,250. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.09.2022 12:34:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: D13+ поролон
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 133.932 -157.9858
20.287556 133.931 -158.1176
20.434568 133.931 -158.3125
20.582645 133.930 -158.5525
20.731796 133.929 -158.8225
20.882027 133.928 -159.1118
21.033346 133.926 -159.4133
21.185763 133.925 -159.7228
21.339284 133.924 -160.0380
21.493917 133.922 -160.3575
21.649671 133.921 -160.6803
21.806553 133.920 -161.0056
21.964572 133.920 -161.3326
22.123737 133.919 -161.6604
22.284054 133.918 -161.9884
22.445534 133.918 -162.3157
22.608183 133.917 -162.6418
22.772012 133.917 -162.9662
22.937027 133.916 -163.2888
23.103238 133.915 -163.6094
23.270654 133.914 -163.9281
23.439282 133.914 -164.2452
23.609133 133.913 -164.5609
23.780215 133.912 -164.8757
23.952536 133.911 -165.1896
24.126106 133.910 -165.5031
24.300934 133.909 -165.8161
24.477028 133.908 -166.1286
24.654399 133.908 -166.4407
24.833055 133.907 -166.7519
25.013005 133.907 -167.0620
25.194260 133.907 -167.3706
25.376828 133.907 -167.6771
25.560719 133.908 -167.9811
25.745942 133.908 -168.2822
25.932508 133.908 -168.5797
26.120426 133.908 -168.8736
26.309705 133.908 -169.1636
26.500356 133.907 -169.4497
26.692388 133.906 -169.7324
26.885812 133.904 -170.0121
27.080638 133.901 -170.2897
27.276876 133.898 -170.5659
27.474535 133.895 -170.8419
27.673627 133.891 -171.1185
27.874161 133.887 -171.3965
28.076149 133.882 -171.6763
28.279600 133.877 -171.9582
28.484526 133.872 -172.2420
28.690937 133.866 -172.5274
28.898843 133.861 -172.8137
29.108256 133.856 -173.1002
29.319186 133.851 -173.3861
29.531645 133.847 -173.6707
29.745644 133.842 -173.9534
29.961193 133.838 -174.2337
30.178304 133.834 -174.5113
30.396989 133.830 -174.7860
30.617258 133.825 -175.0577
30.839123 133.820 -175.3266
31.062596 133.815 -175.5930
31.287688 133.809 -175.8573
31.514412 133.802 -176.1201
31.742778 133.795 -176.3820
31.972800 133.788 -176.6437
32.204488 133.780 -176.9058
32.437855 133.772 -177.1689
32.672913 133.763 -177.4330
32.909674 133.755 -177.6981
33.148151 133.746 -177.9639
33.388356 133.738 -178.2296
33.630302 133.729 -178.4945
33.874001 133.721 -178.7580
34.119466 133.712 -179.0193
34.366710 133.703 -179.2781
34.615745 133.694 -179.5344
34.866585 133.685 -179.7882
35.119243 133.675 179.9600
35.373731 133.665 179.7097
35.630064 133.655 179.4606
35.888254 133.644 179.2120
36.148315 133.633 178.9638
36.410261 133.622 178.7159
36.674104 133.610 178.4683
36.939860 133.598 178.2213
37.207542 133.586 177.9750
37.477163 133.574 177.7297
37.748738 133.562 177.4854
38.022281 133.550 177.2422
38.297806 133.538 176.9998
38.575327 133.526 176.7581
38.854860 133.513 176.5166
39.136419 133.500 176.2753
39.420017 133.487 176.0342
39.705671 133.473 175.7936
39.993395 133.459 175.5537
40.283203 133.444 175.3149
40.575112 133.429 175.0776
40.869136 133.413 174.8418
41.165290 133.398 174.6076
41.463591 133.382 174.3750
41.764053 133.367 174.1438
42.066693 133.351 173.9138
42.371525 133.335 173.6847
42.678567 133.319 173.4562
42.987834 133.303 173.2280
43.299341 133.287 172.9995
43.613106 133.271 172.7708
43.929145 133.254 172.5417
44.247473 133.238 172.3128
44.568109 133.221 172.0845
44.891068 133.204 171.8574
45.216367 133.186 171.6320
45.544023 133.169 171.4084
45.874054 133.151 171.1864
46.206476 133.133 170.9660
46.541307 133.114 170.7468
46.878565 133.096 170.5287
47.218266 133.077 170.3114
47.560429 133.058 170.0947
47.905072 133.038 169.8781
48.252212 133.019 169.6616
48.601867 132.999 169.4453
48.954056 132.979 169.2296
49.308798 132.959 169.0152
49.666109 132.938 168.8028
50.026010 132.917 168.5926
50.388520 132.897 168.3842
50.753656 132.876 168.1771
51.121437 132.856 167.9706
51.491884 132.835 167.7643
51.865016 132.814 167.5586
52.240851 132.792 167.3537
52.619410 132.771 167.1500
53.000712 132.749 166.9478
53.384777 132.726 166.7469
53.771625 132.704 166.5475
54.161276 132.681 166.3494
54.553751 132.658 166.1526
54.949070 132.634 165.9575
55.347254 132.610 165.7637
55.748323 132.586 165.5712
56.152298 132.562 165.3799
56.559201 132.538 165.1898
56.969052 132.514 165.0011
57.381873 132.489 164.8141
57.797686 132.464 164.6288
58.216512 132.439 164.4455
58.638373 132.414 164.2640
59.063291 132.388 164.0842
59.491288 132.362 163.9061
59.922386 132.335 163.7300
60.356608 132.308 163.5563
60.793977 132.281 163.3853
61.234515 132.253 163.2177
61.678246 132.225 163.0540
62.125192 132.196 162.8951
62.575377 132.168 162.7413
63.028824 132.139 162.5932
63.485557 132.110 162.4509
63.945599 132.082 162.3146
64.408975 132.055 162.1841
64.875709 132.028 162.0592
65.345825 132.001 161.9395
65.819348 131.976 161.8237
66.296302 131.952 161.7105
66.776713 131.928 161.5979
67.260604 131.906 161.4838
67.748002 131.885 161.3661
68.238932 131.864 161.2429
68.733420 131.845 161.1127
69.231490 131.826 160.9743
69.733170 131.807 160.8275
70.238485 131.787 160.6726
70.747463 131.768 160.5106
71.260128 131.747 160.3427
71.776508 131.726 160.1705
72.296630 131.703 159.9958
72.820521 131.680 159.8196
73.348209 131.655 159.6431
73.879720 131.630 159.4671
74.415083 131.603 159.2924
74.954326 131.576 159.1198
75.497475 131.549 158.9496
76.044561 131.521 158.7819
76.595612 131.492 158.6169
77.150655 131.463 158.4545
77.709720 131.433 158.2949
78.272837 131.404 158.1384
78.840034 131.373 157.9851
79.411342 131.343 157.8349
79.986789 131.312 157.6876
80.566406 131.281 157.5429
81.150224 131.250 157.4007
81.738272 131.219 157.2607
82.330581 131.187 157.1232
82.927182 131.155 156.9879
83.528107 131.123 156.8549
84.133386 131.091 156.7242
84.743051 131.058 156.5956
85.357134 131.026 156.4691
85.975667 130.993 156.3444
86.598682 130.960 156.2216
87.226212 130.927 156.1004
87.858289 130.894 155.9810
88.494946 130.861 155.8632
89.136217 130.827 155.7473
89.782135 130.794 155.6330
90.432733 130.760 155.5205
91.088046 130.726 155.4097
91.748108 130.691 155.3007
92.412952 130.657 155.1938
93.082615 130.622 155.0891
93.757130 130.588 154.9869
94.436533 130.553 154.8873
95.120859 130.518 154.7903
95.810144 130.483 154.6956
96.504423 130.448 154.6029
97.203734 130.413 154.5119
97.908112 130.377 154.4222
98.617595 130.342 154.3337
99.332219 130.307 154.2465
100.052021 130.271 154.1607
100.777039 130.236 154.0766
101.507311 130.200 153.9942
102.242875 130.165 153.9136
102.983769 130.129 153.8348
103.730032 130.094 153.7576
104.481702 130.058 153.6819
105.238820 130.022 153.6078
106.001424 129.986 153.5353
106.769554 129.950 153.4645
107.543250 129.913 153.3954
108.322553 129.877 153.3283
109.107503 129.840 153.2632
109.898141 129.804 153.2002
110.694508 129.767 153.1393
111.496646 129.730 153.0804
112.304596 129.693 153.0236
113.118402 129.655 152.9687
113.938104 129.618 152.9156
114.763747 129.581 152.8642
115.595372 129.543 152.8146
116.433024 129.506 152.7671
117.276746 129.468 152.7214
118.126581 129.430 152.6777
118.982575 129.393 152.6360
119.844772 129.355 152.5963
120.713217 129.317 152.5583
121.587954 129.279 152.5223
122.469031 129.241 152.4885
123.356492 129.203 152.4565
124.250384 129.164 152.4262
125.150753 129.126 152.3973
126.057647 129.087 152.3701
126.971113 129.049 152.3442
127.891198 129.010 152.3197
128.817950 128.971 152.2968
129.751418 128.932 152.2763
130.691651 128.893 152.2584
131.638696 128.854 152.2430
132.592604 128.815 152.2302
133.553425 128.775 152.2202
134.521208 128.735 152.2136
135.496004 128.695 152.2105
136.477864 128.654 152.2101
137.466839 128.614 152.2118
138.462981 128.573 152.2157
139.466340 128.532 152.2230
140.476971 128.491 152.2345
141.494925 128.449 152.2504
142.520256 128.408 152.2711
143.553016 128.366 152.2972
144.593260 128.323 152.3302
145.641043 128.281 152.3712
146.696418 128.239 152.4204
147.759441 128.196 152.4772
148.830166 128.155 152.5414
149.908651 128.113 152.6140
150.994951 128.072 152.6970
152.089123 128.032 152.7919
153.191223 127.994 152.8984
154.301310 127.958 153.0132
155.419441 127.925 153.1306
156.545674 127.894 153.2437
157.680069 127.865 153.3464
158.822683 127.838 153.4351
159.973578 127.811 153.5094
161.132813 127.784 153.5716
162.300447 127.755 153.6264
163.476543 127.725 153.6793
164.661162 127.694 153.7360
165.854364 127.661 153.8015
167.056213 127.628 153.8790
168.266772 127.596 153.9694
169.486102 127.565 154.0716
170.714268 127.536 154.1824
171.951334 127.510 154.2971
173.197364 127.486 154.4103
174.452424 127.465 154.5157
175.716578 127.447 154.6079
176.989893 127.429 154.6826
178.272434 127.413 154.7376
179.564270 127.395 154.7737
180.865467 127.376 154.7940
182.176092 127.355 154.8033
183.496216 127.330 154.8073
184.825905 127.303 154.8111
186.165229 127.274 154.8195
187.514259 127.241 154.8360
188.873065 127.207 154.8631
190.241717 127.170 154.9019
191.620287 127.133 154.9525
193.008847 127.094 155.0137
194.407468 127.055 155.0837
195.816225 127.016 155.1596
197.235190 126.977 155.2387
198.664438 126.938 155.3182
200.104042 126.900 155.3958
201.554078 126.863 155.4704
203.014622 126.827 155.5416
204.485750 126.792 155.6100
205.967538 126.758 155.6761
207.460064 126.724 155.7405
208.963405 126.691 155.8033
210.477640 126.657 155.8644
212.002848 126.625 155.9240
213.539108 126.592 155.9826
215.086500 126.559 156.0421
216.645105 126.527 156.1043
218.215005 126.495 156.1713
219.796281 126.462 156.2438
221.389015 126.429 156.3214
222.993292 126.396 156.4034
224.609193 126.362 156.4888
226.236804 126.328 156.5777
227.876209 126.294 156.6704
229.527494 126.260 156.7672
231.190745 126.226 156.8680
232.866048 126.192 156.9727
234.553491 126.158 157.0814
236.253163 126.124 157.1936
237.965150 126.091 157.3092
239.689544 126.057 157.4278
241.426433 126.024 157.5491
243.175909 125.992 157.6732
244.938062 125.959 157.7998
246.712984 125.927 157.9290
248.500768 125.895 158.0604
250.301507 125.863 158.1938
252.115295 125.831 158.3289
253.942226 125.800 158.4656
255.782396 125.769 158.6040
257.635901 125.739 158.7438
259.502837 125.708 158.8851
261.383301 125.678 159.0278
263.277392 125.648 159.1718
265.185209 125.618 159.3171
267.106850 125.588 159.4639
269.042417 125.558 159.6123
270.992009 125.529 159.7622
272.955729 125.499 159.9137
274.933678 125.470 160.0669
276.925961 125.441 160.2219
278.932681 125.411 160.3788
280.953942 125.382 160.5378
282.989850 125.354 160.6989
285.040511 125.325 160.8621
287.106032 125.296 161.0273
289.186521 125.268 161.1944
291.282086 125.240 161.3635
293.392836 125.212 161.5348
295.518881 125.184 161.7083
297.660333 125.156 161.8841
299.817302 125.128 162.0623
301.989902 125.101 162.2428
304.178245 125.074 162.4258
306.382446 125.048 162.6114
308.602620 125.021 162.7996
310.838882 124.995 162.9907
313.091348 124.969 163.1846
315.360137 124.943 163.3815
317.645367 124.918 163.5818
319.947156 124.893 163.7853
322.265625 124.869 163.9921
324.600895 124.845 164.2017
326.953086 124.822 164.4138
329.322323 124.800 164.6274
331.708729 124.779 164.8418
334.112427 124.758 165.0560
336.533543 124.739 165.2688
338.972204 124.720 165.4794
341.428536 124.702 165.6867
343.902668 124.685 165.8899
346.394729 124.667 166.0886
348.904848 124.650 166.2829
351.433156 124.633 166.4734
353.979786 124.616 166.6608
356.544869 124.598 166.8461
359.128540 124.580 167.0300
361.730934 124.562 167.2135
364.352185 124.543 167.3975
366.992431 124.524 167.5829
369.651810 124.504 167.7703
372.330459 124.485 167.9600
375.028519 124.465 168.1525
377.746130 124.445 168.3479
380.483434 124.425 168.5461
383.240574 124.405 168.7472
386.017693 124.385 168.9511
