* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), R, volume: 0,250. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.09.2022 12:38:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: D13+поролон=сетка
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 134.190 -159.1740
20.287556 134.189 -159.3054
20.434568 134.188 -159.4995
20.582645 134.186 -159.7385
20.731796 134.184 -160.0074
20.882027 134.182 -160.2950
21.033346 134.179 -160.5946
21.185763 134.176 -160.9019
21.339284 134.173 -161.2145
21.493917 134.171 -161.5310
21.649671 134.168 -161.8503
21.806553 134.166 -162.1718
21.964572 134.164 -162.4945
22.123737 134.162 -162.8178
22.284054 134.160 -163.1411
22.445534 134.158 -163.4635
22.608183 134.156 -163.7849
22.772012 134.155 -164.1048
22.937027 134.153 -164.4234
23.103238 134.151 -164.7408
23.270654 134.150 -165.0574
23.439282 134.149 -165.3736
23.609133 134.147 -165.6899
23.780215 134.146 -166.0065
23.952536 134.145 -166.3236
24.126106 134.143 -166.6412
24.300934 134.142 -166.9588
24.477028 134.141 -167.2760
24.654399 134.139 -167.5919
24.833055 134.138 -167.9060
25.013005 134.136 -168.2172
25.194260 134.135 -168.5251
25.376828 134.134 -168.8291
25.560719 134.133 -169.1289
25.745942 134.132 -169.4245
25.932508 134.131 -169.7162
26.120426 134.130 -170.0044
26.309705 134.128 -170.2897
26.500356 134.127 -170.5726
26.692388 134.124 -170.8539
26.885812 134.121 -171.1341
27.080638 134.117 -171.4138
27.276876 134.113 -171.6934
27.474535 134.108 -171.9733
27.673627 134.102 -172.2539
27.874161 134.096 -172.5353
28.076149 134.089 -172.8178
28.279600 134.083 -173.1014
28.484526 134.076 -173.3862
28.690937 134.070 -173.6719
28.898843 134.064 -173.9583
29.108256 134.058 -174.2448
29.319186 134.052 -174.5310
29.531645 134.046 -174.8161
29.745644 134.041 -175.0993
29.961193 134.035 -175.3802
30.178304 134.029 -175.6583
30.396989 134.023 -175.9334
30.617258 134.016 -176.2055
30.839123 134.009 -176.4750
31.062596 134.002 -176.7425
31.287688 133.994 -177.0085
31.514412 133.985 -177.2738
31.742778 133.976 -177.5388
31.972800 133.967 -177.8039
32.204488 133.957 -178.0693
32.437855 133.947 -178.3350
32.672913 133.937 -178.6009
32.909674 133.927 -178.8666
33.148151 133.917 -179.1319
33.388356 133.907 -179.3964
33.630302 133.897 -179.6597
33.874001 133.887 -179.9217
34.119466 133.877 179.8180
34.366710 133.866 179.5595
34.615745 133.855 179.3029
34.866585 133.844 179.0481
35.119243 133.832 178.7949
35.373731 133.821 178.5428
35.630064 133.808 178.2915
35.888254 133.796 178.0406
36.148315 133.783 177.7896
36.410261 133.771 177.5383
36.674104 133.758 177.2868
36.939860 133.744 177.0353
37.207542 133.731 176.7840
37.477163 133.717 176.5333
37.748738 133.704 176.2834
38.022281 133.690 176.0346
38.297806 133.675 175.7868
38.575327 133.661 175.5400
38.854860 133.646 175.2943
39.136419 133.632 175.0495
39.420017 133.617 174.8057
39.705671 133.601 174.5629
39.993395 133.586 174.3209
40.283203 133.571 174.0798
40.575112 133.555 173.8394
40.869136 133.539 173.5997
41.165290 133.523 173.3605
41.463591 133.507 173.1219
41.764053 133.491 172.8841
42.066693 133.474 172.6472
42.371525 133.457 172.4115
42.678567 133.440 172.1769
42.987834 133.423 171.9436
43.299341 133.405 171.7112
43.613106 133.387 171.4796
43.929145 133.369 171.2486
44.247473 133.351 171.0179
44.568109 133.332 170.7877
44.891068 133.314 170.5580
45.216367 133.295 170.3292
45.544023 133.276 170.1015
45.874054 133.257 169.8759
46.206476 133.238 169.6531
46.541307 133.219 169.4340
46.878565 133.199 169.2194
47.218266 133.180 169.0092
47.560429 133.159 168.8026
47.905072 133.139 168.5977
48.252212 133.118 168.3923
48.601867 133.097 168.1842
48.954056 133.075 167.9721
49.308798 133.053 167.7557
49.666109 133.030 167.5361
50.026010 133.007 167.3147
50.388520 132.983 167.0936
50.753656 132.960 166.8744
51.121437 132.937 166.6583
51.491884 132.913 166.4463
51.865016 132.890 166.2386
52.240851 132.866 166.0356
52.619410 132.842 165.8370
53.000712 132.818 165.6426
53.384777 132.793 165.4520
53.771625 132.769 165.2648
54.161276 132.744 165.0807
54.553751 132.719 164.8999
54.949070 132.695 164.7221
55.347254 132.670 164.5474
55.748323 132.646 164.3754
56.152298 132.622 164.2058
56.559201 132.598 164.0379
56.969052 132.574 163.8710
57.381873 132.550 163.7045
57.797686 132.527 163.5379
58.216512 132.505 163.3712
58.638373 132.483 163.2044
59.063291 132.462 163.0378
59.491288 132.441 162.8712
59.922386 132.420 162.7043
60.356608 132.400 162.5366
60.793977 132.379 162.3672
61.234515 132.358 162.1956
61.678246 132.337 162.0210
62.125192 132.315 161.8432
62.575377 132.294 161.6622
63.028824 132.271 161.4780
63.485557 132.249 161.2912
63.945599 132.226 161.1025
64.408975 132.202 160.9126
64.875709 132.178 160.7223
65.345825 132.153 160.5321
65.819348 132.128 160.3423
66.296302 132.102 160.1532
66.776713 132.076 159.9650
67.260604 132.049 159.7783
67.748002 132.022 159.5934
68.238932 131.994 159.4111
68.733420 131.966 159.2316
69.231490 131.938 159.0552
69.733170 131.910 158.8818
70.238485 131.881 158.7113
70.747463 131.852 158.5431
71.260128 131.823 158.3768
71.776508 131.794 158.2121
72.296630 131.765 158.0489
72.820521 131.735 157.8871
73.348209 131.705 157.7268
73.879720 131.675 157.5679
74.415083 131.645 157.4106
74.954326 131.614 157.2549
75.497475 131.584 157.1009
76.044561 131.553 156.9484
76.595612 131.522 156.7971
77.150655 131.491 156.6470
77.709720 131.460 156.4983
78.272837 131.429 156.3513
78.840034 131.397 156.2060
79.411342 131.365 156.0625
79.986789 131.333 155.9205
80.566406 131.301 155.7797
81.150224 131.268 155.6401
81.738272 131.236 155.5019
82.330581 131.203 155.3651
82.927182 131.170 155.2297
83.528107 131.137 155.0957
84.133386 131.103 154.9630
84.743051 131.069 154.8316
85.357134 131.036 154.7017
85.975667 131.002 154.5735
86.598682 130.968 154.4473
87.226212 130.934 154.3231
87.858289 130.900 154.2006
88.494946 130.866 154.0797
89.136217 130.831 153.9607
89.782135 130.796 153.8434
90.432733 130.762 153.7281
91.088046 130.727 153.6147
91.748108 130.691 153.5029
92.412952 130.656 153.3928
93.082615 130.621 153.2842
93.757130 130.585 153.1772
94.436533 130.550 153.0721
95.120859 130.514 152.9687
95.810144 130.478 152.8672
96.504423 130.442 152.7678
97.203734 130.406 152.6703
97.908112 130.370 152.5748
98.617595 130.334 152.4813
99.332219 130.298 152.3896
100.052021 130.261 152.2998
100.777039 130.225 152.2115
101.507311 130.188 152.1245
102.242875 130.150 152.0385
102.983769 130.113 151.9532
103.730032 130.076 151.8692
104.481702 130.039 151.7869
105.238820 130.001 151.7072
106.001424 129.964 151.6301
106.769554 129.927 151.5557
107.543250 129.889 151.4835
108.322553 129.852 151.4131
109.107503 129.814 151.3438
109.898141 129.776 151.2756
110.694508 129.738 151.2086
111.496646 129.700 151.1434
112.304596 129.662 151.0806
113.118402 129.623 151.0202
113.938104 129.585 150.9623
114.763747 129.546 150.9066
115.595372 129.508 150.8528
116.433024 129.469 150.8007
117.276746 129.431 150.7504
118.126581 129.392 150.7020
118.982575 129.353 150.6554
119.844772 129.315 150.6105
120.713217 129.276 150.5674
121.587954 129.237 150.5261
122.469031 129.197 150.4868
123.356492 129.158 150.4495
124.250384 129.118 150.4142
125.150753 129.079 150.3810
126.057647 129.039 150.3497
126.971113 129.000 150.3203
127.891198 128.960 150.2923
128.817950 128.920 150.2656
129.751418 128.879 150.2401
130.691651 128.839 150.2163
131.638696 128.798 150.1948
132.592604 128.757 150.1764
133.553425 128.716 150.1616
134.521208 128.675 150.1507
135.496004 128.633 150.1436
136.477864 128.592 150.1400
137.466839 128.550 150.1396
138.462981 128.508 150.1423
139.466340 128.466 150.1481
140.476971 128.423 150.1572
141.494925 128.381 150.1701
142.520256 128.338 150.1876
143.553016 128.295 150.2104
144.593260 128.251 150.2395
145.641043 128.208 150.2754
146.696418 128.165 150.3183
147.759441 128.122 150.3686
148.830166 128.079 150.4264
149.908651 128.036 150.4920
150.994951 127.994 150.5656
152.089123 127.952 150.6473
153.191223 127.912 150.7371
154.301310 127.872 150.8346
155.419441 127.833 150.9392
156.545674 127.796 151.0500
157.680069 127.761 151.1662
158.822683 127.727 151.2866
159.973578 127.695 151.4093
161.132813 127.665 151.5326
162.300447 127.637 151.6543
163.476543 127.612 151.7720
164.661162 127.588 151.8832
165.854364 127.566 151.9854
167.056213 127.545 152.0760
168.266772 127.525 152.1536
169.486102 127.506 152.2173
170.714268 127.486 152.2669
171.951334 127.466 152.3035
173.197364 127.446 152.3286
174.452424 127.424 152.3441
175.716578 127.401 152.3522
176.989893 127.376 152.3550
178.272434 127.350 152.3544
179.564270 127.323 152.3522
180.865467 127.295 152.3503
182.176092 127.266 152.3500
183.496216 127.236 152.3519
184.825905 127.205 152.3566
186.165229 127.174 152.3641
187.514259 127.142 152.3744
188.873065 127.109 152.3875
190.241717 127.076 152.4033
191.620287 127.043 152.4218
193.008847 127.009 152.4434
194.407468 126.975 152.4681
195.816225 126.940 152.4962
197.235190 126.906 152.5277
198.664438 126.871 152.5627
200.104042 126.836 152.6014
201.554078 126.801 152.6440
203.014622 126.766 152.6901
204.485750 126.731 152.7396
205.967538 126.695 152.7921
207.460064 126.660 152.8473
208.963405 126.625 152.9052
210.477640 126.589 152.9659
212.002848 126.554 153.0294
213.539108 126.519 153.0959
215.086500 126.484 153.1650
216.645105 126.449 153.2367
218.215005 126.414 153.3108
219.796281 126.379 153.3871
221.389015 126.344 153.4657
222.993292 126.310 153.5465
224.609193 126.275 153.6295
226.236804 126.241 153.7148
227.876209 126.207 153.8022
229.527494 126.172 153.8918
231.190745 126.138 153.9835
232.866048 126.104 154.0771
234.553491 126.070 154.1725
236.253163 126.036 154.2700
237.965150 126.002 154.3693
239.689544 125.969 154.4704
241.426433 125.935 154.5734
243.175909 125.902 154.6783
244.938062 125.869 154.7853
246.712984 125.835 154.8945
248.500768 125.803 155.0056
250.301507 125.770 155.1184
252.115295 125.737 155.2326
253.942226 125.705 155.3484
255.782396 125.672 155.4659
257.635901 125.640 155.5854
259.502837 125.608 155.7068
261.383301 125.576 155.8303
263.277392 125.544 155.9554
265.185209 125.512 156.0822
267.106850 125.481 156.2104
269.042417 125.449 156.3402
270.992009 125.418 156.4717
272.955729 125.387 156.6052
274.933678 125.356 156.7409
276.925961 125.325 156.8788
278.932681 125.295 157.0190
280.953942 125.264 157.1612
282.989850 125.234 157.3052
285.040511 125.204 157.4509
287.106032 125.173 157.5982
289.186521 125.144 157.7473
291.282086 125.114 157.8984
293.392836 125.084 158.0518
295.518881 125.055 158.2078
297.660333 125.026 158.3663
299.817302 124.997 158.5275
301.989902 124.968 158.6916
304.178245 124.939 158.8586
306.382446 124.911 159.0283
308.602620 124.882 159.2008
310.838882 124.855 159.3760
313.091348 124.828 159.5540
315.360137 124.801 159.7346
317.645367 124.774 159.9179
319.947156 124.749 160.1035
322.265625 124.724 160.2911
324.600895 124.700 160.4802
326.953086 124.677 160.6700
329.322323 124.654 160.8596
331.708729 124.633 161.0479
334.112427 124.612 161.2338
336.533543 124.592 161.4166
338.972204 124.572 161.5956
341.428536 124.552 161.7708
343.902668 124.533 161.9423
346.394729 124.514 162.1103
348.904848 124.494 162.2751
351.433156 124.474 162.4374
353.979786 124.454 162.5980
356.544869 124.433 162.7580
359.128540 124.412 162.9186
361.730934 124.391 163.0806
364.352185 124.369 163.2446
366.992431 124.347 163.4108
369.651810 124.326 163.5793
372.330459 124.304 163.7504
375.028519 124.282 163.9239
377.746130 124.260 164.0998
380.483434 124.238 164.2779
383.240574 124.217 164.4581
386.017693 124.195 164.6401
