* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), R, volume: 0,250. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.09.2022 12:41:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: D13+сеточка
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 134.170 -158.4573
20.287556 134.169 -158.5871
20.434568 134.168 -158.7791
20.582645 134.166 -159.0155
20.731796 134.164 -159.2817
20.882027 134.162 -159.5670
21.033346 134.160 -159.8647
21.185763 134.157 -160.1708
21.339284 134.155 -160.4830
21.493917 134.153 -160.8001
21.649671 134.151 -161.1211
21.806553 134.149 -161.4452
21.964572 134.148 -161.7714
22.123737 134.146 -162.0989
22.284054 134.145 -162.4266
22.445534 134.144 -162.7537
22.608183 134.143 -163.0793
22.772012 134.141 -163.4030
22.937027 134.140 -163.7244
23.103238 134.139 -164.0434
23.270654 134.137 -164.3603
23.439282 134.136 -164.6755
23.609133 134.135 -164.9893
23.780215 134.134 -165.3024
23.952536 134.133 -165.6152
24.126106 134.132 -165.9278
24.300934 134.131 -166.2404
24.477028 134.130 -166.5529
24.654399 134.129 -166.8647
24.833055 134.128 -167.1755
25.013005 134.127 -167.4846
25.194260 134.126 -167.7914
25.376828 134.126 -168.0954
25.560719 134.125 -168.3963
25.745942 134.125 -168.6939
25.932508 134.124 -168.9882
26.120426 134.123 -169.2794
26.309705 134.122 -169.5679
26.500356 134.121 -169.8539
26.692388 134.119 -170.1379
26.885812 134.117 -170.4201
27.080638 134.113 -170.7008
27.276876 134.109 -170.9803
27.474535 134.104 -171.2586
27.673627 134.099 -171.5361
27.874161 134.093 -171.8129
28.076149 134.087 -172.0895
28.279600 134.081 -172.3664
28.484526 134.075 -172.6439
28.690937 134.069 -172.9225
28.898843 134.064 -173.2026
29.108256 134.059 -173.4840
29.319186 134.054 -173.7665
29.531645 134.049 -174.0495
29.745644 134.045 -174.3321
29.961193 134.040 -174.6133
30.178304 134.035 -174.8921
30.396989 134.030 -175.1679
30.617258 134.024 -175.4402
30.839123 134.018 -175.7091
31.062596 134.012 -175.9752
31.287688 134.006 -176.2393
31.514412 133.999 -176.5024
31.742778 133.992 -176.7655
31.972800 133.984 -177.0295
32.204488 133.976 -177.2946
32.437855 133.968 -177.5611
32.672913 133.959 -177.8284
32.909674 133.951 -178.0960
33.148151 133.942 -178.3633
33.388356 133.933 -178.6296
33.630302 133.924 -178.8945
33.874001 133.915 -179.1575
34.119466 133.906 -179.4186
34.366710 133.897 -179.6777
34.615745 133.888 -179.9349
34.866585 133.878 179.8098
35.119243 133.869 179.5559
35.373731 133.859 179.3033
35.630064 133.849 179.0516
35.888254 133.838 178.8005
36.148315 133.827 178.5496
36.410261 133.816 178.2989
36.674104 133.804 178.0482
36.939860 133.792 177.7979
37.207542 133.780 177.5483
37.477163 133.767 177.2998
37.748738 133.755 177.0529
38.022281 133.742 176.8077
38.297806 133.729 176.5642
38.575327 133.716 176.3220
38.854860 133.703 176.0808
39.136419 133.689 175.8402
39.420017 133.676 175.5998
39.705671 133.662 175.3595
39.993395 133.648 175.1194
40.283203 133.633 174.8796
40.575112 133.619 174.6404
40.869136 133.604 174.4021
41.165290 133.589 174.1646
41.463591 133.573 173.9282
41.764053 133.558 173.6927
42.066693 133.542 173.4581
42.371525 133.526 173.2242
42.678567 133.510 172.9911
42.987834 133.493 172.7587
43.299341 133.476 172.5270
43.613106 133.459 172.2960
43.929145 133.442 172.0659
44.247473 133.425 171.8367
44.568109 133.408 171.6085
44.891068 133.390 171.3817
45.216367 133.373 171.1561
45.544023 133.355 170.9318
45.874054 133.337 170.7086
46.206476 133.319 170.4864
46.541307 133.301 170.2648
46.878565 133.282 170.0438
47.218266 133.263 169.8234
47.560429 133.244 169.6041
47.905072 133.225 169.3862
48.252212 133.205 169.1702
48.601867 133.185 168.9558
48.954056 133.165 168.7426
49.308798 133.145 168.5296
49.666109 133.124 168.3162
50.026010 133.104 168.1020
50.388520 133.083 167.8871
50.753656 133.062 167.6722
51.121437 133.041 167.4580
51.491884 133.020 167.2449
51.865016 132.998 167.0330
52.240851 132.977 166.8223
52.619410 132.955 166.6129
53.000712 132.933 166.4051
53.384777 132.911 166.1993
53.771625 132.888 165.9961
54.161276 132.864 165.7955
54.553751 132.840 165.5974
54.949070 132.816 165.4014
55.347254 132.792 165.2064
55.748323 132.768 165.0118
56.152298 132.743 164.8170
56.559201 132.718 164.6223
56.969052 132.693 164.4282
57.381873 132.667 164.2360
57.797686 132.642 164.0472
58.216512 132.615 163.8627
58.638373 132.589 163.6831
59.063291 132.563 163.5084
59.491288 132.536 163.3381
59.922386 132.510 163.1715
60.356608 132.483 163.0079
60.793977 132.456 162.8464
61.234515 132.430 162.6863
61.678246 132.404 162.5266
62.125192 132.379 162.3665
62.575377 132.355 162.2056
63.028824 132.332 162.0435
63.485557 132.309 161.8802
63.945599 132.286 161.7160
64.408975 132.262 161.5507
64.875709 132.238 161.3843
65.345825 132.214 161.2166
65.819348 132.189 161.0475
66.296302 132.164 160.8774
66.776713 132.138 160.7073
67.260604 132.112 160.5380
67.748002 132.085 160.3704
68.238932 132.059 160.2051
68.733420 132.032 160.0423
69.231490 132.005 159.8820
69.733170 131.978 159.7237
70.238485 131.951 159.5671
70.747463 131.924 159.4118
71.260128 131.897 159.2576
71.776508 131.870 159.1039
72.296630 131.843 158.9505
72.820521 131.816 158.7967
73.348209 131.789 158.6422
73.879720 131.762 158.4869
74.415083 131.735 158.3308
74.954326 131.708 158.1741
75.497475 131.681 158.0168
76.044561 131.654 157.8589
76.595612 131.626 157.7009
77.150655 131.599 157.5432
77.709720 131.571 157.3867
78.272837 131.544 157.2323
78.840034 131.516 157.0808
79.411342 131.488 156.9329
79.986789 131.461 156.7889
80.566406 131.432 156.6491
81.150224 131.404 156.5137
81.738272 131.374 156.3824
82.330581 131.345 156.2550
82.927182 131.314 156.1307
83.528107 131.283 156.0088
84.133386 131.251 155.8881
84.743051 131.218 155.7675
85.357134 131.185 155.6456
85.975667 131.150 155.5218
86.598682 131.116 155.3952
87.226212 131.081 155.2659
87.858289 131.047 155.1345
88.494946 131.013 155.0023
89.136217 130.979 154.8715
89.782135 130.946 154.7441
90.432733 130.913 154.6220
91.088046 130.880 154.5060
91.748108 130.847 154.3956
92.412952 130.813 154.2891
93.082615 130.778 154.1843
93.757130 130.744 154.0797
94.436533 130.708 153.9746
95.120859 130.673 153.8693
95.810144 130.638 153.7648
96.504423 130.602 153.6624
97.203734 130.567 153.5627
97.908112 130.532 153.4659
98.617595 130.496 153.3713
99.332219 130.460 153.2781
100.052021 130.425 153.1859
100.777039 130.389 153.0948
101.507311 130.353 153.0053
102.242875 130.317 152.9180
102.983769 130.281 152.8331
103.730032 130.245 152.7505
104.481702 130.209 152.6697
105.238820 130.173 152.5907
106.001424 130.137 152.5134
106.769554 130.101 152.4375
107.543250 130.065 152.3630
108.322553 130.028 152.2900
109.107503 129.991 152.2188
109.898141 129.954 152.1496
110.694508 129.917 152.0825
111.496646 129.880 152.0173
112.304596 129.843 151.9539
113.118402 129.805 151.8923
113.938104 129.768 151.8323
114.763747 129.731 151.7740
115.595372 129.693 151.7172
116.433024 129.656 151.6619
117.276746 129.618 151.6081
118.126581 129.580 151.5557
118.982575 129.542 151.5049
119.844772 129.504 151.4561
120.713217 129.466 151.4092
121.587954 129.428 151.3647
122.469031 129.390 151.3226
123.356492 129.352 151.2827
124.250384 129.313 151.2447
125.150753 129.275 151.2084
126.057647 129.236 151.1738
126.971113 129.198 151.1410
127.891198 129.159 151.1101
128.817950 129.120 151.0813
129.751418 129.082 151.0544
130.691651 129.043 151.0291
131.638696 129.004 151.0052
132.592604 128.965 150.9828
133.553425 128.926 150.9621
134.521208 128.887 150.9433
135.496004 128.848 150.9265
136.477864 128.808 150.9118
137.466839 128.769 150.8989
138.462981 128.729 150.8878
139.466340 128.690 150.8782
140.476971 128.650 150.8703
141.494925 128.610 150.8644
142.520256 128.569 150.8611
143.553016 128.529 150.8605
144.593260 128.488 150.8629
145.641043 128.447 150.8681
146.696418 128.406 150.8758
147.759441 128.365 150.8862
148.830166 128.323 150.8995
149.908651 128.281 150.9159
150.994951 128.239 150.9357
152.089123 128.196 150.9592
153.191223 128.154 150.9867
154.301310 128.110 151.0186
155.419441 128.067 151.0556
156.545674 128.022 151.0983
157.680069 127.978 151.1473
158.822683 127.933 151.2038
159.973578 127.888 151.2691
161.132813 127.843 151.3447
162.300447 127.797 151.4320
163.476543 127.751 151.5328
164.661162 127.706 151.6487
165.854364 127.662 151.7814
167.056213 127.618 151.9320
168.266772 127.577 152.1010
169.486102 127.537 152.2878
170.714268 127.502 152.4901
171.951334 127.470 152.7041
173.197364 127.443 152.9240
174.452424 127.421 153.1421
175.716578 127.404 153.3495
176.989893 127.392 153.5371
178.272434 127.383 153.6968
179.564270 127.378 153.8228
180.865467 127.373 153.9124
182.176092 127.369 153.9658
183.496216 127.363 153.9862
184.825905 127.355 153.9787
186.165229 127.343 153.9497
187.514259 127.328 153.9057
188.873065 127.310 153.8530
190.241717 127.288 153.7971
191.620287 127.263 153.7427
193.008847 127.235 153.6932
194.407468 127.204 153.6511
195.816225 127.171 153.6180
197.235190 127.137 153.5944
198.664438 127.102 153.5807
200.104042 127.066 153.5767
201.554078 127.029 153.5821
203.014622 126.991 153.5963
204.485750 126.954 153.6189
205.967538 126.916 153.6492
207.460064 126.878 153.6865
208.963405 126.840 153.7302
210.477640 126.802 153.7798
212.002848 126.764 153.8350
213.539108 126.727 153.8954
215.086500 126.690 153.9608
216.645105 126.652 154.0308
218.215005 126.615 154.1052
219.796281 126.579 154.1835
221.389015 126.542 154.2657
222.993292 126.506 154.3513
224.609193 126.470 154.4401
226.236804 126.435 154.5319
227.876209 126.399 154.6265
229.527494 126.364 154.7239
231.190745 126.330 154.8238
232.866048 126.295 154.9262
234.553491 126.261 155.0311
236.253163 126.227 155.1382
237.965150 126.193 155.2475
239.689544 126.159 155.3589
241.426433 126.126 155.4721
243.175909 126.093 155.5870
244.938062 126.061 155.7032
246.712984 126.029 155.8205
248.500768 125.997 155.9389
250.301507 125.965 156.0583
252.115295 125.934 156.1788
253.942226 125.903 156.3002
255.782396 125.872 156.4225
257.635901 125.841 156.5456
259.502837 125.810 156.6696
261.383301 125.779 156.7947
263.277392 125.748 156.9210
265.185209 125.717 157.0486
267.106850 125.687 157.1778
269.042417 125.656 157.3087
270.992009 125.625 157.4413
272.955729 125.595 157.5759
274.933678 125.564 157.7125
276.925961 125.534 157.8511
278.932681 125.504 157.9919
280.953942 125.474 158.1349
282.989850 125.444 158.2797
285.040511 125.415 158.4265
287.106032 125.385 158.5751
289.186521 125.356 158.7255
291.282086 125.327 158.8779
293.392836 125.298 159.0320
295.518881 125.269 159.1880
297.660333 125.241 159.3458
299.817302 125.213 159.5055
301.989902 125.185 159.6672
304.178245 125.157 159.8310
306.382446 125.129 159.9968
308.602620 125.102 160.1647
310.838882 125.075 160.3349
313.091348 125.048 160.5074
315.360137 125.021 160.6823
317.645367 124.995 160.8596
319.947156 124.968 161.0390
322.265625 124.943 161.2205
324.600895 124.918 161.4042
326.953086 124.893 161.5899
329.322323 124.869 161.7775
331.708729 124.845 161.9669
334.112427 124.822 162.1577
336.533543 124.799 162.3493
338.972204 124.777 162.5411
341.428536 124.756 162.7325
343.902668 124.735 162.9225
346.394729 124.715 163.1104
348.904848 124.696 163.2957
351.433156 124.676 163.4779
353.979786 124.657 163.6571
356.544869 124.638 163.8335
359.128540 124.618 164.0076
361.730934 124.599 164.1799
364.352185 124.579 164.3511
366.992431 124.558 164.5219
369.651810 124.538 164.6932
372.330459 124.517 164.8657
375.028519 124.496 165.0400
377.746130 124.475 165.2167
380.483434 124.454 165.3959
383.240574 124.433 165.5776
386.017693 124.412 165.7617
