* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), R, volume: 0,250. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.09.2022 12:36:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: D13
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 134.129 -157.7270
20.287556 134.128 -157.8560
20.434568 134.128 -158.0467
20.582645 134.127 -158.2813
20.731796 134.125 -158.5451
20.882027 134.124 -158.8272
21.033346 134.122 -159.1210
21.185763 134.120 -159.4223
21.339284 134.119 -159.7290
21.493917 134.117 -160.0398
21.649671 134.116 -160.3539
21.806553 134.115 -160.6706
21.964572 134.114 -160.9892
22.123737 134.113 -161.3091
22.284054 134.113 -161.6295
22.445534 134.112 -161.9495
22.608183 134.111 -162.2684
22.772012 134.110 -162.5855
22.937027 134.109 -162.9005
23.103238 134.107 -163.2131
23.270654 134.106 -163.5234
23.439282 134.105 -163.8315
23.609133 134.104 -164.1381
23.780215 134.102 -164.4436
23.952536 134.102 -164.7487
24.126106 134.101 -165.0541
24.300934 134.100 -165.3602
24.477028 134.100 -165.6672
24.654399 134.100 -165.9752
24.833055 134.100 -166.2837
25.013005 134.100 -166.5921
25.194260 134.100 -166.8995
25.376828 134.099 -167.2048
25.560719 134.098 -167.5070
25.745942 134.097 -167.8050
25.932508 134.096 -168.0981
26.120426 134.095 -168.3858
26.309705 134.093 -168.6682
26.500356 134.091 -168.9458
26.692388 134.089 -169.2193
26.885812 134.086 -169.4900
27.080638 134.083 -169.7589
27.276876 134.080 -170.0274
27.474535 134.077 -170.2964
27.673627 134.073 -170.5668
27.874161 134.068 -170.8392
28.076149 134.063 -171.1135
28.279600 134.058 -171.3898
28.484526 134.053 -171.6677
28.690937 134.048 -171.9469
28.898843 134.043 -172.2267
29.108256 134.038 -172.5069
29.319186 134.033 -172.7868
29.531645 134.029 -173.0662
29.745644 134.025 -173.3446
29.961193 134.020 -173.6216
30.178304 134.016 -173.8969
30.396989 134.011 -174.1700
30.617258 134.006 -174.4407
30.839123 134.001 -174.7090
31.062596 133.995 -174.9749
31.287688 133.988 -175.2387
31.514412 133.981 -175.5008
31.742778 133.974 -175.7618
31.972800 133.966 -176.0222
32.204488 133.958 -176.2823
32.437855 133.950 -176.5425
32.672913 133.942 -176.8028
32.909674 133.934 -177.0631
33.148151 133.925 -177.3232
33.388356 133.917 -177.5827
33.630302 133.909 -177.8414
33.874001 133.901 -178.0989
34.119466 133.892 -178.3550
34.366710 133.884 -178.6096
34.615745 133.875 -178.8625
34.866585 133.866 -179.1137
35.119243 133.857 -179.3632
35.373731 133.847 -179.6112
35.630064 133.837 -179.8578
35.888254 133.827 179.8965
36.148315 133.816 179.6517
36.410261 133.806 179.4073
36.674104 133.795 179.1635
36.939860 133.783 178.9203
37.207542 133.772 178.6780
37.477163 133.760 178.4368
37.748738 133.748 178.1971
38.022281 133.736 177.9590
38.297806 133.723 177.7225
38.575327 133.711 177.4874
38.854860 133.698 177.2534
39.136419 133.685 177.0201
39.420017 133.672 176.7875
39.705671 133.658 176.5554
39.993395 133.645 176.3240
40.283203 133.631 176.0935
40.575112 133.618 175.8640
40.869136 133.604 175.6356
41.165290 133.590 175.4082
41.463591 133.577 175.1816
41.764053 133.563 174.9557
42.066693 133.549 174.7300
42.371525 133.535 174.5046
42.678567 133.520 174.2792
42.987834 133.506 174.0540
43.299341 133.491 173.8289
43.613106 133.475 173.6040
43.929145 133.460 173.3795
44.247473 133.444 173.1552
44.568109 133.429 172.9313
44.891068 133.413 172.7079
45.216367 133.396 172.4852
45.544023 133.380 172.2635
45.874054 133.363 172.0429
46.206476 133.345 171.8233
46.541307 133.328 171.6045
46.878565 133.310 171.3860
47.218266 133.292 171.1674
47.560429 133.274 170.9485
47.905072 133.255 170.7294
48.252212 133.236 170.5107
48.601867 133.217 170.2932
48.954056 133.198 170.0778
49.308798 133.179 169.8650
49.666109 133.160 169.6548
50.026010 133.141 169.4469
50.388520 133.122 169.2410
50.753656 133.104 169.0365
51.121437 133.085 168.8334
51.491884 133.066 168.6317
51.865016 133.046 168.4313
52.240851 133.026 168.2321
52.619410 133.005 168.0339
53.000712 132.985 167.8361
53.384777 132.964 167.6383
53.771625 132.943 167.4402
54.161276 132.922 167.2417
54.553751 132.900 167.0431
54.949070 132.879 166.8449
55.347254 132.857 166.6479
55.748323 132.835 166.4527
56.152298 132.813 166.2595
56.559201 132.791 166.0683
56.969052 132.768 165.8788
57.381873 132.746 165.6909
57.797686 132.723 165.5043
58.216512 132.700 165.3192
58.638373 132.677 165.1357
59.063291 132.654 164.9534
59.491288 132.631 164.7714
59.922386 132.608 164.5888
60.356608 132.584 164.4048
60.793977 132.561 164.2198
61.234515 132.536 164.0347
61.678246 132.512 163.8510
62.125192 132.487 163.6700
62.575377 132.461 163.4917
63.028824 132.436 163.3160
63.485557 132.410 163.1422
63.945599 132.385 162.9695
64.408975 132.359 162.7979
64.875709 132.334 162.6273
65.345825 132.308 162.4577
65.819348 132.282 162.2894
66.296302 132.256 162.1224
66.776713 132.230 161.9570
67.260604 132.203 161.7931
67.748002 132.176 161.6307
68.238932 132.149 161.4697
68.733420 132.122 161.3097
69.231490 132.095 161.1506
69.733170 132.067 160.9920
70.238485 132.040 160.8340
70.747463 132.012 160.6768
71.260128 131.984 160.5207
71.776508 131.955 160.3658
72.296630 131.927 160.2124
72.820521 131.898 160.0605
73.348209 131.870 159.9102
73.879720 131.841 159.7614
74.415083 131.812 159.6143
74.954326 131.783 159.4689
75.497475 131.753 159.3250
76.044561 131.723 159.1827
76.595612 131.694 159.0421
77.150655 131.664 158.9032
77.709720 131.633 158.7659
78.272837 131.603 158.6300
78.840034 131.572 158.4956
79.411342 131.542 158.3625
79.986789 131.511 158.2305
80.566406 131.479 158.0998
81.150224 131.448 157.9702
81.738272 131.417 157.8420
82.330581 131.385 157.7153
82.927182 131.353 157.5901
83.528107 131.321 157.4669
84.133386 131.289 157.3453
84.743051 131.257 157.2256
85.357134 131.224 157.1075
85.975667 131.191 156.9913
86.598682 131.158 156.8772
87.226212 131.125 156.7653
87.858289 131.092 156.6559
88.494946 131.058 156.5488
89.136217 131.025 156.4441
89.782135 130.992 156.3415
90.432733 130.958 156.2408
91.088046 130.925 156.1419
91.748108 130.891 156.0446
92.412952 130.857 155.9491
93.082615 130.823 155.8553
93.757130 130.789 155.7632
94.436533 130.755 155.6727
95.120859 130.722 155.5832
95.810144 130.688 155.4944
96.504423 130.653 155.4062
97.203734 130.619 155.3188
97.908112 130.585 155.2325
98.617595 130.550 155.1476
99.332219 130.516 155.0646
100.052021 130.481 154.9839
100.777039 130.445 154.9058
101.507311 130.410 154.8301
102.242875 130.374 154.7568
102.983769 130.339 154.6855
103.730032 130.303 154.6160
104.481702 130.267 154.5485
105.238820 130.232 154.4833
106.001424 130.196 154.4209
106.769554 130.159 154.3616
107.543250 130.123 154.3056
108.322553 130.087 154.2527
109.107503 130.051 154.2027
109.898141 130.014 154.1557
110.694508 129.978 154.1117
111.496646 129.942 154.0706
112.304596 129.906 154.0321
113.118402 129.870 153.9962
113.938104 129.834 153.9624
114.763747 129.798 153.9308
115.595372 129.763 153.9012
116.433024 129.728 153.8735
117.276746 129.693 153.8478
118.126581 129.659 153.8236
118.982575 129.625 153.8002
119.844772 129.590 153.7766
120.713217 129.556 153.7516
121.587954 129.523 153.7244
122.469031 129.489 153.6942
123.356492 129.455 153.6611
124.250384 129.421 153.6257
125.150753 129.388 153.5891
126.057647 129.354 153.5521
126.971113 129.320 153.5151
127.891198 129.285 153.4785
128.817950 129.250 153.4427
129.751418 129.215 153.4081
130.691651 129.179 153.3749
131.638696 129.143 153.3434
132.592604 129.106 153.3136
133.553425 129.070 153.2858
134.521208 129.032 153.2605
135.496004 128.995 153.2380
136.477864 128.957 153.2186
137.466839 128.919 153.2022
138.462981 128.880 153.1890
139.466340 128.841 153.1789
140.476971 128.802 153.1720
141.494925 128.763 153.1685
142.520256 128.724 153.1688
143.553016 128.684 153.1728
144.593260 128.644 153.1805
145.641043 128.604 153.1916
146.696418 128.563 153.2056
147.759441 128.522 153.2227
148.830166 128.480 153.2432
149.908651 128.439 153.2679
150.994951 128.397 153.2977
152.089123 128.355 153.3332
153.191223 128.313 153.3746
154.301310 128.270 153.4220
155.419441 128.227 153.4753
156.545674 128.184 153.5349
157.680069 128.141 153.6017
158.822683 128.097 153.6770
159.973578 128.054 153.7620
161.132813 128.011 153.8577
162.300447 127.969 153.9648
163.476543 127.927 154.0836
164.661162 127.886 154.2144
165.854364 127.846 154.3571
167.056213 127.807 154.5109
168.266772 127.771 154.6749
169.486102 127.737 154.8470
170.714268 127.705 155.0251
171.951334 127.677 155.2059
173.197364 127.651 155.3858
174.452424 127.629 155.5609
175.716578 127.609 155.7272
176.989893 127.592 155.8813
178.272434 127.576 156.0203
179.564270 127.563 156.1419
180.865467 127.550 156.2448
182.176092 127.537 156.3286
183.496216 127.524 156.3939
184.825905 127.511 156.4423
186.165229 127.496 156.4758
187.514259 127.479 156.4969
188.873065 127.461 156.5084
190.241717 127.442 156.5128
191.620287 127.420 156.5124
193.008847 127.397 156.5093
194.407468 127.372 156.5053
195.816225 127.346 156.5020
197.235190 127.318 156.5005
198.664438 127.289 156.5023
200.104042 127.258 156.5082
201.554078 127.227 156.5189
203.014622 127.194 156.5350
204.485750 127.161 156.5567
205.967538 127.127 156.5844
207.460064 127.092 156.6182
208.963405 127.057 156.6580
210.477640 127.022 156.7036
212.002848 126.987 156.7549
213.539108 126.951 156.8116
215.086500 126.916 156.8734
216.645105 126.880 156.9398
218.215005 126.844 157.0106
219.796281 126.809 157.0854
221.389015 126.773 157.1641
222.993292 126.738 157.2468
224.609193 126.703 157.3335
226.236804 126.668 157.4241
227.876209 126.633 157.5187
229.527494 126.598 157.6170
231.190745 126.563 157.7191
232.866048 126.529 157.8247
234.553491 126.495 157.9340
236.253163 126.460 158.0467
237.965150 126.426 158.1625
239.689544 126.392 158.2811
241.426433 126.359 158.4023
243.175909 126.325 158.5257
244.938062 126.292 158.6513
246.712984 126.259 158.7791
248.500768 126.226 158.9089
250.301507 126.193 159.0410
252.115295 126.161 159.1753
253.942226 126.128 159.3120
255.782396 126.096 159.4510
257.635901 126.065 159.5924
259.502837 126.033 159.7363
261.383301 126.001 159.8829
263.277392 125.970 160.0321
265.185209 125.939 160.1839
267.106850 125.908 160.3382
269.042417 125.877 160.4951
270.992009 125.847 160.6543
272.955729 125.816 160.8158
274.933678 125.786 160.9796
276.925961 125.756 161.1457
278.932681 125.727 161.3141
280.953942 125.697 161.4852
282.989850 125.668 161.6591
285.040511 125.640 161.8358
287.106032 125.611 162.0151
289.186521 125.583 162.1968
291.282086 125.556 162.3808
293.392836 125.529 162.5669
295.518881 125.503 162.7551
297.660333 125.477 162.9453
299.817302 125.451 163.1370
301.989902 125.427 163.3297
304.178245 125.402 163.5230
306.382446 125.379 163.7162
308.602620 125.356 163.9091
310.838882 125.333 164.1009
313.091348 125.311 164.2914
315.360137 125.289 164.4803
317.645367 125.267 164.6672
319.947156 125.245 164.8524
322.265625 125.224 165.0358
324.600895 125.202 165.2180
326.953086 125.181 165.3992
329.322323 125.159 165.5803
331.708729 125.137 165.7617
334.112427 125.116 165.9438
336.533543 125.094 166.1271
338.972204 125.072 166.3119
341.428536 125.050 166.4984
343.902668 125.027 166.6869
346.394729 125.005 166.8774
348.904848 124.983 167.0703
351.433156 124.961 167.2653
353.979786 124.939 167.4626
356.544869 124.917 167.6621
359.128540 124.895 167.8638
361.730934 124.873 168.0676
364.352185 124.852 168.2735
366.992431 124.830 168.4813
369.651810 124.809 168.6909
372.330459 124.788 168.9022
375.028519 124.768 169.1153
377.746130 124.747 169.3299
380.483434 124.727 169.5461
383.240574 124.707 169.7639
386.017693 124.688 169.9834
388.814937 124.668 170.2047
