* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 29.08.2022 12:28:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: A7
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 64.142 40.8477
20.507813 64.203 39.5545
20.874023 64.255 38.2849
21.240234 64.302 37.0023
21.606445 64.344 35.7014
21.972656 64.383 34.4035
22.338867 64.419 33.1337
22.705078 64.456 31.9014
23.071289 64.495 30.6964
23.437500 64.531 29.5018
23.803711 64.563 28.3105
24.169922 64.585 27.1319
24.536133 64.599 25.9831
24.902344 64.609 24.8743
25.268555 64.620 23.7991
25.634766 64.634 22.7385
26.000977 64.651 21.6749
26.367188 64.670 20.6041
26.733399 64.687 19.5380
27.099610 64.700 18.4958
27.465821 64.710 17.4911
27.832032 64.717 16.5251
28.198243 64.723 15.5882
28.564454 64.728 14.6688
28.930665 64.731 13.7606
29.296876 64.732 12.8643
29.663087 64.733 11.9837
30.029298 64.734 11.1204
30.395509 64.736 10.2722
30.761720 64.737 9.4347
31.127931 64.737 8.6052
31.494142 64.734 7.7849
31.860353 64.728 6.9762
32.226563 64.720 6.1803
32.592774 64.710 5.3949
32.958985 64.701 4.6164
33.325196 64.691 3.8432
33.691407 64.681 3.0783
34.057618 64.671 2.3275
34.423829 64.660 1.5960
34.790040 64.648 0.8840
35.156251 64.637 0.1870
35.522462 64.624 -0.5018
35.888673 64.610 -1.1867
36.254884 64.595 -1.8679
36.621095 64.578 -2.5427
36.987306 64.561 -3.2084
37.353517 64.544 -3.8644
37.719728 64.527 -4.5116
38.085939 64.510 -5.1501
38.452150 64.492 -5.7774
38.818361 64.474 -6.3899
39.184572 64.456 -6.9852
39.550783 64.437 -7.5642
39.916994 64.420 -8.1319
40.283205 64.403 -8.6942
40.649416 64.386 -9.2547
41.015627 64.369 -9.8134
41.381838 64.351 -10.3674
41.748049 64.333 -10.9136
42.114260 64.315 -11.4514
42.480471 64.298 -11.9841
42.846682 64.281 -12.5169
43.212893 64.265 -13.0540
43.579103 64.247 -13.5953
43.945314 64.228 -14.1351
44.311525 64.207 -14.6640
44.677736 64.185 -15.1739
45.043947 64.163 -15.6628
45.410158 64.142 -16.1367
45.776369 64.123 -16.6070
46.142580 64.105 -17.0833
46.508791 64.086 -17.5674
46.875002 64.065 -18.0530
47.241213 64.043 -18.5309
47.607424 64.021 -18.9974
47.973635 64.001 -19.4577
48.339846 63.983 -19.9226
48.706057 63.966 -20.3993
49.072268 63.947 -20.8837
49.438479 63.924 -21.3618
49.804690 63.900 -21.8181
50.170901 63.875 -22.2468
50.537112 63.852 -22.6559
50.903323 63.831 -23.0616
51.269534 63.811 -23.4768
51.635745 63.790 -23.9031
52.001956 63.766 -24.3318
52.368167 63.742 -24.7523
52.734378 63.718 -25.1610
53.100589 63.695 -25.5625
53.466800 63.672 -25.9629
53.833011 63.650 -26.3630
54.199222 63.626 -26.7563
54.565432 63.600 -27.1352
54.931643 63.576 -27.4991
55.297854 63.552 -27.8573
55.664065 63.531 -28.2227
56.030276 63.509 -28.6023
56.396487 63.486 -28.9915
56.762698 63.460 -29.3771
57.128909 63.433 -29.7468
57.495120 63.407 -30.0975
57.861331 63.383 -30.4354
58.227542 63.360 -30.7705
58.593753 63.338 -31.1083
58.959964 63.315 -31.4476
59.326175 63.291 -31.7837
59.692386 63.267 -32.1147
60.058597 63.244 -32.4436
60.424808 63.222 -32.7754
60.791019 63.200 -33.1121
61.157230 63.178 -33.4497
61.523441 63.155 -33.7810
61.889652 63.132 -34.1011
62.255863 63.110 -34.4111
62.622074 63.089 -34.7173
62.988285 63.068 -35.0263
63.354496 63.047 -35.3401
63.720707 63.026 -35.6553
64.086918 63.002 -35.9664
64.453129 62.979 -36.2705
64.819340 62.956 -36.5690
65.185551 62.933 -36.8659
65.551762 62.910 -37.1633
65.917972 62.887 -37.4600
66.284183 62.863 -37.7530
66.650394 62.841 -38.0415
67.016605 62.819 -38.3289
67.382816 62.799 -38.6210
67.749027 62.779 -38.9207
68.115238 62.758 -39.2237
68.481449 62.735 -39.5199
68.847660 62.710 -39.7996
69.213871 62.686 -40.0609
69.580082 62.665 -40.3120
69.946293 62.645 -40.5667
70.312504 62.626 -40.8355
70.678715 62.607 -41.1188
71.044926 62.586 -41.4077
71.411137 62.563 -41.6902
71.777348 62.539 -41.9591
72.143559 62.516 -42.2150
72.509770 62.495 -42.4640
72.875981 62.474 -42.7121
73.242192 62.454 -42.9611
73.608403 62.432 -43.2093
73.974614 62.410 -43.4547
74.340825 62.389 -43.6985
74.707036 62.368 -43.9440
75.073247 62.348 -44.1938
75.439458 62.327 -44.4477
75.805669 62.307 -44.7023
76.171880 62.286 -44.9532
76.538091 62.266 -45.1979
76.904301 62.245 -45.4365
77.270512 62.225 -45.6710
77.636723 62.204 -45.9034
78.002934 62.183 -46.1343
78.369145 62.162 -46.3639
78.735356 62.141 -46.5920
79.101567 62.120 -46.8190
79.467778 62.099 -47.0454
79.833989 62.078 -47.2711
80.200200 62.058 -47.4954
80.566411 62.037 -47.7179
80.932622 62.017 -47.9383
81.298833 61.997 -48.1573
81.665044 61.977 -48.3757
82.031255 61.957 -48.5940
82.397466 61.937 -48.8115
82.763677 61.917 -49.0266
83.129888 61.897 -49.2382
83.496099 61.877 -49.4459
83.862310 61.857 -49.6503
84.228521 61.838 -49.8527
84.594732 61.819 -50.0541
84.960943 61.800 -50.2551
85.327154 61.780 -50.4561
85.693365 61.761 -50.6578
86.059576 61.742 -50.8614
86.425787 61.723 -51.0673
86.791998 61.704 -51.2743
87.158209 61.685 -51.4802
87.524420 61.666 -51.6824
87.890631 61.647 -51.8804
88.256841 61.629 -52.0755
88.623052 61.612 -52.2702
88.989263 61.594 -52.4656
89.355474 61.576 -52.6605
89.721685 61.558 -52.8528
90.087896 61.539 -53.0406
90.454107 61.520 -53.2245
90.820318 61.501 -53.4062
91.186529 61.482 -53.5876
91.552740 61.464 -53.7693
91.918951 61.445 -53.9516
92.285162 61.427 -54.1350
92.651373 61.410 -54.3210
93.017584 61.392 -54.5101
93.383795 61.375 -54.7000
93.750006 61.358 -54.8860
94.116217 61.340 -55.0637
94.482428 61.323 -55.2326
94.848639 61.307 -55.3971
95.214850 61.291 -55.5642
95.581061 61.274 -55.7390
95.947272 61.256 -55.9210
96.313483 61.237 -56.1052
96.679694 61.217 -56.2849
97.045905 61.198 -56.4561
97.412116 61.181 -56.6191
97.778327 61.166 -56.7782
98.144538 61.154 -56.9388
98.510749 61.143 -57.1053
98.876960 61.131 -57.2786
99.243170 61.118 -57.4560
99.609381 61.101 -57.6319
99.975592 61.083 -57.8013
100.341803 61.063 -57.9623
100.708014 61.045 -58.1184
101.074225 61.028 -58.2754
101.440436 61.012 -58.4367
101.806647 60.997 -58.5998
102.172858 60.981 -58.7571
102.539069 60.965 -58.9019
102.905280 60.950 -59.0346
103.271491 60.935 -59.1637
103.637702 60.921 -59.3012
104.003913 60.906 -59.4544
104.370124 60.890 -59.6219
104.736335 60.874 -59.7962
105.102546 60.857 -59.9697
105.468757 60.841 -60.1395
105.834968 60.827 -60.3071
106.201179 60.813 -60.4734
106.567390 60.798 -60.6361
106.933601 60.783 -60.7905
107.299812 60.767 -60.9345
107.666023 60.751 -61.0711
108.032234 60.735 -61.2071
108.398445 60.720 -61.3483
108.764656 60.705 -61.4956
109.130867 60.691 -61.6458
109.497078 60.676 -61.7954
109.863289 60.663 -61.9443
110.229500 60.650 -62.0949
110.595710 60.638 -62.2489
110.961921 60.624 -62.4046
111.328132 60.610 -62.5567
111.694343 60.595 -62.7007
112.060554 60.580 -62.8357
112.426765 60.566 -62.9648
112.792976 60.552 -63.0927
113.159187 60.539 -63.2226
113.525398 60.525 -63.3551
113.891609 60.510 -63.4889
114.257820 60.496 -63.6227
114.624031 60.481 -63.7559
114.990242 60.467 -63.8896
115.356453 60.454 -64.0256
115.722664 60.442 -64.1657
116.088875 60.430 -64.3105
116.455086 60.417 -64.4576
116.821297 60.404 -64.6017
117.187508 60.389 -64.7375
117.553719 60.374 -64.8639
117.919930 60.360 -64.9867
118.286141 60.347 -65.1155
118.652352 60.334 -65.2574
119.018563 60.321 -65.4108
119.384774 60.306 -65.5642
119.750985 60.290 -65.7042
120.117196 60.275 -65.8239
120.483407 60.263 -65.9283
120.849618 60.253 -66.0305
121.215829 60.245 -66.1419
121.582040 60.236 -66.2649
121.948250 60.224 -66.3926
122.314461 60.211 -66.5165
122.680672 60.197 -66.6339
123.046883 60.185 -66.7507
123.413094 60.174 -66.8757
123.779305 60.163 -67.0132
124.145516 60.152 -67.1586
124.511727 60.139 -67.3014
124.877938 60.125 -67.4322
125.244149 60.111 -67.5478
125.610360 60.097 -67.6529
125.976571 60.085 -67.7556
126.342782 60.074 -67.8633
126.708993 60.063 -67.9791
127.075204 60.052 -68.1018
127.441415 60.040 -68.2273
127.807626 60.027 -68.3500
128.173837 60.015 -68.4656
128.540048 60.002 -68.5731
128.906259 59.991 -68.6757
129.272470 59.981 -68.7798
129.638681 59.971 -68.8910
130.004892 59.961 -69.0104
130.371103 59.949 -69.1340
130.737314 59.937 -69.2553
131.103525 59.925 -69.3706
131.469736 59.915 -69.4817
131.835947 59.906 -69.5943
132.202158 59.897 -69.7125
132.568369 59.888 -69.8356
132.934579 59.878 -69.9582
133.300790 59.866 -70.0747
133.667001 59.855 -70.1837
134.033212 59.843 -70.2883
134.399423 59.832 -70.3929
134.765634 59.821 -70.5000
135.131845 59.810 -70.6089
135.498056 59.799 -70.7177
135.864267 59.787 -70.8253
136.230478 59.775 -70.9309
136.596689 59.762 -71.0328
136.962900 59.749 -71.1277
137.329111 59.737 -71.2137
137.695322 59.726 -71.2943
138.061533 59.718 -71.3792
138.427744 59.711 -71.4792
138.793955 59.705 -71.5980
139.160166 59.696 -71.7285
139.526377 59.685 -71.8562
139.892588 59.672 -71.9683
140.258799 59.659 -72.0618
140.625010 59.648 -72.1435
140.991221 59.639 -72.2235
141.357432 59.630 -72.3076
141.723643 59.621 -72.3955
142.089854 59.612 -72.4857
142.456065 59.603 -72.5795
142.822276 59.594 -72.6810
143.188487 59.585 -72.7920
143.554698 59.575 -72.9077
143.920909 59.564 -73.0190
144.287119 59.553 -73.1197
144.653330 59.543 -73.2115
145.019541 59.534 -73.3020
145.385752 59.526 -73.3972
145.751963 59.516 -73.4947
146.118174 59.505 -73.5864
146.484385 59.495 -73.6678
146.850596 59.487 -73.7443
147.216807 59.481 -73.8281
147.583018 59.476 -73.9248
147.949229 59.469 -74.0247
148.315440 59.458 -74.1054
148.681651 59.447 -74.1492
149.047862 59.438 -74.1609
149.414073 59.435 -74.1702
149.780284 59.436 -74.2151
150.146495 59.436 -74.3162
150.512706 59.429 -74.4620
150.878917 59.415 -74.6161
151.245128 59.396 -74.7403
151.611339 59.377 -74.8183
151.977550 59.364 -74.8631
152.343761 59.358 -74.9043
152.709972 59.356 -74.9668
153.076183 59.354 -75.0555
153.442394 59.349 -75.1573
153.808605 59.341 -75.2540
154.174816 59.333 -75.3354
154.541027 59.326 -75.4039
154.907238 59.322 -75.4682
155.273448 59.319 -75.5338
155.639659 59.317 -75.5989
156.005870 59.313 -75.6577
156.372081 59.309 -75.7081
156.738292 59.304 -75.7565
157.104503 59.301 -75.8147
157.470714 59.297 -75.8920
157.836925 59.292 -75.9876
158.203136 59.285 -76.0900
158.569347 59.279 -76.1834
158.935558 59.274 -76.2579
159.301769 59.273 -76.3154
159.667980 59.276 -76.3686
160.034191 59.281 -76.4330
160.400402 59.284 -76.5172
160.766613 59.285 -76.6200
161.132824 59.280 -76.7323
161.499035 59.272 -76.8439
161.865246 59.263 -76.9486
162.231457 59.255 -77.0461
162.597668 59.249 -77.1388
162.963879 59.245 -77.2290
163.330090 59.244 -77.3169
163.696301 59.243 -77.4015
164.062512 59.242 -77.4831
164.428723 59.241 -77.5644
