* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -43,7 dBFS, measurement signal peak level -11,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 21.04.2023 20:35:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0090 ms (-3,1 mm, -0,12 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: DTE500
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 116.897 -135.4718
20.333664 116.903 -135.6607
20.481010 116.910 -135.9405
20.629424 116.920 -136.2854
20.778913 116.932 -136.6718
20.929486 116.947 -137.0803
21.081150 116.966 -137.4963
21.233912 116.990 -137.9100
21.387782 117.022 -138.3152
21.542767 117.063 -138.7093
21.698874 117.113 -139.0925
21.856113 117.172 -139.4672
22.014492 117.240 -139.8367
22.174018 117.314 -140.2047
22.334700 117.391 -140.5739
22.496546 117.469 -140.9450
22.659566 117.544 -141.3165
22.823766 117.612 -141.6843
22.989157 117.670 -142.0422
23.155745 117.716 -142.3824
23.323542 117.748 -142.6969
23.492554 117.767 -142.9785
23.662790 117.772 -143.2224
23.834261 117.765 -143.4271
24.006973 117.748 -143.5957
24.180938 117.725 -143.7361
24.356163 117.698 -143.8605
24.532658 117.671 -143.9850
24.710431 117.647 -144.1269
24.889493 117.627 -144.3032
25.069853 117.614 -144.5276
25.251519 117.607 -144.8091
25.434502 117.607 -145.1500
25.618811 117.613 -145.5458
25.804456 117.625 -145.9861
25.991445 117.641 -146.4558
26.179790 117.661 -146.9376
26.369500 117.685 -147.4141
26.560584 117.711 -147.8704
26.753053 117.739 -148.2955
26.946917 117.769 -148.6835
27.142185 117.800 -149.0334
27.338869 117.831 -149.3489
27.536977 117.861 -149.6370
27.736522 117.889 -149.9067
27.937512 117.914 -150.1673
28.139959 117.936 -150.4272
28.343872 117.955 -150.6936
28.549264 117.970 -150.9715
28.756143 117.983 -151.2638
28.964522 117.993 -151.5717
29.174411 118.002 -151.8949
29.385821 118.011 -152.2316
29.598763 118.021 -152.5792
29.813248 118.032 -152.9339
30.029287 118.044 -153.2918
30.246891 118.058 -153.6482
30.466073 118.074 -153.9991
30.686842 118.090 -154.3409
30.909212 118.106 -154.6716
31.133193 118.123 -154.9907
31.358797 118.139 -155.3000
31.586035 118.154 -155.6024
31.814921 118.168 -155.9020
32.045465 118.181 -156.2027
32.277680 118.192 -156.5072
32.511577 118.202 -156.8162
32.747169 118.209 -157.1278
32.984469 118.216 -157.4381
33.223488 118.221 -157.7425
33.464239 118.227 -158.0369
33.706735 118.234 -158.3197
33.950987 118.243 -158.5931
34.197010 118.256 -158.8631
34.444816 118.272 -159.1388
34.694417 118.291 -159.4302
34.945827 118.311 -159.7457
35.199059 118.331 -160.0894
35.454126 118.348 -160.4600
35.711041 118.361 -160.8508
35.969818 118.370 -161.2513
36.230470 118.374 -161.6501
36.493011 118.376 -162.0376
36.757455 118.376 -162.4086
37.023814 118.377 -162.7626
37.292104 118.378 -163.1023
37.562338 118.380 -163.4310
37.834530 118.382 -163.7495
38.108695 118.384 -164.0547
38.384846 118.384 -164.3396
38.662999 118.382 -164.5964
38.943167 118.380 -164.8201
39.225365 118.379 -165.0125
39.509608 118.381 -165.1833
39.795911 118.386 -165.3488
40.084289 118.394 -165.5271
40.374756 118.401 -165.7327
40.667328 118.406 -165.9721
40.962020 118.406 -166.2426
41.258848 118.400 -166.5349
41.557827 118.390 -166.8378
41.858972 118.377 -167.1432
42.162299 118.363 -167.4488
42.467824 118.352 -167.7576
42.775564 118.343 -168.0749
43.085533 118.336 -168.4037
43.397749 118.332 -168.7424
43.712227 118.329 -169.0845
44.028983 118.326 -169.4216
44.348036 118.324 -169.7468
44.669400 118.321 -170.0574
44.993093 118.319 -170.3546
45.319131 118.317 -170.6414
45.647532 118.315 -170.9200
45.978313 118.313 -171.1905
46.311491 118.311 -171.4511
46.647083 118.308 -171.7004
46.985107 118.306 -171.9390
47.325581 118.304 -172.1703
47.668521 118.302 -172.3988
48.013947 118.299 -172.6289
48.361876 118.294 -172.8633
48.712326 118.286 -173.1031
49.065315 118.276 -173.3495
49.420863 118.264 -173.6042
49.778987 118.252 -173.8699
50.139706 118.241 -174.1487
50.503039 118.232 -174.4401
50.869005 118.223 -174.7405
51.237623 118.216 -175.0432
51.608912 118.209 -175.3402
51.982891 118.202 -175.6255
52.359580 118.195 -175.8961
52.739000 118.188 -176.1534
53.121168 118.180 -176.4015
53.506106 118.172 -176.6457
53.893833 118.163 -176.8903
54.284370 118.154 -177.1374
54.677737 118.144 -177.3868
55.073955 118.134 -177.6367
55.473043 118.123 -177.8853
55.875024 118.111 -178.1317
56.279917 118.099 -178.3763
56.687745 118.086 -178.6205
57.098527 118.073 -178.8661
57.512287 118.059 -179.1134
57.929045 118.046 -179.3615
58.348822 118.032 -179.6076
58.771642 118.019 -179.8488
59.197525 118.006 179.9166
59.626495 117.994 179.6889
60.058573 117.983 179.4667
60.493782 117.972 179.2482
60.932145 117.961 179.0317
61.373685 117.948 178.8168
61.818424 117.935 178.6032
62.266386 117.922 178.3904
62.717593 117.909 178.1775
63.172071 117.897 177.9635
63.629842 117.885 177.7483
64.090930 117.872 177.5334
64.555359 117.859 177.3214
65.023154 117.844 177.1136
65.494339 117.829 176.9092
65.968938 117.812 176.7050
66.446976 117.794 176.4986
66.928478 117.776 176.2902
67.413469 117.759 176.0834
67.901975 117.742 175.8823
68.394021 117.725 175.6877
68.889632 117.709 175.4952
69.388835 117.691 175.2953
69.891655 117.674 175.0759
70.398118 117.657 174.8264
70.908252 117.642 174.5443
71.422083 117.629 174.2414
71.939636 117.617 173.9429
72.460941 117.606 173.6771
72.986023 117.596 173.4603
73.514909 117.588 173.2895
74.047629 117.583 173.1480
74.584208 117.581 173.0183
75.124676 117.580 172.8909
75.669061 117.579 172.7638
76.217390 117.574 172.6388
76.769692 117.561 172.5175
77.325997 117.537 172.3979
77.886333 117.503 172.2719
78.450730 117.463 172.1278
79.019216 117.421 171.9580
79.591822 117.383 171.7662
80.168577 117.351 171.5656
80.749512 117.324 171.3703
81.334656 117.302 171.1878
81.924040 117.283 171.0179
82.517696 117.264 170.8553
83.115653 117.247 170.6942
83.717943 117.230 170.5318
84.324598 117.212 170.3687
84.935649 117.193 170.2063
85.551128 117.174 170.0442
86.171066 117.153 169.8810
86.795497 117.131 169.7158
87.424453 117.109 169.5498
88.057967 117.088 169.3853
88.696071 117.066 169.2238
89.338800 117.044 169.0648
89.986185 117.022 168.9069
90.638262 117.001 168.7494
91.295065 116.979 168.5936
91.956626 116.956 168.4411
92.622982 116.934 168.2924
93.294166 116.911 168.1467
93.970214 116.888 168.0027
94.651161 116.866 167.8600
95.337042 116.843 167.7192
96.027894 116.820 167.5812
96.723752 116.796 167.4459
97.424652 116.773 167.3128
98.130631 116.749 167.1809
98.841726 116.725 167.0494
99.557974 116.701 166.9174
100.279412 116.677 166.7847
101.006078 116.653 166.6514
101.738010 116.629 166.5189
102.475245 116.606 166.3882
103.217823 116.582 166.2604
103.965782 116.559 166.1350
104.719161 116.536 166.0115
105.477999 116.512 165.8894
106.242336 116.488 165.7686
107.012212 116.464 165.6494
107.787666 116.439 165.5325
108.568740 116.415 165.4179
109.355474 116.390 165.3049
110.147909 116.366 165.1929
110.946086 116.342 165.0817
111.750047 116.318 164.9717
112.559834 116.293 164.8635
113.375489 116.269 164.7567
114.197055 116.244 164.6514
115.024574 116.219 164.5474
115.858089 116.194 164.4445
116.697645 116.169 164.3418
117.543284 116.144 164.2387
118.395051 116.119 164.1356
119.252990 116.094 164.0333
120.117147 116.069 163.9329
120.987565 116.044 163.8349
121.864291 116.018 163.7391
122.747370 115.992 163.6452
123.636848 115.967 163.5526
124.532771 115.941 163.4606
125.435187 115.916 163.3689
126.344142 115.891 163.2778
127.259684 115.865 163.1882
128.181860 115.839 163.1012
129.110718 115.814 163.0173
130.046308 115.788 162.9363
130.988677 115.761 162.8570
131.937875 115.735 162.7779
132.893951 115.709 162.6979
133.856956 115.683 162.6166
134.826938 115.657 162.5353
135.803950 115.632 162.4552
136.788041 115.606 162.3771
137.779264 115.580 162.3008
138.777669 115.554 162.2253
139.783309 115.528 162.1503
140.796237 115.502 162.0761
141.816504 115.477 162.0035
142.844165 115.453 161.9329
143.879273 115.430 161.8637
144.921881 115.406 161.7961
145.972045 115.381 161.7303
147.029819 115.354 161.6667
148.095257 115.323 161.6048
149.168417 115.289 161.5452
150.249353 115.254 161.4897
151.338121 115.219 161.4390
152.434780 115.185 161.3905
153.539385 115.152 161.3420
154.651995 115.122 161.2940
155.772667 115.092 161.2485
156.901460 115.063 161.2053
158.038432 115.035 161.1621
159.183644 115.006 161.1169
160.337154 114.978 161.0696
161.499023 114.948 161.0217
162.669312 114.918 160.9750
163.848081 114.888 160.9304
165.035392 114.857 160.8878
166.231306 114.826 160.8471
167.435887 114.794 160.8084
168.649196 114.761 160.7717
169.871298 114.727 160.7378
171.102255 114.693 160.7089
172.342133 114.657 160.6877
173.590995 114.621 160.6755
174.848907 114.584 160.6718
176.115934 114.547 160.6750
177.392143 114.510 160.6847
178.677599 114.472 160.7018
179.972371 114.433 160.7289
181.276525 114.394 160.7693
182.590129 114.353 160.8268
183.913252 114.313 160.9052
185.245964 114.272 161.0081
186.588332 114.232 161.1384
187.940428 114.193 161.2994
189.302322 114.156 161.4944
190.674085 114.123 161.7250
192.055788 114.095 161.9898
193.447503 114.074 162.2841
194.849303 114.061 162.5990
196.261262 114.058 162.9202
197.683452 114.065 163.2280
199.115948 114.082 163.4999
200.558824 114.109 163.7143
202.012156 114.142 163.8541
203.476019 114.178 163.9084
204.950490 114.215 163.8745
206.435646 114.248 163.7591
207.931564 114.275 163.5784
209.438322 114.294 163.3529
210.955998 114.304 163.1019
212.484672 114.306 162.8406
214.024424 114.300 162.5797
215.575333 114.287 162.3267
217.137481 114.269 162.0874
218.710948 114.247 161.8656
220.295818 114.222 161.6631
221.892172 114.196 161.4796
223.500094 114.167 161.3135
225.119668 114.137 161.1630
226.750978 114.106 161.0270
228.394109 114.075 160.9048
230.049147 114.043 160.7957
231.716178 114.010 160.6985
233.395289 113.977 160.6109
235.086567 113.944 160.5306
236.790102 113.911 160.4563
238.505980 113.877 160.3880
240.234293 113.844 160.3257
241.975130 113.810 160.2692
243.728581 113.777 160.2182
245.494739 113.743 160.1724
247.273695 113.710 160.1320
249.065542 113.676 160.0969
250.870374 113.643 160.0669
252.688284 113.609 160.0414
254.519367 113.576 160.0197
256.363720 113.542 160.0013
258.221437 113.508 159.9860
260.092616 113.474 159.9741
261.977354 113.440 159.9661
263.875750 113.406 159.9622
265.787903 113.373 159.9617
267.713911 113.339 159.9635
269.653877 113.305 159.9667
271.607900 113.272 159.9709
273.576083 113.239 159.9762
275.558528 113.205 159.9830
277.555338 113.172 159.9919
279.566619 113.139 160.0035
281.592474 113.106 160.0183
283.633009 113.072 160.0364
285.688331 113.038 160.0578
287.758546 113.004 160.0825
289.843763 112.970 160.1104
291.944090 112.936 160.1420
294.059638 112.901 160.1782
296.190515 112.866 160.2200
298.336833 112.830 160.2687
300.498705 112.793 160.3248
302.676243 112.756 160.3867
304.869559 112.719 160.4491
307.078770 112.683 160.5034
309.303989 112.650 160.5434
311.545334 112.618 160.5718
313.802919 112.587 160.5972
316.076865 112.557 160.6272
318.367288 112.525 160.6653
320.674309 112.492 160.7121
322.998047 112.459 160.7667
325.338624 112.425 160.8280
327.696162 112.391 160.8946
330.070783 112.356 160.9656
332.462612 112.321 161.0403
334.871773 112.287 161.1185
337.298392 112.253 161.1996
339.742595 112.219 161.2830
342.204510 112.186 161.3681
344.684265 112.153 161.4539
347.181989 112.120 161.5396
349.697813 112.087 161.6247
352.231868 112.054 161.7094
354.784285 112.021 161.7937
357.355198 111.987 161.8776
359.944741 111.954 161.9609
362.553049 111.920 162.0443
365.180258 111.885 162.1287
367.826505 111.850 162.2151
