* Measurement data measured by REW V5.20.9
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,900. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.03.2023 23:39:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sr05
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 85.840 176.3796
20.333664 85.840 176.4422
20.481010 85.840 176.4367
20.629424 85.838 176.3813
20.778913 85.836 176.2915
20.929486 85.831 176.1787
21.081150 85.826 176.0382
21.233912 85.818 175.8764
21.387782 85.809 175.7076
21.542767 85.798 175.5344
21.698874 85.787 175.3594
21.856113 85.776 175.1847
22.014492 85.764 175.0110
22.174018 85.753 174.8311
22.334700 85.743 174.6553
22.496546 85.735 174.4837
22.659566 85.728 174.3160
22.823766 85.723 174.1511
22.989157 85.720 173.9878
23.155745 85.720 173.7965
23.323542 85.720 173.6024
23.492554 85.722 173.4068
23.662790 85.724 173.2100
23.834261 85.725 173.0125
24.006973 85.726 172.8168
24.180938 85.724 172.6452
24.356163 85.721 172.4781
24.532658 85.717 172.3171
24.710431 85.710 172.1635
24.889493 85.702 172.0176
25.069853 85.693 171.8784
25.251519 85.682 171.7444
25.434502 85.671 171.6151
25.618811 85.660 171.4886
25.804456 85.649 171.3631
25.991445 85.640 171.2375
26.179790 85.631 171.0670
26.369500 85.622 170.8931
26.560584 85.615 170.7186
26.753053 85.608 170.5443
26.946917 85.601 170.3715
27.142185 85.595 170.2349
27.338869 85.589 170.1142
27.536977 85.583 169.9966
27.736522 85.577 169.8816
27.937512 85.571 169.7681
28.139959 85.564 169.6407
28.343872 85.556 169.5061
28.549264 85.548 169.3701
28.756143 85.540 169.2325
28.964522 85.531 169.0938
29.174411 85.523 168.9091
29.385821 85.514 168.7156
29.598763 85.506 168.5242
29.813248 85.497 168.3356
30.029287 85.489 168.1539
30.246891 85.481 167.9983
30.466073 85.472 167.8460
30.686842 85.464 167.6965
30.909212 85.455 167.5493
31.133193 85.446 167.3874
31.358797 85.436 167.2156
31.586035 85.426 167.0450
31.814921 85.416 166.8757
32.045465 85.405 166.7087
32.277680 85.395 166.5473
32.511577 85.384 166.3873
32.747169 85.374 166.2287
32.984469 85.364 166.0714
33.223488 85.355 165.9121
33.464239 85.345 165.7539
33.706735 85.336 165.5974
33.950987 85.326 165.4429
34.197010 85.317 165.2864
34.444816 85.307 165.1316
34.694417 85.299 164.9796
34.945827 85.290 164.8304
35.199059 85.283 164.6762
35.454126 85.275 164.5221
35.711041 85.268 164.3696
35.969818 85.260 164.2185
36.230470 85.251 164.0646
36.493011 85.241 163.9111
36.757455 85.232 163.7586
37.023814 85.222 163.6080
37.292104 85.213 163.4684
37.562338 85.203 163.3311
37.834530 85.193 163.1966
38.108695 85.182 163.0485
38.384846 85.171 162.8781
38.662999 85.158 162.7110
38.943167 85.146 162.5470
39.225365 85.135 162.4512
39.509608 85.124 162.3741
39.795911 85.113 162.2981
40.084289 85.101 162.1772
40.374756 85.089 161.9454
40.667328 85.075 161.7130
40.962020 85.060 161.4807
41.258848 85.045 161.4014
41.557827 85.030 161.3473
41.858972 85.016 161.2964
42.162299 85.002 161.1505
42.467824 84.988 160.9209
42.775564 84.973 160.6930
43.085533 84.958 160.4827
43.397749 84.942 160.3169
43.712227 84.925 160.1529
44.028983 84.909 159.9991
44.348036 84.895 159.9294
44.669400 84.882 159.8625
44.993093 84.870 159.7981
45.319131 84.857 159.5094
45.647532 84.844 159.2165
45.978313 84.830 158.9244
46.311491 84.814 158.7960
46.647083 84.799 158.6800
46.985107 84.784 158.5638
47.325581 84.771 158.4714
47.668521 84.758 158.3780
48.013947 84.745 158.2747
48.361876 84.730 157.9659
48.712326 84.713 157.6606
49.065315 84.694 157.3908
49.420863 84.674 157.2556
49.778987 84.654 157.1307
50.139706 84.637 157.0508
50.503039 84.623 157.0343
50.869005 84.611 157.0186
51.237623 84.600 156.8711
51.608912 84.589 156.6489
51.982891 84.575 156.4249
52.359580 84.559 156.1754
52.739000 84.541 155.9237
53.121168 84.521 155.7239
53.506106 84.501 155.6386
53.893833 84.483 155.5530
54.284370 84.466 155.4580
54.677737 84.451 155.3605
55.073955 84.438 155.2380
55.473043 84.424 154.9980
55.875024 84.410 154.7604
56.279917 84.395 154.5230
56.687745 84.377 154.2877
57.098527 84.357 154.0815
57.512287 84.337 153.9604
57.929045 84.317 153.8425
58.348822 84.298 153.7489
58.771642 84.279 153.6622
59.197525 84.262 153.5490
59.626495 84.246 153.4040
60.058573 84.229 153.2539
60.493782 84.212 153.0595
60.932145 84.194 152.8658
61.373685 84.176 152.6794
61.818424 84.156 152.4946
62.266386 84.136 152.3263
62.717593 84.116 152.1696
63.172071 84.096 152.0148
63.629842 84.077 151.8633
64.090930 84.058 151.7096
64.555359 84.040 151.5421
65.023154 84.021 151.3763
65.494339 84.003 151.1998
65.968938 83.984 151.0248
66.446976 83.965 150.8514
66.928478 83.945 150.6789
67.413469 83.925 150.5139
67.901975 83.905 150.3513
68.394021 83.884 150.2053
68.889632 83.864 150.0651
69.388835 83.844 149.9246
69.891655 83.824 149.7852
70.398118 83.805 149.6377
70.908252 83.787 149.4884
71.422083 83.768 149.3219
71.939636 83.750 149.1522
72.460941 83.732 148.9770
72.986023 83.713 148.8024
73.514909 83.693 148.6156
74.047629 83.674 148.4310
74.584208 83.654 148.2579
75.124676 83.634 148.0872
75.669061 83.613 147.9208
76.217390 83.592 147.7595
76.769692 83.571 147.6048
77.325997 83.551 147.4590
77.886333 83.530 147.3201
78.450730 83.510 147.1832
79.019216 83.490 147.0480
79.591822 83.471 146.9203
80.168577 83.452 146.7933
80.749512 83.434 146.6680
81.334656 83.417 146.5477
81.924040 83.401 146.4317
82.517696 83.385 146.3228
83.115653 83.369 146.2175
83.717943 83.353 146.1229
84.324598 83.336 146.0361
84.935649 83.318 145.9567
85.551128 83.298 145.8860
86.171066 83.277 145.8214
86.795497 83.255 145.7677
87.424453 83.230 145.7132
88.057967 83.204 145.6592
88.696071 83.176 145.5986
89.338800 83.145 145.5277
89.986185 83.114 145.4472
90.638262 83.081 145.3362
91.295065 83.049 145.2112
91.956626 83.016 145.0699
92.622982 82.984 144.9016
93.294166 82.952 144.7213
93.970214 82.922 144.5269
94.651161 82.893 144.3228
95.337042 82.865 144.1174
96.027894 82.839 143.9109
96.723752 82.814 143.7107
97.424652 82.790 143.5202
98.130631 82.767 143.3400
98.841726 82.745 143.1740
99.557974 82.722 143.0277
100.279412 82.700 142.8887
101.006078 82.676 142.7510
101.738010 82.652 142.6199
102.475245 82.627 142.4831
103.217823 82.602 142.3412
103.965782 82.576 142.1953
104.719161 82.549 142.0417
105.477999 82.523 141.8869
106.242336 82.496 141.7305
107.012212 82.469 141.5705
107.787666 82.443 141.4133
108.568740 82.417 141.2605
109.355474 82.391 141.1112
110.147909 82.365 140.9645
110.946086 82.339 140.8192
111.750047 82.313 140.6785
112.559834 82.287 140.5345
113.375489 82.260 140.3901
114.197055 82.233 140.2448
115.024574 82.206 140.0933
115.858089 82.178 139.9436
116.697645 82.151 139.7911
117.543284 82.124 139.6375
118.395051 82.097 139.4847
119.252990 82.071 139.3346
120.117147 82.044 139.1880
120.987565 82.017 139.0439
121.864291 81.989 138.9031
122.747370 81.961 138.7624
123.636848 81.933 138.6218
124.532771 81.905 138.4745
125.435187 81.876 138.3308
126.344142 81.847 138.1935
127.259684 81.818 138.0529
128.181860 81.790 137.9145
129.110718 81.761 137.7726
130.046308 81.733 137.6335
130.988677 81.705 137.4924
131.937875 81.677 137.3523
132.893951 81.649 137.2003
133.856956 81.621 137.0525
134.826938 81.592 136.9043
135.803950 81.564 136.7541
136.788041 81.535 136.6160
137.779264 81.506 136.4796
138.777669 81.478 136.3432
139.783309 81.449 136.2056
140.796237 81.421 136.0653
141.816504 81.393 135.9243
142.844165 81.364 135.7850
143.879273 81.336 135.6441
144.921881 81.308 135.5039
145.972045 81.279 135.3621
147.029819 81.250 135.2271
148.095257 81.221 135.0909
149.168417 81.191 134.9525
150.249353 81.161 134.8060
151.338121 81.131 134.6866
152.434780 81.101 134.5511
153.539385 81.070 134.4200
154.651995 81.040 134.2911
155.772667 81.010 134.1605
156.901460 80.979 134.0326
158.038432 80.949 133.9027
159.183644 80.918 133.7798
160.337154 80.888 133.6508
161.499023 80.857 133.5223
162.669312 80.827 133.3936
163.848081 80.796 133.2643
165.035392 80.765 133.1373
166.231306 80.734 133.0125
167.435887 80.703 132.8887
168.649196 80.671 132.7676
169.871298 80.639 132.6410
171.102255 80.607 132.5281
172.342133 80.575 132.4107
173.590995 80.543 132.2950
174.848907 80.510 132.1817
176.115934 80.478 132.0680
177.392143 80.445 131.9578
178.677599 80.411 131.8563
179.972371 80.377 131.7566
181.276525 80.343 131.6701
182.590129 80.308 131.5890
183.913252 80.274 131.5198
185.245964 80.239 131.4595
186.588332 80.204 131.4054
187.940428 80.170 131.3698
189.302322 80.136 131.3483
190.674085 80.104 131.3381
192.055788 80.075 131.3429
193.447503 80.048 131.3690
194.849303 80.025 131.4010
196.261262 80.008 131.4424
197.683452 79.996 131.4755
199.115948 79.990 131.5065
200.558824 79.988 131.5040
202.012156 79.989 131.4683
203.476019 79.993 131.3942
204.950490 79.996 131.2777
206.435646 79.998 131.1161
207.931564 79.997 130.9254
209.438322 79.993 130.7094
210.955998 79.985 130.4796
212.484672 79.972 130.2389
214.024424 79.955 130.0002
215.575333 79.935 129.7689
217.137481 79.912 129.5425
218.710948 79.887 129.3312
220.295818 79.861 129.1290
221.892172 79.833 128.9372
223.500094 79.805 128.7557
225.119668 79.776 128.5801
226.750978 79.747 128.4150
228.394109 79.718 128.2595
230.049147 79.689 128.1096
231.716178 79.659 127.9639
233.395289 79.631 127.8233
235.086567 79.602 127.6932
236.790102 79.574 127.5645
238.505980 79.546 127.4411
240.234293 79.519 127.3193
241.975130 79.491 127.1974
243.728581 79.464 127.0758
245.494739 79.438 126.9587
247.273695 79.411 126.8421
249.065542 79.385 126.7316
250.870374 79.359 126.6193
252.688284 79.333 126.5095
254.519367 79.308 126.4069
256.363720 79.283 126.2959
258.221437 79.259 126.1930
260.092616 79.235 126.0882
261.977354 79.211 125.9851
263.875750 79.187 125.8847
265.787903 79.163 125.7771
267.713911 79.140 125.6784
269.653877 79.116 125.5789
271.607900 79.093 125.4790
273.576083 79.070 125.3806
275.558528 79.048 125.2844
277.555338 79.026 125.1834
279.566619 79.004 125.0870
281.592474 78.982 124.9935
283.633009 78.960 124.9055
285.688331 78.939 124.8083
287.758546 78.918 124.7199
289.843763 78.897 124.6320
291.944090 78.876 124.5439
294.059638 78.856 124.4506
296.190515 78.836 124.3650
298.336833 78.816 124.2765
300.498705 78.797 124.1924
302.676243 78.778 124.1069
304.869559 78.759 124.0252
307.078770 78.740 123.9394
309.303989 78.721 123.8603
311.545334 78.703 123.7791
313.802919 78.685 123.7024
316.076865 78.667 123.6199
318.367288 78.649 123.5409
320.674309 78.632 123.4631
322.998047 78.615 123.3897
325.338624 78.599 123.3039
327.696162 78.582 123.2330
330.070783 78.566 123.1533
332.462612 78.550 123.0813
334.871773 78.534 123.0085
337.298392 78.518 122.9379
339.742595 78.502 122.8730
342.204510 78.486 122.8074
344.684265 78.470 122.7402
347.181989 78.455 122.6832
349.697813 78.439 122.6335
352.231868 78.423 122.5828
354.784285 78.407 122.5402
357.355198 78.391 122.5054
359.944741 78.376 122.4795
362.553049 78.361 122.4670
365.180258 78.347 122.4687
367.826505 78.335 122.4910
370.491927 78.326 122.5240
373.176665 78.320 122.5729
375.880856 78.318 122.6342
378.604644 78.321 122.6943
381.348169 78.329 122.7451
384.111575 78.342 122.7813
386.895006 78.359 122.7879
389.698607 78.378 122.7582
392.522524 78.399 122.6909
395.366904 78.417 122.5903
398.231895 78.434 122.4551
401.117648 78.447 122.3023
404.024312 78.457 122.1495
406.952038 78.464 121.9859
