* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 30.04.2023 18:02:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 011
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 115.429 -117.8728
20.523834 115.530 -118.9339
20.860291 115.619 -119.9997
21.196747 115.700 -121.0752
21.533203 115.771 -122.1468
21.869659 115.836 -123.1909
22.206116 115.896 -124.1873
22.542572 115.953 -125.1301
22.879028 116.011 -126.0280
23.215485 116.068 -126.8963
23.551941 116.125 -127.7482
23.888397 116.182 -128.5901
24.224854 116.238 -129.4250
24.561310 116.296 -130.2590
24.897766 116.354 -131.1029
25.234222 116.413 -131.9672
25.570679 116.468 -132.8534
25.907135 116.517 -133.7480
26.243591 116.559 -134.6270
26.580048 116.594 -135.4681
26.916504 116.628 -136.2640
27.252960 116.663 -137.0273
27.589417 116.700 -137.7816
27.925873 116.737 -138.5448
28.262329 116.770 -139.3143
28.598785 116.796 -140.0659
28.935242 116.816 -140.7671
29.271698 116.834 -141.3983
29.608154 116.856 -141.9678
29.944611 116.885 -142.5119
30.281067 116.921 -143.0780
30.617523 116.960 -143.7018
30.953979 116.997 -144.3909
31.290436 117.027 -145.1246
31.626892 117.048 -145.8672
31.963348 117.063 -146.5858
32.299805 117.075 -147.2631
32.636261 117.086 -147.8995
32.972717 117.099 -148.5066
33.309174 117.113 -149.0967
33.645630 117.125 -149.6767
33.982086 117.136 -150.2472
34.318542 117.144 -150.8064
34.654999 117.151 -151.3545
34.991455 117.158 -151.8946
35.327911 117.166 -152.4320
35.664368 117.174 -152.9706
36.000824 117.184 -153.5115
36.337280 117.194 -154.0520
36.673737 117.203 -154.5869
37.010193 117.212 -155.1100
37.346649 117.219 -155.6158
37.683105 117.224 -156.1013
38.019562 117.228 -156.5672
38.356018 117.230 -157.0185
38.692474 117.232 -157.4633
39.028931 117.232 -157.9108
39.365387 117.231 -158.3680
39.701843 117.230 -158.8379
40.038300 117.227 -159.3184
40.374756 117.224 -159.8035
40.711212 117.220 -160.2856
41.047668 117.217 -160.7572
41.384125 117.215 -161.2136
41.720581 117.215 -161.6541
42.057037 117.215 -162.0822
42.393494 117.216 -162.5037
42.729950 117.216 -162.9238
43.066406 117.215 -163.3435
43.402863 117.211 -163.7589
43.739319 117.205 -164.1638
44.075775 117.200 -164.5542
44.412231 117.197 -164.9327
44.748688 117.196 -165.3074
45.085144 117.197 -165.6862
45.421600 117.196 -166.0694
45.758057 117.191 -166.4474
46.094513 117.183 -166.8066
46.430969 117.173 -167.1409
46.767426 117.164 -167.4608
47.103882 117.159 -167.7926
47.440338 117.157 -168.1641
47.776794 117.153 -168.5857
48.113251 117.146 -169.0391
48.449707 117.131 -169.4819
48.786163 117.112 -169.8690
49.122620 117.095 -170.1766
49.459076 117.084 -170.4165
49.795532 117.082 -170.6292
50.131989 117.085 -170.8608
50.468445 117.089 -171.1377
50.804901 117.086 -171.4559
51.141357 117.076 -171.7900
51.477814 117.059 -172.1129
51.814270 117.041 -172.4143
52.150726 117.027 -172.7039
52.487183 117.018 -173.0010
52.823639 117.012 -173.3179
53.160095 117.006 -173.6504
53.496552 116.997 -173.9807
53.833008 116.986 -174.2899
54.169464 116.974 -174.5706
54.505920 116.962 -174.8297
54.842377 116.952 -175.0830
55.178833 116.943 -175.3443
55.515289 116.934 -175.6181
55.851746 116.922 -175.9004
56.188202 116.910 -176.1836
56.524658 116.897 -176.4634
56.861115 116.883 -176.7395
57.197571 116.869 -177.0140
57.534027 116.854 -177.2873
57.870483 116.839 -177.5580
58.206940 116.823 -177.8243
58.543396 116.808 -178.0872
58.879852 116.795 -178.3506
59.216309 116.783 -178.6184
59.552765 116.772 -178.8895
59.889221 116.760 -179.1566
60.225677 116.747 -179.4088
60.562134 116.733 -179.6374
60.898590 116.720 -179.8425
61.235046 116.709 179.9668
61.571503 116.698 179.7757
61.907959 116.687 179.5718
62.244415 116.675 179.3508
62.580872 116.659 179.1181
62.917328 116.641 178.8846
63.253784 116.621 178.6605
63.590240 116.602 178.4492
63.926697 116.585 178.2467
64.263153 116.571 178.0450
64.599609 116.559 177.8369
64.936066 116.546 177.6204
65.272522 116.533 177.3993
65.608978 116.518 177.1805
65.945435 116.502 176.9696
66.281891 116.485 176.7678
66.618347 116.469 176.5721
66.954803 116.453 176.3779
67.291260 116.438 176.1820
67.627716 116.422 175.9846
67.964172 116.405 175.7889
68.300629 116.388 175.5985
68.637085 116.371 175.4142
68.973541 116.355 175.2336
69.309998 116.339 175.0522
69.646454 116.324 174.8666
69.982910 116.309 174.6770
70.319366 116.293 174.4872
70.655823 116.276 174.3026
70.992279 116.260 174.1265
71.328735 116.243 173.9581
71.665192 116.228 173.7933
72.001648 116.212 173.6277
72.338104 116.196 173.4593
72.674561 116.179 173.2898
73.011017 116.161 173.1228
73.347473 116.144 172.9601
73.683929 116.127 172.7988
74.020386 116.113 172.6324
74.356842 116.100 172.4543
74.693298 116.086 172.2635
75.029755 116.072 172.0664
75.366211 116.054 171.8754
75.702667 116.034 171.7028
76.039124 116.012 171.5550
76.375580 115.992 171.4286
76.712036 115.973 171.3127
77.048492 115.956 171.1943
77.384949 115.941 171.0642
77.721405 115.925 170.9205
78.057861 115.908 170.7677
78.394318 115.891 170.6131
78.730774 115.874 170.4623
79.067230 115.857 170.3178
79.403687 115.840 170.1784
79.740143 115.823 170.0417
80.076599 115.806 169.9063
80.413055 115.789 169.7719
80.749512 115.771 169.6389
81.085968 115.752 169.5071
81.422424 115.734 169.3755
81.758881 115.716 169.2422
82.095337 115.698 169.1057
82.431793 115.681 168.9663
82.768250 115.663 168.8267
83.104706 115.645 168.6909
83.441162 115.627 168.5622
83.777618 115.608 168.4416
84.114075 115.591 168.3271
84.450531 115.574 168.2145
84.786987 115.557 168.0995
85.123444 115.540 167.9800
85.459900 115.522 167.8570
85.796356 115.503 167.7328
86.132812 115.484 167.6104
86.469269 115.464 167.4909
86.805725 115.444 167.3746
87.142181 115.424 167.2609
87.478638 115.403 167.1501
87.815094 115.383 167.0428
88.151550 115.362 166.9385
88.488007 115.343 166.8358
88.824463 115.324 166.7318
89.160919 115.305 166.6249
89.497375 115.286 166.5163
89.833832 115.266 166.4099
90.170288 115.246 166.3105
90.506744 115.226 166.2202
90.843201 115.207 166.1359
91.179657 115.190 166.0508
91.516113 115.174 165.9576
91.852570 115.158 165.8534
92.189026 115.140 165.7419
92.525482 115.120 165.6319
92.861938 115.098 165.5327
93.198395 115.075 165.4487
93.534851 115.054 165.3776
93.871307 115.033 165.3118
94.207764 115.014 165.2433
94.544220 114.995 165.1685
94.880676 114.976 165.0904
95.217133 114.955 165.0160
95.553589 114.934 164.9518
95.890045 114.915 164.8984
96.226501 114.898 164.8493
96.562958 114.883 164.7935
96.899414 114.869 164.7223
97.235870 114.854 164.6345
97.572327 114.836 164.5381
97.908783 114.815 164.4464
98.245239 114.793 164.3709
98.581696 114.769 164.3156
98.918152 114.747 164.2754
99.254608 114.727 164.2397
99.591064 114.707 164.1988
99.927521 114.686 164.1477
100.263977 114.663 164.0870
100.600433 114.637 164.0206
100.936890 114.609 163.9522
101.273346 114.580 163.8857
101.609802 114.551 163.8249
101.946259 114.523 163.7743
102.282715 114.500 163.7362
102.619171 114.482 163.7074
102.955627 114.472 163.6780
103.292084 114.466 163.6357
103.628540 114.462 163.5737
103.964996 114.455 163.4971
104.301453 114.441 163.4230
104.637909 114.419 163.3721
104.974365 114.392 163.3575
105.310822 114.363 163.3762
105.647278 114.335 163.4120
105.983734 114.308 163.4452
106.320190 114.283 163.4656
106.656647 114.259 163.4788
106.993103 114.236 163.5017
107.329559 114.215 163.5517
107.666016 114.199 163.6340
108.002472 114.190 163.7360
108.338928 114.189 163.8298
108.675385 114.192 163.8835
109.011841 114.195 163.8739
109.348297 114.191 163.7984
109.684753 114.177 163.6793
110.021210 114.150 163.5589
110.357666 114.115 163.4850
110.694122 114.079 163.4900
111.030579 114.051 163.5735
111.367035 114.037 163.6996
111.703491 114.037 163.8144
112.039948 114.045 163.8770
112.376404 114.052 163.8836
112.712860 114.049 163.8689
113.049316 114.037 163.8819
113.385773 114.020 163.9520
113.722229 114.008 164.0665
114.058685 114.004 164.1752
114.395142 114.008 164.2225
114.731598 114.014 164.1824
115.068054 114.014 164.0750
115.404510 114.008 163.9498
115.740967 113.997 163.8537
116.077423 113.990 163.8021
116.413879 113.989 163.7749
116.750336 113.994 163.7378
117.086792 114.000 163.6719
117.423248 114.000 163.5894
117.759705 113.990 163.5248
118.096161 113.973 163.5106
118.432617 113.955 163.5540
118.769073 113.939 163.6319
119.105530 113.930 163.7040
119.441986 113.924 163.7364
119.778442 113.919 163.7182
120.114899 113.911 163.6642
120.451355 113.900 163.6051
120.787811 113.888 163.5709
121.124268 113.881 163.5762
121.460724 113.880 163.6122
121.797180 113.890 163.6471
122.133636 113.906 163.6400
122.470093 113.922 163.5627
122.806549 113.928 163.4202
123.143005 113.919 163.2570
123.479462 113.896 163.1403
123.815918 113.867 163.1232
124.152374 113.845 163.2086
124.488831 113.842 163.3362
124.825287 113.859 163.4127
125.161743 113.885 163.3676
125.498199 113.904 163.2002
125.834656 113.906 162.9814
126.171112 113.889 162.8101
126.507568 113.864 162.7515
126.844025 113.845 162.7941
127.180481 113.842 162.8579
127.516937 113.851 162.8494
127.853394 113.861 162.7264
128.189850 113.859 162.5245
128.526306 113.841 162.3293
128.862762 113.816 162.2172
129.199219 113.794 162.2048
129.535675 113.787 162.2403
129.872131 113.794 162.2411
130.208588 113.806 162.1501
130.545044 113.812 161.9688
130.881500 113.805 161.7484
131.217957 113.785 161.5527
131.554413 113.757 161.4230
131.890869 113.730 161.3639
132.227325 113.709 161.3553
132.563782 113.693 161.3746
132.900238 113.683 161.4073
133.236694 113.679 161.4436
133.573151 113.681 161.4681
133.909607 113.687 161.4589
134.246063 113.693 161.4006
134.582520 113.695 161.2996
134.918976 113.688 161.1861
135.255432 113.675 161.0989
135.591888 113.658 161.0596
135.928345 113.645 161.0567
136.264801 113.638 161.0527
136.601257 113.635 161.0096
136.937714 113.629 160.9154
137.274170 113.616 160.7921
137.610626 113.596 160.6792
137.947083 113.574 160.6074
138.283539 113.555 160.5787
138.619995 113.544 160.5681
138.956451 113.540 160.5433
139.292908 113.537 160.4872
139.629364 113.532 160.4068
139.965820 113.521 160.3236
140.302277 113.506 160.2559
140.638733 113.490 160.2049
140.975189 113.474 160.1567
141.311646 113.459 160.0948
141.648102 113.445 160.0139
141.984558 113.430 159.9250
142.321014 113.414 159.8477
142.657471 113.400 159.7966
142.993927 113.388 159.7721
143.330383 113.380 159.7614
143.666840 113.373 159.7480
144.003296 113.365 159.7224
144.339752 113.353 159.6866
144.676208 113.336 159.6498
145.012665 113.316 159.6187
145.349121 113.297 159.5912
145.685577 113.280 159.5565
146.022034 113.267 159.5035
146.358490 113.256 159.4298
146.694946 113.244 159.3461
147.031403 113.230 159.2713
147.367859 113.216 159.2223
147.704315 113.202 159.2036
148.040771 113.190 159.2048
148.377228 113.180 159.2070
148.713684 113.170 159.1946
149.050140 113.158 159.1639
149.386597 113.143 159.1245
149.723053 113.126 159.0908
150.059509 113.109 159.0720
150.395966 113.095 159.0652
150.732422 113.085 159.0578
151.068878 113.077 159.0360
151.405334 113.070 158.9944
151.741791 113.059 158.9395
152.078247 113.045 158.8851
152.414703 113.028 158.8441
152.751160 113.009 158.8207
153.087616 112.992 158.8097
153.424072 112.976 158.8005
153.760529 112.962 158.7840
154.096985 112.950 158.7569
154.433441 112.937 158.7222
154.769897 112.924 158.6858
155.106354 112.910 158.6529
155.442810 112.896 158.6257
155.779266 112.883 158.6039
156.115723 112.869 158.5856
156.452179 112.856 158.5687
156.788635 112.843 158.5515
157.125092 112.831 158.5330
157.461548 112.818 158.5129
157.798004 112.804 158.4927
