* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -6,8 dBFS, measurement signal peak level -6,8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12.03.2023 17:10:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0253 ms (-8,7 mm, -0,34 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: TA3 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 114.161 -92.4100
20.287556 114.188 -92.6258
20.434568 114.226 -92.9459
20.582645 114.274 -93.3424
20.731796 114.328 -93.7909
20.882027 114.386 -94.2722
21.033346 114.445 -94.7721
21.185763 114.504 -95.2798
21.339284 114.562 -95.7868
21.493917 114.619 -96.2865
21.649671 114.674 -96.7736
21.806553 114.729 -97.2447
21.964572 114.782 -97.6988
22.123737 114.835 -98.1367
22.284054 114.888 -98.5619
22.445534 114.941 -98.9801
22.608183 114.994 -99.3983
22.772012 115.049 -99.8248
22.937027 115.103 -100.2677
23.103238 115.158 -100.7340
23.270654 115.212 -101.2290
23.439282 115.265 -101.7556
23.609133 115.315 -102.3133
23.780215 115.364 -102.8991
23.952536 115.410 -103.5070
24.126106 115.453 -104.1291
24.300934 115.495 -104.7563
24.477028 115.536 -105.3790
24.654399 115.576 -105.9884
24.833055 115.616 -106.5773
25.013005 115.658 -107.1404
25.194260 115.703 -107.6749
25.376828 115.750 -108.1804
25.560719 115.799 -108.6584
25.745942 115.851 -109.1122
25.932508 115.905 -109.5462
26.120426 115.960 -109.9651
26.309705 116.015 -110.3737
26.500356 116.070 -110.7766
26.692388 116.123 -111.1779
26.885812 116.174 -111.5817
27.080638 116.223 -111.9914
27.276876 116.270 -112.4104
27.474535 116.315 -112.8416
27.673627 116.357 -113.2874
27.874161 116.398 -113.7492
28.076149 116.436 -114.2272
28.279600 116.473 -114.7201
28.484526 116.509 -115.2253
28.690937 116.544 -115.7389
28.898843 116.577 -116.2560
29.108256 116.610 -116.7718
29.319186 116.643 -117.2822
29.531645 116.676 -117.7843
29.745644 116.710 -118.2769
29.961193 116.745 -118.7606
30.178304 116.781 -119.2373
30.396989 116.818 -119.7098
30.617258 116.855 -120.1809
30.839123 116.892 -120.6527
31.062596 116.929 -121.1260
31.287688 116.964 -121.6006
31.514412 116.997 -122.0751
31.742778 117.029 -122.5476
31.972800 117.059 -123.0166
32.204488 117.089 -123.4814
32.437855 117.117 -123.9424
32.672913 117.145 -124.4010
32.909674 117.173 -124.8596
33.148151 117.201 -125.3207
33.388356 117.229 -125.7859
33.630302 117.257 -126.2564
33.874001 117.284 -126.7317
34.119466 117.311 -127.2105
34.366710 117.337 -127.6909
34.615745 117.363 -128.1704
34.866585 117.389 -128.6470
35.119243 117.415 -129.1192
35.373731 117.442 -129.5856
35.630064 117.469 -130.0455
35.888254 117.496 -130.4988
36.148315 117.522 -130.9455
36.410261 117.548 -131.3861
36.674104 117.574 -131.8217
36.939860 117.598 -132.2540
37.207542 117.622 -132.6850
37.477163 117.645 -133.1168
37.748738 117.667 -133.5510
38.022281 117.688 -133.9886
38.297806 117.708 -134.4292
38.575327 117.727 -134.8718
38.854860 117.746 -135.3145
39.136419 117.764 -135.7553
39.420017 117.782 -136.1930
39.705671 117.800 -136.6268
39.993395 117.818 -137.0572
40.283203 117.836 -137.4852
40.575112 117.854 -137.9119
40.869136 117.871 -138.3385
41.165290 117.888 -138.7653
41.463591 117.904 -139.1923
41.764053 117.920 -139.6190
42.066693 117.936 -140.0447
42.371525 117.950 -140.4689
42.678567 117.964 -140.8910
42.987834 117.978 -141.3111
43.299341 117.991 -141.7293
43.613106 118.004 -142.1466
43.929145 118.018 -142.5643
44.247473 118.032 -142.9841
44.568109 118.045 -143.4069
44.891068 118.059 -143.8326
45.216367 118.072 -144.2590
45.544023 118.084 -144.6828
45.874054 118.094 -145.1011
46.206476 118.102 -145.5129
46.541307 118.108 -145.9211
46.878565 118.111 -146.3315
47.218266 118.111 -146.7512
47.560429 118.108 -147.1837
47.905072 118.103 -147.6265
48.252212 118.095 -148.0705
48.601867 118.087 -148.5032
48.954056 118.083 -148.9141
49.308798 118.086 -149.2996
49.666109 118.096 -149.6641
50.026010 118.113 -150.0176
50.388520 118.136 -150.3703
50.753656 118.159 -150.7284
51.121437 118.181 -151.0928
51.491884 118.198 -151.4615
51.865016 118.211 -151.8328
52.240851 118.220 -152.2071
52.619410 118.226 -152.5863
53.000712 118.230 -152.9714
53.384777 118.233 -153.3612
53.771625 118.236 -153.7523
54.161276 118.239 -154.1410
54.553751 118.242 -154.5253
54.949070 118.245 -154.9047
55.347254 118.248 -155.2806
55.748323 118.249 -155.6540
56.152298 118.250 -156.0258
56.559201 118.250 -156.3962
56.969052 118.250 -156.7658
57.381873 118.250 -157.1349
57.797686 118.250 -157.5042
58.216512 118.249 -157.8739
58.638373 118.248 -158.2441
59.063291 118.247 -158.6144
59.491288 118.245 -158.9838
59.922386 118.242 -159.3512
60.356608 118.239 -159.7153
60.793977 118.235 -160.0754
61.234515 118.231 -160.4316
61.678246 118.227 -160.7847
62.125192 118.222 -161.1360
62.575377 118.217 -161.4867
63.028824 118.211 -161.8376
63.485557 118.204 -162.1894
63.945599 118.197 -162.5419
64.408975 118.189 -162.8948
64.875709 118.181 -163.2472
65.345825 118.172 -163.5981
65.819348 118.163 -163.9459
66.296302 118.152 -164.2888
66.776713 118.141 -164.6254
67.260604 118.130 -164.9560
67.748002 118.118 -165.2823
68.238932 118.107 -165.6064
68.733420 118.095 -165.9300
69.231490 118.084 -166.2541
69.733170 118.072 -166.5798
70.238485 118.059 -166.9078
70.747463 118.045 -167.2384
71.260128 118.031 -167.5704
71.776508 118.016 -167.9014
72.296630 118.000 -168.2285
72.820521 117.983 -168.5503
73.348209 117.966 -168.8664
73.879720 117.949 -169.1775
74.415083 117.930 -169.4840
74.954326 117.911 -169.7857
75.497475 117.890 -170.0824
76.044561 117.869 -170.3748
76.595612 117.847 -170.6638
77.150655 117.824 -170.9491
77.709720 117.800 -171.2287
78.272837 117.774 -171.5002
78.840034 117.746 -171.7612
79.411342 117.717 -172.0095
79.986789 117.687 -172.2428
80.566406 117.656 -172.4585
81.150224 117.623 -172.6550
81.738272 117.589 -172.8306
82.330581 117.555 -172.9833
82.927182 117.520 -173.1097
83.528107 117.487 -173.2065
84.133386 117.457 -173.2726
84.743051 117.432 -173.3117
85.357134 117.412 -173.3313
85.975667 117.398 -173.3385
86.598682 117.389 -173.3381
87.226212 117.386 -173.3341
87.858289 117.391 -173.3325
88.494946 117.403 -173.3417
89.136217 117.421 -173.3717
89.782135 117.444 -173.4337
90.432733 117.469 -173.5390
91.088046 117.492 -173.6957
91.748108 117.511 -173.9054
92.412952 117.524 -174.1627
93.082615 117.533 -174.4577
93.757130 117.539 -174.7769
94.436533 117.542 -175.1044
95.120859 117.544 -175.4232
95.810144 117.546 -175.7211
96.504423 117.548 -175.9952
97.203734 117.549 -176.2538
97.908112 117.550 -176.5109
98.617595 117.549 -176.7787
99.332219 117.546 -177.0624
100.052021 117.541 -177.3596
100.777039 117.534 -177.6642
101.507311 117.525 -177.9699
102.242875 117.514 -178.2717
102.983769 117.502 -178.5671
103.730032 117.488 -178.8559
104.481702 117.474 -179.1391
105.238820 117.459 -179.4175
106.001424 117.443 -179.6916
106.769554 117.426 -179.9629
107.543250 117.407 179.7670
108.322553 117.386 179.4986
109.107503 117.365 179.2364
109.898141 117.343 178.9865
110.694508 117.322 178.7504
111.496646 117.302 178.5219
112.304596 117.281 178.2921
113.118402 117.259 178.0562
113.938104 117.237 177.8174
114.763747 117.215 177.5831
115.595372 117.192 177.3593
116.433024 117.168 177.1479
117.276746 117.143 176.9482
118.126581 117.117 176.7569
118.982575 117.091 176.5708
119.844772 117.066 176.3876
120.713217 117.040 176.2067
121.587954 117.016 176.0277
122.469031 116.992 175.8511
123.356492 116.967 175.6780
124.250384 116.942 175.5101
125.150753 116.918 175.3489
126.057647 116.893 175.1964
126.971113 116.869 175.0551
127.891198 116.845 174.9258
128.817950 116.822 174.8068
129.751418 116.801 174.6945
130.691651 116.781 174.5855
131.638696 116.764 174.4765
132.592604 116.748 174.3645
133.553425 116.732 174.2467
134.521208 116.717 174.1210
135.496004 116.703 173.9858
136.477864 116.689 173.8406
137.466839 116.675 173.6859
138.462981 116.662 173.5226
139.466340 116.647 173.3514
140.476971 116.632 173.1725
141.494925 116.615 172.9864
142.520256 116.598 172.7939
143.553016 116.580 172.5972
144.593260 116.561 172.3998
145.641043 116.540 172.2048
146.696418 116.518 172.0140
147.759441 116.494 171.8283
148.830166 116.469 171.6474
149.908651 116.443 171.4708
150.994951 116.416 171.2978
152.089123 116.389 171.1284
153.191223 116.362 170.9628
154.301310 116.335 170.8014
155.419441 116.307 170.6449
156.545674 116.279 170.4935
157.680069 116.251 170.3472
158.822683 116.223 170.2055
159.973578 116.194 170.0672
161.132813 116.164 169.9312
162.300447 116.134 169.7969
163.476543 116.104 169.6645
164.661162 116.074 169.5346
165.854364 116.043 169.4090
167.056213 116.012 169.2897
168.266772 115.981 169.1780
169.486102 115.950 169.0740
170.714268 115.919 168.9771
171.951334 115.887 168.8871
173.197364 115.855 168.8036
174.452424 115.823 168.7264
175.716578 115.791 168.6556
176.989893 115.760 168.5920
178.272434 115.728 168.5363
179.564270 115.697 168.4890
180.865467 115.667 168.4501
182.176092 115.638 168.4191
183.496216 115.610 168.3949
184.825905 115.583 168.3756
186.165229 115.558 168.3590
187.514259 115.535 168.3424
188.873065 115.514 168.3231
190.241717 115.494 168.2990
191.620287 115.474 168.2685
193.008847 115.455 168.2304
194.407468 115.437 168.1837
195.816225 115.418 168.1279
197.235190 115.399 168.0643
198.664438 115.380 167.9952
200.104042 115.361 167.9234
201.554078 115.341 167.8501
203.014622 115.321 167.7751
204.485750 115.301 167.6981
205.967538 115.280 167.6191
207.460064 115.259 167.5386
208.963405 115.236 167.4569
210.477640 115.213 167.3745
212.002848 115.189 167.2919
213.539108 115.164 167.2095
215.086500 115.138 167.1280
216.645105 115.112 167.0476
218.215005 115.085 166.9689
219.796281 115.058 166.8927
221.389015 115.030 166.8204
222.993292 115.002 166.7529
224.609193 114.973 166.6911
226.236804 114.945 166.6350
227.876209 114.916 166.5843
229.527494 114.887 166.5381
231.190745 114.858 166.4953
232.866048 114.829 166.4546
234.553491 114.799 166.4157
236.253163 114.769 166.3790
237.965150 114.740 166.3449
239.689544 114.710 166.3137
241.426433 114.680 166.2858
243.175909 114.650 166.2615
244.938062 114.621 166.2410
246.712984 114.591 166.2240
248.500768 114.561 166.2101
250.301507 114.532 166.1984
252.115295 114.502 166.1884
253.942226 114.473 166.1804
255.782396 114.444 166.1746
257.635901 114.415 166.1712
259.502837 114.385 166.1703
261.383301 114.356 166.1716
263.277392 114.327 166.1753
265.185209 114.297 166.1812
267.106850 114.268 166.1893
269.042417 114.239 166.1994
270.992009 114.210 166.2116
272.955729 114.181 166.2260
274.933678 114.153 166.2426
276.925961 114.124 166.2616
278.932681 114.096 166.2828
280.953942 114.068 166.3060
282.989850 114.040 166.3309
285.040511 114.012 166.3576
287.106032 113.984 166.3864
289.186521 113.956 166.4175
291.282086 113.929 166.4510
293.392836 113.901 166.4866
295.518881 113.873 166.5239
297.660333 113.846 166.5624
299.817302 113.818 166.6019
301.989902 113.791 166.6428
304.178245 113.764 166.6855
306.382446 113.736 166.7300
308.602620 113.709 166.7762
310.838882 113.682 166.8236
313.091348 113.656 166.8724
315.360137 113.629 166.9229
317.645367 113.602 166.9756
319.947156 113.576 167.0304
322.265625 113.550 167.0870
324.600895 113.524 167.1448
326.953086 113.497 167.2037
329.322323 113.471 167.2639
331.708729 113.446 167.3258
334.112427 113.420 167.3897
336.533543 113.394 167.4558
338.972204 113.369 167.5242
341.428536 113.343 167.5948
343.902668 113.318 167.6677
346.394729 113.293 167.7425
348.904848 113.268 167.8193
351.433156 113.243 167.8982
