* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -24,2 dBFS, measurement signal peak level -20,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.11.2023 13:13:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0202 ms (-6,9 mm, -0,27 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: MT4ProL
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 107.530 44.9717
20.333664 107.542 44.7738
20.481010 107.559 44.4814
20.629424 107.579 44.1216
20.778913 107.602 43.7182
20.929486 107.626 43.2895
21.081150 107.651 42.8480
21.233912 107.676 42.4023
21.387782 107.702 41.9571
21.542767 107.729 41.5153
21.698874 107.756 41.0777
21.856113 107.783 40.6441
22.014492 107.811 40.2135
22.174018 107.839 39.7850
22.334700 107.866 39.3577
22.496546 107.892 38.9316
22.659566 107.916 38.5077
22.823766 107.938 38.0879
22.989157 107.956 37.6748
23.155745 107.971 37.2714
23.323542 107.983 36.8804
23.492554 107.993 36.5036
23.662790 108.001 36.1410
23.834261 108.009 35.7908
24.006973 108.016 35.4489
24.180938 108.023 35.1094
24.356163 108.031 34.7654
24.532658 108.039 34.4101
24.710431 108.047 34.0383
24.889493 108.052 33.6470
25.069853 108.056 33.2365
25.251519 108.055 32.8106
25.434502 108.050 32.3757
25.618811 108.042 31.9400
25.804456 108.029 31.5115
25.991445 108.016 31.0958
26.179790 108.003 30.6949
26.369500 107.993 30.3055
26.560584 107.989 29.9192
26.753053 107.993 29.5235
26.946917 108.005 29.1040
27.142185 108.025 28.6477
27.338869 108.052 28.1457
27.536977 108.084 27.5963
27.736522 108.117 27.0059
27.937512 108.149 26.3885
28.139959 108.178 25.7641
28.343872 108.204 25.1554
28.549264 108.226 24.5840
28.756143 108.245 24.0668
28.964522 108.262 23.6132
29.174411 108.279 23.2234
29.385821 108.297 22.8890
29.598763 108.316 22.5949
29.813248 108.335 22.3224
30.029287 108.353 22.0536
30.246891 108.367 21.7738
30.466073 108.377 21.4743
30.686842 108.380 21.1521
30.909212 108.376 20.8096
31.133193 108.366 20.4520
31.358797 108.352 20.0853
31.586035 108.336 19.7145
31.814921 108.320 19.3418
32.045465 108.307 18.9674
32.277680 108.298 18.5893
32.511577 108.293 18.2055
32.747169 108.292 17.8143
32.984469 108.294 17.4158
33.223488 108.297 17.0119
33.464239 108.301 16.6056
33.706735 108.303 16.2002
33.950987 108.302 15.7991
34.197010 108.299 15.4044
34.444816 108.293 15.0172
34.694417 108.285 14.6377
34.945827 108.275 14.2654
35.199059 108.264 13.8992
35.454126 108.254 13.5379
35.711041 108.244 13.1798
35.969818 108.236 12.8235
36.230470 108.229 12.4676
36.493011 108.224 12.1114
36.757455 108.219 11.7554
37.023814 108.213 11.4007
37.292104 108.207 11.0494
37.562338 108.200 10.7032
37.834530 108.191 10.3628
38.108695 108.182 10.0269
38.384846 108.173 9.6920
38.662999 108.165 9.3540
38.943167 108.157 9.0095
39.225365 108.150 8.6574
39.509608 108.142 8.3012
39.795911 108.132 7.9475
40.084289 108.121 7.6047
40.374756 108.109 7.2802
40.667328 108.095 6.9764
40.962020 108.080 6.6900
41.258848 108.065 6.4125
41.557827 108.049 6.1336
41.858972 108.030 5.8453
42.162299 108.008 5.5458
42.467824 107.981 5.2390
42.775564 107.951 4.9329
43.085533 107.918 4.6343
43.397749 107.884 4.3449
43.712227 107.853 4.0598
44.028983 107.824 3.7704
44.348036 107.798 3.4690
44.669400 107.774 3.1548
44.993093 107.750 2.8355
45.319131 107.725 2.5257
45.647532 107.699 2.2432
45.978313 107.672 2.0050
46.311491 107.643 1.8257
46.647083 107.613 1.7171
46.985107 107.581 1.6864
47.325581 107.551 1.7307
47.668521 107.526 1.8295
48.013947 107.510 1.9409
48.361876 107.503 2.0073
48.712326 107.505 1.9732
49.065315 107.508 1.8097
49.420863 107.505 1.5306
49.778987 107.490 1.1907
50.139706 107.461 0.8659
50.503039 107.425 0.6227
50.869005 107.387 0.4924
51.237623 107.356 0.4635
51.608912 107.334 0.4950
51.982891 107.320 0.5417
52.359580 107.312 0.5739
52.739000 107.309 0.5805
53.121168 107.313 0.5566
53.506106 107.324 0.4916
53.893833 107.345 0.3652
54.284370 107.373 0.1564
54.677737 107.404 -0.1471
55.073955 107.433 -0.5461
55.473043 107.459 -1.0351
55.875024 107.479 -1.6078
56.279917 107.493 -2.2543
56.687745 107.499 -2.9535
57.098527 107.494 -3.6661
57.512287 107.478 -4.3411
57.929045 107.453 -4.9321
58.348822 107.424 -5.4164
58.771642 107.395 -5.8037
59.197525 107.368 -6.1282
59.626495 107.344 -6.4303
60.058573 107.324 -6.7389
60.493782 107.305 -7.0638
60.932145 107.289 -7.3982
61.373685 107.273 -7.7260
61.818424 107.258 -8.0303
62.266386 107.241 -8.3002
62.717593 107.221 -8.5342
63.172071 107.197 -8.7412
63.629842 107.169 -8.9363
64.090930 107.138 -9.1344
64.555359 107.105 -9.3446
65.023154 107.070 -9.5674
65.494339 107.035 -9.7973
65.968938 106.999 -10.0262
66.446976 106.963 -10.2468
66.928478 106.926 -10.4553
67.413469 106.888 -10.6513
67.901975 106.850 -10.8368
68.394021 106.813 -11.0149
68.889632 106.777 -11.1881
69.388835 106.741 -11.3575
69.891655 106.706 -11.5227
70.398118 106.671 -11.6833
70.908252 106.635 -11.8397
71.422083 106.599 -11.9933
71.939636 106.562 -12.1458
72.460941 106.526 -12.2984
72.986023 106.489 -12.4518
73.514909 106.451 -12.6057
74.047629 106.414 -12.7592
74.584208 106.377 -12.9096
75.124676 106.340 -13.0531
75.669061 106.305 -13.1854
76.217390 106.272 -13.3034
76.769692 106.241 -13.4060
77.325997 106.213 -13.4940
77.886333 106.186 -13.5710
78.450730 106.162 -13.6418
79.019216 106.139 -13.7128
79.591822 106.118 -13.7898
80.168577 106.097 -13.8790
80.749512 106.076 -13.9860
81.334656 106.053 -14.1167
81.924040 106.028 -14.2752
82.517696 106.002 -14.4621
83.115653 105.975 -14.6716
83.717943 105.948 -14.8928
84.324598 105.923 -15.1128
84.935649 105.899 -15.3205
85.551128 105.875 -15.5092
86.171066 105.851 -15.6764
86.795497 105.825 -15.8237
87.424453 105.796 -15.9561
88.057967 105.765 -16.0796
88.696071 105.732 -16.1994
89.338800 105.697 -16.3190
89.986185 105.660 -16.4398
90.638262 105.622 -16.5611
91.295065 105.583 -16.6809
91.956626 105.542 -16.7984
92.622982 105.501 -16.9138
93.294166 105.460 -17.0263
93.970214 105.419 -17.1335
94.651161 105.379 -17.2330
95.337042 105.341 -17.3252
96.027894 105.305 -17.4118
96.723752 105.270 -17.4949
97.424652 105.235 -17.5763
98.130631 105.199 -17.6567
98.841726 105.161 -17.7356
99.557974 105.121 -17.8112
100.279412 105.081 -17.8821
101.006078 105.042 -17.9469
101.738010 105.003 -18.0045
102.475245 104.965 -18.0548
103.217823 104.929 -18.0992
103.965782 104.893 -18.1387
104.719161 104.859 -18.1742
105.477999 104.826 -18.2073
106.242336 104.793 -18.2420
107.012212 104.760 -18.2816
107.787666 104.727 -18.3272
108.568740 104.694 -18.3763
109.355474 104.660 -18.4239
110.147909 104.626 -18.4635
110.946086 104.594 -18.4919
111.750047 104.565 -18.5135
112.559834 104.537 -18.5372
113.375489 104.512 -18.5652
114.197055 104.487 -18.5874
115.024574 104.462 -18.5869
115.858089 104.435 -18.5522
116.697645 104.404 -18.4869
117.543284 104.367 -18.4077
118.395051 104.324 -18.3335
119.252990 104.277 -18.2775
120.117147 104.229 -18.2446
120.987565 104.184 -18.2294
121.864291 104.144 -18.2187
122.747370 104.109 -18.1989
123.636848 104.079 -18.1642
124.532771 104.052 -18.1149
125.435187 104.026 -18.0557
126.344142 103.998 -17.9933
127.259684 103.971 -17.9354
128.181860 103.942 -17.8887
129.110718 103.914 -17.8573
130.046308 103.888 -17.8405
130.988677 103.865 -17.8331
131.937875 103.845 -17.8283
132.893951 103.830 -17.8229
133.856956 103.818 -17.8196
134.826938 103.807 -17.8235
135.803950 103.795 -17.8361
136.788041 103.783 -17.8545
137.779264 103.770 -17.8763
138.777669 103.755 -17.9031
139.783309 103.737 -17.9396
140.796237 103.716 -17.9862
141.816504 103.691 -18.0361
142.844165 103.662 -18.0784
143.879273 103.631 -18.1065
144.921881 103.597 -18.1215
145.972045 103.561 -18.1287
147.029819 103.525 -18.1334
148.095257 103.489 -18.1392
149.168417 103.454 -18.1458
150.249353 103.419 -18.1528
151.338121 103.384 -18.1619
152.434780 103.349 -18.1723
153.539385 103.314 -18.1777
154.651995 103.278 -18.1712
155.772667 103.243 -18.1499
156.901460 103.209 -18.1156
158.038432 103.176 -18.0720
159.183644 103.143 -18.0223
160.337154 103.111 -17.9671
161.499023 103.078 -17.9052
162.669312 103.046 -17.8356
163.848081 103.013 -17.7578
165.035392 102.981 -17.6724
166.231306 102.950 -17.5817
167.435887 102.918 -17.4885
168.649196 102.888 -17.3947
169.871298 102.860 -17.3005
171.102255 102.833 -17.2055
172.342133 102.808 -17.1102
173.590995 102.784 -17.0166
174.848907 102.761 -16.9267
176.115934 102.738 -16.8402
177.392143 102.716 -16.7565
178.677599 102.693 -16.6753
179.972371 102.670 -16.5966
181.276525 102.647 -16.5197
182.590129 102.623 -16.4437
183.913252 102.598 -16.3664
185.245964 102.574 -16.2869
186.588332 102.550 -16.2056
187.940428 102.527 -16.1242
189.302322 102.503 -16.0446
190.674085 102.479 -15.9682
192.055788 102.456 -15.8952
193.447503 102.431 -15.8243
194.849303 102.406 -15.7533
196.261262 102.380 -15.6795
197.683452 102.354 -15.6010
199.115948 102.328 -15.5161
200.558824 102.303 -15.4229
202.012156 102.279 -15.3207
203.476019 102.256 -15.2095
204.950490 102.233 -15.0899
206.435646 102.210 -14.9634
207.931564 102.188 -14.8335
209.438322 102.166 -14.7063
210.955998 102.143 -14.5873
212.484672 102.119 -14.4764
214.024424 102.095 -14.3680
215.575333 102.072 -14.2574
217.137481 102.051 -14.1429
218.710948 102.031 -14.0258
220.295818 102.013 -13.9091
221.892172 101.995 -13.7962
223.500094 101.978 -13.6891
225.119668 101.960 -13.5879
226.750978 101.943 -13.4913
228.394109 101.925 -13.3974
230.049147 101.907 -13.3047
231.716178 101.887 -13.2121
233.395289 101.868 -13.1193
235.086567 101.848 -13.0260
236.790102 101.827 -12.9315
238.505980 101.806 -12.8355
240.234293 101.785 -12.7378
241.975130 101.764 -12.6380
243.728581 101.744 -12.5358
245.494739 101.724 -12.4313
247.273695 101.705 -12.3245
249.065542 101.686 -12.2151
250.870374 101.667 -12.1020
252.688284 101.648 -11.9853
254.519367 101.628 -11.8665
256.363720 101.608 -11.7472
258.221437 101.588 -11.6281
260.092616 101.568 -11.5092
261.977354 101.549 -11.3909
263.875750 101.530 -11.2736
265.787903 101.511 -11.1570
267.713911 101.492 -11.0406
269.653877 101.473 -10.9238
271.607900 101.453 -10.8058
273.576083 101.434 -10.6860
275.558528 101.414 -10.5641
277.555338 101.395 -10.4399
279.566619 101.375 -10.3142
281.592474 101.356 -10.1876
283.633009 101.337 -10.0604
285.688331 101.318 -9.9321
287.758546 101.298 -9.8020
289.843763 101.279 -9.6691
291.944090 101.259 -9.5325
294.059638 101.240 -9.3920
296.190515 101.221 -9.2476
298.336833 101.202 -9.0993
300.498705 101.182 -8.9473
302.676243 101.163 -8.7928
304.869559 101.145 -8.6374
307.078770 101.126 -8.4828
309.303989 101.108 -8.3298
311.545334 101.090 -8.1778
313.802919 101.073 -8.0252
316.076865 101.056 -7.8712
318.367288 101.040 -7.7151
320.674309 101.023 -7.5568
322.998047 101.007 -7.3962
325.338624 100.991 -7.2334
327.696162 100.974 -7.0682
330.070783 100.958 -6.9007
332.462612 100.942 -6.7312
334.871773 100.926 -6.5597
337.298392 100.910 -6.3867
339.742595 100.895 -6.2128
342.204510 100.880 -6.0386
344.684265 100.865 -5.8643
347.181989 100.850 -5.6897
