* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -11,4 dBFS, measurement signal peak level -11,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 05.01.2024 15:43:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0220 ms (-7,5 mm, -0,3 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: 011
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 110.953 -104.0962
20.333664 110.973 -104.3591
20.481010 111.002 -104.7438
20.629424 111.037 -105.2103
20.778913 111.075 -105.7244
20.929486 111.115 -106.2609
21.081150 111.155 -106.8040
21.233912 111.196 -107.3448
21.387782 111.236 -107.8794
21.542767 111.275 -108.4074
21.698874 111.315 -108.9299
21.856113 111.354 -109.4490
22.014492 111.393 -109.9667
22.174018 111.431 -110.4846
22.334700 111.469 -111.0033
22.496546 111.507 -111.5228
22.659566 111.544 -112.0425
22.823766 111.582 -112.5614
22.989157 111.621 -113.0790
23.155745 111.661 -113.5951
23.323542 111.702 -114.1104
23.492554 111.747 -114.6260
23.662790 111.793 -115.1437
23.834261 111.842 -115.6651
24.006973 111.892 -116.1911
24.180938 111.942 -116.7213
24.356163 111.993 -117.2534
24.532658 112.041 -117.7834
24.710431 112.087 -118.3054
24.889493 112.130 -118.8123
25.069853 112.169 -119.2971
25.251519 112.205 -119.7536
25.434502 112.237 -120.1779
25.618811 112.268 -120.5689
25.804456 112.297 -120.9298
25.991445 112.327 -121.2672
26.179790 112.357 -121.5910
26.369500 112.388 -121.9132
26.560584 112.420 -122.2464
26.753053 112.452 -122.6018
26.946917 112.484 -122.9878
27.142185 112.514 -123.4091
27.338869 112.542 -123.8662
27.536977 112.566 -124.3556
27.736522 112.588 -124.8707
27.937512 112.606 -125.4032
28.139959 112.623 -125.9443
28.343872 112.639 -126.4864
28.549264 112.655 -127.0236
28.756143 112.674 -127.5527
28.964522 112.696 -128.0727
29.174411 112.721 -128.5845
29.385821 112.750 -129.0899
29.598763 112.781 -129.5903
29.813248 112.815 -130.0861
30.029287 112.849 -130.5764
30.246891 112.882 -131.0585
30.466073 112.914 -131.5295
30.686842 112.944 -131.9866
30.909212 112.973 -132.4287
31.133193 113.000 -132.8570
31.358797 113.025 -133.2757
31.586035 113.051 -133.6912
31.814921 113.076 -134.1114
32.045465 113.100 -134.5433
32.277680 113.123 -134.9919
32.511577 113.146 -135.4582
32.747169 113.166 -135.9393
32.984469 113.185 -136.4290
33.223488 113.204 -136.9193
33.464239 113.222 -137.4028
33.706735 113.242 -137.8742
33.950987 113.264 -138.3315
34.197010 113.289 -138.7750
34.444816 113.316 -139.2056
34.694417 113.343 -139.6221
34.945827 113.369 -140.0199
35.199059 113.391 -140.3905
35.454126 113.408 -140.7243
35.711041 113.422 -141.0148
35.969818 113.432 -141.2636
36.230470 113.440 -141.4834
36.493011 113.449 -141.6985
36.757455 113.457 -141.9402
37.023814 113.463 -142.2388
37.292104 113.464 -142.6147
37.562338 113.457 -143.0720
37.834530 113.440 -143.5968
38.108695 113.414 -144.1620
38.384846 113.382 -144.7361
38.662999 113.351 -145.2937
38.943167 113.328 -145.8242
39.225365 113.319 -146.3336
39.509608 113.327 -146.8396
39.795911 113.350 -147.3609
40.084289 113.385 -147.9057
40.374756 113.423 -148.4655
40.667328 113.459 -149.0168
40.962020 113.490 -149.5297
41.258848 113.515 -149.9800
41.557827 113.535 -150.3586
41.858972 113.554 -150.6754
42.162299 113.572 -150.9547
42.467824 113.591 -151.2264
42.775564 113.607 -151.5151
43.085533 113.621 -151.8341
43.397749 113.630 -152.1842
43.712227 113.635 -152.5589
44.028983 113.637 -152.9496
44.348036 113.638 -153.3500
44.669400 113.639 -153.7559
44.993093 113.640 -154.1637
45.319131 113.640 -154.5677
45.647532 113.639 -154.9606
45.978313 113.637 -155.3358
46.311491 113.634 -155.6913
46.647083 113.630 -156.0315
46.985107 113.625 -156.3661
47.325581 113.619 -156.7064
47.668521 113.611 -157.0605
48.013947 113.601 -157.4306
48.361876 113.590 -157.8125
48.712326 113.578 -158.1979
49.065315 113.566 -158.5777
49.420863 113.556 -158.9447
49.778987 113.548 -159.2955
50.139706 113.543 -159.6301
50.503039 113.540 -159.9519
50.869005 113.538 -160.2658
51.237623 113.535 -160.5777
51.608912 113.532 -160.8933
51.982891 113.527 -161.2171
52.359580 113.521 -161.5519
52.739000 113.515 -161.8987
53.121168 113.509 -162.2558
53.506106 113.504 -162.6200
53.893833 113.500 -162.9867
54.284370 113.495 -163.3513
54.677737 113.490 -163.7105
55.073955 113.483 -164.0623
55.473043 113.475 -164.4063
55.875024 113.464 -164.7426
56.279917 113.452 -165.0711
56.687745 113.439 -165.3914
57.098527 113.426 -165.7036
57.512287 113.412 -166.0081
57.929045 113.399 -166.3070
58.348822 113.385 -166.6032
58.771642 113.370 -166.9012
59.197525 113.352 -167.2072
59.626495 113.333 -167.5287
60.058573 113.313 -167.8724
60.493782 113.293 -168.2404
60.932145 113.274 -168.6275
61.373685 113.258 -169.0204
61.818424 113.244 -169.4015
62.266386 113.233 -169.7534
62.717593 113.224 -170.0644
63.172071 113.215 -170.3301
63.629842 113.204 -170.5536
64.090930 113.190 -170.7444
64.555359 113.171 -170.9156
65.023154 113.148 -171.0800
65.494339 113.122 -171.2451
65.968938 113.092 -171.4108
66.446976 113.061 -171.5715
66.928478 113.030 -171.7209
67.413469 113.001 -171.8559
67.901975 112.975 -171.9768
68.394021 112.953 -172.0846
68.889632 112.935 -172.1795
69.388835 112.921 -172.2631
69.891655 112.912 -172.3423
70.398118 112.909 -172.4287
70.908252 112.911 -172.5347
71.422083 112.919 -172.6679
71.939636 112.931 -172.8283
72.460941 112.945 -173.0088
72.986023 112.960 -173.1994
73.514909 112.973 -173.3931
74.047629 112.985 -173.5901
74.584208 112.994 -173.7989
75.124676 113.001 -174.0322
75.669061 113.007 -174.2997
76.217390 113.011 -174.6031
76.769692 113.015 -174.9356
77.325997 113.018 -175.2844
77.886333 113.017 -175.6368
78.450730 113.014 -175.9837
79.019216 113.007 -176.3221
79.591822 112.996 -176.6531
80.168577 112.983 -176.9790
80.749512 112.968 -177.3003
81.334656 112.953 -177.6157
81.924040 112.937 -177.9231
82.517696 112.921 -178.2214
83.115653 112.903 -178.5105
83.717943 112.885 -178.7909
84.324598 112.865 -179.0637
84.935649 112.845 -179.3299
85.551128 112.823 -179.5907
86.171066 112.800 -179.8472
86.795497 112.777 179.8997
87.424453 112.753 179.6494
88.057967 112.730 179.4014
88.696071 112.707 179.1562
89.338800 112.684 178.9153
89.986185 112.660 178.6808
90.638262 112.637 178.4539
91.295065 112.613 178.2341
91.956626 112.590 178.0196
92.622982 112.566 177.8084
93.294166 112.542 177.5997
93.970214 112.517 177.3931
94.651161 112.493 177.1884
95.337042 112.469 176.9855
96.027894 112.444 176.7841
96.723752 112.419 176.5847
97.424652 112.395 176.3879
98.130631 112.371 176.1945
98.841726 112.347 176.0051
99.557974 112.323 175.8199
100.279412 112.298 175.6379
101.006078 112.273 175.4581
101.738010 112.248 175.2797
102.475245 112.223 175.1031
103.217823 112.197 174.9291
103.965782 112.172 174.7584
104.719161 112.146 174.5913
105.477999 112.120 174.4272
106.242336 112.094 174.2652
107.012212 112.068 174.1050
107.787666 112.042 173.9471
108.568740 112.015 173.7921
109.355474 111.989 173.6407
110.147909 111.962 173.4928
110.946086 111.936 173.3481
111.750047 111.909 173.2058
112.559834 111.882 173.0650
113.375489 111.855 172.9253
114.197055 111.828 172.7866
115.024574 111.800 172.6495
115.858089 111.773 172.5148
116.697645 111.746 172.3834
117.543284 111.718 172.2551
118.395051 111.690 172.1292
119.252990 111.662 172.0057
120.117147 111.633 171.8854
120.987565 111.605 171.7689
121.864291 111.576 171.6562
122.747370 111.548 171.5468
123.636848 111.521 171.4400
124.532771 111.495 171.3344
125.435187 111.469 171.2286
126.344142 111.444 171.1221
127.259684 111.418 171.0163
128.181860 111.392 170.9138
129.110718 111.365 170.8162
130.046308 111.337 170.7239
130.988677 111.309 170.6364
131.937875 111.281 170.5519
132.893951 111.254 170.4682
133.856956 111.227 170.3837
134.826938 111.200 170.2995
135.803950 111.173 170.2183
136.788041 111.145 170.1416
137.779264 111.118 170.0684
138.777669 111.090 169.9968
139.783309 111.062 169.9265
140.796237 111.034 169.8586
141.816504 111.007 169.7949
142.844165 110.979 169.7369
143.879273 110.952 169.6857
144.921881 110.924 169.6421
145.972045 110.897 169.6050
147.029819 110.869 169.5710
148.095257 110.842 169.5367
149.168417 110.814 169.5015
150.249353 110.787 169.4674
151.338121 110.762 169.4377
152.434780 110.737 169.4142
153.539385 110.713 169.3969
154.651995 110.690 169.3829
155.772667 110.668 169.3678
156.901460 110.647 169.3484
158.038432 110.626 169.3238
159.183644 110.606 169.2935
160.337154 110.587 169.2576
161.499023 110.567 169.2160
162.669312 110.549 169.1690
163.848081 110.530 169.1165
165.035392 110.511 169.0585
166.231306 110.493 168.9949
167.435887 110.473 168.9257
168.649196 110.452 168.8513
169.871298 110.431 168.7734
171.102255 110.408 168.6950
172.342133 110.384 168.6194
173.590995 110.360 168.5496
174.848907 110.335 168.4872
176.115934 110.309 168.4320
177.392143 110.283 168.3824
178.677599 110.257 168.3353
179.972371 110.229 168.2888
181.276525 110.201 168.2429
182.590129 110.172 168.1990
183.913252 110.143 168.1582
185.245964 110.113 168.1204
186.588332 110.083 168.0851
187.940428 110.054 168.0513
189.302322 110.025 168.0188
190.674085 109.996 167.9886
192.055788 109.968 167.9621
193.447503 109.940 167.9403
194.849303 109.911 167.9231
196.261262 109.883 167.9101
197.683452 109.855 167.9008
199.115948 109.827 167.8945
200.558824 109.798 167.8907
202.012156 109.769 167.8892
203.476019 109.740 167.8901
204.950490 109.710 167.8934
206.435646 109.681 167.8993
207.931564 109.652 167.9079
209.438322 109.622 167.9195
210.955998 109.593 167.9345
212.484672 109.564 167.9532
214.024424 109.534 167.9753
215.575333 109.504 168.0002
217.137481 109.474 168.0274
218.710948 109.445 168.0569
220.295818 109.415 168.0901
221.892172 109.387 168.1284
223.500094 109.360 168.1721
225.119668 109.333 168.2202
226.750978 109.306 168.2713
228.394109 109.279 168.3246
230.049147 109.252 168.3796
231.716178 109.226 168.4362
233.395289 109.199 168.4953
235.086567 109.173 168.5574
236.790102 109.147 168.6230
238.505980 109.121 168.6919
240.234293 109.096 168.7639
241.975130 109.072 168.8391
243.728581 109.048 168.9169
245.494739 109.024 168.9969
247.273695 109.002 169.0775
249.065542 108.981 169.1561
250.870374 108.960 169.2303
252.688284 108.939 169.2989
254.519367 108.918 169.3617
256.363720 108.897 169.4194
258.221437 108.876 169.4727
260.092616 108.855 169.5226
261.977354 108.833 169.5701
263.875750 108.811 169.6164
265.787903 108.788 169.6631
267.713911 108.766 169.7122
269.653877 108.742 169.7649
271.607900 108.718 169.8216
273.576083 108.694 169.8823
275.558528 108.669 169.9471
277.555338 108.644 170.0161
279.566619 108.618 170.0892
281.592474 108.593 170.1667
283.633009 108.567 170.2487
285.688331 108.542 170.3347
287.758546 108.517 170.4246
289.843763 108.493 170.5180
291.944090 108.469 170.6148
294.059638 108.445 170.7148
296.190515 108.423 170.8174
298.336833 108.401 170.9214
300.498705 108.379 171.0259
302.676243 108.358 171.1302
304.869559 108.337 171.2345
307.078770 108.316 171.3386
309.303989 108.296 171.4424
311.545334 108.275 171.5456
313.802919 108.255 171.6481
316.076865 108.234 171.7500
318.367288 108.213 171.8513
320.674309 108.192 171.9524
322.998047 108.170 172.0542
325.338624 108.149 172.1572
327.696162 108.127 172.2616
330.070783 108.106 172.3677
332.462612 108.084 172.4758
334.871773 108.063 172.5864
337.298392 108.041 172.6996
339.742595 108.020 172.8153
342.204510 107.998 172.9338
344.684265 107.976 173.0546
347.181989 107.954 173.1775
349.697813 107.932 173.3018
352.231868 107.911 173.4273
354.784285 107.889 173.5543
357.355198 107.868 173.6833
