* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -47,3 dBFS, measurement signal peak level -17,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25.03.2023 22:34:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0038 ms (-1,3 mm, -0,05 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: TRN Rosefinch
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 96.651 -67.6994
20.333664 96.681 -67.8715
20.481010 96.726 -68.1366
20.629424 96.783 -68.4843
20.778913 96.848 -68.9052
20.929486 96.918 -69.3906
21.081150 96.992 -69.9304
21.233912 97.067 -70.5119
21.387782 97.141 -71.1191
21.542767 97.214 -71.7329
21.698874 97.285 -72.3326
21.856113 97.355 -72.8975
22.014492 97.425 -73.4095
22.174018 97.496 -73.8559
22.334700 97.571 -74.2305
22.496546 97.650 -74.5359
22.659566 97.735 -74.7832
22.823766 97.828 -74.9907
22.989157 97.926 -75.1823
23.155745 98.028 -75.3833
23.323542 98.132 -75.6176
23.492554 98.234 -75.9040
23.662790 98.332 -76.2542
23.834261 98.421 -76.6715
24.006973 98.500 -77.1512
24.180938 98.568 -77.6818
24.356163 98.625 -78.2473
24.532658 98.674 -78.8299
24.710431 98.717 -79.4126
24.889493 98.759 -79.9816
25.069853 98.803 -80.5280
25.251519 98.854 -81.0481
25.434502 98.914 -81.5436
25.618811 98.985 -82.0190
25.804456 99.066 -82.4805
25.991445 99.156 -82.9331
26.179790 99.251 -83.3795
26.369500 99.350 -83.8198
26.560584 99.448 -84.2521
26.753053 99.544 -84.6741
26.946917 99.636 -85.0853
27.142185 99.723 -85.4888
27.338869 99.804 -85.8920
27.536977 99.881 -86.3064
27.736522 99.953 -86.7459
27.937512 100.020 -87.2238
28.139959 100.083 -87.7499
28.343872 100.142 -88.3274
28.549264 100.196 -88.9512
28.756143 100.247 -89.6073
28.964522 100.295 -90.2746
29.174411 100.343 -90.9281
29.385821 100.393 -91.5431
29.598763 100.448 -92.0992
29.813248 100.510 -92.5844
30.029287 100.580 -92.9969
30.246891 100.658 -93.3451
30.466073 100.742 -93.6451
30.686842 100.828 -93.9170
30.909212 100.913 -94.1813
31.133193 100.991 -94.4558
31.358797 101.061 -94.7535
31.586035 101.120 -95.0826
31.814921 101.169 -95.4480
32.045465 101.208 -95.8524
32.277680 101.244 -96.2978
32.511577 101.279 -96.7862
32.747169 101.319 -97.3187
32.984469 101.368 -97.8936
33.223488 101.428 -98.5043
33.464239 101.499 -99.1380
33.706735 101.579 -99.7748
33.950987 101.665 -100.3903
34.197010 101.753 -100.9582
34.444816 101.839 -101.4560
34.694417 101.919 -101.8690
34.945827 101.990 -102.1945
35.199059 102.051 -102.4432
35.454126 102.102 -102.6382
35.711041 102.143 -102.8115
35.969818 102.175 -102.9982
36.230470 102.201 -103.2304
36.493011 102.222 -103.5319
36.757455 102.242 -103.9149
37.023814 102.266 -104.3792
37.292104 102.297 -104.9141
37.562338 102.339 -105.5015
37.834530 102.393 -106.1188
38.108695 102.458 -106.7425
38.384846 102.532 -107.3497
38.662999 102.610 -107.9208
38.943167 102.689 -108.4418
39.225365 102.764 -108.9084
39.509608 102.834 -109.3286
39.795911 102.899 -109.7238
40.084289 102.958 -110.1260
40.374756 103.010 -110.5703
40.667328 103.056 -111.0842
40.962020 103.093 -111.6770
41.258848 103.120 -112.3340
41.557827 103.138 -113.0185
41.858972 103.149 -113.6812
42.162299 103.158 -114.2740
42.467824 103.173 -114.7647
42.775564 103.198 -115.1461
43.085533 103.238 -115.4367
43.397749 103.294 -115.6728
43.712227 103.360 -115.8947
44.028983 103.432 -116.1352
44.348036 103.503 -116.4132
44.669400 103.568 -116.7346
44.993093 103.624 -117.0967
45.319131 103.669 -117.4941
45.647532 103.704 -117.9223
45.978313 103.731 -118.3791
46.311491 103.754 -118.8642
46.647083 103.775 -119.3781
46.985107 103.799 -119.9204
47.325581 103.829 -120.4878
47.668521 103.865 -121.0720
48.013947 103.908 -121.6584
48.361876 103.954 -122.2273
48.712326 104.003 -122.7572
49.065315 104.050 -123.2304
49.420863 104.093 -123.6387
49.778987 104.131 -123.9861
50.139706 104.164 -124.2883
50.503039 104.191 -124.5687
50.869005 104.214 -124.8522
51.237623 104.234 -125.1603
51.608912 104.253 -125.5064
51.982891 104.273 -125.8954
52.359580 104.295 -126.3238
52.739000 104.318 -126.7816
53.121168 104.344 -127.2558
53.506106 104.372 -127.7342
53.893833 104.401 -128.2079
54.284370 104.431 -128.6731
54.677737 104.462 -129.1308
55.073955 104.495 -129.5834
55.473043 104.530 -130.0326
55.875024 104.566 -130.4777
56.279917 104.602 -130.9164
56.687745 104.638 -131.3479
57.098527 104.673 -131.7742
57.512287 104.707 -132.1999
57.929045 104.738 -132.6291
58.348822 104.765 -133.0627
58.771642 104.790 -133.4974
59.197525 104.813 -133.9285
59.626495 104.836 -134.3538
60.058573 104.860 -134.7757
60.493782 104.886 -135.1997
60.932145 104.912 -135.6305
61.373685 104.937 -136.0692
61.818424 104.960 -136.5123
62.266386 104.982 -136.9546
62.717593 105.003 -137.3920
63.172071 105.024 -137.8226
63.629842 105.046 -138.2462
64.090930 105.069 -138.6635
64.555359 105.092 -139.0744
65.023154 105.115 -139.4792
65.494339 105.137 -139.8788
65.968938 105.158 -140.2763
66.446976 105.177 -140.6759
66.928478 105.194 -141.0817
67.413469 105.210 -141.4962
67.901975 105.226 -141.9186
68.394021 105.241 -142.3460
68.889632 105.256 -142.7742
69.388835 105.272 -143.1998
69.891655 105.287 -143.6199
70.398118 105.303 -144.0339
70.908252 105.318 -144.4429
71.422083 105.334 -144.8505
71.939636 105.349 -145.2604
72.460941 105.364 -145.6742
72.986023 105.378 -146.0898
73.514909 105.392 -146.5031
74.047629 105.406 -146.9106
74.584208 105.420 -147.3123
75.124676 105.434 -147.7110
75.669061 105.448 -148.1101
76.217390 105.463 -148.5122
76.769692 105.477 -148.9173
77.325997 105.491 -149.3235
77.886333 105.504 -149.7274
78.450730 105.515 -150.1264
79.019216 105.524 -150.5191
79.591822 105.532 -150.9057
80.168577 105.539 -151.2872
80.749512 105.545 -151.6667
81.334656 105.551 -152.0490
81.924040 105.557 -152.4395
82.517696 105.564 -152.8408
83.115653 105.573 -153.2492
83.717943 105.585 -153.6543
84.324598 105.598 -154.0424
84.935649 105.611 -154.4039
85.551128 105.621 -154.7395
86.171066 105.625 -155.0605
86.795497 105.622 -155.3845
87.424453 105.614 -155.7282
88.057967 105.605 -156.1016
88.696071 105.596 -156.5053
89.338800 105.591 -156.9304
89.986185 105.590 -157.3618
90.638262 105.591 -157.7846
91.295065 105.595 -158.1887
91.956626 105.600 -158.5709
92.622982 105.608 -158.9329
93.294166 105.617 -159.2812
93.970214 105.627 -159.6252
94.651161 105.638 -159.9744
95.337042 105.647 -160.3345
96.027894 105.654 -160.7053
96.723752 105.657 -161.0825
97.424652 105.658 -161.4619
98.130631 105.658 -161.8414
98.841726 105.657 -162.2208
99.557974 105.656 -162.5979
100.279412 105.655 -162.9675
101.006078 105.653 -163.3252
101.738010 105.651 -163.6729
102.475245 105.649 -164.0164
103.217823 105.647 -164.3595
103.965782 105.644 -164.7024
104.719161 105.641 -165.0447
105.477999 105.637 -165.3872
106.242336 105.633 -165.7317
107.012212 105.629 -166.0789
107.787666 105.624 -166.4288
108.568740 105.619 -166.7803
109.355474 105.614 -167.1318
110.147909 105.608 -167.4816
110.946086 105.602 -167.8279
111.750047 105.597 -168.1686
112.559834 105.591 -168.5021
113.375489 105.585 -168.8271
114.197055 105.577 -169.1440
115.024574 105.568 -169.4550
115.858089 105.558 -169.7641
116.697645 105.549 -170.0755
117.543284 105.539 -170.3922
118.395051 105.529 -170.7138
119.252990 105.520 -171.0383
120.117147 105.510 -171.3642
120.987565 105.500 -171.6927
121.864291 105.490 -172.0249
122.747370 105.479 -172.3607
123.636848 105.469 -172.6981
124.532771 105.458 -173.0343
125.435187 105.448 -173.3677
126.344142 105.437 -173.6980
127.259684 105.426 -174.0262
128.181860 105.415 -174.3525
129.110718 105.404 -174.6749
130.046308 105.393 -174.9898
130.988677 105.380 -175.2949
131.937875 105.366 -175.5902
132.893951 105.352 -175.8782
133.856956 105.337 -176.1624
134.826938 105.321 -176.4463
135.803950 105.306 -176.7314
136.788041 105.291 -177.0183
137.779264 105.275 -177.3070
138.777669 105.260 -177.5972
139.783309 105.244 -177.8881
140.796237 105.228 -178.1786
141.816504 105.212 -178.4678
142.844165 105.196 -178.7555
143.879273 105.180 -179.0425
144.921881 105.163 -179.3292
145.972045 105.146 -179.6152
147.029819 105.128 -179.8999
148.095257 105.109 179.8173
149.168417 105.090 179.5371
150.249353 105.070 179.2607
151.338121 105.051 178.9885
152.434780 105.031 178.7195
153.539385 105.010 178.4528
154.651995 104.989 178.1880
155.772667 104.968 177.9250
156.901460 104.946 177.6635
158.038432 104.925 177.4026
159.183644 104.903 177.1420
160.337154 104.882 176.8817
161.499023 104.860 176.6226
162.669312 104.838 176.3666
163.848081 104.816 176.1155
165.035392 104.794 175.8697
166.231306 104.771 175.6281
167.435887 104.748 175.3891
168.649196 104.724 175.1521
169.871298 104.701 174.9165
171.102255 104.677 174.6817
172.342133 104.652 174.4467
173.590995 104.627 174.2106
174.848907 104.602 173.9730
176.115934 104.577 173.7346
177.392143 104.551 173.4968
178.677599 104.525 173.2616
179.972371 104.499 173.0301
181.276525 104.473 172.8024
182.590129 104.446 172.5780
183.913252 104.420 172.3565
185.245964 104.392 172.1375
186.588332 104.364 171.9205
187.940428 104.336 171.7054
189.302322 104.307 171.4915
190.674085 104.279 171.2775
192.055788 104.251 171.0613
193.447503 104.225 170.8397
194.849303 104.200 170.6097
196.261262 104.176 170.3719
197.683452 104.153 170.1321
199.115948 104.127 169.9023
200.558824 104.098 169.6948
202.012156 104.064 169.5135
203.476019 104.029 169.3503
204.950490 103.994 169.1930
206.435646 103.960 169.0331
207.931564 103.927 168.8675
209.438322 103.894 168.6973
210.955998 103.862 168.5247
212.484672 103.831 168.3523
214.024424 103.799 168.1819
215.575333 103.767 168.0148
217.137481 103.735 167.8511
218.710948 103.702 167.6898
220.295818 103.669 167.5302
221.892172 103.636 167.3717
223.500094 103.602 167.2139
225.119668 103.567 167.0562
226.750978 103.532 166.8982
228.394109 103.498 166.7407
230.049147 103.463 166.5850
231.716178 103.429 166.4324
233.395289 103.394 166.2836
235.086567 103.359 166.1386
236.790102 103.324 165.9976
238.505980 103.287 165.8601
240.234293 103.250 165.7253
241.975130 103.213 165.5925
243.728581 103.176 165.4626
245.494739 103.138 165.3361
247.273695 103.100 165.2132
249.065542 103.062 165.0928
250.870374 103.023 164.9745
252.688284 102.983 164.8592
254.519367 102.943 164.7486
256.363720 102.902 164.6443
258.221437 102.861 164.5478
260.092616 102.819 164.4597
261.977354 102.777 164.3791
263.875750 102.735 164.3044
265.787903 102.692 164.2354
267.713911 102.649 164.1736
269.653877 102.605 164.1212
271.607900 102.560 164.0806
273.576083 102.515 164.0532
275.558528 102.470 164.0398
277.555338 102.425 164.0411
279.566619 102.380 164.0574
281.592474 102.337 164.0896
283.633009 102.294 164.1393
285.688331 102.254 164.2079
287.758546 102.216 164.2951
289.843763 102.182 164.3986
291.944090 102.153 164.5143
294.059638 102.129 164.6356
296.190515 102.111 164.7533
298.336833 102.098 164.8564
300.498705 102.091 164.9344
302.676243 102.088 164.9787
304.869559 102.086 164.9819
307.078770 102.085 164.9391
309.303989 102.081 164.8505
311.545334 102.075 164.7235
313.802919 102.063 164.5701
316.076865 102.048 164.4022
318.367288 102.028 164.2295
320.674309 102.003 164.0591
322.998047 101.975 163.8951
325.338624 101.944 163.7396
327.696162 101.911 163.5935
330.070783 101.876 163.4581
332.462612 101.839 163.3342
334.871773 101.801 163.2221
337.298392 101.762 163.1219
339.742595 101.722 163.0328
342.204510 101.682 162.9537
344.684265 101.641 162.8832
