* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), L, volume: 0,250. Timing signal peak level -23,2 dBFS, measurement signal peak level -23,2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25.09.2022 19:20:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0286 ms (-9,8 mm, -0,39 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: L P1 MAX сен 25
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 129.710 -129.0599
20.507813 129.774 -130.0566
20.874023 129.827 -131.0146
21.240234 129.879 -131.9550
21.606445 129.930 -132.8935
21.972656 129.981 -133.8305
22.338867 130.028 -134.7517
22.705078 130.072 -135.6383
23.071289 130.113 -136.4805
23.437500 130.154 -137.2844
23.803711 130.195 -138.0688
24.169922 130.236 -138.8540
24.536133 130.276 -139.6494
24.902344 130.312 -140.4492
25.268555 130.344 -141.2374
25.634766 130.373 -141.9991
26.000977 130.400 -142.7296
26.367188 130.428 -143.4367
26.733399 130.456 -144.1343
27.099610 130.484 -144.8332
27.465821 130.511 -145.5348
27.832032 130.535 -146.2308
28.198243 130.557 -146.9091
28.564454 130.578 -147.5608
28.930665 130.600 -148.1841
29.296876 130.621 -148.7842
29.663087 130.642 -149.3691
30.029298 130.662 -149.9451
30.395509 130.680 -150.5150
30.761720 130.695 -151.0789
31.127931 130.708 -151.6357
31.494142 130.721 -152.1855
31.860353 130.733 -152.7294
32.226563 130.747 -153.2684
32.592774 130.760 -153.8025
32.958985 130.774 -154.3297
33.325196 130.787 -154.8472
33.691407 130.798 -155.3529
34.057618 130.808 -155.8465
34.423829 130.818 -156.3301
34.790040 130.826 -156.8073
35.156251 130.835 -157.2816
35.522462 130.842 -157.7558
35.888673 130.849 -158.2304
36.254884 130.855 -158.7034
36.621095 130.860 -159.1708
36.987306 130.864 -159.6275
37.353517 130.867 -160.0694
37.719728 130.870 -160.4950
38.085939 130.875 -160.9071
38.452150 130.881 -161.3117
38.818361 130.887 -161.7146
39.184572 130.893 -162.1184
39.550783 130.897 -162.5206
39.916994 130.899 -162.9156
40.283205 130.897 -163.2987
40.649416 130.895 -163.6705
41.015627 130.892 -164.0379
41.381838 130.891 -164.4105
41.748049 130.892 -164.7944
42.114260 130.893 -165.1882
42.480471 130.895 -165.5830
42.846682 130.898 -165.9672
43.212893 130.900 -166.3326
43.579103 130.903 -166.6777
43.945314 130.904 -167.0074
44.311525 130.905 -167.3287
44.677736 130.903 -167.6481
45.043947 130.899 -167.9702
45.410158 130.894 -168.2983
45.776369 130.889 -168.6345
46.142580 130.884 -168.9787
46.508791 130.880 -169.3262
46.875002 130.877 -169.6678
47.241213 130.873 -169.9933
47.607424 130.870 -170.2974
47.973635 130.868 -170.5836
48.339846 130.867 -170.8631
48.706057 130.865 -171.1484
49.072268 130.861 -171.4463
49.438479 130.855 -171.7539
49.804690 130.847 -172.0614
50.170901 130.839 -172.3591
50.537112 130.832 -172.6434
50.903323 130.827 -172.9180
51.269534 130.824 -173.1904
51.635745 130.822 -173.4657
52.001956 130.817 -173.7433
52.368167 130.810 -174.0182
52.734378 130.800 -174.2850
53.100589 130.790 -174.5425
53.466800 130.781 -174.7937
53.833011 130.773 -175.0435
54.199222 130.767 -175.2949
54.565432 130.762 -175.5472
54.931643 130.756 -175.7970
55.297854 130.749 -176.0411
55.664065 130.741 -176.2794
56.030276 130.733 -176.5156
56.396487 130.725 -176.7549
56.762698 130.716 -177.0015
57.128909 130.707 -177.2554
57.495120 130.699 -177.5122
57.861331 130.691 -177.7645
58.227542 130.684 -178.0052
58.593753 130.677 -178.2303
58.959964 130.671 -178.4406
59.326175 130.665 -178.6407
59.692386 130.659 -178.8375
60.058597 130.652 -179.0367
60.424808 130.643 -179.2419
60.791019 130.634 -179.4538
61.157230 130.624 -179.6713
61.523441 130.614 -179.8922
61.889652 130.605 179.8860
62.255863 130.596 179.6663
62.622074 130.588 179.4514
62.988285 130.580 179.2424
63.354496 130.573 179.0384
63.720707 130.566 178.8359
64.086918 130.559 178.6316
64.453129 130.551 178.4243
64.819340 130.541 178.2167
65.185551 130.530 178.0143
65.551762 130.518 177.8217
65.917972 130.507 177.6393
66.284183 130.497 177.4625
66.650394 130.488 177.2841
67.016605 130.480 177.0988
67.382816 130.471 176.9061
67.749027 130.461 176.7103
68.115238 130.451 176.5167
68.481449 130.440 176.3283
68.847660 130.430 176.1445
69.213871 130.421 175.9621
69.580082 130.412 175.7793
69.946293 130.402 175.5970
70.312504 130.392 175.4180
70.678715 130.381 175.2444
71.044926 130.370 175.0757
71.411137 130.360 174.9091
71.777348 130.350 174.7413
72.143559 130.340 174.5711
72.509770 130.330 174.3997
72.875981 130.320 174.2295
73.242192 130.310 174.0618
73.608403 130.299 173.8962
73.974614 130.289 173.7311
74.340825 130.278 173.5652
74.707036 130.266 173.3984
75.073247 130.254 173.2319
75.439458 130.243 173.0670
75.805669 130.231 172.9043
76.171880 130.219 172.7441
76.538091 130.208 172.5870
76.904301 130.197 172.4336
77.270512 130.185 172.2844
77.636723 130.173 172.1393
78.002934 130.162 171.9966
78.369145 130.151 171.8540
78.735356 130.140 171.7097
79.101567 130.129 171.5631
79.467778 130.118 171.4149
79.833989 130.107 171.2667
80.200200 130.096 171.1198
80.566411 130.085 170.9745
80.932622 130.075 170.8301
81.298833 130.064 170.6856
81.665044 130.054 170.5398
82.031255 130.043 170.3920
82.397466 130.031 170.2420
82.763677 130.020 170.0905
83.129888 130.007 169.9391
83.496099 129.994 169.7902
83.862310 129.981 169.6457
84.228521 129.967 169.5070
84.594732 129.954 169.3732
84.960943 129.940 169.2419
85.327154 129.927 169.1102
85.693365 129.914 168.9758
86.059576 129.901 168.8389
86.425787 129.887 168.7015
86.791998 129.873 168.5669
87.158209 129.859 168.4375
87.524420 129.845 168.3139
87.890631 129.832 168.1951
88.256841 129.819 168.0793
88.623052 129.806 167.9653
88.989263 129.793 167.8525
89.355474 129.779 167.7408
89.721685 129.765 167.6299
90.087896 129.752 167.5188
90.454107 129.739 167.4058
90.820318 129.727 167.2900
91.186529 129.715 167.1716
91.552740 129.702 167.0519
91.918951 129.689 166.9335
92.285162 129.676 166.8186
92.651373 129.663 166.7084
93.017584 129.649 166.6024
93.383795 129.636 166.4989
93.750006 129.623 166.3953
94.116217 129.611 166.2897
94.482428 129.598 166.1821
94.848639 129.585 166.0737
95.214850 129.572 165.9666
95.581061 129.558 165.8619
95.947272 129.545 165.7590
96.313483 129.532 165.6560
96.679694 129.520 165.5508
97.045905 129.507 165.4424
97.412116 129.495 165.3317
97.778327 129.482 165.2201
98.144538 129.469 165.1093
98.510749 129.456 165.0004
98.876960 129.443 164.8935
99.243170 129.431 164.7886
99.609381 129.418 164.6853
99.975592 129.406 164.5829
100.341803 129.393 164.4807
100.708014 129.381 164.3785
101.074225 129.367 164.2772
101.440436 129.354 164.1784
101.806647 129.341 164.0835
102.172858 129.328 163.9921
102.539069 129.316 163.9018
102.905280 129.305 163.8092
103.271491 129.294 163.7122
103.637702 129.283 163.6117
104.003913 129.272 163.5109
104.370124 129.260 163.4138
104.736335 129.248 163.3220
105.102546 129.236 163.2344
105.468757 129.224 163.1483
105.834968 129.212 163.0612
106.201179 129.201 162.9727
106.567390 129.189 162.8842
106.933601 129.177 162.7974
107.299812 129.166 162.7123
107.666023 129.154 162.6280
108.032234 129.142 162.5438
108.398445 129.130 162.4601
108.764656 129.117 162.3791
109.130867 129.104 162.3028
109.497078 129.091 162.2318
109.863289 129.078 162.1644
110.229500 129.065 162.0973
110.595710 129.053 162.0276
110.961921 129.039 161.9537
111.328132 129.026 161.8756
111.694343 129.011 161.7947
112.060554 128.996 161.7126
112.426765 128.981 161.6309
112.792976 128.965 161.5508
113.159187 128.951 161.4723
113.525398 128.937 161.3944
113.891609 128.924 161.3152
114.257820 128.912 161.2333
114.624031 128.899 161.1485
114.990242 128.887 161.0633
115.356453 128.873 160.9809
115.722664 128.860 160.9036
116.088875 128.846 160.8307
116.455086 128.834 160.7589
116.821297 128.823 160.6840
117.187508 128.812 160.6046
117.553719 128.800 160.5228
117.919930 128.787 160.4430
118.286141 128.773 160.3693
118.652352 128.759 160.3028
119.018563 128.745 160.2416
119.384774 128.732 160.1823
119.750985 128.718 160.1219
120.117196 128.704 160.0594
120.483407 128.691 159.9949
120.849618 128.677 159.9285
121.215829 128.664 159.8605
121.582040 128.651 159.7918
121.948250 128.637 159.7243
122.314461 128.623 159.6602
122.680672 128.609 159.6000
123.046883 128.595 159.5413
123.413094 128.581 159.4800
123.779305 128.568 159.4127
124.145516 128.553 159.3394
124.511727 128.539 159.2636
124.877938 128.524 159.1900
125.244149 128.510 159.1212
125.610360 128.497 159.0567
125.976571 128.484 158.9941
126.342782 128.472 158.9322
126.708993 128.459 158.8722
127.075204 128.446 158.8167
127.441415 128.432 158.7666
127.807626 128.417 158.7200
128.173837 128.402 158.6727
128.540048 128.387 158.6215
128.906259 128.372 158.5662
129.272470 128.356 158.5089
129.638681 128.341 158.4523
130.004892 128.326 158.3975
130.371103 128.312 158.3433
130.737314 128.299 158.2886
131.103525 128.287 158.2335
131.469736 128.275 158.1796
131.835947 128.262 158.1279
132.202158 128.249 158.0780
132.568369 128.236 158.0282
132.934579 128.221 157.9771
133.300790 128.205 157.9257
133.667001 128.187 157.8758
134.033212 128.170 157.8285
134.399423 128.153 157.7823
134.765634 128.138 157.7337
135.131845 128.123 157.6806
135.498056 128.109 157.6241
135.864267 128.094 157.5692
136.230478 128.079 157.5210
136.596689 128.064 157.4819
136.962900 128.049 157.4500
137.329111 128.035 157.4211
137.695322 128.020 157.3914
138.061533 128.005 157.3593
138.427744 127.990 157.3254
138.793955 127.974 157.2901
139.160166 127.959 157.2539
139.526377 127.943 157.2178
139.892588 127.928 157.1842
140.258799 127.912 157.1566
140.625010 127.895 157.1370
140.991221 127.879 157.1234
141.357432 127.864 157.1105
141.723643 127.849 157.0923
142.089854 127.834 157.0669
142.456065 127.818 157.0371
142.822276 127.802 157.0087
143.188487 127.786 156.9861
143.554698 127.770 156.9696
143.920909 127.756 156.9564
144.287119 127.741 156.9439
144.653330 127.726 156.9328
145.019541 127.711 156.9260
145.385752 127.694 156.9257
145.751963 127.678 156.9306
146.118174 127.662 156.9363
146.484385 127.648 156.9386
146.850596 127.633 156.9369
147.216807 127.618 156.9350
147.583018 127.603 156.9378
147.949229 127.588 156.9473
148.315440 127.574 156.9612
148.681651 127.562 156.9751
149.047862 127.550 156.9864
149.414073 127.537 156.9970
149.780284 127.525 157.0116
150.146495 127.512 157.0339
150.512706 127.499 157.0637
150.878917 127.488 157.0970
151.245128 127.477 157.1295
151.611339 127.467 157.1595
151.977550 127.456 157.1890
152.343761 127.445 157.2211
152.709972 127.435 157.2570
153.076183 127.426 157.2942
153.442394 127.419 157.3291
153.808605 127.412 157.3598
154.174816 127.406 157.3881
154.541027 127.399 157.4182
154.907238 127.392 157.4534
155.273448 127.387 157.4929
155.639659 127.382 157.5315
156.005870 127.378 157.5630
156.372081 127.376 157.5840
156.738292 127.373 157.5957
157.104503 127.370 157.6033
157.470714 127.368 157.6119
157.836925 127.366 157.6238
158.203136 127.365 157.6371
158.569347 127.365 157.6477
158.935558 127.366 157.6525
159.301769 127.365 157.6516
159.667980 127.364 157.6473
160.034191 127.362 157.6425
160.400402 127.360 157.6373
160.766613 127.359 157.6287
161.132824 127.360 157.6124
161.499035 127.360 157.5862
161.865246 127.360 157.5515
162.231457 127.360 157.5130
162.597668 127.358 157.4751
162.963879 127.357 157.4390
163.330090 127.355 157.4017
163.696301 127.354 157.3579
164.062512 127.353 157.3041
164.428723 127.351 157.2413
164.794934 127.348 157.1746
165.161145 127.344 157.1101
165.527356 127.340 157.0510
165.893567 127.337 156.9962
166.259778 127.334 156.9415
166.625988 127.331 156.8832
166.992199 127.327 156.8208
167.358410 127.323 156.7573
