* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -14,8 dBFS, measurement signal peak level -14,7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 04.07.2023 20:46:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0165 ms (-5,7 mm, -0,22 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: TA4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 106.863 -84.0428
20.333664 106.888 -84.2517
20.481010 106.926 -84.5594
20.629424 106.972 -84.9363
20.778913 107.026 -85.3575
20.929486 107.085 -85.8049
21.081150 107.148 -86.2677
21.233912 107.215 -86.7399
21.387782 107.286 -87.2191
21.542767 107.358 -87.7049
21.698874 107.433 -88.1970
21.856113 107.508 -88.6949
22.014492 107.582 -89.1967
22.174018 107.656 -89.6994
22.334700 107.727 -90.1991
22.496546 107.796 -90.6919
22.659566 107.864 -91.1748
22.823766 107.930 -91.6470
22.989157 107.996 -92.1108
23.155745 108.064 -92.5721
23.323542 108.133 -93.0402
23.492554 108.206 -93.5270
23.662790 108.280 -94.0449
23.834261 108.355 -94.6050
24.006973 108.430 -95.2144
24.180938 108.502 -95.8744
24.356163 108.567 -96.5791
24.532658 108.624 -97.3151
24.710431 108.671 -98.0627
24.889493 108.706 -98.7978
25.069853 108.731 -99.4951
25.251519 108.748 -100.1316
25.434502 108.760 -100.6904
25.618811 108.772 -101.1646
25.804456 108.787 -101.5591
25.991445 108.810 -101.8910
26.179790 108.845 -102.1881
26.369500 108.891 -102.4840
26.560584 108.949 -102.8125
26.753053 109.014 -103.2012
26.946917 109.084 -103.6669
27.142185 109.153 -104.2125
27.338869 109.217 -104.8272
27.536977 109.273 -105.4892
27.736522 109.321 -106.1693
27.937512 109.360 -106.8364
28.139959 109.394 -107.4624
28.343872 109.424 -108.0270
28.549264 109.456 -108.5200
28.756143 109.492 -108.9426
28.964522 109.534 -109.3057
29.174411 109.584 -109.6271
29.385821 109.640 -109.9273
29.598763 109.701 -110.2250
29.813248 109.764 -110.5346
30.029287 109.826 -110.8651
30.246891 109.885 -111.2200
30.466073 109.940 -111.5993
30.686842 109.991 -112.0008
30.909212 110.037 -112.4222
31.133193 110.080 -112.8616
31.358797 110.121 -113.3171
31.586035 110.159 -113.7866
31.814921 110.197 -114.2671
32.045465 110.235 -114.7540
32.277680 110.272 -115.2416
32.511577 110.310 -115.7237
32.747169 110.349 -116.1950
32.984469 110.389 -116.6522
33.223488 110.429 -117.0945
33.464239 110.470 -117.5234
33.706735 110.511 -117.9423
33.950987 110.550 -118.3551
34.197010 110.588 -118.7655
34.444816 110.623 -119.1764
34.694417 110.655 -119.5902
34.945827 110.685 -120.0086
35.199059 110.713 -120.4335
35.454126 110.740 -120.8666
35.711041 110.767 -121.3091
35.969818 110.794 -121.7610
36.230470 110.822 -122.2208
36.493011 110.851 -122.6851
36.757455 110.881 -123.1494
37.023814 110.912 -123.6093
37.292104 110.943 -124.0621
37.562338 110.976 -124.5079
37.834530 111.009 -124.9499
38.108695 111.043 -125.3936
38.384846 111.077 -125.8452
38.662999 111.108 -126.3096
38.943167 111.138 -126.7886
39.225365 111.165 -127.2805
39.509608 111.189 -127.7800
39.795911 111.211 -128.2798
40.084289 111.231 -128.7722
40.374756 111.252 -129.2512
40.667328 111.275 -129.7134
40.962020 111.299 -130.1593
41.258848 111.325 -130.5917
41.557827 111.353 -131.0153
41.858972 111.380 -131.4346
42.162299 111.405 -131.8526
42.467824 111.428 -132.2703
42.775564 111.447 -132.6870
43.085533 111.464 -133.1009
43.397749 111.479 -133.5110
43.712227 111.495 -133.9169
44.028983 111.511 -134.3192
44.348036 111.530 -134.7186
44.669400 111.550 -135.1154
44.993093 111.572 -135.5100
45.319131 111.594 -135.9045
45.647532 111.617 -136.3051
45.978313 111.638 -136.7239
46.311491 111.658 -137.1768
46.647083 111.675 -137.6798
46.985107 111.689 -138.2418
47.325581 111.697 -138.8585
47.668521 111.700 -139.5088
48.013947 111.699 -140.1579
48.361876 111.696 -140.7651
48.712326 111.695 -141.2951
49.065315 111.700 -141.7284
49.420863 111.714 -142.0663
49.778987 111.736 -142.3288
50.139706 111.766 -142.5469
50.503039 111.799 -142.7531
50.869005 111.831 -142.9732
51.237623 111.861 -143.2236
51.608912 111.886 -143.5114
51.982891 111.907 -143.8365
52.359580 111.925 -144.1937
52.739000 111.941 -144.5748
53.121168 111.956 -144.9698
53.506106 111.969 -145.3701
53.893833 111.982 -145.7703
54.284370 111.993 -146.1695
54.677737 112.004 -146.5708
55.073955 112.012 -146.9774
55.473043 112.020 -147.3897
55.875024 112.026 -147.8031
56.279917 112.032 -148.2088
56.687745 112.039 -148.5980
57.098527 112.048 -148.9661
57.512287 112.058 -149.3157
57.929045 112.070 -149.6549
58.348822 112.081 -149.9946
58.771642 112.090 -150.3431
59.197525 112.096 -150.7039
59.626495 112.099 -151.0756
60.058573 112.099 -151.4536
60.493782 112.098 -151.8329
60.932145 112.098 -152.2098
61.373685 112.099 -152.5830
61.818424 112.101 -152.9526
62.266386 112.104 -153.3200
62.717593 112.108 -153.6853
63.172071 112.110 -154.0479
63.629842 112.111 -154.4061
64.090930 112.110 -154.7595
64.555359 112.108 -155.1094
65.023154 112.107 -155.4583
65.494339 112.105 -155.8082
65.968938 112.105 -156.1587
66.446976 112.105 -156.5079
66.928478 112.107 -156.8543
67.413469 112.110 -157.1985
67.901975 112.114 -157.5432
68.394021 112.117 -157.8911
68.889632 112.120 -158.2426
69.388835 112.122 -158.5957
69.891655 112.122 -158.9458
70.398118 112.123 -159.2867
70.908252 112.122 -159.6118
71.422083 112.121 -159.9158
71.939636 112.120 -160.1992
72.460941 112.118 -160.4706
72.986023 112.117 -160.7453
73.514909 112.117 -161.0394
74.047629 112.115 -161.3622
74.584208 112.113 -161.7137
75.124676 112.110 -162.0862
75.669061 112.105 -162.4701
76.217390 112.100 -162.8588
76.769692 112.095 -163.2482
77.325997 112.091 -163.6333
77.886333 112.087 -164.0054
78.450730 112.084 -164.3565
79.019216 112.082 -164.6858
79.591822 112.078 -165.0012
80.168577 112.073 -165.3126
80.749512 112.063 -165.6233
81.334656 112.051 -165.9284
81.924040 112.038 -166.2206
82.517696 112.026 -166.4974
83.115653 112.016 -166.7633
83.717943 112.005 -167.0267
84.324598 111.991 -167.2938
84.935649 111.974 -167.5651
85.551128 111.954 -167.8386
86.171066 111.936 -168.1118
86.795497 111.922 -168.3827
87.424453 111.913 -168.6495
88.057967 111.907 -168.9124
88.696071 111.902 -169.1726
89.338800 111.897 -169.4317
89.986185 111.890 -169.6939
90.638262 111.881 -169.9681
91.295065 111.868 -170.2614
91.956626 111.852 -170.5713
92.622982 111.833 -170.8888
93.294166 111.815 -171.2085
93.970214 111.796 -171.5291
94.651161 111.778 -171.8479
95.337042 111.760 -172.1608
96.027894 111.742 -172.4630
96.723752 111.725 -172.7451
97.424652 111.710 -172.9948
98.130631 111.699 -173.2094
98.841726 111.689 -173.4038
99.557974 111.678 -173.6017
100.279412 111.663 -173.8203
101.006078 111.644 -174.0618
101.738010 111.617 -174.3167
102.475245 111.585 -174.5754
103.217823 111.549 -174.8384
103.965782 111.512 -175.1137
104.719161 111.476 -175.4034
105.477999 111.443 -175.6967
106.242336 111.414 -175.9774
107.012212 111.388 -176.2338
107.787666 111.364 -176.4620
108.568740 111.342 -176.6617
109.355474 111.322 -176.8296
110.147909 111.300 -176.9581
110.946086 111.275 -177.0451
111.750047 111.245 -177.1074
112.559834 111.210 -177.1810
113.375489 111.173 -177.3031
114.197055 111.133 -177.4863
115.024574 111.092 -177.7082
115.858089 111.051 -177.9252
116.697645 111.016 -178.0949
117.543284 110.993 -178.1919
118.395051 110.984 -178.2145
119.252990 110.987 -178.1806
120.117147 110.999 -178.1147
120.987565 111.012 -178.0354
121.864291 111.024 -177.9599
122.747370 111.030 -177.9147
123.636848 111.030 -177.9258
124.532771 111.025 -177.9944
125.435187 111.017 -178.0904
126.344142 111.013 -178.1768
127.259684 111.013 -178.2392
128.181860 111.017 -178.2931
129.110718 111.023 -178.3667
130.046308 111.029 -178.4828
130.988677 111.034 -178.6483
131.937875 111.040 -178.8492
132.893951 111.047 -179.0560
133.856956 111.058 -179.2445
134.826938 111.069 -179.4139
135.803950 111.081 -179.5825
136.788041 111.093 -179.7695
137.779264 111.103 -179.9803
138.777669 111.111 179.7903
139.783309 111.114 179.5445
140.796237 111.112 179.2774
141.816504 111.103 178.9865
142.844165 111.091 178.6765
143.879273 111.077 178.3564
144.921881 111.062 178.0353
145.972045 111.046 177.7189
147.029819 111.028 177.4109
148.095257 111.010 177.1142
149.168417 110.990 176.8303
150.249353 110.968 176.5584
151.338121 110.947 176.2955
152.434780 110.924 176.0379
153.539385 110.901 175.7829
154.651995 110.877 175.5302
155.772667 110.851 175.2807
156.901460 110.825 175.0355
158.038432 110.798 174.7965
159.183644 110.770 174.5691
160.337154 110.741 174.3607
161.499023 110.712 174.1738
162.669312 110.684 174.0038
163.848081 110.656 173.8432
165.035392 110.628 173.6866
166.231306 110.601 173.5302
167.435887 110.574 173.3707
168.649196 110.546 173.2066
169.871298 110.516 173.0386
171.102255 110.486 172.8705
172.342133 110.454 172.7076
173.590995 110.422 172.5537
174.848907 110.390 172.4082
176.115934 110.358 172.2688
177.392143 110.327 172.1342
178.677599 110.296 172.0050
179.972371 110.264 171.8837
181.276525 110.233 171.7726
182.590129 110.200 171.6724
183.913252 110.167 171.5814
185.245964 110.135 171.4975
186.588332 110.102 171.4196
187.940428 110.069 171.3487
189.302322 110.037 171.2872
190.674085 110.006 171.2376
192.055788 109.976 171.2010
193.447503 109.948 171.1758
194.849303 109.921 171.1600
196.261262 109.896 171.1517
197.683452 109.873 171.1492
199.115948 109.852 171.1486
200.558824 109.831 171.1439
202.012156 109.811 171.1291
203.476019 109.792 171.1010
204.950490 109.774 171.0599
206.435646 109.758 171.0089
207.931564 109.743 170.9493
209.438322 109.729 170.8787
210.955998 109.715 170.7929
212.484672 109.701 170.6900
214.024424 109.686 170.5721
215.575333 109.669 170.4446
217.137481 109.650 170.3137
218.710948 109.629 170.1829
220.295818 109.606 170.0543
221.892172 109.581 169.9299
223.500094 109.555 169.8122
225.119668 109.528 169.7024
226.750978 109.500 169.6004
228.394109 109.472 169.5047
230.049147 109.443 169.4136
231.716178 109.413 169.3251
233.395289 109.383 169.2381
235.086567 109.352 169.1538
236.790102 109.321 169.0750
238.505980 109.291 169.0041
240.234293 109.262 168.9415
241.975130 109.235 168.8867
243.728581 109.209 168.8380
245.494739 109.183 168.7937
247.273695 109.157 168.7523
249.065542 109.131 168.7129
250.870374 109.104 168.6741
252.688284 109.076 168.6348
254.519367 109.049 168.5939
256.363720 109.021 168.5517
258.221437 108.993 168.5077
260.092616 108.965 168.4615
261.977354 108.936 168.4143
263.875750 108.907 168.3696
265.787903 108.877 168.3297
267.713911 108.847 168.2947
269.653877 108.817 168.2628
271.607900 108.787 168.2327
273.576083 108.756 168.2042
275.558528 108.725 168.1789
277.555338 108.694 168.1582
279.566619 108.663 168.1430
281.592474 108.632 168.1327
283.633009 108.600 168.1265
285.688331 108.568 168.1254
287.758546 108.536 168.1308
289.843763 108.504 168.1438
291.944090 108.472 168.1635
294.059638 108.440 168.1870
296.190515 108.410 168.2105
298.336833 108.381 168.2321
300.498705 108.352 168.2516
302.676243 108.323 168.2695
304.869559 108.294 168.2861
307.078770 108.264 168.3015
309.303989 108.234 168.3163
311.545334 108.204 168.3329
313.802919 108.173 168.3541
316.076865 108.143 168.3821
318.367288 108.114 168.4164
320.674309 108.084 168.4552
322.998047 108.055 168.4971
325.338624 108.025 168.5414
327.696162 107.995 168.5878
330.070783 107.965 168.6360
332.462612 107.935 168.6857
334.871773 107.906 168.7365
337.298392 107.876 168.7888
339.742595 107.847 168.8431
342.204510 107.818 168.8992
344.684265 107.789 168.9565
347.181989 107.759 169.0152
