* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22.10.2024 19:14:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN V10 Pro
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 80.999 -116.6368
20.507813 81.105 -117.6793
20.874023 81.199 -118.7416
21.240234 81.284 -119.8224
21.606445 81.361 -120.8927
21.972656 81.433 -121.9168
22.338867 81.505 -122.8775
22.705078 81.582 -123.7887
23.071289 81.662 -124.6862
23.437500 81.742 -125.6016
23.803711 81.814 -126.5367
24.169922 81.876 -127.4578
24.536133 81.928 -128.3153
24.902344 81.976 -129.0794
25.268555 82.031 -129.7671
25.634766 82.097 -130.4404
26.000977 82.172 -131.1712
26.367188 82.244 -131.9961
26.733399 82.305 -132.8942
27.099610 82.345 -133.8016
27.465821 82.373 -134.6521
27.832032 82.399 -135.4159
28.198243 82.432 -136.1107
28.564454 82.472 -136.7809
28.930665 82.517 -137.4607
29.296876 82.559 -138.1526
29.663087 82.594 -138.8353
30.029298 82.623 -139.4888
30.395509 82.650 -140.1153
30.761720 82.676 -140.7377
31.127931 82.702 -141.3790
31.494142 82.727 -142.0411
31.860353 82.749 -142.7025
32.226563 82.770 -143.3353
32.592774 82.793 -143.9268
32.958985 82.820 -144.4897
33.325196 82.849 -145.0495
33.691407 82.880 -145.6245
34.057618 82.901 -146.2103
34.423829 82.912 -146.7849
34.790040 82.918 -147.3266
35.156251 82.926 -147.8326
35.522462 82.940 -148.3227
35.888673 82.962 -148.8266
36.254884 82.989 -149.3621
36.621095 83.015 -149.9223
36.987306 83.038 -150.4799
37.353517 83.055 -151.0050
37.719728 83.070 -151.4846
38.085939 83.084 -151.9297
38.452150 83.098 -152.3665
38.818361 83.111 -152.8171
39.184572 83.120 -153.2852
39.550783 83.125 -153.7554
39.916994 83.127 -154.2066
40.283205 83.130 -154.6301
40.649416 83.138 -155.0368
41.015627 83.151 -155.4501
41.381838 83.166 -155.8892
41.748049 83.180 -156.3541
42.114260 83.189 -156.8252
42.480471 83.196 -157.2762
42.846682 83.199 -157.6907
43.212893 83.202 -158.0716
43.579103 83.209 -158.4377
43.945314 83.216 -158.8104
44.311525 83.224 -159.2008
44.677736 83.229 -159.6045
45.043947 83.232 -160.0073
45.410158 83.233 -160.3948
45.776369 83.235 -160.7609
46.142580 83.240 -161.1109
46.508791 83.247 -161.4566
46.875002 83.253 -161.8102
47.241213 83.257 -162.1768
47.607424 83.256 -162.5523
47.973635 83.250 -162.9262
48.339846 83.240 -163.2880
48.706057 83.230 -163.6332
49.072268 83.223 -163.9657
49.438479 83.221 -164.2939
49.804690 83.226 -164.6241
50.170901 83.235 -164.9556
50.537112 83.245 -165.2814
50.903323 83.257 -165.5948
51.269534 83.266 -165.8944
51.635745 83.273 -166.1865
52.001956 83.277 -166.4794
52.368167 83.276 -166.7780
52.734378 83.271 -167.0806
53.100589 83.263 -167.3828
53.466800 83.257 -167.6817
53.833011 83.251 -167.9796
54.199222 83.248 -168.2807
54.565432 83.247 -168.5865
54.931643 83.246 -168.8927
55.297854 83.244 -169.1909
55.664065 83.239 -169.4743
56.030276 83.233 -169.7424
56.396487 83.227 -170.0008
56.762698 83.221 -170.2581
57.128909 83.217 -170.5213
57.495120 83.213 -170.7929
57.861331 83.209 -171.0705
58.227542 83.205 -171.3485
58.593753 83.199 -171.6198
58.959964 83.193 -171.8792
59.326175 83.186 -172.1258
59.692386 83.178 -172.3644
60.058597 83.166 -172.6026
60.424808 83.159 -172.8467
60.791019 83.151 -173.0969
61.157230 83.143 -173.3474
61.523441 83.135 -173.5913
61.889652 83.129 -173.8265
62.255863 83.125 -174.0575
62.622074 83.122 -174.2914
62.988285 83.118 -174.5310
63.354496 83.111 -174.7713
63.720707 83.101 -175.0026
64.086918 83.089 -175.2182
64.453129 83.078 -175.4202
64.819340 83.069 -175.6178
65.185551 83.061 -175.8213
65.551762 83.055 -176.0352
65.917972 83.048 -176.2564
66.284183 83.041 -176.4781
66.650394 83.033 -176.6950
67.016605 83.024 -176.9053
67.382816 83.014 -177.1097
67.749027 83.003 -177.3088
68.115238 82.992 -177.5029
68.481449 82.980 -177.6931
68.847660 82.969 -177.8828
69.213871 82.959 -178.0758
69.580082 82.949 -178.2735
69.946293 82.940 -178.4734
70.312504 82.931 -178.6713
70.678715 82.922 -178.8645
71.044926 82.914 -179.0541
71.411137 82.906 -179.2427
71.777348 82.897 -179.4307
72.143559 82.887 -179.6142
72.509770 82.876 -179.7868
72.875981 82.864 -179.9463
73.242192 82.855 179.9026
73.608403 82.848 179.7490
73.974614 82.842 179.5831
74.340825 82.837 179.4026
74.707036 82.830 179.2141
75.073247 82.821 179.0284
75.439458 82.812 178.8533
75.805669 82.803 178.6885
76.171880 82.795 178.5275
76.538091 82.787 178.3631
76.904301 82.778 178.1930
77.270512 82.767 178.0203
77.636723 82.756 177.8497
78.002934 82.745 177.6832
78.369145 82.735 177.5179
78.735356 82.726 177.3493
79.101567 82.717 177.1758
79.467778 82.706 177.0016
79.833989 82.694 176.8344
80.200200 82.681 176.6793
80.566411 82.668 176.5343
80.932622 82.658 176.3897
81.298833 82.649 176.2337
81.665044 82.640 176.0602
82.031255 82.631 175.8743
82.397466 82.619 175.6904
82.763677 82.606 175.5249
83.129888 82.593 175.3867
83.496099 82.581 175.2714
83.862310 82.572 175.1633
84.228521 82.565 175.0443
84.594732 82.556 174.9039
84.960943 82.545 174.7437
85.327154 82.532 174.5748
85.693365 82.517 174.4107
86.059576 82.503 174.2588
86.425787 82.492 174.1190
86.791998 82.483 173.9868
87.158209 82.475 173.8590
87.524420 82.467 173.7359
87.890631 82.458 173.6198
88.256841 82.447 173.5111
88.623052 82.434 173.4067
88.989263 82.422 173.3010
89.355474 82.410 173.1883
89.721685 82.401 173.0643
90.087896 82.393 172.9258
90.454107 82.386 172.7711
90.820318 82.377 172.6029
91.186529 82.365 172.4308
91.552740 82.347 172.2700
91.918951 82.327 172.1336
92.285162 82.306 172.0235
92.651373 82.289 171.9274
93.017584 82.277 171.8261
93.383795 82.268 171.7082
93.750006 82.262 171.5781
94.116217 82.255 171.4518
94.482428 82.247 171.3421
94.848639 82.238 171.2482
95.214850 82.228 171.1575
95.581061 82.215 171.0592
95.947272 82.198 170.9543
96.313483 82.179 170.8512
96.679694 82.164 170.7507
97.045905 82.156 170.6367
97.412116 82.153 170.4884
97.778327 82.149 170.3072
98.144538 82.136 170.1333
98.510749 82.113 170.0320
98.876960 82.085 170.0486
99.243170 82.063 170.1649
99.609381 82.057 170.2927
99.975592 82.064 170.3203
100.341803 82.073 170.1835
100.708014 82.071 169.9066
101.074225 82.052 169.5840
101.440436 82.021 169.3195
101.806647 81.991 169.1642
102.172858 81.973 169.0940
102.539069 81.968 169.0404
102.905280 81.969 168.9463
103.271491 81.963 168.8040
103.637702 81.947 168.6496
104.003913 81.922 168.5269
104.370124 81.897 168.4535
104.736335 81.878 168.4113
105.102546 81.868 168.3656
105.468757 81.865 168.2921
105.834968 81.864 168.1909
106.201179 81.860 168.0806
106.567390 81.853 167.9808
106.933601 81.842 167.8989
107.299812 81.832 167.8280
107.666023 81.821 167.7547
108.032234 81.810 167.6698
108.398445 81.798 167.5737
108.764656 81.785 167.4749
109.130867 81.770 167.3831
109.497078 81.756 167.3015
109.863289 81.741 167.2237
110.229500 81.727 167.1374
110.595710 81.711 167.0345
110.961921 81.693 166.9185
111.328132 81.674 166.8042
111.694343 81.658 166.7075
112.060554 81.647 166.6334
112.426765 81.643 166.5722
112.792976 81.646 166.5078
113.159187 81.650 166.4314
113.525398 81.649 166.3487
113.891609 81.641 166.2734
114.257820 81.625 166.2121
114.624031 81.606 166.1553
114.990242 81.584 166.0829
115.356453 81.562 165.9807
115.722664 81.540 165.8555
116.088875 81.518 165.7335
116.455086 81.500 165.6436
116.821297 81.489 165.5988
117.187508 81.487 165.5884
117.553719 81.490 165.5880
117.919930 81.493 165.5756
118.286141 81.491 165.5416
118.652352 81.480 165.4869
119.018563 81.463 165.4144
119.384774 81.440 165.3235
119.750985 81.416 165.2134
120.117196 81.394 165.0891
120.483407 81.375 164.9635
120.849618 81.362 164.8524
121.215829 81.355 164.7654
121.582040 81.354 164.7011
121.948250 81.355 164.6509
122.314461 81.353 164.6070
122.680672 81.345 164.5684
123.046883 81.329 164.5397
123.413094 81.308 164.5240
123.779305 81.286 164.5150
124.145516 81.268 164.4962
124.511727 81.255 164.4467
124.877938 81.248 164.3545
125.244149 81.242 164.2258
125.610360 81.234 164.0867
125.976571 81.223 163.9726
126.342782 81.208 163.9107
126.708993 81.193 163.9049
127.075204 81.180 163.9321
127.441415 81.170 163.9542
127.807626 81.160 163.9385
128.173837 81.149 163.8732
128.540048 81.134 163.7684
128.906259 81.120 163.6443
129.272470 81.107 163.5162
129.638681 81.100 163.3875
130.004892 81.097 163.2567
130.371103 81.095 163.1280
130.737314 81.091 163.0157
131.103525 81.082 162.9385
131.469736 81.069 162.9062
131.835947 81.052 162.9127
132.202158 81.033 162.9386
132.568369 81.014 162.9632
132.934579 80.995 162.9739
133.300790 80.976 162.9682
133.667001 80.960 162.9466
134.033212 80.947 162.9072
134.399423 80.937 162.8464
134.765634 80.928 162.7664
135.131845 80.917 162.6801
135.498056 80.903 162.6080
135.864267 80.888 162.5660
136.230478 80.874 162.5532
136.596689 80.865 162.5502
136.962900 80.860 162.5311
137.329111 80.856 162.4813
137.695322 80.849 162.4089
138.061533 80.838 162.3399
138.427744 80.823 162.2988
138.793955 80.807 162.2910
139.160166 80.794 162.2968
139.526377 80.784 162.2849
139.892588 80.775 162.2343
140.258799 80.764 162.1485
140.625010 80.750 162.0519
140.991221 80.734 161.9713
141.357432 80.722 161.9164
141.723643 80.714 161.8770
142.089854 80.709 161.8346
142.456065 80.702 161.7821
142.822276 80.690 161.7307
143.188487 80.671 161.7001
143.554698 80.651 161.6998
143.920909 80.633 161.7162
144.287119 80.621 161.7180
144.653330 80.614 161.6768
145.019541 80.609 161.5874
145.385752 80.601 161.4726
145.751963 80.588 161.3706
146.118174 80.573 161.3132
146.484385 80.558 161.3097
146.850596 80.547 161.3432
147.216807 80.539 161.3819
147.583018 80.532 161.3952
147.949229 80.523 161.3682
148.315440 80.510 161.3066
148.681651 80.491 161.2322
149.047862 80.468 161.1703
149.414073 80.447 161.1355
149.780284 80.430 161.1241
150.146495 80.421 161.1170
150.512706 80.416 161.0936
150.878917 80.412 161.0467
151.245128 80.405 160.9872
151.611339 80.393 160.9359
151.977550 80.378 160.9082
152.343761 80.362 160.9036
152.709972 80.348 160.9074
153.076183 80.335 160.9030
153.442394 80.322 160.8829
153.808605 80.309 160.8508
154.174816 80.296 160.8128
154.541027 80.285 160.7701
154.907238 80.275 160.7188
155.273448 80.265 160.6584
155.639659 80.253 160.5983
156.005870 80.238 160.5559
156.372081 80.221 160.5448
156.738292 80.206 160.5638
157.104503 80.194 160.5960
157.470714 80.183 160.6199
157.836925 80.172 160.6238
158.203136 80.160 160.6111
158.569347 80.145 160.5930
158.935558 80.130 160.5765
159.301769 80.117 160.5582
159.667980 80.105 160.5284
160.034191 80.096 160.4828
160.400402 80.085 160.4288
160.766613 80.074 160.3822
161.132824 80.062 160.3571
161.499035 80.050 160.3557
161.865246 80.040 160.3691
162.231457 80.031 160.3841
162.597668 80.020 160.3929
162.963879 80.005 160.3962
163.330090 79.988 160.3983
163.696301 79.971 160.4005
164.062512 79.955 160.3976
164.428723 79.942 160.3817
164.794934 79.932 160.3500
165.161145 79.922 160.3092
165.527356 79.911 160.2741
165.893567 79.898 160.2597
166.259778 79.886 160.2726
166.625988 79.873 160.3071
166.992199 79.860 160.3492
167.358410 79.847 160.3848
167.724621 79.833 160.4074
168.090832 79.817 160.4207
168.457043 79.801 160.4326
168.823254 79.788 160.4480
169.189465 79.778 160.4636
