* Measurement data measured by REW V5.20.9
* Source: Микрофон (HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,900. Timing signal peak level -0,7 dBFS, measurement signal peak level 0,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.01.2023 19:42:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0174 ms (-6,0 mm, -0,24 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: TRN XuanWu
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 82.823 -170.6777
20.287556 82.823 -170.6710
20.434568 82.823 -170.7543
20.582645 82.823 -170.9015
20.731796 82.823 -171.0898
20.882027 82.823 -171.3028
21.033346 82.822 -171.5316
21.185763 82.822 -171.7743
21.339284 82.822 -172.0193
21.493917 82.822 -172.2633
21.649671 82.823 -172.5042
21.806553 82.823 -172.7401
21.964572 82.823 -172.9693
22.123737 82.823 -173.1980
22.284054 82.823 -173.4200
22.445534 82.822 -173.6325
22.608183 82.821 -173.8357
22.772012 82.819 -174.0301
22.937027 82.817 -174.2171
23.103238 82.815 -174.4041
23.270654 82.812 -174.5917
23.439282 82.810 -174.7795
23.609133 82.806 -174.9705
23.780215 82.802 -175.1675
23.952536 82.798 -175.3727
24.126106 82.792 -175.5951
24.300934 82.786 -175.8301
24.477028 82.778 -176.0735
24.654399 82.770 -176.3228
24.833055 82.760 -176.5745
25.013005 82.750 -176.8248
25.194260 82.739 -177.0773
25.376828 82.729 -177.3196
25.560719 82.720 -177.5489
25.745942 82.714 -177.7643
25.932508 82.710 -177.9672
26.120426 82.710 -178.1663
26.309705 82.714 -178.3645
26.500356 82.722 -178.5650
26.692388 82.734 -178.7742
26.885812 82.747 -178.9972
27.080638 82.761 -179.2405
27.276876 82.774 -179.5060
27.474535 82.785 -179.7862
27.673627 82.792 179.9244
27.874161 82.795 179.6337
28.076149 82.793 179.3474
28.279600 82.786 179.0724
28.484526 82.775 178.8204
28.690937 82.761 178.5959
28.898843 82.745 178.4004
29.108256 82.729 178.2277
29.319186 82.714 178.0730
29.531645 82.700 177.9332
29.745644 82.689 177.8003
29.961193 82.678 177.6666
30.178304 82.670 177.5194
30.396989 82.662 177.3591
30.617258 82.654 177.1851
30.839123 82.645 176.9970
31.062596 82.636 176.7942
31.287688 82.626 176.5751
31.514412 82.616 176.3499
31.742778 82.605 176.1216
31.972800 82.593 175.8934
32.204488 82.582 175.6615
32.437855 82.572 175.4329
32.672913 82.562 175.2096
32.909674 82.553 174.9917
33.148151 82.544 174.7730
33.388356 82.537 174.5551
33.630302 82.530 174.3406
33.874001 82.522 174.1288
34.119466 82.515 173.9162
34.366710 82.507 173.7023
34.615745 82.499 173.4904
34.866585 82.489 173.2809
35.119243 82.480 173.0706
35.373731 82.469 172.8589
35.630064 82.459 172.6500
35.888254 82.448 172.4438
36.148315 82.438 172.2359
36.410261 82.428 172.0275
36.674104 82.417 171.8216
36.939860 82.407 171.6188
37.207542 82.397 171.4138
37.477163 82.386 171.2103
37.748738 82.376 171.0091
38.022281 82.365 170.8089
38.297806 82.353 170.6032
38.575327 82.341 170.3978
38.854860 82.328 170.1928
39.136419 82.315 169.9864
39.420017 82.301 169.7798
39.705671 82.287 169.5779
39.993395 82.274 169.3816
40.283203 82.261 169.1841
40.575112 82.248 168.9915
40.869136 82.236 168.8026
41.165290 82.224 168.6127
41.463591 82.212 168.4217
41.764053 82.198 168.2316
42.066693 82.184 168.0405
42.371525 82.168 167.8437
42.678567 82.152 167.6461
42.987834 82.135 167.4474
43.299341 82.117 167.2436
43.613106 82.100 167.0406
43.929145 82.082 166.8414
44.247473 82.066 166.6437
44.568109 82.050 166.4520
44.891068 82.036 166.2672
45.216367 82.022 166.0829
45.544023 82.009 165.8987
45.874054 81.996 165.7149
46.206476 81.982 165.5280
46.541307 81.968 165.3397
46.878565 81.953 165.1520
47.218266 81.939 164.9594
47.560429 81.926 164.7591
47.905072 81.915 164.5496
48.252212 81.902 164.3270
48.601867 81.888 164.0992
48.954056 81.870 163.8782
49.308798 81.849 163.6719
49.666109 81.824 163.4915
50.026010 81.798 163.3377
50.388520 81.771 163.1991
50.753656 81.745 163.0677
51.121437 81.720 162.9292
51.491884 81.696 162.7726
51.865016 81.674 162.5990
52.240851 81.653 162.4071
52.619410 81.634 162.2020
53.000712 81.616 161.9899
53.384777 81.600 161.7703
53.771625 81.584 161.5538
54.161276 81.568 161.3438
54.553751 81.551 161.1436
54.949070 81.532 160.9567
55.347254 81.512 160.7789
55.748323 81.491 160.6119
56.152298 81.469 160.4518
56.559201 81.446 160.2946
56.969052 81.422 160.1397
57.381873 81.399 159.9804
57.797686 81.376 159.8193
58.216512 81.353 159.6537
58.638373 81.330 159.4831
59.063291 81.306 159.3084
59.491288 81.281 159.1269
59.922386 81.256 158.9431
60.356608 81.230 158.7558
60.793977 81.204 158.5690
61.234515 81.178 158.3849
61.678246 81.153 158.2099
62.125192 81.127 158.0518
62.575377 81.102 157.9125
63.028824 81.078 157.7906
63.485557 81.056 157.6715
63.945599 81.034 157.5400
64.408975 81.011 157.3794
64.875709 80.986 157.1940
65.345825 80.959 156.9944
65.819348 80.930 156.7995
66.296302 80.901 156.6209
66.776713 80.873 156.4616
67.260604 80.847 156.3150
67.748002 80.821 156.1711
68.238932 80.796 156.0209
68.733420 80.769 155.8611
69.231490 80.740 155.6919
69.733170 80.711 155.5178
70.238485 80.681 155.3470
70.747463 80.651 155.1838
71.260128 80.621 155.0305
71.776508 80.590 154.8853
72.296630 80.559 154.7426
72.820521 80.528 154.6007
73.348209 80.496 154.4605
73.879720 80.463 154.3220
74.415083 80.431 154.1813
74.954326 80.399 154.0439
75.497475 80.367 153.9119
76.044561 80.335 153.7902
76.595612 80.303 153.6783
77.150655 80.273 153.5770
77.709720 80.244 153.4830
78.272837 80.216 153.3887
78.840034 80.189 153.2912
79.411342 80.163 153.1926
79.986789 80.138 153.0937
80.566406 80.114 152.9959
81.150224 80.091 152.8972
81.738272 80.069 152.7935
82.330581 80.048 152.6835
82.927182 80.027 152.5643
83.528107 80.005 152.4326
84.133386 79.982 152.2898
84.743051 79.958 152.1353
85.357134 79.932 151.9741
85.975667 79.905 151.8090
86.598682 79.876 151.6386
87.226212 79.846 151.4702
87.858289 79.815 151.3056
88.494946 79.783 151.1497
89.136217 79.751 151.0008
89.782135 79.717 150.8554
90.432733 79.684 150.7156
91.088046 79.650 150.5805
91.748108 79.615 150.4491
92.412952 79.581 150.3157
93.082615 79.547 150.1810
93.757130 79.512 150.0474
94.436533 79.477 149.9156
95.120859 79.442 149.7873
95.810144 79.408 149.6636
96.504423 79.373 149.5453
97.203734 79.339 149.4338
97.908112 79.306 149.3273
98.617595 79.273 149.2177
99.332219 79.239 149.1079
100.052021 79.204 148.9986
100.777039 79.168 148.8878
101.507311 79.132 148.7762
102.242875 79.094 148.6652
102.983769 79.057 148.5557
103.730032 79.020 148.4519
104.481702 78.983 148.3489
105.238820 78.947 148.2455
106.001424 78.910 148.1407
106.769554 78.873 148.0364
107.543250 78.835 147.9339
108.322553 78.797 147.8317
109.107503 78.759 147.7288
109.898141 78.721 147.6260
110.694508 78.683 147.5249
111.496646 78.644 147.4276
112.304596 78.606 147.3302
113.118402 78.567 147.2303
113.938104 78.528 147.1369
114.763747 78.488 147.0461
115.595372 78.448 146.9566
116.433024 78.408 146.8734
117.276746 78.369 146.7949
118.126581 78.329 146.7156
118.982575 78.290 146.6414
119.844772 78.251 146.5651
120.713217 78.211 146.4909
121.587954 78.171 146.4156
122.469031 78.130 146.3395
123.356492 78.089 146.2636
124.250384 78.048 146.1881
125.150753 78.007 146.1127
126.057647 77.966 146.0392
126.971113 77.924 145.9741
127.891198 77.883 145.9168
128.817950 77.842 145.8674
129.751418 77.800 145.8235
130.691651 77.759 145.7780
131.638696 77.718 145.7320
132.592604 77.677 145.6835
133.553425 77.635 145.6274
134.521208 77.593 145.5709
135.496004 77.551 145.5183
136.477864 77.508 145.4641
137.466839 77.465 145.4115
138.462981 77.422 145.3637
139.466340 77.379 145.3195
140.476971 77.336 145.2801
141.494925 77.292 145.2429
142.520256 77.249 145.2078
143.553016 77.205 145.1733
144.593260 77.162 145.1423
145.641043 77.118 145.1146
146.696418 77.074 145.0868
147.759441 77.030 145.0605
148.830166 76.986 145.0361
149.908651 76.942 145.0030
150.994951 76.897 144.9890
152.089123 76.853 144.9661
153.191223 76.809 144.9490
154.301310 76.765 144.9301
155.419441 76.721 144.9147
156.545674 76.677 144.8984
157.680069 76.632 144.8899
158.822683 76.587 144.8812
159.973578 76.542 144.8751
161.132813 76.497 144.8717
162.300447 76.451 144.8726
163.476543 76.406 144.8732
164.661162 76.360 144.8724
165.854364 76.314 144.8757
167.056213 76.268 144.8770
168.266772 76.222 144.8848
169.486102 76.175 144.8950
170.714268 76.129 144.9080
171.951334 76.083 144.9236
173.197364 76.036 144.9394
174.452424 75.990 144.9619
175.716578 75.944 144.9829
176.989893 75.897 145.0037
178.272434 75.850 145.0302
179.564270 75.803 145.0584
180.865467 75.755 145.0870
182.176092 75.708 145.1146
183.496216 75.659 145.1506
184.825905 75.611 145.1863
186.165229 75.562 145.2258
187.514259 75.513 145.2646
188.873065 75.464 145.3026
190.241717 75.415 145.3433
191.620287 75.365 145.3749
193.008847 75.315 145.4066
194.407468 75.265 145.4313
195.816225 75.214 145.4536
197.235190 75.163 145.4776
198.664438 75.110 145.5154
200.104042 75.056 145.5918
201.554078 75.002 145.7038
203.014622 74.947 145.8557
204.485750 74.892 146.0262
205.967538 74.837 146.2054
207.460064 74.782 146.3946
208.963405 74.728 146.5918
210.477640 74.674 146.7998
212.002848 74.621 147.0244
213.539108 74.572 147.2714
215.086500 74.526 147.5413
216.645105 74.486 147.8197
218.215005 74.452 148.1079
219.796281 74.426 148.3987
221.389015 74.406 148.6672
222.993292 74.393 148.9035
224.609193 74.384 149.0991
226.236804 74.377 149.2458
227.876209 74.370 149.3311
229.527494 74.361 149.3786
231.190745 74.348 149.3850
232.866048 74.330 149.3631
234.553491 74.306 149.3217
236.253163 74.278 149.2750
237.965150 74.244 149.2298
239.689544 74.207 149.1956
241.426433 74.166 149.1755
243.175909 74.123 149.1701
244.938062 74.078 149.1816
246.712984 74.032 149.2059
248.500768 73.985 149.2435
250.301507 73.938 149.2948
252.115295 73.890 149.3560
253.942226 73.843 149.4271
255.782396 73.795 149.5087
257.635901 73.747 149.5952
259.502837 73.699 149.6909
261.383301 73.651 149.7950
263.277392 73.604 149.9033
265.185209 73.556 150.0122
267.106850 73.509 150.1335
269.042417 73.462 150.2592
270.992009 73.416 150.3904
272.955729 73.369 150.5221
274.933678 73.323 150.6575
276.925961 73.277 150.7936
278.932681 73.231 150.9389
280.953942 73.185 151.0906
282.989850 73.139 151.2404
285.040511 73.094 151.3906
287.106032 73.048 151.5531
289.186521 73.003 151.7161
291.282086 72.958 151.8806
293.392836 72.913 152.0484
295.518881 72.868 152.2177
297.660333 72.824 152.3898
299.817302 72.780 152.5588
301.989902 72.735 152.7401
304.178245 72.691 152.9187
306.382446 72.647 153.1007
308.602620 72.604 153.2852
310.838882 72.560 153.4772
313.091348 72.517 153.6665
315.360137 72.474 153.8618
317.645367 72.431 154.0615
319.947156 72.388 154.2653
322.265625 72.346 154.4669
324.600895 72.303 154.6732
326.953086 72.261 154.8838
329.322323 72.219 155.0962
331.708729 72.177 155.3127
334.112427 72.135 155.5241
336.533543 72.094 155.7433
338.972204 72.052 155.9651
341.428536 72.011 156.1919
343.902668 71.971 156.4154
346.394729 71.930 156.6447
348.904848 71.890 156.8767
351.433156 71.850 157.1124
353.979786 71.809 157.3481
356.544869 71.769 157.5890
359.128540 71.729 157.8315
361.730934 71.689 158.0750
364.352185 71.650 158.3226
366.992431 71.610 158.5729
369.651810 71.571 158.8292
372.330459 71.532 159.0835
375.028519 71.493 159.3385
377.746130 71.454 159.6047
380.483434 71.416 159.8694
383.240574 71.378 160.1367
