* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), L, volume: 0,250. Timing signal peak level -73,4 dBFS, measurement signal peak level -32,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.09.2022 16:14:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1219 ms (42 mm, 1,65 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: TangZu Ze Tian Wu
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 121.865 -165.8485
20.287556 121.862 -165.9998
20.434568 121.858 -166.2191
20.582645 121.852 -166.4858
20.731796 121.845 -166.7825
20.882027 121.837 -167.0970
21.033346 121.830 -167.4216
21.185763 121.823 -167.7518
21.339284 121.816 -168.0857
21.493917 121.810 -168.4224
21.649671 121.804 -168.7614
21.806553 121.799 -169.1023
21.964572 121.794 -169.4446
22.123737 121.790 -169.7875
22.284054 121.785 -170.1300
22.445534 121.779 -170.4707
22.608183 121.774 -170.8088
22.772012 121.768 -171.1433
22.937027 121.761 -171.4737
23.103238 121.754 -171.7999
23.270654 121.746 -172.1222
23.439282 121.739 -172.4413
23.609133 121.730 -172.7580
23.780215 121.722 -173.0733
23.952536 121.714 -173.3881
24.126106 121.705 -173.7031
24.300934 121.697 -174.0187
24.477028 121.688 -174.3351
24.654399 121.680 -174.6526
24.833055 121.671 -174.9711
25.013005 121.663 -175.2908
25.194260 121.655 -175.6116
25.376828 121.647 -175.9334
25.560719 121.639 -176.2561
25.745942 121.631 -176.5789
25.932508 121.622 -176.9010
26.120426 121.612 -177.2207
26.309705 121.602 -177.5365
26.500356 121.590 -177.8466
26.692388 121.577 -178.1497
26.885812 121.564 -178.4455
27.080638 121.551 -178.7349
27.276876 121.538 -179.0199
27.474535 121.526 -179.3039
27.673627 121.514 -179.5907
27.874161 121.503 -179.8838
28.076149 121.492 179.8145
28.279600 121.481 179.5038
28.484526 121.468 179.1863
28.690937 121.453 178.8665
28.898843 121.437 178.5499
29.108256 121.419 178.2426
29.319186 121.400 177.9494
29.531645 121.382 177.6720
29.745644 121.364 177.4088
29.961193 121.350 177.1544
30.178304 121.337 176.9008
30.396989 121.328 176.6389
30.617258 121.320 176.3608
30.839123 121.312 176.0621
31.062596 121.303 175.7424
31.287688 121.291 175.4062
31.514412 121.276 175.0616
31.742778 121.257 174.7183
31.972800 121.236 174.3856
32.204488 121.212 174.0704
32.437855 121.189 173.7754
32.672913 121.166 173.4993
32.909674 121.144 173.2373
33.148151 121.125 172.9829
33.388356 121.107 172.7300
33.630302 121.090 172.4742
33.874001 121.073 172.2139
34.119466 121.055 171.9494
34.366710 121.036 171.6830
34.615745 121.017 171.4167
34.866585 120.997 171.1519
35.119243 120.977 170.8885
35.373731 120.958 170.6252
35.630064 120.939 170.3602
35.888254 120.921 170.0922
36.148315 120.903 169.8209
36.410261 120.885 169.5472
36.674104 120.866 169.2731
36.939860 120.846 169.0002
37.207542 120.825 168.7297
37.477163 120.803 168.4619
37.748738 120.781 168.1958
38.022281 120.758 167.9301
38.297806 120.735 167.6637
38.575327 120.711 167.3968
38.854860 120.688 167.1307
39.136419 120.664 166.8685
39.420017 120.642 166.6137
39.705671 120.620 166.3699
39.993395 120.600 166.1398
40.283203 120.580 165.9240
40.575112 120.561 165.7210
40.869136 120.543 165.5273
41.165290 120.524 165.3375
41.463591 120.505 165.1452
41.764053 120.484 164.9439
42.066693 120.462 164.7277
42.371525 120.437 164.4927
42.678567 120.412 164.2372
42.987834 120.385 163.9630
43.299341 120.357 163.6749
43.613106 120.328 163.3805
43.929145 120.300 163.0890
44.247473 120.272 162.8094
44.568109 120.245 162.5491
44.891068 120.219 162.3123
45.216367 120.193 162.0990
45.544023 120.168 161.9053
45.874054 120.144 161.7241
46.206476 120.120 161.5466
46.541307 120.096 161.3643
46.878565 120.073 161.1707
47.218266 120.050 160.9628
47.560429 120.026 160.7419
47.905072 120.004 160.5127
48.252212 119.981 160.2811
48.601867 119.959 160.0524
48.954056 119.936 159.8293
49.308798 119.914 159.6118
49.666109 119.890 159.3977
50.026010 119.863 159.1850
50.388520 119.834 158.9725
50.753656 119.801 158.7604
51.121437 119.765 158.5493
51.491884 119.728 158.3388
51.865016 119.690 158.1266
52.240851 119.653 157.9099
52.619410 119.616 157.6861
53.000712 119.581 157.4550
53.384777 119.546 157.2187
53.771625 119.511 156.9808
54.161276 119.477 156.7449
54.553751 119.444 156.5138
54.949070 119.411 156.2891
55.347254 119.379 156.0718
55.748323 119.348 155.8628
56.152298 119.317 155.6630
56.559201 119.286 155.4720
56.969052 119.255 155.2886
57.381873 119.224 155.1100
57.797686 119.193 154.9329
58.216512 119.161 154.7545
58.638373 119.129 154.5731
59.063291 119.097 154.3881
59.491288 119.066 154.2003
59.922386 119.035 154.0119
60.356608 119.004 153.8256
60.793977 118.973 153.6447
61.234515 118.942 153.4714
61.678246 118.909 153.3062
62.125192 118.876 153.1472
62.575377 118.841 152.9908
63.028824 118.806 152.8333
63.485557 118.770 152.6722
63.945599 118.734 152.5071
64.408975 118.699 152.3393
64.875709 118.663 152.1706
65.345825 118.629 152.0027
65.819348 118.595 151.8366
66.296302 118.561 151.6724
66.776713 118.528 151.5101
67.260604 118.494 151.3499
67.748002 118.460 151.1923
68.238932 118.424 151.0376
68.733420 118.388 150.8860
69.231490 118.352 150.7369
69.733170 118.315 150.5887
70.238485 118.278 150.4400
70.747463 118.242 150.2900
71.260128 118.206 150.1393
71.776508 118.170 149.9895
72.296630 118.135 149.8428
72.820521 118.100 149.7009
73.348209 118.066 149.5646
73.879720 118.030 149.4332
74.415083 117.995 149.3050
74.954326 117.958 149.1780
75.497475 117.921 149.0512
76.044561 117.884 148.9244
76.595612 117.846 148.7981
77.150655 117.808 148.6726
77.709720 117.770 148.5481
78.272837 117.733 148.4246
78.840034 117.695 148.3022
79.411342 117.657 148.1813
79.986789 117.619 148.0618
80.566406 117.582 147.9434
81.150224 117.544 147.8259
81.738272 117.506 147.7096
82.330581 117.468 147.5955
82.927182 117.431 147.4843
83.528107 117.393 147.3765
84.133386 117.354 147.2715
84.743051 117.316 147.1681
85.357134 117.277 147.0652
85.975667 117.239 146.9627
86.598682 117.200 146.8610
87.226212 117.162 146.7611
87.858289 117.123 146.6636
88.494946 117.085 146.5685
89.136217 117.046 146.4757
89.782135 117.008 146.3849
90.432733 116.969 146.2955
91.088046 116.930 146.2070
91.748108 116.891 146.1187
92.412952 116.852 146.0301
93.082615 116.812 145.9411
93.757130 116.773 145.8521
94.436533 116.734 145.7640
95.120859 116.695 145.6776
95.810144 116.657 145.5938
96.504423 116.619 145.5131
97.203734 116.581 145.4359
97.908112 116.542 145.3622
98.617595 116.504 145.2910
99.332219 116.466 145.2211
100.052021 116.427 145.1511
100.777039 116.388 145.0804
101.507311 116.348 145.0094
102.242875 116.308 144.9390
102.983769 116.268 144.8707
103.730032 116.228 144.8060
104.481702 116.188 144.7457
105.238820 116.148 144.6895
106.001424 116.109 144.6359
106.769554 116.070 144.5831
107.543250 116.032 144.5301
108.322553 115.993 144.4771
109.107503 115.954 144.4249
109.898141 115.915 144.3740
110.694508 115.876 144.3246
111.496646 115.837 144.2765
112.304596 115.798 144.2294
113.118402 115.758 144.1834
113.938104 115.719 144.1388
114.763747 115.680 144.0958
115.595372 115.640 144.0545
116.433024 115.601 144.0148
117.276746 115.561 143.9761
118.126581 115.522 143.9385
118.982575 115.483 143.9023
119.844772 115.443 143.8684
120.713217 115.404 143.8376
121.587954 115.365 143.8097
122.469031 115.327 143.7840
123.356492 115.288 143.7595
124.250384 115.249 143.7354
125.150753 115.210 143.7114
126.057647 115.172 143.6882
126.971113 115.133 143.6665
127.891198 115.094 143.6471
128.817950 115.054 143.6302
129.751418 115.015 143.6156
130.691651 114.976 143.6023
131.638696 114.936 143.5897
132.592604 114.897 143.5775
133.553425 114.858 143.5662
134.521208 114.819 143.5563
135.496004 114.781 143.5483
136.477864 114.742 143.5425
137.466839 114.703 143.5392
138.462981 114.664 143.5386
139.466340 114.625 143.5409
140.476971 114.585 143.5457
141.494925 114.546 143.5524
142.520256 114.507 143.5599
143.553016 114.468 143.5678
144.593260 114.429 143.5764
145.641043 114.390 143.5860
146.696418 114.351 143.5968
147.759441 114.312 143.6093
148.830166 114.273 143.6242
149.908651 114.234 143.6419
150.994951 114.195 143.6626
152.089123 114.157 143.6865
153.191223 114.119 143.7140
154.301310 114.080 143.7452
155.419441 114.042 143.7802
156.545674 114.004 143.8188
157.680069 113.967 143.8610
158.822683 113.929 143.9070
159.973578 113.892 143.9574
161.132813 113.856 144.0124
162.300447 113.820 144.0721
163.476543 113.784 144.1359
164.661162 113.749 144.2024
165.854364 113.715 144.2703
167.056213 113.681 144.3386
168.266772 113.649 144.4066
169.486102 113.617 144.4740
170.714268 113.586 144.5405
171.951334 113.557 144.6060
173.197364 113.527 144.6696
174.452424 113.498 144.7303
175.716578 113.470 144.7873
176.989893 113.441 144.8400
178.272434 113.413 144.8883
179.564270 113.385 144.9328
180.865467 113.357 144.9741
182.176092 113.328 145.0131
183.496216 113.300 145.0503
184.825905 113.271 145.0863
186.165229 113.242 145.1215
187.514259 113.214 145.1562
188.873065 113.185 145.1912
190.241717 113.156 145.2270
191.620287 113.128 145.2641
193.008847 113.099 145.3026
194.407468 113.071 145.3421
195.816225 113.042 145.3818
197.235190 113.014 145.4213
198.664438 112.985 145.4606
200.104042 112.957 145.4997
201.554078 112.928 145.5386
203.014622 112.900 145.5771
204.485750 112.871 145.6151
205.967538 112.842 145.6527
207.460064 112.814 145.6898
208.963405 112.785 145.7260
210.477640 112.755 145.7614
212.002848 112.726 145.7960
213.539108 112.696 145.8301
215.086500 112.666 145.8647
216.645105 112.636 145.9009
218.215005 112.606 145.9396
219.796281 112.575 145.9813
221.389015 112.544 146.0262
222.993292 112.513 146.0743
224.609193 112.483 146.1254
226.236804 112.452 146.1797
227.876209 112.421 146.2374
229.527494 112.390 146.2983
231.190745 112.359 146.3623
232.866048 112.328 146.4295
234.553491 112.298 146.4999
236.253163 112.268 146.5735
237.965150 112.239 146.6500
239.689544 112.210 146.7291
241.426433 112.181 146.8109
243.175909 112.152 146.8957
244.938062 112.125 146.9840
246.712984 112.097 147.0762
248.500768 112.070 147.1724
250.301507 112.044 147.2725
252.115295 112.018 147.3757
253.942226 111.993 147.4810
255.782396 111.968 147.5875
257.635901 111.944 147.6944
259.502837 111.921 147.8010
261.383301 111.899 147.9070
263.277392 111.878 148.0122
265.185209 111.858 148.1162
267.106850 111.839 148.2189
269.042417 111.821 148.3196
270.992009 111.804 148.4171
272.955729 111.788 148.5094
274.933678 111.773 148.5945
276.925961 111.759 148.6707
278.932681 111.745 148.7370
280.953942 111.732 148.7937
282.989850 111.718 148.8415
285.040511 111.703 148.8818
287.106032 111.688 148.9164
289.186521 111.672 148.9466
291.282086 111.655 148.9741
293.392836 111.637 149.0005
295.518881 111.619 149.0271
297.660333 111.599 149.0545
299.817302 111.579 149.0834
301.989902 111.558 149.1141
304.178245 111.537 149.1473
306.382446 111.516 149.1833
308.602620 111.494 149.2220
310.838882 111.471 149.2633
313.091348 111.449 149.3070
315.360137 111.427 149.3529
317.645367 111.405 149.4011
319.947156 111.383 149.4516
322.265625 111.361 149.5043
324.600895 111.340 149.5591
326.953086 111.318 149.6161
329.322323 111.296 149.6756
331.708729 111.275 149.7375
334.112427 111.254 149.8013
336.533543 111.233 149.8666
338.972204 111.213 149.9331
341.428536 111.193 150.0006
343.902668 111.172 150.0691
346.394729 111.153 150.1385
348.904848 111.133 150.2090
351.433156 111.113 150.2806
353.979786 111.094 150.3533
356.544869 111.074 150.4266
359.128540 111.055 150.5003
361.730934 111.036 150.5746
364.352185 111.018 150.6494
366.992431 110.999 150.7248
369.651810 110.981 150.8010
372.330459 110.964 150.8779
375.028519 110.946 150.9556
377.746130 110.929 151.0342
380.483434 110.912 151.1140
