* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -52,5 dBFS, measurement signal peak level -23,2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.04.2024 18:20:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,3151 ms (-108 mm, -4,26 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: TD21 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 78.650 -42.4285
20.333664 78.752 -43.0559
20.481010 78.901 -43.9580
20.629424 79.081 -45.0030
20.778913 79.278 -46.0590
20.929486 79.483 -47.0064
21.081150 79.691 -47.7447
21.233912 79.900 -48.1947
21.387782 80.113 -48.3024
21.542767 80.332 -48.0429
21.698874 80.564 -47.4243
21.856113 80.811 -46.4904
22.014492 81.076 -45.3187
22.174018 81.358 -44.0131
22.334700 81.650 -42.6910
22.496546 81.945 -41.4675
22.659566 82.231 -40.4414
22.823766 82.493 -39.6841
22.989157 82.720 -39.2368
23.155745 82.900 -39.1108
23.323542 83.022 -39.2923
23.492554 83.081 -39.7472
23.662790 83.074 -40.4261
23.834261 83.002 -41.2685
24.006973 82.872 -42.2055
24.180938 82.693 -43.1651
24.356163 82.484 -44.0765
24.532658 82.265 -44.8790
24.710431 82.064 -45.5319
24.889493 81.908 -46.0248
25.069853 81.823 -46.3838
25.251519 81.823 -46.6684
25.434502 81.912 -46.9573
25.618811 82.077 -47.3275
25.804456 82.297 -47.8345
25.991445 82.544 -48.5008
26.179790 82.791 -49.3163
26.369500 83.015 -50.2451
26.560584 83.198 -51.2362
26.753053 83.331 -52.2324
26.946917 83.407 -53.1783
27.142185 83.428 -54.0251
27.338869 83.399 -54.7355
27.536977 83.331 -55.2868
27.736522 83.237 -55.6745
27.937512 83.134 -55.9140
28.139959 83.041 -56.0402
28.343872 82.973 -56.1043
28.549264 82.943 -56.1643
28.756143 82.960 -56.2749
28.964522 83.024 -56.4751
29.174411 83.130 -56.7807
29.385821 83.269 -57.1816
29.598763 83.428 -57.6457
29.813248 83.595 -58.1263
30.029287 83.760 -58.5722
30.246891 83.914 -58.9371
30.466073 84.054 -59.1871
30.686842 84.178 -59.3068
30.909212 84.286 -59.3019
31.133193 84.382 -59.1993
31.358797 84.468 -59.0427
31.586035 84.547 -58.8853
31.814921 84.620 -58.7804
32.045465 84.689 -58.7719
32.277680 84.754 -58.8865
32.511577 84.815 -59.1308
32.747169 84.874 -59.4924
32.984469 84.933 -59.9449
33.223488 84.997 -60.4546
33.464239 85.069 -60.9889
33.706735 85.153 -61.5219
33.950987 85.251 -62.0379
34.197010 85.363 -62.5316
34.444816 85.488 -63.0042
34.694417 85.621 -63.4586
34.945827 85.755 -63.8944
35.199059 85.886 -64.3041
35.454126 86.007 -64.6722
35.711041 86.117 -64.9779
35.969818 86.214 -65.2000
36.230470 86.300 -65.3240
36.493011 86.380 -65.3494
36.757455 86.457 -65.2946
37.023814 86.536 -65.1966
37.292104 86.618 -65.1051
37.562338 86.704 -65.0696
37.834530 86.790 -65.1259
38.108695 86.873 -65.2858
38.384846 86.951 -65.5351
38.662999 87.023 -65.8391
38.943167 87.093 -66.1566
39.225365 87.166 -66.4539
39.509608 87.247 -66.7158
39.795911 87.338 -66.9461
40.084289 87.436 -67.1598
40.374756 87.536 -67.3695
40.667328 87.629 -67.5752
40.962020 87.710 -67.7641
41.258848 87.778 -67.9196
41.557827 87.835 -68.0375
41.858972 87.890 -68.1375
42.162299 87.949 -68.2636
42.467824 88.018 -68.4694
42.775564 88.096 -68.7954
43.085533 88.180 -69.2481
43.397749 88.264 -69.7943
43.712227 88.347 -70.3731
44.028983 88.427 -70.9202
44.348036 88.507 -71.3913
44.669400 88.588 -71.7754
44.993093 88.670 -72.0922
45.319131 88.750 -72.3784
45.647532 88.826 -72.6723
45.978313 88.896 -73.0041
46.311491 88.963 -73.3942
46.647083 89.029 -73.8526
46.985107 89.098 -74.3760
47.325581 89.170 -74.9415
47.668521 89.247 -75.5030
48.013947 89.327 -75.9983
48.361876 89.412 -76.3691
48.712326 89.504 -76.5861
49.065315 89.605 -76.6651
49.420863 89.711 -76.6638
49.778987 89.816 -76.6579
50.139706 89.915 -76.7121
50.503039 90.000 -76.8613
50.869005 90.070 -77.1110
51.237623 90.129 -77.4489
51.608912 90.184 -77.8553
51.982891 90.239 -78.3044
52.359580 90.297 -78.7588
52.739000 90.357 -79.1701
53.121168 90.421 -79.4940
53.506106 90.488 -79.7135
53.893833 90.562 -79.8563
54.284370 90.640 -79.9867
54.677737 90.717 -80.1742
55.073955 90.789 -80.4560
55.473043 90.854 -80.8196
55.875024 90.918 -81.2163
56.279917 90.990 -81.5949
56.687745 91.082 -81.9321
57.098527 91.198 -82.2404
57.512287 91.330 -82.5497
57.929045 91.465 -82.8814
58.348822 91.589 -83.2350
58.771642 91.692 -83.5950
59.197525 91.773 -83.9475
59.626495 91.837 -84.2919
60.058573 91.894 -84.6412
60.493782 91.950 -85.0123
60.932145 92.012 -85.4134
61.373685 92.082 -85.8383
61.818424 92.156 -86.2684
62.266386 92.234 -86.6811
62.717593 92.313 -87.0594
63.172071 92.392 -87.3984
63.629842 92.472 -87.7039
64.090930 92.553 -87.9863
64.555359 92.634 -88.2535
65.023154 92.716 -88.5096
65.494339 92.797 -88.7582
65.968938 92.876 -89.0072
66.446976 92.952 -89.2680
66.928478 93.024 -89.5503
67.413469 93.095 -89.8569
67.901975 93.166 -90.1842
68.394021 93.240 -90.5260
68.889632 93.318 -90.8780
69.388835 93.401 -91.2392
69.891655 93.485 -91.6144
70.398118 93.569 -92.0164
70.908252 93.652 -92.4616
71.422083 93.734 -92.9597
71.939636 93.814 -93.4996
72.460941 93.894 -94.0467
72.986023 93.973 -94.5538
73.514909 94.050 -94.9816
74.047629 94.125 -95.3163
74.584208 94.196 -95.5755
75.124676 94.262 -95.8010
75.669061 94.323 -96.0411
76.217390 94.382 -96.3330
76.769692 94.442 -96.6932
77.325997 94.502 -97.1176
77.886333 94.561 -97.5893
78.450730 94.616 -98.0870
79.019216 94.666 -98.5938
79.591822 94.711 -99.1025
80.168577 94.754 -99.6152
80.749512 94.801 -100.1384
81.334656 94.857 -100.6804
81.924040 94.927 -101.2483
82.517696 95.008 -101.8393
83.115653 95.097 -102.4314
83.717943 95.190 -102.9902
84.324598 95.284 -103.4940
84.935649 95.379 -103.9506
85.551128 95.471 -104.3845
86.171066 95.557 -104.8120
86.795497 95.635 -105.2319
87.424453 95.705 -105.6394
88.057967 95.769 -106.0419
88.696071 95.827 -106.4617
89.338800 95.879 -106.9246
89.986185 95.926 -107.4419
90.638262 95.971 -108.0006
91.295065 96.017 -108.5683
91.956626 96.067 -109.1116
92.622982 96.119 -109.6107
93.294166 96.172 -110.0668
93.970214 96.225 -110.5049
94.651161 96.279 -110.9689
95.337042 96.335 -111.5056
96.027894 96.393 -112.1439
96.723752 96.450 -112.8816
97.424652 96.504 -113.6850
98.130631 96.553 -114.5007
98.841726 96.597 -115.2769
99.557974 96.638 -115.9817
100.279412 96.678 -116.6095
101.006078 96.716 -117.1761
101.738010 96.756 -117.7098
102.475245 96.797 -118.2406
103.217823 96.841 -118.7877
103.965782 96.884 -119.3525
104.719161 96.924 -119.9262
105.477999 96.959 -120.5035
106.242336 96.988 -121.0890
107.012212 97.011 -121.6925
107.787666 97.030 -122.3208
108.568740 97.047 -122.9725
109.355474 97.062 -123.6404
110.147909 97.077 -124.3179
110.946086 97.092 -124.9974
111.750047 97.108 -125.6640
112.559834 97.123 -126.3000
113.375489 97.136 -126.8984
114.197055 97.146 -127.4660
115.024574 97.153 -128.0164
115.858089 97.160 -128.5596
116.697645 97.166 -129.0960
117.543284 97.173 -129.6216
118.395051 97.180 -130.1420
119.252990 97.189 -130.6786
120.117147 97.198 -131.2548
120.987565 97.209 -131.8778
121.864291 97.220 -132.5344
122.747370 97.229 -133.2018
123.636848 97.236 -133.8588
124.532771 97.239 -134.4894
125.435187 97.236 -135.0848
126.344142 97.227 -135.6444
127.259684 97.213 -136.1719
128.181860 97.196 -136.6683
129.110718 97.178 -137.1366
130.046308 97.162 -137.5907
130.988677 97.147 -138.0498
131.937875 97.132 -138.5256
132.893951 97.116 -139.0192
133.856956 97.098 -139.5278
134.826938 97.079 -140.0475
135.803950 97.059 -140.5735
136.788041 97.039 -141.0990
137.779264 97.018 -141.6193
138.777669 96.996 -142.1370
139.783309 96.975 -142.6600
140.796237 96.953 -143.1924
141.816504 96.930 -143.7299
142.844165 96.903 -144.2636
143.879273 96.874 -144.7825
144.921881 96.844 -145.2755
145.972045 96.812 -145.7333
147.029819 96.780 -146.1516
148.095257 96.747 -146.5343
149.168417 96.713 -146.8915
150.249353 96.676 -147.2354
151.338121 96.638 -147.5757
152.434780 96.598 -147.9161
153.539385 96.558 -148.2546
154.651995 96.518 -148.5872
155.772667 96.478 -148.9120
156.901460 96.437 -149.2297
158.038432 96.396 -149.5419
159.183644 96.354 -149.8501
160.337154 96.311 -150.1539
161.499023 96.268 -150.4503
162.669312 96.226 -150.7343
163.848081 96.182 -151.0030
165.035392 96.138 -151.2566
166.231306 96.093 -151.4970
167.435887 96.046 -151.7282
168.649196 95.997 -151.9581
169.871298 95.949 -152.1957
171.102255 95.900 -152.4444
172.342133 95.851 -152.6989
173.590995 95.802 -152.9495
174.848907 95.754 -153.1874
176.115934 95.707 -153.4079
177.392143 95.661 -153.6115
178.677599 95.616 -153.8007
179.972371 95.570 -153.9772
181.276525 95.524 -154.1409
182.590129 95.477 -154.2912
183.913252 95.429 -154.4274
185.245964 95.380 -154.5496
186.588332 95.330 -154.6602
187.940428 95.280 -154.7618
189.302322 95.230 -154.8551
190.674085 95.182 -154.9370
192.055788 95.134 -155.0009
193.447503 95.085 -155.0431
194.849303 95.035 -155.0698
196.261262 94.981 -155.0917
197.683452 94.925 -155.1149
199.115948 94.867 -155.1420
200.558824 94.809 -155.1770
202.012156 94.752 -155.2222
203.476019 94.697 -155.2727
204.950490 94.645 -155.3183
206.435646 94.595 -155.3483
207.931564 94.547 -155.3582
209.438322 94.499 -155.3490
210.955998 94.451 -155.3247
212.484672 94.403 -155.2896
214.024424 94.354 -155.2472
215.575333 94.305 -155.2000
217.137481 94.255 -155.1501
218.710948 94.204 -155.0982
220.295818 94.151 -155.0445
221.892172 94.097 -154.9880
223.500094 94.042 -154.9267
225.119668 93.987 -154.8587
226.750978 93.933 -154.7803
228.394109 93.881 -154.6854
230.049147 93.830 -154.5696
231.716178 93.781 -154.4330
233.395289 93.734 -154.2809
235.086567 93.687 -154.1203
236.790102 93.642 -153.9558
238.505980 93.597 -153.7902
240.234293 93.554 -153.6237
241.975130 93.515 -153.4533
243.728581 93.477 -153.2745
245.494739 93.439 -153.0862
247.273695 93.399 -152.8944
249.065542 93.358 -152.7122
250.870374 93.316 -152.5500
252.688284 93.274 -152.4025
254.519367 93.231 -152.2500
256.363720 93.189 -152.0762
258.221437 93.146 -151.8780
260.092616 93.102 -151.6583
261.977354 93.057 -151.4223
263.875750 93.011 -151.1761
265.787903 92.965 -150.9218
267.713911 92.919 -150.6581
269.653877 92.874 -150.3859
271.607900 92.830 -150.1103
273.576083 92.788 -149.8360
275.558528 92.745 -149.5630
277.555338 92.700 -149.2908
279.566619 92.653 -149.0223
281.592474 92.605 -148.7569
283.633009 92.557 -148.4865
285.688331 92.512 -148.2011
287.758546 92.469 -147.8970
289.843763 92.429 -147.5789
291.944090 92.389 -147.2558
294.059638 92.352 -146.9326
296.190515 92.315 -146.6042
298.336833 92.279 -146.2616
300.498705 92.244 -145.8987
302.676243 92.209 -145.5153
304.869559 92.175 -145.1164
307.078770 92.139 -144.7117
309.303989 92.101 -144.3133
311.545334 92.062 -143.9263
313.802919 92.023 -143.5495
316.076865 91.987 -143.1819
318.367288 91.955 -142.8226
320.674309 91.926 -142.4696
322.998047 91.896 -142.1170
325.338624 91.865 -141.7556
