* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -20,6 dBFS, measurement signal peak level -14,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 28.02.2023 19:59:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0322 ms (-11 mm, -0,43 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: TinHIFI C5
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 112.084 -130.3497
20.507813 112.174 -131.2942
20.874023 112.255 -132.2424
21.240234 112.321 -133.2102
21.606445 112.367 -134.1644
21.972656 112.397 -135.0601
22.338867 112.424 -135.8913
22.705078 112.463 -136.7158
23.071289 112.519 -137.6294
23.437500 112.585 -138.7017
23.803711 112.646 -139.9174
24.169922 112.687 -141.1671
24.536133 112.706 -142.2939
24.902344 112.711 -143.1712
25.268555 112.723 -143.7742
25.634766 112.756 -144.2017
26.000977 112.815 -144.6267
26.367188 112.888 -145.2023
26.733399 112.955 -145.9818
27.099610 113.000 -146.9038
27.465821 113.020 -147.8394
27.832032 113.025 -148.6664
28.198243 113.032 -149.3307
28.564454 113.053 -149.8643
28.930665 113.091 -150.3532
29.296876 113.137 -150.8781
29.663087 113.178 -151.4707
30.029298 113.203 -152.1116
30.395509 113.214 -152.7616
30.761720 113.217 -153.3989
31.127931 113.221 -154.0346
31.494142 113.231 -154.6977
31.860353 113.245 -155.4025
32.226563 113.257 -156.1260
32.592774 113.264 -156.8140
32.958985 113.269 -157.4128
33.325196 113.275 -157.9045
33.691407 113.287 -158.3210
34.057618 113.306 -158.7262
34.423829 113.326 -159.1785
34.790040 113.339 -159.6978
35.156251 113.338 -160.2606
35.522462 113.325 -160.8193
35.888673 113.307 -161.3336
36.254884 113.292 -161.7930
36.621095 113.288 -162.2200
36.987306 113.297 -162.6533
37.353517 113.315 -163.1233
37.719728 113.335 -163.6347
38.085939 113.350 -164.1656
38.452150 113.355 -164.6802
38.818361 113.350 -165.1482
39.184572 113.339 -165.5587
39.550783 113.324 -165.9234
39.916994 113.309 -166.2676
40.283205 113.296 -166.6176
40.649416 113.287 -166.9939
41.015627 113.282 -167.4101
41.381838 113.281 -167.8744
41.748049 113.282 -168.3834
42.114260 113.281 -168.9129
42.480471 113.273 -169.4172
42.846682 113.260 -169.8492
43.212893 113.247 -170.1934
43.579103 113.239 -170.4885
43.945314 113.238 -170.8107
44.311525 113.235 -171.2189
44.677736 113.220 -171.7015
45.043947 113.192 -172.1738
45.410158 113.160 -172.5381
45.776369 113.145 -172.7689
46.142580 113.158 -172.9497
46.508791 113.191 -173.2124
46.875002 113.215 -173.6156
47.241213 113.200 -174.0675
47.607424 113.134 -174.3651
47.973635 113.042 -174.3347
48.339846 112.968 -173.9919
48.706057 112.951 -173.5954
49.072268 112.993 -173.5063
49.438479 113.059 -173.9403
49.804690 113.103 -174.8281
50.170901 113.100 -175.8792
50.537112 113.057 -176.7648
50.903323 113.003 -177.2986
51.269534 112.971 -177.5181
51.635745 112.970 -177.6159
52.001956 112.984 -177.7753
52.368167 112.987 -178.0493
52.734378 112.965 -178.3691
53.100589 112.927 -178.6435
53.466800 112.890 -178.8505
53.833011 112.869 -179.0506
54.199222 112.864 -179.3226
54.565432 112.865 -179.6870
54.931643 112.858 179.9117
55.297854 112.840 179.5572
55.664065 112.817 179.2966
56.030276 112.796 179.1123
56.396487 112.779 178.9464
56.762698 112.764 178.7511
57.128909 112.747 178.5194
57.495120 112.726 178.2762
57.861331 112.706 178.0477
58.227542 112.689 177.8383
58.593753 112.677 177.6338
58.959964 112.668 177.4211
59.326175 112.656 177.2012
59.692386 112.641 176.9854
60.058597 112.622 176.7805
60.424808 112.604 176.5787
60.791019 112.586 176.3641
61.157230 112.568 176.1279
61.523441 112.548 175.8796
61.889652 112.524 175.6436
62.255863 112.500 175.4421
62.622074 112.479 175.2781
62.988285 112.464 175.1307
63.354496 112.455 174.9670
63.720707 112.447 174.7625
64.086918 112.436 174.5179
64.453129 112.418 174.2604
64.819340 112.394 174.0280
65.185551 112.368 173.8482
65.551762 112.345 173.7222
65.917972 112.328 173.6246
66.284183 112.317 173.5201
66.650394 112.309 173.3841
67.016605 112.299 173.2144
67.382816 112.283 173.0277
67.749027 112.265 172.8446
68.115238 112.245 172.6763
68.481449 112.227 172.5204
68.847660 112.211 172.3672
69.213871 112.197 172.2091
69.580082 112.183 172.0455
69.946293 112.168 171.8808
70.312504 112.151 171.7200
70.678715 112.133 171.5646
71.044926 112.113 171.4127
71.411137 112.094 171.2608
71.777348 112.074 171.1060
72.143559 112.055 170.9467
72.509770 112.036 170.7843
72.875981 112.017 170.6248
73.242192 111.996 170.4775
73.608403 111.975 170.3503
73.974614 111.956 170.2425
74.340825 111.939 170.1425
74.707036 111.924 170.0318
75.073247 111.909 169.8972
75.439458 111.893 169.7401
75.805669 111.873 169.5767
76.171880 111.851 169.4273
76.538091 111.831 169.3021
76.904301 111.814 169.1947
77.270512 111.800 169.0874
77.636723 111.788 168.9653
78.002934 111.775 168.8273
78.369145 111.757 168.6853
78.735356 111.735 168.5540
79.101567 111.713 168.4390
79.467778 111.693 168.3331
79.833989 111.675 168.2239
80.200200 111.659 168.1040
80.566411 111.643 167.9775
80.932622 111.627 167.8560
81.298833 111.609 167.7500
81.665044 111.592 167.6610
82.031255 111.575 167.5814
82.397466 111.559 167.4992
82.763677 111.542 167.4054
83.129888 111.524 167.2961
83.496099 111.505 167.1729
83.862310 111.486 167.0411
84.228521 111.466 166.9085
84.594732 111.447 166.7842
84.960943 111.429 166.6764
85.327154 111.412 166.5881
85.693365 111.396 166.5159
86.059576 111.381 166.4507
86.425787 111.366 166.3829
86.791998 111.350 166.3059
87.158209 111.333 166.2176
87.524420 111.314 166.1193
87.890631 111.294 166.0135
88.256841 111.275 165.9049
88.623052 111.255 165.8008
88.989263 111.236 165.7100
89.355474 111.219 165.6375
89.721685 111.204 165.5793
90.087896 111.192 165.5233
90.454107 111.181 165.4559
90.820318 111.167 165.3722
91.186529 111.150 165.2787
91.552740 111.129 165.1885
91.918951 111.107 165.1104
92.285162 111.085 165.0420
92.651373 111.066 164.9724
93.017584 111.049 164.8925
93.383795 111.033 164.8027
93.750006 111.017 164.7116
94.116217 111.002 164.6282
94.482428 110.989 164.5541
94.848639 110.977 164.4847
95.214850 110.965 164.4147
95.581061 110.951 164.3444
95.947272 110.935 164.2786
96.313483 110.916 164.2201
96.679694 110.895 164.1667
97.045905 110.872 164.1133
97.412116 110.849 164.0585
97.778327 110.827 164.0062
98.144538 110.808 163.9600
98.510749 110.795 163.9142
98.876960 110.788 163.8536
99.243170 110.785 163.7646
99.609381 110.779 163.6502
99.975592 110.765 163.5351
100.341803 110.744 163.4532
100.708014 110.717 163.4246
101.074225 110.691 163.4385
101.440436 110.671 163.4571
101.806647 110.656 163.4386
102.172858 110.643 163.3637
102.539069 110.629 163.2459
102.905280 110.612 163.1201
103.271491 110.595 163.0196
103.637702 110.579 162.9579
104.003913 110.567 162.9268
104.370124 110.557 162.9075
104.736335 110.546 162.8845
105.102546 110.532 162.8524
105.468757 110.515 162.8138
105.834968 110.494 162.7729
106.201179 110.472 162.7313
106.567390 110.452 162.6879
106.933601 110.434 162.6414
107.299812 110.420 162.5914
107.666023 110.408 162.5386
108.032234 110.397 162.4848
108.398445 110.385 162.4317
108.764656 110.373 162.3812
109.130867 110.360 162.3350
109.497078 110.345 162.2940
109.863289 110.330 162.2576
110.229500 110.316 162.2238
110.595710 110.302 162.1886
110.961921 110.289 162.1478
111.328132 110.275 162.0986
111.694343 110.260 162.0431
112.060554 110.241 161.9899
112.426765 110.220 161.9517
112.792976 110.198 161.9381
113.159187 110.180 161.9471
113.525398 110.166 161.9627
113.891609 110.157 161.9620
114.257820 110.150 161.9296
114.624031 110.140 161.8691
114.990242 110.125 161.8015
115.356453 110.105 161.7506
115.722664 110.084 161.7261
116.088875 110.067 161.7158
116.455086 110.055 161.6949
116.821297 110.045 161.6459
117.187508 110.035 161.5724
117.553719 110.021 161.4969
117.919930 110.006 161.4441
118.286141 109.991 161.4225
118.652352 109.977 161.4195
119.018563 109.965 161.4131
119.384774 109.952 161.3894
119.750985 109.935 161.3518
120.117196 109.915 161.3162
120.483407 109.895 161.2956
120.849618 109.877 161.2889
121.215829 109.864 161.2818
121.582040 109.855 161.2590
121.948250 109.846 161.2165
122.314461 109.836 161.1644
122.680672 109.822 161.1196
123.046883 109.807 161.0938
123.413094 109.791 161.0877
123.779305 109.777 161.0924
124.145516 109.764 161.0963
124.511727 109.752 161.0912
124.877938 109.739 161.0741
125.244149 109.725 161.0465
125.610360 109.709 161.0136
125.976571 109.692 160.9837
126.342782 109.675 160.9650
126.708993 109.661 160.9608
127.075204 109.650 160.9650
127.441415 109.645 160.9630
127.807626 109.641 160.9412
128.173837 109.635 160.8981
128.540048 109.623 160.8484
128.906259 109.603 160.8146
129.272470 109.581 160.8104
129.638681 109.558 160.8290
130.004892 109.540 160.8469
130.371103 109.527 160.8427
130.737314 109.517 160.8148
131.103525 109.508 160.7836
131.469736 109.501 160.7738
131.835947 109.500 160.7910
132.202158 109.502 160.8125
132.568369 109.505 160.8036
132.934579 109.500 160.7467
133.300790 109.481 160.6595
133.667001 109.447 160.5857
134.033212 109.406 160.5633
134.399423 109.370 160.5952
134.765634 109.346 160.6440
135.131845 109.337 160.6591
135.498056 109.336 160.6155
135.864267 109.335 160.5330
136.230478 109.328 160.4612
136.596689 109.316 160.4438
136.962900 109.302 160.4883
137.329111 109.291 160.5643
137.695322 109.283 160.6271
138.061533 109.273 160.6489
138.427744 109.260 160.6323
138.793955 109.242 160.6004
139.160166 109.223 160.5757
139.526377 109.207 160.5649
139.892588 109.195 160.5596
140.258799 109.186 160.5490
140.625010 109.178 160.5304
140.991221 109.169 160.5101
141.357432 109.158 160.4963
141.723643 109.146 160.4920
142.089854 109.134 160.4940
142.456065 109.121 160.4974
142.822276 109.108 160.4997
143.188487 109.095 160.5015
143.554698 109.082 160.5033
143.920909 109.070 160.5037
144.287119 109.058 160.4999
144.653330 109.047 160.4909
145.019541 109.037 160.4791
145.385752 109.026 160.4684
145.751963 109.016 160.4618
146.118174 109.007 160.4594
146.484385 108.997 160.4594
146.850596 108.986 160.4603
147.216807 108.974 160.4625
147.583018 108.959 160.4666
147.949229 108.944 160.4722
148.315440 108.929 160.4765
148.681651 108.914 160.4762
149.047862 108.902 160.4700
149.414073 108.891 160.4597
149.780284 108.882 160.4488
150.146495 108.875 160.4395
150.512706 108.869 160.4310
150.878917 108.864 160.4209
151.245128 108.857 160.4081
151.611339 108.847 160.3952
151.977550 108.835 160.3881
152.343761 108.821 160.3917
152.709972 108.807 160.4055
153.076183 108.795 160.4221
153.442394 108.785 160.4313
153.808605 108.776 160.4271
154.174816 108.765 160.4128
154.541027 108.752 160.3998
154.907238 108.737 160.4002
155.273448 108.722 160.4181
155.639659 108.709 160.4453
156.005870 108.699 160.4663
156.372081 108.690 160.4688
156.738292 108.680 160.4519
157.104503 108.668 160.4278
157.470714 108.655 160.4130
157.836925 108.641 160.4174
158.203136 108.630 160.4380
158.569347 108.621 160.4616
158.935558 108.614 160.4756
159.301769 108.607 160.4767
159.667980 108.597 160.4725
160.034191 108.586 160.4752
160.400402 108.574 160.4907
160.766613 108.563 160.5142
161.132824 108.554 160.5333
161.499035 108.545 160.5375
161.865246 108.535 160.5264
162.231457 108.522 160.5098
162.597668 108.508 160.5009
162.963879 108.494 160.5071
163.330090 108.481 160.5261
163.696301 108.472 160.5488
164.062512 108.464 160.5660
164.428723 108.458 160.5743
164.794934 108.451 160.5756
165.161145 108.443 160.5742
165.527356 108.433 160.5731
165.893567 108.423 160.5735
166.259778 108.412 160.5763
166.625988 108.401 160.5822
166.992199 108.390 160.5913
167.358410 108.381 160.6016
167.724621 108.374 160.6104
168.090832 108.366 160.6173
168.457043 108.357 160.6262
168.823254 108.346 160.6426
