* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12.06.2022 17:16:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tin Hifi T1s θών 12
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 119.088 -120.6655
20.523834 119.177 -121.4788
20.860291 119.258 -122.2731
21.196747 119.335 -123.0647
21.533203 119.412 -123.8640
21.869659 119.489 -124.6708
22.206116 119.566 -125.4753
22.542572 119.640 -126.2631
22.879028 119.711 -127.0230
23.215485 119.780 -127.7518
23.551941 119.848 -128.4558
23.888397 119.914 -129.1466
24.224854 119.978 -129.8358
24.561310 120.040 -130.5294
24.897766 120.098 -131.2264
25.234222 120.155 -131.9203
25.570679 120.209 -132.6030
25.907135 120.261 -133.2693
26.243591 120.313 -133.9186
26.580048 120.365 -134.5540
26.916504 120.416 -135.1798
27.252960 120.465 -135.7991
27.589417 120.512 -136.4128
27.925873 120.558 -137.0200
28.262329 120.602 -137.6203
28.598785 120.644 -138.2144
28.935242 120.686 -138.8033
29.271698 120.726 -139.3869
29.608154 120.765 -139.9629
29.944611 120.803 -140.5276
30.281067 120.839 -141.0780
30.617523 120.875 -141.6146
30.953979 120.910 -142.1417
31.290436 120.946 -142.6658
31.626892 120.980 -143.1921
31.963348 121.014 -143.7218
32.299805 121.045 -144.2518
32.636261 121.075 -144.7768
32.972717 121.103 -145.2923
33.309174 121.131 -145.7968
33.645630 121.158 -146.2915
33.982086 121.185 -146.7793
34.318542 121.211 -147.2619
34.654999 121.237 -147.7397
34.991455 121.262 -148.2122
35.327911 121.287 -148.6790
35.664368 121.310 -149.1403
36.000824 121.333 -149.5970
36.337280 121.355 -150.0497
36.673737 121.375 -150.4986
37.010193 121.395 -150.9437
37.346649 121.414 -151.3847
37.683105 121.433 -151.8221
38.019562 121.451 -152.2563
38.356018 121.470 -152.6879
38.692474 121.488 -153.1165
39.028931 121.505 -153.5415
39.365387 121.522 -153.9618
39.701843 121.538 -154.3760
40.038300 121.552 -154.7831
40.374756 121.566 -155.1833
40.711212 121.579 -155.5781
41.047668 121.592 -155.9700
41.384125 121.605 -156.3609
41.720581 121.617 -156.7512
42.057037 121.630 -157.1387
42.393494 121.642 -157.5204
42.729950 121.655 -157.8950
43.066406 121.667 -158.2644
43.402863 121.679 -158.6322
43.739319 121.689 -159.0010
44.075775 121.697 -159.3693
44.412231 121.704 -159.7327
44.748688 121.710 -160.0877
45.085144 121.718 -160.4370
45.421600 121.729 -160.7890
45.758057 121.742 -161.1517
46.094513 121.754 -161.5233
46.430969 121.763 -161.8889
46.767426 121.767 -162.2269
47.103882 121.769 -162.5251
47.440338 121.773 -162.7950
47.776794 121.779 -163.0726
48.113251 121.787 -163.4007
48.449707 121.791 -163.8023
48.786163 121.787 -164.2612
49.122620 121.772 -164.7254
49.459076 121.750 -165.1327
49.795532 121.733 -165.4455
50.131989 121.729 -165.6731
50.468445 121.743 -165.8666
50.804901 121.771 -166.0868
51.141357 121.804 -166.3679
51.477814 121.830 -166.7009
51.814270 121.843 -167.0451
52.150726 121.844 -167.3582
52.487183 121.838 -167.6236
52.823639 121.833 -167.8583
53.160095 121.832 -168.0975
53.496552 121.834 -168.3695
53.833008 121.836 -168.6777
54.169464 121.837 -169.0018
54.505920 121.836 -169.3154
54.842377 121.835 -169.6032
55.178833 121.837 -169.8697
55.515289 121.841 -170.1310
55.851746 121.844 -170.4015
56.188202 121.846 -170.6832
56.524658 121.843 -170.9666
56.861115 121.837 -171.2402
57.197571 121.831 -171.4996
57.534027 121.828 -171.7507
57.870483 121.827 -172.0044
58.206940 121.828 -172.2685
58.543396 121.830 -172.5422
58.879852 121.831 -172.8179
59.216309 121.830 -173.0861
59.552765 121.828 -173.3414
59.889221 121.824 -173.5839
60.225677 121.820 -173.8176
60.562134 121.815 -174.0476
60.898590 121.810 -174.2781
61.235046 121.805 -174.5124
61.571503 121.800 -174.7534
61.907959 121.796 -175.0030
62.244415 121.792 -175.2605
62.580872 121.789 -175.5220
62.917328 121.785 -175.7810
63.253784 121.781 -176.0313
63.590240 121.778 -176.2697
63.926697 121.775 -176.4977
64.263153 121.774 -176.7198
64.599609 121.772 -176.9406
64.936066 121.769 -177.1627
65.272522 121.765 -177.3854
65.608978 121.760 -177.6070
65.945435 121.754 -177.8263
66.281891 121.748 -178.0441
66.618347 121.742 -178.2625
66.954803 121.737 -178.4830
67.291260 121.732 -178.7051
67.627716 121.727 -178.9266
67.964172 121.721 -179.1444
68.300629 121.715 -179.3570
68.637085 121.709 -179.5648
68.973541 121.703 -179.7701
69.309998 121.697 -179.9751
69.646454 121.690 179.8188
69.982910 121.684 179.6116
70.319366 121.676 179.4039
70.655823 121.670 179.1962
70.992279 121.663 178.9887
71.328735 121.657 178.7817
71.665192 121.650 178.5760
72.001648 121.644 178.3729
72.338104 121.638 178.1738
72.674561 121.632 177.9789
73.011017 121.625 177.7869
73.347473 121.619 177.5958
73.683929 121.612 177.4040
74.020386 121.605 177.2112
74.356842 121.597 177.0187
74.693298 121.588 176.8283
75.029755 121.579 176.6411
75.366211 121.570 176.4564
75.702667 121.562 176.2729
76.039124 121.554 176.0892
76.375580 121.546 175.9044
76.712036 121.539 175.7190
77.048492 121.532 175.5339
77.384949 121.524 175.3503
77.721405 121.516 175.1687
78.057861 121.508 174.9896
78.394318 121.499 174.8131
78.730774 121.490 174.6393
79.067230 121.481 174.4674
79.403687 121.472 174.2966
79.740143 121.463 174.1257
80.076599 121.454 173.9542
80.413055 121.445 173.7824
80.749512 121.436 173.6111
81.085968 121.427 173.4410
81.422424 121.418 173.2723
81.758881 121.409 173.1046
82.095337 121.400 172.9374
82.431793 121.391 172.7710
82.768250 121.381 172.6061
83.104706 121.371 172.4435
83.441162 121.362 172.2830
83.777618 121.352 172.1238
84.114075 121.343 171.9647
84.450531 121.334 171.8051
84.786987 121.325 171.6456
85.123444 121.315 171.4873
85.459900 121.305 171.3314
85.796356 121.294 171.1777
86.132812 121.284 171.0248
86.469269 121.274 170.8713
86.805725 121.265 170.7168
87.142181 121.254 170.5621
87.478638 121.244 170.4086
87.815094 121.234 170.2571
88.151550 121.224 170.1072
88.488007 121.215 169.9576
88.824463 121.205 169.8073
89.160919 121.195 169.6568
89.497375 121.184 169.5079
89.833832 121.173 169.3622
90.170288 121.162 169.2206
90.506744 121.151 169.0818
90.843201 121.141 168.9438
91.179657 121.130 168.8051
91.516113 121.120 168.6654
91.852570 121.109 168.5256
92.189026 121.099 168.3866
92.525482 121.088 168.2483
92.861938 121.077 168.1099
93.198395 121.066 167.9709
93.534851 121.055 167.8316
93.871307 121.043 167.6938
94.207764 121.032 167.5594
94.544220 121.021 167.4286
94.880676 121.010 167.3002
95.217133 121.000 167.1714
95.553589 120.990 167.0408
95.890045 120.980 166.9082
96.226501 120.970 166.7755
96.562958 120.959 166.6446
96.899414 120.947 166.5158
97.235870 120.936 166.3876
97.572327 120.924 166.2578
97.908783 120.913 166.1253
98.245239 120.900 165.9916
98.581696 120.887 165.8598
98.918152 120.875 165.7332
99.254608 120.862 165.6129
99.591064 120.850 165.4974
99.927521 120.840 165.3839
100.263977 120.830 165.2696
100.600433 120.820 165.1534
100.936890 120.809 165.0358
101.273346 120.799 164.9176
101.609802 120.787 164.7993
101.946259 120.776 164.6808
102.282715 120.763 164.5622
102.619171 120.751 164.4442
102.955627 120.739 164.3279
103.292084 120.727 164.2140
103.628540 120.715 164.1017
103.964996 120.704 163.9893
104.301453 120.693 163.8752
104.637909 120.682 163.7596
104.974365 120.670 163.6446
105.310822 120.658 163.5329
105.647278 120.646 163.4260
105.983734 120.634 163.3230
106.320190 120.622 163.2205
106.656647 120.611 163.1149
106.993103 120.600 163.0050
107.329559 120.588 162.8925
107.666016 120.576 162.7809
108.002472 120.563 162.6736
108.338928 120.550 162.5707
108.675385 120.539 162.4697
109.011841 120.528 162.3668
109.348297 120.517 162.2598
109.684753 120.506 162.1498
110.021210 120.494 162.0413
110.357666 120.481 161.9388
110.694122 120.468 161.8443
111.030579 120.456 161.7553
111.367035 120.445 161.6659
111.703491 120.434 161.5699
112.039948 120.424 161.4647
112.376404 120.412 161.3527
112.712860 120.399 161.2406
113.049316 120.385 161.1349
113.385773 120.371 161.0384
113.722229 120.359 160.9482
114.058685 120.348 160.8577
114.395142 120.338 160.7608
114.731598 120.328 160.6563
115.068054 120.316 160.5489
115.404510 120.302 160.4465
115.740967 120.289 160.3549
116.077423 120.276 160.2735
116.413879 120.265 160.1955
116.750336 120.255 160.1123
117.086792 120.246 160.0192
117.423248 120.235 159.9191
117.759705 120.223 159.8207
118.096161 120.209 159.7325
118.432617 120.195 159.6565
118.769073 120.183 159.5865
119.105530 120.171 159.5116
119.441986 120.161 159.4233
119.778442 120.149 159.3216
120.114899 120.136 159.2148
120.451355 120.121 159.1145
120.787811 120.106 159.0279
121.124268 120.093 158.9535
121.460724 120.083 158.8827
121.797180 120.074 158.8061
122.133636 120.065 158.7199
122.470093 120.055 158.6280
122.806549 120.043 158.5383
123.143005 120.030 158.4567
123.479462 120.017 158.3824
123.815918 120.004 158.3091
124.152374 119.992 158.2296
124.488831 119.980 158.1406
124.825287 119.967 158.0455
125.161743 119.954 157.9511
125.498199 119.940 157.8631
125.834656 119.927 157.7827
126.171112 119.915 157.7064
126.507568 119.905 157.6299
126.844025 119.894 157.5508
127.180481 119.882 157.4702
127.516937 119.870 157.3908
127.853394 119.857 157.3145
128.189850 119.844 157.2412
128.526306 119.830 157.1696
128.862762 119.817 157.0984
129.199219 119.804 157.0278
129.535675 119.791 156.9572
129.872131 119.780 156.8849
130.208588 119.769 156.8074
130.545044 119.758 156.7224
130.881500 119.746 156.6320
131.217957 119.733 156.5435
131.554413 119.718 156.4666
131.890869 119.702 156.4070
132.227325 119.688 156.3618
132.563782 119.676 156.3185
132.900238 119.668 156.2621
133.236694 119.659 156.1833
133.573151 119.650 156.0844
133.909607 119.637 155.9787
134.246063 119.622 155.8828
134.582520 119.606 155.8070
134.918976 119.592 155.7505
135.255432 119.580 155.7025
135.591888 119.571 155.6495
135.928345 119.562 155.5839
136.264801 119.553 155.5074
136.601257 119.541 155.4280
136.937714 119.528 155.3549
137.274170 119.514 155.2918
137.610626 119.500 155.2365
137.947083 119.487 155.1828
138.283539 119.475 155.1255
138.619995 119.463 155.0631
138.956451 119.450 154.9980
139.292908 119.436 154.9336
139.629364 119.423 154.8720
139.965820 119.409 154.8124
140.302277 119.397 154.7521
140.638733 119.385 154.6891
140.975189 119.373 154.6230
141.311646 119.361 154.5553
141.648102 119.349 154.4883
141.984558 119.336 154.4232
142.321014 119.324 154.3597
142.657471 119.312 154.2969
142.993927 119.299 154.2335
143.330383 119.287 154.1701
143.666840 119.275 154.1083
144.003296 119.262 154.0498
144.339752 119.250 153.9955
144.676208 119.237 153.9445
145.012665 119.224 153.8943
145.349121 119.211 153.8427
145.685577 119.198 153.7878
146.022034 119.185 153.7285
146.358490 119.173 153.6636
146.694946 119.160 153.5924
147.031403 119.149 153.5157
147.367859 119.137 153.4385
147.704315 119.124 153.3700
148.040771 119.111 153.3210
148.377228 119.098 153.2985
148.713684 119.087 153.2990
149.050140 119.079 153.3076
149.386597 119.073 153.3028
149.723053 119.067 153.2665
150.059509 119.058 153.1937
150.395966 119.043 153.0960
150.732422 119.023 152.9951
151.068878 119.001 152.9115
151.405334 118.979 152.8533
151.741791 118.962 152.8137
152.078247 118.950 152.7762
152.414703 118.942 152.7265
152.751160 118.935 152.6612
153.087616 118.925 152.5888
153.424072 118.913 152.5231
153.760529 118.898 152.4741
154.096985 118.883 152.4414
154.433441 118.870 152.4156
154.769897 118.858 152.3845
155.106354 118.847 152.3408
155.442810 118.836 152.2851
155.779266 118.823 152.2244
156.115723 118.810 152.1673
156.452179 118.796 152.1191
156.788635 118.782 152.0803
157.125092 118.769 152.0475
157.461548 118.757 152.0168
