* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), L, volume: 0,250. Timing signal peak level -63,5 dBFS, measurement signal peak level -25,8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 14.10.2022 20:54:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0689 ms (-24 mm, -0,93 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: VE2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 127.290 -139.7600
20.287556 127.297 -139.8902
20.434568 127.309 -140.0827
20.582645 127.322 -140.3189
20.731796 127.337 -140.5829
20.882027 127.353 -140.8636
21.033346 127.369 -141.1538
21.185763 127.384 -141.4493
21.339284 127.400 -141.7479
21.493917 127.416 -142.0483
21.649671 127.431 -142.3497
21.806553 127.446 -142.6514
21.964572 127.461 -142.9529
22.123737 127.475 -143.2537
22.284054 127.490 -143.5531
22.445534 127.504 -143.8509
22.608183 127.517 -144.1466
22.772012 127.530 -144.4401
22.937027 127.543 -144.7315
23.103238 127.555 -145.0211
23.270654 127.567 -145.3091
23.439282 127.578 -145.5962
23.609133 127.589 -145.8827
23.780215 127.599 -146.1692
23.952536 127.609 -146.4561
24.126106 127.618 -146.7437
24.300934 127.627 -147.0321
24.477028 127.635 -147.3214
24.654399 127.643 -147.6113
24.833055 127.651 -147.9017
25.013005 127.659 -148.1924
25.194260 127.667 -148.4830
25.376828 127.675 -148.7732
25.560719 127.684 -149.0627
25.745942 127.692 -149.3514
25.932508 127.701 -149.6391
26.120426 127.710 -149.9255
26.309705 127.719 -150.2107
26.500356 127.728 -150.4944
26.692388 127.737 -150.7767
26.885812 127.746 -151.0575
27.080638 127.755 -151.3367
27.276876 127.764 -151.6143
27.474535 127.773 -151.8902
27.673627 127.781 -152.1644
27.874161 127.790 -152.4367
28.076149 127.798 -152.7072
28.279600 127.805 -152.9758
28.484526 127.813 -153.2422
28.690937 127.820 -153.5067
28.898843 127.827 -153.7691
29.108256 127.834 -154.0297
29.319186 127.841 -154.2886
29.531645 127.847 -154.5461
29.745644 127.854 -154.8025
29.961193 127.860 -155.0582
30.178304 127.867 -155.3137
30.396989 127.873 -155.5690
30.617258 127.879 -155.8244
30.839123 127.885 -156.0799
31.062596 127.891 -156.3352
31.287688 127.897 -156.5900
31.514412 127.903 -156.8437
31.742778 127.908 -157.0960
31.972800 127.914 -157.3463
32.204488 127.919 -157.5942
32.437855 127.925 -157.8395
32.672913 127.930 -158.0822
32.909674 127.936 -158.3224
33.148151 127.941 -158.5606
33.388356 127.947 -158.7970
33.630302 127.952 -159.0322
33.874001 127.957 -159.2666
34.119466 127.962 -159.5006
34.366710 127.967 -159.7343
34.615745 127.971 -159.9678
34.866585 127.975 -160.2012
35.119243 127.979 -160.4344
35.373731 127.983 -160.6674
35.630064 127.987 -160.9001
35.888254 127.990 -161.1323
36.148315 127.994 -161.3640
36.410261 127.997 -161.5951
36.674104 128.000 -161.8254
36.939860 128.004 -162.0548
37.207542 128.007 -162.2830
37.477163 128.010 -162.5100
37.748738 128.013 -162.7357
38.022281 128.016 -162.9599
38.297806 128.019 -163.1825
38.575327 128.022 -163.4036
38.854860 128.024 -163.6231
39.136419 128.027 -163.8410
39.420017 128.030 -164.0574
39.705671 128.032 -164.2723
39.993395 128.034 -164.4860
40.283203 128.036 -164.6988
40.575112 128.038 -164.9111
40.869136 128.039 -165.1233
41.165290 128.041 -165.3353
41.463591 128.042 -165.5470
41.764053 128.043 -165.7579
42.066693 128.045 -165.9674
42.371525 128.046 -166.1745
42.678567 128.047 -166.3791
42.987834 128.048 -166.5809
43.299341 128.050 -166.7805
43.613106 128.051 -166.9788
43.929145 128.052 -167.1766
44.247473 128.053 -167.3744
44.568109 128.054 -167.5723
44.891068 128.055 -167.7700
45.216367 128.056 -167.9669
45.544023 128.058 -168.1625
45.874054 128.059 -168.3561
46.206476 128.061 -168.5473
46.541307 128.064 -168.7357
46.878565 128.066 -168.9209
47.218266 128.068 -169.1030
47.560429 128.070 -169.2831
47.905072 128.072 -169.4628
48.252212 128.074 -169.6450
48.601867 128.076 -169.8323
48.954056 128.077 -170.0267
49.308798 128.078 -170.2282
49.666109 128.079 -170.4355
50.026010 128.079 -170.6456
50.388520 128.079 -170.8555
50.753656 128.079 -171.0629
51.121437 128.079 -171.2665
51.491884 128.079 -171.4665
51.865016 128.079 -171.6636
52.240851 128.079 -171.8587
52.619410 128.078 -172.0525
53.000712 128.077 -172.2454
53.384777 128.076 -172.4375
53.771625 128.074 -172.6292
54.161276 128.072 -172.8205
54.553751 128.070 -173.0117
54.949070 128.068 -173.2025
55.347254 128.065 -173.3926
55.748323 128.063 -173.5816
56.152298 128.061 -173.7688
56.559201 128.059 -173.9539
56.969052 128.057 -174.1366
57.381873 128.054 -174.3172
57.797686 128.052 -174.4961
58.216512 128.049 -174.6740
58.638373 128.047 -174.8515
59.063291 128.044 -175.0291
59.491288 128.041 -175.2070
59.922386 128.038 -175.3853
60.356608 128.034 -175.5636
60.793977 128.031 -175.7419
61.234515 128.028 -175.9198
61.678246 128.024 -176.0970
62.125192 128.021 -176.2733
62.575377 128.017 -176.4484
63.028824 128.013 -176.6223
63.485557 128.009 -176.7948
63.945599 128.005 -176.9662
64.408975 128.001 -177.1366
64.875709 127.996 -177.3064
65.345825 127.992 -177.4761
65.819348 127.987 -177.6459
66.296302 127.983 -177.8157
66.776713 127.978 -177.9850
67.260604 127.974 -178.1532
67.748002 127.969 -178.3199
68.238932 127.964 -178.4849
68.733420 127.959 -178.6485
69.231490 127.954 -178.8110
69.733170 127.949 -178.9732
70.238485 127.943 -179.1355
70.747463 127.938 -179.2981
71.260128 127.933 -179.4609
71.776508 127.927 -179.6238
72.296630 127.922 -179.7865
72.820521 127.917 -179.9489
73.348209 127.912 179.8892
73.879720 127.906 179.7278
74.415083 127.901 179.5670
74.954326 127.896 179.4066
75.497475 127.890 179.2463
76.044561 127.885 179.0861
76.595612 127.879 178.9260
77.150655 127.873 178.7659
77.709720 127.867 178.6061
78.272837 127.861 178.4467
78.840034 127.855 178.2873
79.411342 127.849 178.1277
79.986789 127.842 177.9676
80.566406 127.835 177.8071
81.150224 127.828 177.6464
81.738272 127.821 177.4860
82.330581 127.814 177.3262
82.927182 127.807 177.1672
83.528107 127.800 177.0089
84.133386 127.792 176.8513
84.743051 127.785 176.6942
85.357134 127.777 176.5374
85.975667 127.768 176.3807
86.598682 127.760 176.2236
87.226212 127.752 176.0662
87.858289 127.744 175.9084
88.494946 127.735 175.7509
89.136217 127.727 175.5945
89.782135 127.718 175.4402
90.432733 127.708 175.2883
91.088046 127.699 175.1379
91.748108 127.689 174.9875
92.412952 127.679 174.8363
93.082615 127.669 174.6842
93.757130 127.659 174.5323
94.436533 127.649 174.3818
95.120859 127.638 174.2338
95.810144 127.628 174.0886
96.504423 127.617 173.9462
97.203734 127.607 173.8060
97.908112 127.596 173.6671
98.617595 127.585 173.5281
99.332219 127.574 173.3875
100.052021 127.562 173.2445
100.777039 127.550 173.0992
101.507311 127.538 172.9531
102.242875 127.526 172.8075
102.983769 127.513 172.6638
103.730032 127.500 172.5224
104.481702 127.487 172.3833
105.238820 127.474 172.2458
106.001424 127.461 172.1092
106.769554 127.448 171.9731
107.543250 127.434 171.8377
108.322553 127.420 171.7032
109.107503 127.406 171.5701
109.898141 127.391 171.4388
110.694508 127.376 171.3093
111.496646 127.361 171.1818
112.304596 127.345 171.0562
113.118402 127.329 170.9328
113.938104 127.312 170.8115
114.763747 127.295 170.6928
115.595372 127.278 170.5770
116.433024 127.260 170.4646
117.276746 127.242 170.3561
118.126581 127.223 170.2524
118.982575 127.204 170.1538
119.844772 127.185 170.0613
120.713217 127.165 169.9758
121.587954 127.145 169.8984
122.469031 127.125 169.8300
123.356492 127.104 169.7718
124.250384 127.084 169.7245
125.150753 127.064 169.6894
126.057647 127.044 169.6678
126.971113 127.026 169.6613
127.891198 127.008 169.6714
128.817950 126.993 169.6992
129.751418 126.980 169.7445
130.691651 126.970 169.8054
131.638696 126.965 169.8786
132.592604 126.965 169.9583
133.553425 126.971 170.0366
134.521208 126.983 170.1038
135.496004 127.001 170.1497
136.477864 127.024 170.1643
137.466839 127.052 170.1390
138.462981 127.082 170.0666
139.466340 127.112 169.9432
140.476971 127.142 169.7681
141.494925 127.170 169.5450
142.520256 127.193 169.2809
143.553016 127.211 168.9853
144.593260 127.223 168.6682
145.641043 127.230 168.3392
146.696418 127.231 168.0070
147.759441 127.226 167.6783
148.830166 127.217 167.3582
149.908651 127.205 167.0502
150.994951 127.189 166.7563
152.089123 127.171 166.4775
153.191223 127.151 166.2133
154.301310 127.129 165.9628
155.419441 127.107 165.7246
156.545674 127.084 165.4974
157.680069 127.060 165.2802
158.822683 127.036 165.0719
159.973578 127.012 164.8718
161.132813 126.987 164.6791
162.300447 126.963 164.4932
163.476543 126.938 164.3132
164.661162 126.914 164.1386
165.854364 126.889 163.9690
167.056213 126.864 163.8041
168.266772 126.839 163.6437
169.486102 126.814 163.4871
170.714268 126.789 163.3341
171.951334 126.765 163.1844
173.197364 126.740 163.0382
174.452424 126.715 162.8954
175.716578 126.690 162.7558
176.989893 126.665 162.6191
178.272434 126.640 162.4848
179.564270 126.616 162.3525
180.865467 126.591 162.2221
182.176092 126.566 162.0934
183.496216 126.541 161.9662
184.825905 126.516 161.8406
186.165229 126.491 161.7164
187.514259 126.466 161.5937
188.873065 126.441 161.4725
190.241717 126.415 161.3528
191.620287 126.390 161.2346
193.008847 126.365 161.1176
194.407468 126.339 161.0020
195.816225 126.314 160.8877
197.235190 126.288 160.7748
198.664438 126.262 160.6634
200.104042 126.237 160.5536
201.554078 126.211 160.4456
203.014622 126.185 160.3391
204.485750 126.159 160.2345
205.967538 126.132 160.1316
207.460064 126.106 160.0306
208.963405 126.079 159.9314
210.477640 126.053 159.8339
212.002848 126.026 159.7380
213.539108 126.000 159.6434
215.086500 125.973 159.5500
216.645105 125.946 159.4577
218.215005 125.919 159.3668
219.796281 125.892 159.2772
221.389015 125.866 159.1889
222.993292 125.839 159.1019
224.609193 125.812 159.0162
226.236804 125.785 158.9315
227.876209 125.758 158.8477
229.527494 125.731 158.7646
231.190745 125.704 158.6820
232.866048 125.678 158.5996
234.553491 125.651 158.5173
236.253163 125.624 158.4348
237.965150 125.597 158.3519
239.689544 125.570 158.2686
241.426433 125.543 158.1848
243.175909 125.516 158.1008
244.938062 125.489 158.0166
246.712984 125.461 157.9325
248.500768 125.433 157.8484
250.301507 125.405 157.7649
252.115295 125.376 157.6821
253.942226 125.347 157.6003
255.782396 125.318 157.5197
257.635901 125.288 157.4403
259.502837 125.258 157.3624
261.383301 125.227 157.2862
263.277392 125.196 157.2118
265.185209 125.165 157.1393
267.106850 125.134 157.0691
269.042417 125.102 157.0015
270.992009 125.070 156.9369
272.955729 125.037 156.8755
274.933678 125.005 156.8170
276.925961 124.972 156.7615
278.932681 124.938 156.7090
280.953942 124.905 156.6600
282.989850 124.871 156.6147
285.040511 124.837 156.5735
287.106032 124.803 156.5365
289.186521 124.769 156.5042
291.282086 124.735 156.4768
293.392836 124.700 156.4550
295.518881 124.666 156.4393
297.660333 124.631 156.4304
299.817302 124.597 156.4284
301.989902 124.563 156.4339
304.178245 124.530 156.4470
306.382446 124.498 156.4675
308.602620 124.467 156.4947
310.838882 124.438 156.5272
313.091348 124.410 156.5633
315.360137 124.385 156.6001
317.645367 124.362 156.6343
319.947156 124.341 156.6616
322.265625 124.322 156.6776
324.600895 124.305 156.6781
326.953086 124.288 156.6601
329.322323 124.272 156.6221
331.708729 124.255 156.5646
334.112427 124.236 156.4897
336.533543 124.215 156.4012
338.972204 124.192 156.3036
341.428536 124.166 156.2016
343.902668 124.138 156.0992
346.394729 124.107 155.9999
348.904848 124.075 155.9064
351.433156 124.040 155.8205
353.979786 124.005 155.7431
356.544869 123.968 155.6746
