* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -12,4 dBFS, measurement signal peak level -12,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16.04.2024 18:00:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0306 ms (-10 mm, -0,41 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: test апр 16
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 111.964 68.4572
20.523834 112.067 66.7252
20.860291 112.132 64.9015
21.196747 112.175 63.2425
21.533203 112.203 61.9800
21.869659 112.221 61.3164
22.206116 112.249 61.3582
22.542572 112.323 61.9771
22.879028 112.478 62.7161
23.215485 112.710 62.9257
23.551941 112.962 62.1191
23.888397 113.159 60.2614
24.224854 113.246 57.7874
24.561310 113.215 55.4184
24.897766 113.115 53.8836
25.234222 113.035 53.5815
25.570679 113.066 54.2994
25.907135 113.233 55.2920
26.243591 113.465 55.8032
26.580048 113.654 55.5378
26.916504 113.722 54.6784
27.252960 113.662 53.6160
27.589417 113.529 52.6739
27.925873 113.404 51.9397
28.262329 113.350 51.2763
28.598785 113.376 50.5152
28.935242 113.450 49.6664
29.271698 113.533 48.9383
29.608154 113.613 48.5614
29.944611 113.705 48.5714
30.281067 113.826 48.7216
30.617523 113.969 48.6180
30.953979 114.097 47.9830
31.290436 114.170 46.8290
31.626892 114.169 45.4330
31.963348 114.113 44.1727
32.299805 114.050 43.3254
32.636261 114.029 42.9246
32.972717 114.074 42.7687
33.309174 114.166 42.5905
33.645630 114.262 42.2477
33.982086 114.327 41.7780
34.318542 114.348 41.3104
34.654999 114.344 40.9348
34.991455 114.344 40.6233
35.327911 114.366 40.2552
35.664368 114.409 39.7206
36.000824 114.457 39.0131
36.337280 114.494 38.2365
36.673737 114.517 37.5286
37.010193 114.537 36.9655
37.346649 114.565 36.5145
37.683105 114.606 36.0673
38.019562 114.653 35.5268
38.356018 114.689 34.8818
38.692474 114.707 34.2150
39.028931 114.707 33.6485
39.365387 114.703 33.2673
39.701843 114.710 33.0702
40.038300 114.736 32.9766
40.374756 114.778 32.8790
40.711212 114.826 32.7019
41.047668 114.867 32.4279
41.384125 114.897 32.0858
41.720581 114.913 31.7242
42.057037 114.919 31.3904
42.393494 114.919 31.1217
42.729950 114.918 30.9400
43.066406 114.919 30.8401
43.402863 114.926 30.7789
43.739319 114.940 30.6802
44.075775 114.955 30.4652
44.412231 114.963 30.0974
44.748688 114.955 29.6117
45.085144 114.933 29.1037
45.421600 114.908 28.6792
45.758057 114.899 28.3904
46.094513 114.919 28.1996
46.430969 114.965 28.0044
46.767426 115.018 27.7129
47.103882 115.049 27.3158
47.440338 115.037 26.9034
47.776794 114.980 26.6194
48.113251 114.898 26.5755
48.449707 114.827 26.7684
48.786163 114.800 27.0507
49.122620 114.829 27.1932
49.459076 114.900 27.0122
49.795532 114.978 26.4734
50.131989 115.034 25.7034
50.468445 115.050 24.9189
50.804901 115.035 24.3201
51.141357 115.011 23.9963
51.477814 115.003 23.8832
51.814270 115.025 23.8024
52.150726 115.069 23.5728
52.487183 115.114 23.1232
52.823639 115.137 22.5301
53.160095 115.131 21.9667
53.496552 115.107 21.5998
53.833008 115.087 21.4901
54.169464 115.090 21.5554
54.505920 115.119 21.6237
54.842377 115.158 21.5472
55.178833 115.184 21.2903
55.515289 115.183 20.9321
55.851746 115.158 20.5947
56.188202 115.130 20.3527
56.524658 115.118 20.1847
56.861115 115.132 20.0008
57.197571 115.161 19.7253
57.534027 115.189 19.3658
57.870483 115.199 19.0129
58.206940 115.192 18.7741
58.543396 115.178 18.6927
58.879852 115.172 18.7090
59.216309 115.177 18.6964
59.552765 115.186 18.5476
59.889221 115.184 18.2461
60.225677 115.164 17.8709
60.562134 115.131 17.5383
60.898590 115.099 17.3255
61.235046 115.086 17.2251
61.571503 115.100 17.1596
61.907959 115.134 17.0429
62.244415 115.175 16.8375
62.580872 115.209 16.5691
62.917328 115.229 16.2963
63.253784 115.239 16.0665
63.590240 115.243 15.8905
63.926697 115.248 15.7464
64.263153 115.255 15.6031
64.599609 115.262 15.4408
64.936066 115.269 15.2548
65.272522 115.275 15.0466
65.608978 115.278 14.8162
65.945435 115.278 14.5655
66.281891 115.273 14.3084
66.618347 115.260 14.0753
66.954803 115.245 13.9019
67.291260 115.232 13.8059
67.627716 115.230 13.7668
67.964172 115.242 13.7270
68.300629 115.265 13.6179
68.637085 115.289 13.3984
68.973541 115.302 13.0804
69.309998 115.295 12.7271
69.646454 115.272 12.4225
69.982910 115.241 12.2297
70.319366 115.218 12.1555
70.655823 115.213 12.1428
70.992279 115.230 12.0994
71.328735 115.259 11.9486
71.665192 115.285 11.6721
72.001648 115.295 11.3193
72.338104 115.284 10.9802
72.674561 115.259 10.7365
73.011017 115.232 10.6180
73.347473 115.216 10.5858
73.683929 115.216 10.5563
74.020386 115.228 10.4531
74.356842 115.240 10.2535
74.693298 115.242 9.9984
75.029755 115.232 9.7632
75.366211 115.215 9.6087
75.702667 115.203 9.5414
76.039124 115.204 9.5078
76.375580 115.216 9.4279
76.712036 115.232 9.2448
77.048492 115.238 8.9609
77.384949 115.227 8.6377
77.721405 115.199 8.3637
78.057861 115.163 8.2097
78.394318 115.133 8.1932
78.730774 115.121 8.2691
79.067230 115.131 8.3501
79.403687 115.158 8.3483
79.740143 115.190 8.2126
80.076599 115.214 7.9451
80.413055 115.220 7.5941
80.749512 115.204 7.2311
81.085968 115.170 6.9257
81.422424 115.126 6.7242
81.758881 115.084 6.6404
82.095337 115.052 6.6563
82.431793 115.037 6.7324
82.768250 115.040 6.8204
83.104706 115.060 6.8736
83.441162 115.092 6.8534
83.777618 115.129 6.7346
84.114075 115.163 6.5109
84.450531 115.184 6.2004
84.786987 115.187 5.8455
85.123444 115.170 5.5047
85.459900 115.135 5.2356
85.796356 115.091 5.0750
86.132812 115.049 5.0251
86.469269 115.017 5.0542
86.805725 114.999 5.1129
87.142181 114.995 5.1571
87.478638 115.000 5.1630
87.815094 115.011 5.1283
88.151550 115.026 5.0595
88.488007 115.042 4.9598
88.824463 115.059 4.8245
89.160919 115.072 4.6476
89.497375 115.078 4.4323
89.833832 115.073 4.1968
90.170288 115.058 3.9698
90.506744 115.033 3.7796
90.843201 115.006 3.6428
91.179657 114.979 3.5603
91.516113 114.958 3.5224
91.852570 114.944 3.5162
92.189026 114.937 3.5303
92.525482 114.938 3.5522
92.861938 114.946 3.5632
93.198395 114.959 3.5376
93.534851 114.973 3.4512
93.871307 114.981 3.2957
94.207764 114.978 3.0880
94.544220 114.964 2.8675
94.880676 114.940 2.6798
95.217133 114.913 2.5546
95.553589 114.893 2.4906
95.890045 114.884 2.4570
96.226501 114.886 2.4130
96.562958 114.894 2.3325
96.899414 114.900 2.2168
97.235870 114.901 2.0888
97.572327 114.896 1.9729
97.908783 114.889 1.8757
98.245239 114.882 1.7812
98.581696 114.878 1.6639
98.918152 114.872 1.5121
99.254608 114.861 1.3415
99.591064 114.846 1.1916
99.927521 114.828 1.1025
100.263977 114.814 1.0901
100.600433 114.808 1.1338
100.936890 114.811 1.1872
101.273346 114.820 1.2052
101.609802 114.826 1.1688
101.946259 114.825 1.0906
102.282715 114.815 1.0007
102.619171 114.801 0.9226
102.955627 114.790 0.8573
103.292084 114.785 0.7856
103.628540 114.786 0.6850
103.964996 114.790 0.5496
104.301453 114.793 0.3968
104.637909 114.793 0.2571
104.974365 114.789 0.1552
105.310822 114.785 0.0950
105.647278 114.782 0.0588
105.983734 114.780 0.0196
106.320190 114.777 -0.0426
106.656647 114.769 -0.1318
106.993103 114.758 -0.2372
107.329559 114.743 -0.3437
107.666016 114.726 -0.4406
108.002472 114.711 -0.5251
108.338928 114.698 -0.6001
108.675385 114.687 -0.6690
109.011841 114.680 -0.7337
109.348297 114.674 -0.7947
109.684753 114.671 -0.8530
110.021210 114.669 -0.9096
110.357666 114.670 -0.9645
110.694122 114.672 -1.0162
111.030579 114.676 -1.0634
111.367035 114.683 -1.1087
111.703491 114.689 -1.1590
112.039948 114.695 -1.2217
112.376404 114.696 -1.2980
112.712860 114.690 -1.3785
113.049316 114.678 -1.4470
113.385773 114.662 -1.4913
113.722229 114.648 -1.5150
114.058685 114.640 -1.5406
114.395142 114.639 -1.5991
114.731598 114.641 -1.7106
115.068054 114.641 -1.8673
115.404510 114.634 -2.0333
115.740967 114.618 -2.1610
116.077423 114.597 -2.2171
116.413879 114.577 -2.2023
116.750336 114.562 -2.1527
117.086792 114.552 -2.1190
117.423248 114.543 -2.1376
117.759705 114.532 -2.2109
118.096161 114.516 -2.3085
118.432617 114.497 -2.3892
118.769073 114.483 -2.4277
119.105530 114.479 -2.4301
119.441986 114.487 -2.4283
119.778442 114.503 -2.4570
120.114899 114.519 -2.5296
120.451355 114.528 -2.6289
120.787811 114.526 -2.7190
121.124268 114.516 -2.7695
121.460724 114.506 -2.7767
121.797180 114.499 -2.7679
122.133636 114.500 -2.7848
122.470093 114.503 -2.8561
122.806549 114.504 -2.9772
123.143005 114.499 -3.1105
123.479462 114.487 -3.2073
123.815918 114.474 -3.2374
124.152374 114.467 -3.2091
124.488831 114.467 -3.1653
124.825287 114.474 -3.1577
125.161743 114.481 -3.2141
125.498199 114.480 -3.3215
125.834656 114.468 -3.4361
126.171112 114.449 -3.5121
126.507568 114.431 -3.5324
126.844025 114.421 -3.5198
127.180481 114.419 -3.5204
127.516937 114.422 -3.5711
127.853394 114.423 -3.6722
128.189850 114.416 -3.7873
128.526306 114.403 -3.8681
128.862762 114.390 -3.8884
129.199219 114.385 -3.8636
129.535675 114.390 -3.8411
129.872131 114.400 -3.8669
130.208588 114.407 -3.9537
130.545044 114.403 -4.0708
130.881500 114.386 -4.1642
131.217957 114.361 -4.1903
131.554413 114.337 -4.1434
131.890869 114.321 -4.0569
132.227325 114.314 -3.9804
132.563782 114.314 -3.9484
132.900238 114.315 -3.9625
133.236694 114.313 -3.9977
133.573151 114.309 -4.0254
133.909607 114.306 -4.0335
134.246063 114.306 -4.0329
134.582520 114.308 -4.0459
134.918976 114.310 -4.0880
135.255432 114.309 -4.1569
135.591888 114.303 -4.2350
135.928345 114.293 -4.3009
136.264801 114.284 -4.3427
136.601257 114.277 -4.3627
136.937714 114.275 -4.3734
137.274170 114.278 -4.3891
137.610626 114.283 -4.4177
137.947083 114.288 -4.4587
138.283539 114.291 -4.5041
138.619995 114.291 -4.5437
138.956451 114.290 -4.5688
139.292908 114.289 -4.5755
139.629364 114.290 -4.5659
139.965820 114.294 -4.5465
140.302277 114.300 -4.5243
140.638733 114.306 -4.5031
140.975189 114.312 -4.4821
141.311646 114.316 -4.4585
141.648102 114.319 -4.4331
141.984558 114.321 -4.4136
142.321014 114.324 -4.4135
142.657471 114.326 -4.4449
142.993927 114.328 -4.5112
143.330383 114.328 -4.6026
143.666840 114.327 -4.7013
144.003296 114.326 -4.7899
144.339752 114.328 -4.8602
144.676208 114.335 -4.9164
145.012665 114.346 -4.9705
145.349121 114.359 -5.0356
145.685577 114.374 -5.1199
146.022034 114.387 -5.2252
146.358490 114.397 -5.3488
146.694946 114.404 -5.4845
147.031403 114.406 -5.6225
147.367859 114.405 -5.7495
147.704315 114.400 -5.8512
148.040771 114.394 -5.9183
148.377228 114.388 -5.9525
148.713684 114.386 -5.9695
149.050140 114.386 -5.9932
149.386597 114.387 -6.0455
149.723053 114.387 -6.1357
150.059509 114.383 -6.2572
150.395966 114.375 -6.3920
150.732422 114.365 -6.5209
151.068878 114.357 -6.6327
151.405334 114.351 -6.7266
151.741791 114.349 -6.8091
152.078247 114.350 -6.8867
152.414703 114.352 -6.9619
152.751160 114.353 -7.0328
153.087616 114.353 -7.0971
153.424072 114.352 -7.1561
153.760529 114.349 -7.2154
154.096985 114.345 -7.2817
154.433441 114.339 -7.3582
154.769897 114.332 -7.4427
155.106354 114.323 -7.5280
155.442810 114.314 -7.6067
