* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 19.12.2024 17:56:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: YU9 Yan stock
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 74.413 -154.7793
20.287556 74.412 -154.9322
20.434568 74.409 -155.1573
20.582645 74.407 -155.4328
20.731796 74.406 -155.7399
20.882027 74.405 -156.0657
21.033346 74.406 -156.4018
21.185763 74.409 -156.7438
21.339284 74.414 -157.0895
21.493917 74.421 -157.4386
21.649671 74.430 -157.7912
21.806553 74.440 -158.1480
21.964572 74.450 -158.5095
22.123737 74.459 -158.8762
22.284054 74.467 -159.2482
22.445534 74.473 -159.6253
22.608183 74.475 -160.0067
22.772012 74.473 -160.3912
22.937027 74.467 -160.7773
23.103238 74.456 -161.1629
23.270654 74.441 -161.5461
23.439282 74.422 -161.9247
23.609133 74.401 -162.2971
23.780215 74.378 -162.6623
23.952536 74.355 -163.0203
24.126106 74.333 -163.3718
24.300934 74.315 -163.7188
24.477028 74.301 -164.0635
24.654399 74.292 -164.4086
24.833055 74.288 -164.7563
25.013005 74.290 -165.1076
25.194260 74.297 -165.4617
25.376828 74.307 -165.8161
25.560719 74.319 -166.1662
25.745942 74.331 -166.5058
25.932508 74.343 -166.8282
26.120426 74.353 -167.1270
26.309705 74.361 -167.3976
26.500356 74.366 -167.6380
26.692388 74.370 -167.8501
26.885812 74.372 -168.0394
27.080638 74.373 -168.2151
27.276876 74.373 -168.3891
27.474535 74.374 -168.5739
27.673627 74.374 -168.7816
27.874161 74.373 -169.0213
28.076149 74.372 -169.2984
28.279600 74.369 -169.6133
28.484526 74.364 -169.9623
28.690937 74.357 -170.3376
28.898843 74.349 -170.7294
29.108256 74.339 -171.1273
29.319186 74.330 -171.5218
29.531645 74.320 -171.9058
29.745644 74.311 -172.2747
29.961193 74.303 -172.6267
30.178304 74.296 -172.9620
30.396989 74.288 -173.2821
30.617258 74.279 -173.5889
30.839123 74.269 -173.8845
31.062596 74.257 -174.1711
31.287688 74.244 -174.4510
31.514412 74.229 -174.7275
31.742778 74.213 -175.0045
31.972800 74.198 -175.2864
32.204488 74.182 -175.5777
32.437855 74.168 -175.8812
32.672913 74.154 -176.1976
32.909674 74.140 -176.5248
33.148151 74.127 -176.8578
33.388356 74.113 -177.1903
33.630302 74.100 -177.5160
33.874001 74.088 -177.8305
34.119466 74.077 -178.1323
34.366710 74.067 -178.4230
34.615745 74.058 -178.7063
34.866585 74.050 -178.9864
35.119243 74.041 -179.2659
35.373731 74.031 -179.5449
35.630064 74.018 -179.8211
35.888254 74.004 179.9087
36.148315 73.988 179.6467
36.410261 73.972 179.3921
36.674104 73.956 179.1409
36.939860 73.940 178.8867
37.207542 73.924 178.6239
37.477163 73.907 178.3501
37.748738 73.888 178.0685
38.022281 73.866 177.7870
38.297806 73.840 177.5159
38.575327 73.814 177.2635
38.854860 73.787 177.0327
39.136419 73.763 176.8183
39.420017 73.744 176.6095
39.705671 73.729 176.3931
39.993395 73.717 176.1587
40.283203 73.708 175.9025
40.575112 73.698 175.6276
40.869136 73.688 175.3423
41.165290 73.676 175.0563
41.463591 73.662 174.7784
41.764053 73.646 174.5153
42.066693 73.626 174.2728
42.371525 73.603 174.0562
42.678567 73.577 173.8682
42.987834 73.552 173.7042
43.299341 73.530 173.5472
43.613106 73.515 173.3669
43.929145 73.507 173.1255
44.247473 73.504 172.7918
44.568109 73.499 172.3571
44.891068 73.485 171.8446
45.216367 73.458 171.3073
45.544023 73.415 170.8121
45.874054 73.359 170.4186
46.206476 73.296 170.1578
46.541307 73.233 170.0228
46.878565 73.173 169.9751
47.218266 73.118 169.9637
47.560429 73.064 169.9460
47.905072 73.012 169.8994
48.252212 72.963 169.8179
48.601867 72.921 169.7015
48.954056 72.890 169.5473
49.308798 72.873 169.3495
49.666109 72.868 169.1071
50.026010 72.872 168.8313
50.388520 72.878 168.5448
50.753656 72.881 168.2722
51.121437 72.881 168.0276
51.491884 72.877 167.8076
51.865016 72.870 167.5948
52.240851 72.860 167.3690
52.619410 72.849 167.1178
53.000712 72.835 166.8430
53.384777 72.821 166.5568
53.771625 72.808 166.2758
54.161276 72.796 166.0140
54.553751 72.784 165.7799
54.949070 72.770 165.5752
55.347254 72.755 165.3952
55.748323 72.737 165.2303
56.152298 72.717 165.0693
56.559201 72.693 164.9033
56.969052 72.667 164.7296
57.381873 72.640 164.5516
57.797686 72.611 164.3747
58.216512 72.582 164.2025
58.638373 72.553 164.0338
59.063291 72.524 163.8648
59.491288 72.494 163.6910
59.922386 72.463 163.5099
60.356608 72.432 163.3208
60.793977 72.402 163.1246
61.234515 72.373 162.9241
61.678246 72.346 162.7236
62.125192 72.320 162.5289
62.575377 72.294 162.3450
63.028824 72.268 162.1743
63.485557 72.241 162.0153
63.945599 72.212 161.8639
64.408975 72.183 161.7157
64.875709 72.153 161.5666
65.345825 72.124 161.4129
65.819348 72.095 161.2518
66.296302 72.067 161.0817
66.776713 72.039 160.9046
67.260604 72.010 160.7250
67.748002 71.980 160.5488
68.238932 71.949 160.3795
68.733420 71.919 160.2174
69.231490 71.888 160.0603
69.733170 71.858 159.9053
70.238485 71.828 159.7507
70.747463 71.798 159.5958
71.260128 71.768 159.4420
71.776508 71.737 159.2910
72.296630 71.705 159.1446
72.820521 71.673 159.0016
73.348209 71.640 158.8590
73.879720 71.608 158.7137
74.415083 71.574 158.5660
74.954326 71.541 158.4191
75.497475 71.507 158.2772
76.044561 71.474 158.1422
76.595612 71.441 158.0135
77.150655 71.409 157.8896
77.709720 71.378 157.7690
78.272837 71.346 157.6503
78.840034 71.313 157.5323
79.411342 71.280 157.4139
79.986789 71.246 157.2946
80.566406 71.213 157.1743
81.150224 71.179 157.0535
81.738272 71.145 156.9331
82.330581 71.111 156.8150
82.927182 71.078 156.7004
83.528107 71.044 156.5887
84.133386 71.010 156.4778
84.743051 70.975 156.3656
85.357134 70.941 156.2516
85.975667 70.907 156.1378
86.598682 70.873 156.0274
87.226212 70.839 155.9233
87.858289 70.804 155.8258
88.494946 70.769 155.7325
89.136217 70.735 155.6396
89.782135 70.700 155.5447
90.432733 70.664 155.4476
91.088046 70.628 155.3504
91.748108 70.592 155.2560
92.412952 70.556 155.1662
93.082615 70.520 155.0807
93.757130 70.484 154.9977
94.436533 70.449 154.9159
95.120859 70.414 154.8355
95.810144 70.379 154.7574
96.504423 70.343 154.6815
97.203734 70.308 154.6064
97.908112 70.272 154.5306
98.617595 70.238 154.4525
99.332219 70.204 154.3716
100.052021 70.170 154.2895
100.777039 70.134 154.2100
101.507311 70.098 154.1366
102.242875 70.062 154.0704
102.983769 70.025 154.0093
103.730032 69.988 153.9501
104.481702 69.952 153.8909
105.238820 69.915 153.8320
106.001424 69.878 153.7749
106.769554 69.841 153.7204
107.543250 69.804 153.6687
108.322553 69.766 153.6198
109.107503 69.729 153.5730
109.898141 69.692 153.5273
110.694508 69.655 153.4828
111.496646 69.619 153.4407
112.304596 69.583 153.4008
113.118402 69.547 153.3618
113.938104 69.512 153.3225
114.763747 69.476 153.2830
115.595372 69.439 153.2459
116.433024 69.402 153.2142
117.276746 69.365 153.1885
118.126581 69.328 153.1665
118.982575 69.291 153.1444
119.844772 69.254 153.1195
120.713217 69.217 153.0917
121.587954 69.180 153.0634
122.469031 69.143 153.0365
123.356492 69.106 153.0109
124.250384 69.069 152.9836
125.150753 69.032 152.9511
126.057647 68.995 152.9125
126.971113 68.958 152.8712
127.891198 68.921 152.8336
128.817950 68.884 152.8040
129.751418 68.847 152.7837
130.691651 68.810 152.7722
131.638696 68.773 152.7704
132.592604 68.736 152.7795
133.553425 68.698 152.7980
134.521208 68.659 152.8219
135.496004 68.620 152.8463
136.477864 68.581 152.8682
137.466839 68.541 152.8856
138.462981 68.502 152.8978
139.466340 68.462 152.9055
140.476971 68.424 152.9111
141.494925 68.387 152.9169
142.520256 68.350 152.9251
143.553016 68.313 152.9375
144.593260 68.275 152.9559
145.641043 68.237 152.9811
146.696418 68.198 153.0129
147.759441 68.159 153.0490
148.830166 68.119 153.0854
149.908651 68.079 153.1183
150.994951 68.039 153.1459
152.089123 68.000 153.1690
153.191223 67.961 153.1907
154.301310 67.922 153.2139
155.419441 67.884 153.2402
156.545674 67.845 153.2706
157.680069 67.805 153.3058
158.822683 67.765 153.3461
159.973578 67.724 153.3915
161.132813 67.684 153.4420
162.300447 67.643 153.4969
163.476543 67.602 153.5549
164.661162 67.561 153.6141
165.854364 67.519 153.6732
167.056213 67.476 153.7324
168.266772 67.433 153.7935
169.486102 67.389 153.8579
170.714268 67.344 153.9265
171.951334 67.299 154.0002
173.197364 67.254 154.0806
174.452424 67.208 154.1697
175.716578 67.161 154.2689
176.989893 67.114 154.3778
178.272434 67.067 154.4955
179.564270 67.019 154.6222
180.865467 66.970 154.7598
182.176092 66.920 154.9120
183.496216 66.870 155.0824
184.825905 66.818 155.2726
186.165229 66.766 155.4839
187.514259 66.712 155.7183
188.873065 66.658 155.9792
190.241717 66.604 156.2728
191.620287 66.551 156.6060
193.008847 66.503 156.9829
194.407468 66.461 157.4026
195.816225 66.428 157.8595
197.235190 66.406 158.3446
198.664438 66.398 158.8436
200.104042 66.405 159.3363
201.554078 66.429 159.7982
203.014622 66.468 160.2038
204.485750 66.517 160.5339
205.967538 66.570 160.7783
207.460064 66.623 160.9278
208.963405 66.671 160.9748
210.477640 66.712 160.9233
212.002848 66.743 160.7915
213.539108 66.764 160.6050
215.086500 66.773 160.3897
216.645105 66.772 160.1677
218.215005 66.762 159.9569
219.796281 66.744 159.7699
221.389015 66.719 159.6120
222.993292 66.690 159.4825
224.609193 66.657 159.3767
226.236804 66.621 159.2889
227.876209 66.582 159.2168
229.527494 66.541 159.1640
231.190745 66.500 159.1366
232.866048 66.459 159.1367
234.553491 66.419 159.1593
236.253163 66.380 159.1972
237.965150 66.342 159.2461
239.689544 66.305 159.3051
241.426433 66.268 159.3742
243.175909 66.232 159.4538
244.938062 66.196 159.5430
246.712984 66.161 159.6403
248.500768 66.125 159.7424
250.301507 66.089 159.8454
252.115295 66.053 159.9472
253.942226 66.017 160.0481
255.782396 65.982 160.1499
257.635901 65.949 160.2537
259.502837 65.917 160.3599
261.383301 65.885 160.4688
263.277392 65.853 160.5818
265.185209 65.822 160.6999
267.106850 65.791 160.8232
269.042417 65.760 160.9512
270.992009 65.729 161.0829
272.955729 65.699 161.2183
274.933678 65.669 161.3575
276.925961 65.639 161.5003
278.932681 65.609 161.6461
280.953942 65.579 161.7936
282.989850 65.550 161.9417
285.040511 65.521 162.0914
287.106032 65.492 162.2438
289.186521 65.464 162.3987
291.282086 65.436 162.5552
293.392836 65.408 162.7134
295.518881 65.380 162.8746
297.660333 65.352 163.0414
299.817302 65.324 163.2156
301.989902 65.296 163.3967
304.178245 65.268 163.5799
306.382446 65.241 163.7571
308.602620 65.214 163.9224
310.838882 65.187 164.0767
313.091348 65.162 164.2277
315.360137 65.137 164.3833
317.645367 65.112 164.5473
319.947156 65.088 164.7201
322.265625 65.064 164.9000
324.600895 65.040 165.0851
326.953086 65.016 165.2733
329.322323 64.993 165.4626
331.708729 64.969 165.6523
334.112427 64.945 165.8427
336.533543 64.922 166.0337
338.972204 64.899 166.2253
341.428536 64.876 166.4178
343.902668 64.854 166.6115
346.394729 64.832 166.8061
348.904848 64.810 167.0005
351.433156 64.789 167.1933
353.979786 64.769 167.3838
356.544869 64.749 167.5732
359.128540 64.729 167.7631
361.730934 64.709 167.9543
364.352185 64.689 168.1471
366.992431 64.669 168.3415
369.651810 64.649 168.5375
372.330459 64.629 168.7360
375.028519 64.609 168.9379
377.746130 64.590 169.1432
380.483434 64.570 169.3505
383.240574 64.550 169.5588
386.017693 64.531 169.7681
388.814937 64.512 169.9786
391.632450 64.493 170.1895
