* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 19.12.2024 17:56:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: YU9 Yan w/o foam
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 74.814 -151.3426
20.287556 74.816 -151.4959
20.434568 74.820 -151.7197
20.582645 74.824 -151.9899
20.731796 74.828 -152.2862
20.882027 74.832 -152.5938
21.033346 74.836 -152.9037
21.185763 74.840 -153.2114
21.339284 74.844 -153.5154
21.493917 74.847 -153.8163
21.649671 74.850 -154.1162
21.806553 74.852 -154.4175
21.964572 74.854 -154.7230
22.123737 74.854 -155.0349
22.284054 74.854 -155.3550
22.445534 74.853 -155.6842
22.608183 74.850 -156.0227
22.772012 74.847 -156.3692
22.937027 74.843 -156.7217
23.103238 74.840 -157.0775
23.270654 74.838 -157.4331
23.439282 74.837 -157.7850
23.609133 74.839 -158.1298
23.780215 74.845 -158.4648
23.952536 74.854 -158.7880
24.126106 74.867 -159.0990
24.300934 74.884 -159.3983
24.477028 74.905 -159.6879
24.654399 74.928 -159.9704
24.833055 74.953 -160.2494
25.013005 74.978 -160.5283
25.194260 75.001 -160.8100
25.376828 75.021 -161.0970
25.560719 75.036 -161.3905
25.745942 75.045 -161.6910
25.932508 75.047 -161.9979
26.120426 75.042 -162.3103
26.309705 75.030 -162.6271
26.500356 75.013 -162.9475
26.692388 74.991 -163.2712
26.885812 74.966 -163.5986
27.080638 74.941 -163.9306
27.276876 74.916 -164.2680
27.474535 74.893 -164.6114
27.673627 74.873 -164.9604
27.874161 74.856 -165.3134
28.076149 74.843 -165.6671
28.279600 74.833 -166.0173
28.484526 74.827 -166.3589
28.690937 74.823 -166.6872
28.898843 74.820 -166.9982
29.108256 74.819 -167.2903
29.319186 74.819 -167.5637
29.531645 74.819 -167.8213
29.745644 74.818 -168.0683
29.961193 74.818 -168.3109
30.178304 74.817 -168.5559
30.396989 74.814 -168.8092
30.617258 74.811 -169.0754
30.839123 74.806 -169.3565
31.062596 74.799 -169.6524
31.287688 74.792 -169.9604
31.514412 74.783 -170.2764
31.742778 74.774 -170.5948
31.972800 74.765 -170.9102
32.204488 74.756 -171.2178
32.437855 74.748 -171.5139
32.672913 74.740 -171.7970
32.909674 74.733 -172.0675
33.148151 74.727 -172.3275
33.388356 74.720 -172.5803
33.630302 74.714 -172.8295
33.874001 74.707 -173.0784
34.119466 74.700 -173.3293
34.366710 74.691 -173.5832
34.615745 74.681 -173.8396
34.866585 74.670 -174.0977
35.119243 74.659 -174.3563
35.373731 74.648 -174.6148
35.630064 74.638 -174.8734
35.888254 74.629 -175.1330
36.148315 74.620 -175.3950
36.410261 74.612 -175.6600
36.674104 74.605 -175.9283
36.939860 74.598 -176.1989
37.207542 74.590 -176.4701
37.477163 74.581 -176.7400
37.748738 74.571 -177.0072
38.022281 74.561 -177.2706
38.297806 74.550 -177.5298
38.575327 74.538 -177.7848
38.854860 74.525 -178.0354
39.136419 74.511 -178.2819
39.420017 74.496 -178.5242
39.705671 74.480 -178.7633
39.993395 74.465 -179.0003
40.283203 74.450 -179.2370
40.575112 74.435 -179.4749
40.869136 74.421 -179.7146
41.165290 74.407 -179.9557
41.463591 74.393 179.8033
41.764053 74.379 179.5636
42.066693 74.365 179.3258
42.371525 74.350 179.0892
42.678567 74.335 178.8529
42.987834 74.319 178.6160
43.299341 74.304 178.3793
43.613106 74.289 178.1447
43.929145 74.276 177.9138
44.247473 74.264 177.6866
44.568109 74.254 177.4609
44.891068 74.245 177.2326
45.216367 74.235 176.9987
45.544023 74.223 176.7576
45.874054 74.208 176.5095
46.206476 74.190 176.2520
46.541307 74.172 175.9772
46.878565 74.155 175.6702
47.218266 74.142 175.3147
47.560429 74.130 174.9032
47.905072 74.118 174.4477
48.252212 74.101 173.9834
48.601867 74.078 173.5612
48.954056 74.049 173.2300
49.308798 74.017 173.0180
49.666109 73.988 172.9201
50.026010 73.962 172.9003
50.388520 73.941 172.9084
50.753656 73.921 172.9008
51.121437 73.901 172.8544
51.491884 73.880 172.7682
51.865016 73.859 172.6537
52.240851 73.843 172.5226
52.619410 73.831 172.3804
53.000712 73.825 172.2276
53.384777 73.821 172.0640
53.771625 73.816 171.8914
54.161276 73.807 171.7129
54.553751 73.792 171.5297
54.949070 73.773 171.3400
55.347254 73.750 171.1412
55.748323 73.725 170.9344
56.152298 73.698 170.7256
56.559201 73.672 170.5244
56.969052 73.646 170.3388
57.381873 73.622 170.1711
57.797686 73.599 170.0165
58.216512 73.577 169.8654
58.638373 73.555 169.7080
59.063291 73.534 169.5381
59.491288 73.512 169.3546
59.922386 73.490 169.1605
60.356608 73.469 168.9614
60.793977 73.447 168.7625
61.234515 73.425 168.5673
61.678246 73.404 168.3774
62.125192 73.381 168.1923
62.575377 73.359 168.0105
63.028824 73.336 167.8315
63.485557 73.312 167.6562
63.945599 73.288 167.4859
64.408975 73.264 167.3214
64.875709 73.240 167.1607
65.345825 73.216 167.0007
65.819348 73.192 166.8386
66.296302 73.168 166.6738
66.776713 73.144 166.5083
67.260604 73.119 166.3442
67.748002 73.093 166.1838
68.238932 73.067 166.0282
68.733420 73.041 165.8783
69.231490 73.014 165.7336
69.733170 72.987 165.5919
70.238485 72.960 165.4507
70.747463 72.934 165.3086
71.260128 72.908 165.1661
71.776508 72.882 165.0240
72.296630 72.856 164.8816
72.820521 72.830 164.7368
73.348209 72.804 164.5878
73.879720 72.778 164.4344
74.415083 72.751 164.2781
74.954326 72.724 164.1212
75.497475 72.696 163.9662
76.044561 72.668 163.8158
76.595612 72.640 163.6717
77.150655 72.613 163.5341
77.709720 72.586 163.4018
78.272837 72.558 163.2732
78.840034 72.531 163.1467
79.411342 72.502 163.0209
79.986789 72.473 162.8956
80.566406 72.443 162.7726
81.150224 72.411 162.6553
81.738272 72.380 162.5457
82.330581 72.348 162.4423
82.927182 72.317 162.3409
83.528107 72.286 162.2369
84.133386 72.256 162.1283
84.743051 72.227 162.0162
85.357134 72.197 161.9039
85.975667 72.167 161.7943
86.598682 72.137 161.6875
87.226212 72.108 161.5815
87.858289 72.078 161.4750
88.494946 72.049 161.3693
89.136217 72.021 161.2668
89.782135 71.994 161.1681
90.432733 71.966 161.0713
91.088046 71.938 160.9742
91.748108 71.909 160.8765
92.412952 71.879 160.7791
93.082615 71.848 160.6837
93.757130 71.817 160.5912
94.436533 71.786 160.5020
95.120859 71.755 160.4158
95.810144 71.724 160.3307
96.504423 71.693 160.2451
97.203734 71.662 160.1581
97.908112 71.631 160.0709
98.617595 71.600 159.9853
99.332219 71.568 159.9028
100.052021 71.535 159.8244
100.777039 71.503 159.7498
101.507311 71.470 159.6782
102.242875 71.438 159.6087
102.983769 71.405 159.5413
103.730032 71.373 159.4770
104.481702 71.340 159.4162
105.238820 71.308 159.3577
106.001424 71.277 159.2998
106.769554 71.246 159.2430
107.543250 71.216 159.1893
108.322553 71.186 159.1411
109.107503 71.156 159.0986
109.898141 71.124 159.0600
110.694508 71.092 159.0226
111.496646 71.059 158.9845
112.304596 71.025 158.9451
113.118402 70.991 158.9041
113.938104 70.957 158.8610
114.763747 70.923 158.8155
115.595372 70.888 158.7685
116.433024 70.855 158.7224
117.276746 70.821 158.6794
118.126581 70.788 158.6404
118.982575 70.756 158.6038
119.844772 70.724 158.5677
120.713217 70.692 158.5316
121.587954 70.661 158.4958
122.469031 70.628 158.4611
123.356492 70.596 158.4287
124.250384 70.563 158.4007
125.150753 70.530 158.3787
126.057647 70.497 158.3618
126.971113 70.464 158.3472
127.891198 70.431 158.3318
128.817950 70.397 158.3141
129.751418 70.363 158.2937
130.691651 70.328 158.2708
131.638696 70.295 158.2474
132.592604 70.261 158.2278
133.553425 70.227 158.2168
134.521208 70.193 158.2159
135.496004 70.159 158.2227
136.477864 70.125 158.2332
137.466839 70.092 158.2448
138.462981 70.059 158.2566
139.466340 70.026 158.2685
140.476971 69.993 158.2816
141.494925 69.960 158.2973
142.520256 69.926 158.3166
143.553016 69.891 158.3391
144.593260 69.857 158.3632
145.641043 69.823 158.3864
146.696418 69.790 158.4069
147.759441 69.757 158.4247
148.830166 69.724 158.4413
149.908651 69.692 158.4580
150.994951 69.659 158.4759
152.089123 69.626 158.4957
153.191223 69.593 158.5178
154.301310 69.559 158.5430
155.419441 69.526 158.5719
156.545674 69.492 158.6048
157.680069 69.458 158.6413
158.822683 69.425 158.6805
159.973578 69.392 158.7219
161.132813 69.358 158.7655
162.300447 69.325 158.8113
163.476543 69.291 158.8589
164.661162 69.257 158.9083
165.854364 69.223 158.9595
167.056213 69.188 159.0121
168.266772 69.154 159.0652
169.486102 69.119 159.1180
170.714268 69.086 159.1713
171.951334 69.052 159.2262
173.197364 69.019 159.2846
174.452424 68.986 159.3470
175.716578 68.954 159.4126
176.989893 68.921 159.4798
178.272434 68.888 159.5475
179.564270 68.854 159.6153
180.865467 68.821 159.6832
182.176092 68.788 159.7523
183.496216 68.754 159.8242
184.825905 68.721 159.8998
186.165229 68.687 159.9789
187.514259 68.654 160.0600
188.873065 68.621 160.1412
190.241717 68.589 160.2220
191.620287 68.556 160.3036
193.008847 68.523 160.3883
194.407468 68.490 160.4772
195.816225 68.456 160.5703
197.235190 68.422 160.6656
198.664438 68.387 160.7615
200.104042 68.352 160.8568
201.554078 68.319 160.9517
203.014622 68.285 161.0476
204.485750 68.252 161.1459
205.967538 68.220 161.2477
207.460064 68.187 161.3537
208.963405 68.153 161.4643
210.477640 68.118 161.5796
212.002848 68.083 161.7001
213.539108 68.047 161.8262
215.086500 68.011 161.9579
216.645105 67.974 162.0958
218.215005 67.938 162.2403
219.796281 67.901 162.3936
221.389015 67.865 162.5586
222.993292 67.829 162.7377
224.609193 67.792 162.9313
226.236804 67.755 163.1376
227.876209 67.716 163.3530
229.527494 67.676 163.5741
231.190745 67.636 163.8028
232.866048 67.598 164.0463
234.553491 67.563 164.3105
236.253163 67.533 164.5966
237.965150 67.508 164.9017
239.689544 67.489 165.2196
241.426433 67.477 165.5415
243.175909 67.471 165.8551
244.938062 67.471 166.1460
246.712984 67.476 166.4005
248.500768 67.485 166.6096
250.301507 67.495 166.7691
252.115295 67.504 166.8797
253.942226 67.509 166.9479
255.782396 67.509 166.9858
257.635901 67.503 167.0095
259.502837 67.492 167.0341
261.383301 67.476 167.0700
263.277392 67.457 167.1214
265.185209 67.436 167.1880
267.106850 67.413 167.2674
269.042417 67.391 167.3568
270.992009 67.369 167.4540
272.955729 67.347 167.5565
274.933678 67.325 167.6616
276.925961 67.303 167.7673
278.932681 67.280 167.8729
280.953942 67.256 167.9791
282.989850 67.231 168.0878
285.040511 67.205 168.2009
287.106032 67.178 168.3199
289.186521 67.151 168.4457
291.282086 67.124 168.5777
293.392836 67.096 168.7144
295.518881 67.068 168.8543
297.660333 67.041 168.9965
299.817302 67.013 169.1406
301.989902 66.985 169.2867
304.178245 66.958 169.4363
306.382446 66.931 169.5913
308.602620 66.906 169.7541
310.838882 66.881 169.9268
313.091348 66.856 170.1092
315.360137 66.833 170.2982
317.645367 66.810 170.4904
319.947156 66.787 170.6843
322.265625 66.764 170.8801
324.600895 66.741 171.0783
326.953086 66.719 171.2790
329.322323 66.697 171.4813
331.708729 66.675 171.6840
334.112427 66.653 171.8860
336.533543 66.631 172.0876
338.972204 66.609 172.2896
341.428536 66.587 172.4938
343.902668 66.566 172.7012
346.394729 66.546 172.9108
348.904848 66.526 173.1198
351.433156 66.506 173.3252
353.979786 66.487 173.5266
356.544869 66.469 173.7261
359.128540 66.450 173.9268
361.730934 66.432 174.1305
364.352185 66.413 174.3375
366.992431 66.394 174.5473
369.651810 66.375 174.7590
372.330459 66.356 174.9727
375.028519 66.337 175.1891
377.746130 66.318 175.4096
380.483434 66.300 175.6341
383.240574 66.281 175.8615
386.017693 66.263 176.0910
