* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -7,8 dBFS, measurement signal peak level -6,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 03.01.2024 18:38:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0160 ms (-5,5 mm, -0,22 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Moonlight 2023
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 121.695 61.6616
20.523834 121.790 60.7254
20.860291 121.876 59.8018
21.196747 121.955 58.8773
21.533203 122.032 57.9492
21.869659 122.105 57.0250
22.206116 122.177 56.1173
22.542572 122.246 55.2356
22.879028 122.313 54.3819
23.215485 122.379 53.5496
23.551941 122.442 52.7296
23.888397 122.503 51.9154
24.224854 122.559 51.1073
24.561310 122.612 50.3111
24.897766 122.662 49.5329
25.234222 122.711 48.7746
25.570679 122.760 48.0315
25.907135 122.809 47.2954
26.243591 122.856 46.5600
26.580048 122.900 45.8247
26.916504 122.941 45.0960
27.252960 122.978 44.3834
27.589417 123.013 43.6947
27.925873 123.048 43.0311
28.262329 123.084 42.3879
28.598785 123.121 41.7571
28.935242 123.159 41.1319
29.271698 123.195 40.5098
29.608154 123.229 39.8923
29.944611 123.260 39.2822
30.281067 123.288 38.6812
30.617523 123.314 38.0881
30.953979 123.338 37.5002
31.290436 123.361 36.9154
31.626892 123.384 36.3342
31.963348 123.405 35.7599
32.299805 123.425 35.1969
32.636261 123.445 34.6483
32.972717 123.465 34.1146
33.309174 123.484 33.5929
33.645630 123.503 33.0780
33.982086 123.521 32.5647
34.318542 123.537 32.0494
34.654999 123.551 31.5311
34.991455 123.563 31.0114
35.327911 123.574 30.4939
35.664368 123.585 29.9833
36.000824 123.596 29.4841
36.337280 123.607 29.0001
36.673737 123.619 28.5330
37.010193 123.633 28.0825
37.346649 123.647 27.6459
37.683105 123.660 27.2192
38.019562 123.673 26.7982
38.356018 123.684 26.3799
38.692474 123.692 25.9632
39.028931 123.697 25.5487
39.365387 123.701 25.1371
39.701843 123.704 24.7275
40.038300 123.707 24.3176
40.374756 123.712 23.9041
40.711212 123.717 23.4861
41.047668 123.723 23.0667
41.384125 123.728 22.6533
41.720581 123.731 22.2544
42.057037 123.733 21.8754
42.393494 123.735 21.5152
42.729950 123.737 21.1658
43.066406 123.738 20.8165
43.402863 123.739 20.4590
43.739319 123.739 20.0917
44.075775 123.737 19.7203
44.412231 123.735 19.3528
44.748688 123.733 18.9953
45.085144 123.733 18.6477
45.421600 123.735 18.3062
45.758057 123.737 17.9667
46.094513 123.739 17.6302
46.430969 123.737 17.3032
46.767426 123.734 16.9936
47.103882 123.729 16.7037
47.440338 123.726 16.4261
47.776794 123.726 16.1445
48.113251 123.729 15.8416
48.449707 123.731 15.5086
48.786163 123.732 15.1509
49.122620 123.728 14.7871
49.459076 123.720 14.4403
49.795532 123.710 14.1280
50.131989 123.700 13.8540
50.468445 123.692 13.6082
50.804901 123.688 13.3724
51.141357 123.685 13.1302
51.477814 123.682 12.8736
51.814270 123.677 12.6045
52.150726 123.670 12.3313
52.487183 123.662 12.0619
52.823639 123.654 11.8000
53.160095 123.646 11.5434
53.496552 123.641 11.2864
53.833008 123.636 11.0244
54.169464 123.631 10.7564
54.505920 123.625 10.4863
54.842377 123.618 10.2206
55.178833 123.609 9.9660
55.515289 123.599 9.7259
55.851746 123.590 9.4992
56.188202 123.581 9.2811
56.524658 123.573 9.0644
56.861115 123.567 8.8432
57.197571 123.560 8.6148
57.534027 123.552 8.3807
57.870483 123.544 8.1451
58.206940 123.535 7.9124
58.543396 123.526 7.6853
58.879852 123.517 7.4635
59.216309 123.509 7.2449
59.552765 123.502 7.0275
59.889221 123.494 6.8106
60.225677 123.485 6.5955
60.562134 123.477 6.3842
60.898590 123.467 6.1775
61.235046 123.458 5.9749
61.571503 123.449 5.7745
61.907959 123.439 5.5753
62.244415 123.429 5.3770
62.580872 123.418 5.1809
62.917328 123.407 4.9877
63.253784 123.397 4.7970
63.590240 123.386 4.6064
63.926697 123.376 4.4135
64.263153 123.366 4.2176
64.599609 123.356 4.0211
64.936066 123.345 3.8284
65.272522 123.333 3.6443
65.608978 123.321 3.4710
65.945435 123.310 3.3068
66.281891 123.300 3.1469
66.618347 123.290 2.9860
66.954803 123.280 2.8208
67.291260 123.270 2.6515
67.627716 123.259 2.4813
67.964172 123.248 2.3136
68.300629 123.236 2.1504
68.637085 123.225 1.9910
68.973541 123.215 1.8325
69.309998 123.206 1.6724
69.646454 123.196 1.5099
69.982910 123.185 1.3467
70.319366 123.174 1.1856
70.655823 123.161 1.0290
70.992279 123.149 0.8773
71.328735 123.137 0.7290
71.665192 123.126 0.5817
72.001648 123.115 0.4339
72.338104 123.104 0.2859
72.674561 123.094 0.1390
73.011017 123.084 -0.0058
73.347473 123.073 -0.1483
73.683929 123.063 -0.2894
74.020386 123.051 -0.4295
74.356842 123.039 -0.5680
74.693298 123.026 -0.7029
75.029755 123.012 -0.8326
75.366211 122.999 -0.9568
75.702667 122.987 -1.0780
76.039124 122.977 -1.1998
76.375580 122.967 -1.3253
76.712036 122.958 -1.4549
77.048492 122.948 -1.5866
77.384949 122.937 -1.7167
77.721405 122.926 -1.8427
78.057861 122.914 -1.9643
78.394318 122.901 -2.0834
78.730774 122.889 -2.2027
79.067230 122.877 -2.3242
79.403687 122.864 -2.4478
79.740143 122.852 -2.5721
80.076599 122.840 -2.6951
80.413055 122.828 -2.8157
80.749512 122.817 -2.9333
81.085968 122.806 -3.0479
81.422424 122.795 -3.1595
81.758881 122.784 -3.2685
82.095337 122.773 -3.3752
82.431793 122.762 -3.4806
82.768250 122.751 -3.5859
83.104706 122.739 -3.6924
83.441162 122.727 -3.8010
83.777618 122.715 -3.9122
84.114075 122.703 -4.0260
84.450531 122.691 -4.1414
84.786987 122.679 -4.2565
85.123444 122.666 -4.3683
85.459900 122.654 -4.4739
85.796356 122.641 -4.5721
86.132812 122.629 -4.6640
86.469269 122.617 -4.7533
86.805725 122.606 -4.8447
87.142181 122.594 -4.9408
87.478638 122.582 -5.0406
87.815094 122.569 -5.1402
88.151550 122.555 -5.2344
88.488007 122.541 -5.3205
88.824463 122.529 -5.4000
89.160919 122.519 -5.4782
89.497375 122.510 -5.5611
89.833832 122.501 -5.6519
90.170288 122.491 -5.7497
90.506744 122.479 -5.8491
90.843201 122.465 -5.9442
91.179657 122.450 -6.0308
91.516113 122.434 -6.1087
91.852570 122.420 -6.1814
92.189026 122.407 -6.2534
92.525482 122.395 -6.3284
92.861938 122.384 -6.4071
93.198395 122.373 -6.4881
93.534851 122.362 -6.5684
93.871307 122.351 -6.6455
94.207764 122.339 -6.7185
94.544220 122.327 -6.7883
94.880676 122.315 -6.8570
95.217133 122.303 -6.9270
95.553589 122.291 -6.9998
95.890045 122.279 -7.0755
96.226501 122.267 -7.1524
96.562958 122.255 -7.2283
96.899414 122.243 -7.3009
97.235870 122.232 -7.3694
97.572327 122.221 -7.4342
97.908783 122.210 -7.4966
98.245239 122.198 -7.5576
98.581696 122.186 -7.6165
98.918152 122.172 -7.6714
99.254608 122.159 -7.7203
99.591064 122.146 -7.7637
99.927521 122.134 -7.8054
100.263977 122.125 -7.8519
100.600433 122.117 -7.9091
100.936890 122.109 -7.9791
101.273346 122.101 -8.0582
101.609802 122.091 -8.1383
101.946259 122.080 -8.2106
102.282715 122.068 -8.2708
102.619171 122.057 -8.3210
102.955627 122.048 -8.3682
103.292084 122.039 -8.4196
103.628540 122.031 -8.4780
103.964996 122.021 -8.5406
104.301453 122.010 -8.6016
104.637909 121.999 -8.6564
104.974365 121.987 -8.7053
105.310822 121.977 -8.7536
105.647278 121.967 -8.8077
105.983734 121.958 -8.8705
106.320190 121.949 -8.9396
106.656647 121.939 -9.0087
106.993103 121.929 -9.0720
107.329559 121.920 -9.1275
107.666016 121.911 -9.1773
108.002472 121.902 -9.2248
108.338928 121.893 -9.2716
108.675385 121.882 -9.3163
109.011841 121.869 -9.3559
109.348297 121.856 -9.3901
109.684753 121.843 -9.4234
110.021210 121.832 -9.4634
110.357666 121.822 -9.5167
110.694122 121.813 -9.5846
111.030579 121.803 -9.6611
111.367035 121.793 -9.7359
111.703491 121.783 -9.7998
112.039948 121.773 -9.8493
112.376404 121.765 -9.8876
112.712860 121.757 -9.9223
113.049316 121.749 -9.9600
113.385773 121.739 -10.0034
113.722229 121.728 -10.0506
114.058685 121.716 -10.0981
114.395142 121.704 -10.1434
114.731598 121.692 -10.1870
115.068054 121.681 -10.2315
115.404510 121.672 -10.2792
115.740967 121.663 -10.3300
116.077423 121.654 -10.3806
116.413879 121.645 -10.4271
116.750336 121.635 -10.4667
117.086792 121.625 -10.5003
117.423248 121.616 -10.5317
117.759705 121.607 -10.5657
118.096161 121.597 -10.6051
118.432617 121.587 -10.6494
118.769073 121.576 -10.6950
119.105530 121.565 -10.7375
119.441986 121.553 -10.7738
119.778442 121.542 -10.8041
120.114899 121.533 -10.8317
120.451355 121.524 -10.8613
120.787811 121.515 -10.8964
121.124268 121.506 -10.9381
121.460724 121.497 -10.9845
121.797180 121.487 -11.0321
122.133636 121.476 -11.0773
122.470093 121.466 -11.1181
122.806549 121.455 -11.1545
123.143005 121.445 -11.1880
123.479462 121.436 -11.2204
123.815918 121.427 -11.2529
124.152374 121.417 -11.2853
124.488831 121.408 -11.3171
124.825287 121.397 -11.3477
125.161743 121.387 -11.3774
125.498199 121.377 -11.4077
125.834656 121.367 -11.4400
126.171112 121.356 -11.4750
126.507568 121.346 -11.5118
126.844025 121.336 -11.5487
127.180481 121.326 -11.5838
127.516937 121.317 -11.6168
127.853394 121.308 -11.6486
128.189850 121.300 -11.6808
128.526306 121.291 -11.7140
128.862762 121.283 -11.7473
129.199219 121.274 -11.7782
129.535675 121.265 -11.8048
129.872131 121.255 -11.8267
130.208588 121.245 -11.8454
130.545044 121.236 -11.8641
130.881500 121.227 -11.8849
131.217957 121.217 -11.9084
131.554413 121.207 -11.9334
131.890869 121.197 -11.9581
132.227325 121.187 -11.9816
132.563782 121.178 -12.0044
132.900238 121.168 -12.0279
133.236694 121.160 -12.0532
133.573151 121.151 -12.0798
133.909607 121.142 -12.1066
134.246063 121.132 -12.1319
134.582520 121.123 -12.1550
134.918976 121.114 -12.1762
135.255432 121.105 -12.1966
135.591888 121.096 -12.2174
135.928345 121.088 -12.2390
136.264801 121.078 -12.2611
136.601257 121.069 -12.2834
136.937714 121.060 -12.3052
137.274170 121.050 -12.3265
137.610626 121.040 -12.3472
137.947083 121.030 -12.3672
138.283539 121.021 -12.3865
138.619995 121.012 -12.4048
138.956451 121.003 -12.4224
139.292908 120.995 -12.4398
139.629364 120.988 -12.4575
139.965820 120.980 -12.4759
140.302277 120.972 -12.4951
140.638733 120.964 -12.5144
140.975189 120.955 -12.5327
141.311646 120.945 -12.5492
141.648102 120.935 -12.5638
141.984558 120.926 -12.5776
142.321014 120.917 -12.5920
142.657471 120.909 -12.6084
142.993927 120.901 -12.6266
143.330383 120.893 -12.6451
143.666840 120.886 -12.6613
144.003296 120.878 -12.6736
144.339752 120.870 -12.6820
144.676208 120.862 -12.6883
145.012665 120.854 -12.6950
145.349121 120.845 -12.7043
145.685577 120.836 -12.7170
146.022034 120.828 -12.7330
146.358490 120.819 -12.7519
146.694946 120.810 -12.7737
147.031403 120.802 -12.7981
147.367859 120.794 -12.8237
147.704315 120.785 -12.8473
148.040771 120.777 -12.8649
148.377228 120.768 -12.8740
148.713684 120.759 -12.8750
149.050140 120.751 -12.8723
149.386597 120.744 -12.8720
149.723053 120.738 -12.8787
150.059509 120.730 -12.8935
150.395966 120.723 -12.9134
150.732422 120.714 -12.9331
151.068878 120.704 -12.9483
151.405334 120.695 -12.9577
151.741791 120.687 -12.9631
152.078247 120.680 -12.9683
152.414703 120.673 -12.9761
152.751160 120.666 -12.9873
153.087616 120.658 -13.0004
